,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-12-14 00:00:00,21.0,21.9,20.5,21.0,6520,2011
1,2011-12-15 00:00:00,21.0,24.5,21.0,23.7,9898,2011
2,2011-12-16 00:00:00,23.0,25.4,21.9,25.4,6655,2011
3,2011-12-19 00:00:00,25.0,26.7,25.0,26.7,8126,2011
4,2011-12-20 00:00:00,26.7,28.7,26.7,28.7,1492,2011
5,2011-12-21 00:00:00,28.63,31.0,28.0,30.6,24707,2011
6,2011-12-22 00:00:00,30.6,31.0,30.0,30.95,34331,2011
7,2011-12-23 00:00:00,30.7,30.7,29.4,30.45,6955,2011
8,2011-12-27 00:00:00,30.9,30.9,28.93,30.19,5,2011
9,2011-12-28 00:00:00,29.0,31.4,29.0,31.0,10813,2011
10,2011-12-29 00:00:00,31.0,31.0,29.55,31.0,713,2011
11,2011-12-30 00:00:00,29.55,32.9,29.55,32.9,13559,2011
12,2012-01-02 00:00:00,33.0,33.0,33.0,33.0,14,2012
13,2012-01-03 00:00:00,31.35,33.0,30.0,32.99,846,2012
14,2012-01-04 00:00:00,31.45,32.99,29.99,31.9,507,2012
15,2012-01-05 00:00:00,31.4,31.4,31.4,31.4,25000,2012
16,2012-01-09 00:00:00,31.4,31.4,28.0,31.0,781,2012
17,2012-01-11 00:00:00,29.0,32.3,29.0,32.3,563,2012
18,2012-01-12 00:00:00,33.0,33.0,31.0,32.0,25057,2012
19,2012-01-13 00:00:00,32.0,32.0,32.0,32.0,20,2012
20,2012-01-16 00:00:00,32.0,32.0,30.0,30.0,104,2012
21,2012-01-17 00:00:00,29.0,31.5,29.0,31.5,401,2012
22,2012-01-18 00:00:00,31.46,31.5,30.5,31.5,359,2012
23,2012-01-19 00:00:00,31.33,31.33,30.5,31.0,20623,2012
24,2012-01-20 00:00:00,31.41,31.5,31.0,31.0,383,2012
25,2012-01-23 00:00:00,31.0,31.2,31.0,31.2,412,2012
26,2012-01-24 00:00:00,31.0,31.21,31.0,31.19,150,2012
27,2012-01-25 00:00:00,31.3,31.3,31.3,31.3,3,2012
28,2012-01-26 00:00:00,31.0,31.0,31.0,31.0,3,2012
29,2012-01-27 00:00:00,31.0,31.49,30.8,31.49,620,2012
30,2012-01-30 00:00:00,31.22,31.49,30.0,31.49,207,2012
31,2012-01-31 00:00:00,31.49,31.49,31.0,31.49,20710,2012
32,2012-02-01 00:00:00,31.0,31.99,31.0,31.5,127,2012
33,2012-02-02 00:00:00,31.99,31.99,31.52,31.52,15,2012
34,2012-02-03 00:00:00,31.99,31.99,31.98,31.98,95,2012
35,2012-02-06 00:00:00,31.98,31.98,31.98,31.98,10,2012
36,2012-02-07 00:00:00,31.85,34.5,31.85,34.19,103,2012
37,2012-02-08 00:00:00,31.7,31.7,31.7,31.7,5,2012
38,2012-02-10 00:00:00,30.59,30.59,30.59,30.59,75,2012
39,2012-02-14 00:00:00,30.35,30.35,30.35,30.35,85,2012
40,2012-02-15 00:00:00,31.49,31.49,30.91,30.91,10,2012
41,2012-02-17 00:00:00,31.49,31.49,31.49,31.49,2,2012
42,2012-02-20 00:00:00,31.99,31.99,31.99,31.99,2,2012
43,2012-02-22 00:00:00,29.45,29.45,29.45,29.45,5,2012
44,2012-02-23 00:00:00,29.45,31.98,29.45,31.98,195,2012
45,2012-02-24 00:00:00,31.99,31.99,31.2,31.99,42,2012
46,2012-02-28 00:00:00,31.98,31.98,31.98,31.98,2,2012
47,2012-02-29 00:00:00,31.98,31.98,30.5,31.98,90,2012
48,2012-03-01 00:00:00,31.98,31.98,31.98,31.98,2,2012
49,2012-03-02 00:00:00,31.98,31.98,31.98,31.98,2,2012
50,2012-03-07 00:00:00,31.98,31.98,31.98,31.98,2,2012
51,2012-03-08 00:00:00,30.35,30.35,30.35,30.35,65,2012
52,2012-03-12 00:00:00,31.99,31.99,31.99,31.99,2,2012
53,2012-03-16 00:00:00,31.8,31.8,31.8,31.8,2,2012
54,2012-03-19 00:00:00,31.99,31.99,31.99,31.99,2,2012
55,2012-03-20 00:00:00,30.3,31.75,30.3,31.75,20,2012
56,2012-03-23 00:00:00,30.3,31.81,30.3,31.81,58,2012
57,2012-03-27 00:00:00,31.8,31.8,31.8,31.8,2,2012
58,2012-03-28 00:00:00,31.8,31.8,31.7,31.75,80,2012
59,2012-04-03 00:00:00,31.88,31.88,31.88,31.88,2,2012
60,2012-04-04 00:00:00,31.81,32.5,31.81,32.5,415,2012
61,2012-04-05 00:00:00,32.4,32.4,32.4,32.4,2,2012
62,2012-04-11 00:00:00,32.4,32.4,32.4,32.4,2,2012
63,2012-04-13 00:00:00,32.97,34.0,32.97,34.0,95,2012
64,2012-04-19 00:00:00,31.5,34.0,31.5,33.5,163,2012
65,2012-04-23 00:00:00,33.07,34.5,33.07,34.5,201,2012
66,2012-04-24 00:00:00,34.0,34.0,34.0,34.0,20,2012
67,2012-04-25 00:00:00,34.0,34.0,33.0,33.0,97,2012
68,2012-04-26 00:00:00,33.6,33.6,32.0,33.0,34,2012
69,2012-04-30 00:00:00,32.55,34.5,32.55,34.5,136,2012
70,2012-05-07 00:00:00,33.0,34.5,32.5,33.85,306,2012
71,2012-05-09 00:00:00,32.5,35.0,32.5,34.0,273,2012
72,2012-05-10 00:00:00,32.0,33.5,32.0,32.7,152,2012
73,2012-05-11 00:00:00,31.4,32.9,31.4,32.9,110,2012
74,2012-05-14 00:00:00,31.4,32.9,31.4,32.9,82,2012
75,2012-05-15 00:00:00,32.34,32.34,32.34,32.34,1,2012
76,2012-06-01 00:00:00,32.3,35.01,32.3,35.0,1304,2012
77,2012-06-05 00:00:00,35.0,35.17,34.0,34.0,80,2012
78,2012-06-06 00:00:00,33.5,34.0,33.5,34.0,85,2012
79,2012-06-08 00:00:00,34.35,34.35,34.35,34.35,20,2012
80,2012-06-11 00:00:00,34.5,34.5,34.5,34.5,2,2012
81,2012-06-14 00:00:00,34.2,34.2,33.0,33.89,53,2012
82,2012-06-19 00:00:00,32.5,33.79,32.5,33.79,11,2012
83,2012-06-20 00:00:00,32.2,33.51,32.2,33.51,21,2012
84,2012-06-25 00:00:00,33.0,33.0,33.0,33.0,10,2012
85,2012-06-26 00:00:00,32.23,34.0,32.23,34.0,3151,2012
86,2012-06-27 00:00:00,33.9,33.9,33.9,33.9,5,2012
87,2012-06-28 00:00:00,34.12,36.0,32.5,33.4,575,2012
88,2012-06-29 00:00:00,36.0,37.0,33.0,37.0,5376,2012
89,2012-07-02 00:00:00,35.4,35.4,35.4,35.4,2,2012
90,2012-07-03 00:00:00,33.05,35.0,33.05,35.0,92,2012
91,2012-07-04 00:00:00,35.6,35.6,35.6,35.6,1,2012
92,2012-07-05 00:00:00,35.0,36.0,34.0,36.0,66,2012
93,2012-07-06 00:00:00,35.5,35.8,35.5,35.8,111,2012
94,2012-07-09 00:00:00,35.0,36.03,35.0,36.03,46,2012
95,2012-07-10 00:00:00,35.0,35.0,35.0,35.0,5,2012
96,2012-07-11 00:00:00,36.55,36.55,36.55,36.55,1,2012
97,2012-07-12 00:00:00,34.03,34.03,34.03,34.03,46,2012
98,2012-07-13 00:00:00,32.65,35.0,32.65,35.0,62,2012
99,2012-07-26 00:00:00,33.52,36.0,33.52,36.0,12,2012
100,2012-08-09 00:00:00,34.9,36.0,34.9,36.0,145,2012
101,2012-08-23 00:00:00,36.0,36.0,36.0,36.0,71028,2012
102,2012-08-24 00:00:00,33.53,33.53,33.53,33.53,28,2012
103,2012-08-28 00:00:00,34.91,34.91,34.91,34.91,45,2012
104,2012-08-29 00:00:00,35.0,35.0,35.0,35.0,5,2012
105,2012-08-31 00:00:00,34.9,34.9,32.77,32.77,9,2012
106,2012-09-17 00:00:00,32.12,32.12,32.12,32.12,26,2012
107,2012-09-28 00:00:00,34.0,34.0,34.0,34.0,486,2012
108,2012-10-02 00:00:00,34.0,34.0,34.0,34.0,4,2012
109,2012-10-03 00:00:00,34.0,34.0,34.0,34.0,19,2012
110,2012-10-31 00:00:00,33.0,38.0,33.0,38.0,4277,2012
111,2012-11-02 00:00:00,33.98,33.98,30.5,32.0,168,2012
112,2012-11-05 00:00:00,31.99,36.0,31.99,36.0,90,2012
113,2012-11-07 00:00:00,28.0,30.0,28.0,30.0,319,2012
114,2012-11-08 00:00:00,30.0,34.0,29.0,34.0,160,2012
115,2012-11-09 00:00:00,31.15,35.0,31.15,35.0,106,2012
116,2012-11-13 00:00:00,35.0,35.0,35.0,35.0,1,2012
117,2012-11-14 00:00:00,35.0,35.0,35.0,35.0,2,2012
118,2012-11-16 00:00:00,32.5,32.5,30.26,31.0,72,2012
119,2012-11-20 00:00:00,29.79,29.79,29.79,29.79,53,2012
120,2012-11-21 00:00:00,29.0,29.0,29.0,29.0,60,2012
121,2012-11-22 00:00:00,29.0,29.79,29.0,29.79,20,2012
122,2012-11-23 00:00:00,29.79,29.79,29.79,29.79,42,2012
123,2012-11-29 00:00:00,30.35,35.94,30.35,35.94,482,2012
124,2012-11-30 00:00:00,36.0,40.0,36.0,40.0,1584,2012
125,2012-12-05 00:00:00,36.0,40.0,36.0,40.0,22,2012
126,2012-12-12 00:00:00,37.25,37.25,36.9,36.9,89,2012
127,2012-12-13 00:00:00,34.68,37.0,32.8,37.0,171,2012
128,2012-12-14 00:00:00,36.95,36.95,35.38,35.38,32,2012
129,2012-12-20 00:00:00,36.25,36.25,36.25,36.25,100,2012
130,2012-12-21 00:00:00,36.34,36.35,36.34,36.35,150,2012
131,2012-12-27 00:00:00,36.5,36.5,35.01,36.5,1073,2012
132,2012-12-28 00:00:00,34.45,36.4,34.45,34.45,1040,2012
133,2013-01-02 00:00:00,34.45,34.45,33.83,33.83,95,2013
134,2013-01-03 00:00:00,33.83,33.83,33.83,33.83,43,2013
135,2013-01-10 00:00:00,33.9,34.0,33.9,34.0,176,2013
136,2013-01-11 00:00:00,34.0,34.0,34.0,34.0,31,2013
137,2013-01-14 00:00:00,34.0,35.8,34.0,35.8,506,2013
138,2013-01-15 00:00:00,36.0,36.0,34.77,35.9,17,2013
139,2013-01-16 00:00:00,35.7,39.95,35.5,39.95,588,2013
140,2013-01-17 00:00:00,39.0,39.0,36.31,38.0,318,2013
141,2013-01-18 00:00:00,38.0,39.3,36.5,38.01,221,2013
142,2013-01-21 00:00:00,38.0,38.0,35.3,35.3,311,2013
143,2013-01-22 00:00:00,35.3,36.0,35.3,36.0,27,2013
144,2013-01-23 00:00:00,35.3,35.3,35.3,35.3,10,2013
145,2013-01-24 00:00:00,35.5,36.0,33.52,35.4,47,2013
