,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-01-10 00:00:00,0.318,0.318,0.28300000000000003,0.297,2778760,2008
1,2008-01-11 00:00:00,0.289,0.299,0.23800000000000002,0.273,226840,2008
2,2008-01-14 00:00:00,0.258,0.258,0.231,0.231,67000,2008
3,2008-01-15 00:00:00,0.231,0.297,0.231,0.294,876160,2008
4,2008-01-16 00:00:00,0.231,0.285,0.231,0.28,194170,2008
5,2008-01-17 00:00:00,0.28,0.284,0.259,0.259,239980,2008
6,2008-01-18 00:00:00,0.255,0.27399999999999997,0.255,0.27399999999999997,15480,2008
7,2008-01-21 00:00:00,0.28300000000000003,0.284,0.27899999999999997,0.284,117320,2008
8,2008-01-22 00:00:00,0.27899999999999997,0.27899999999999997,0.27899999999999997,0.27899999999999997,1100,2008
9,2008-01-23 00:00:00,0.27,0.289,0.24,0.24600000000000002,532540,2008
10,2008-01-24 00:00:00,0.249,0.27899999999999997,0.242,0.26,56790,2008
11,2008-01-25 00:00:00,0.243,0.25,0.24100000000000002,0.245,147000,2008
12,2008-01-28 00:00:00,0.24,0.249,0.23199999999999998,0.249,51910,2008
13,2008-01-30 00:00:00,0.249,0.249,0.212,0.249,15920,2008
14,2008-02-04 00:00:00,0.22,0.248,0.22,0.248,1010,2008
15,2008-02-05 00:00:00,0.248,0.297,0.248,0.278,451650,2008
16,2008-02-06 00:00:00,0.25,0.259,0.24600000000000002,0.259,450950,2008
17,2008-02-07 00:00:00,0.235,0.268,0.23199999999999998,0.259,157470,2008
18,2008-02-08 00:00:00,0.26,0.26,0.25,0.25,15500,2008
19,2008-02-11 00:00:00,0.23199999999999998,0.278,0.23199999999999998,0.26,23500,2008
20,2008-02-12 00:00:00,0.25,0.26,0.25,0.26,2500,2008
21,2008-02-13 00:00:00,0.231,0.255,0.231,0.255,5600,2008
22,2008-02-14 00:00:00,0.254,0.275,0.254,0.275,95890,2008
23,2008-02-15 00:00:00,0.272,0.272,0.271,0.271,2150,2008
24,2008-02-18 00:00:00,0.271,0.275,0.26,0.273,33150,2008
25,2008-02-20 00:00:00,0.27,0.27,0.27,0.27,5000,2008
26,2008-02-21 00:00:00,0.252,0.26899999999999996,0.251,0.26899999999999996,16000,2008
27,2008-02-22 00:00:00,0.265,0.265,0.255,0.265,11000,2008
28,2008-02-25 00:00:00,0.26,0.272,0.26,0.272,750,2008
29,2008-02-26 00:00:00,0.251,0.261,0.24100000000000002,0.261,65060,2008
30,2008-02-27 00:00:00,0.261,0.261,0.24,0.255,54970,2008
31,2008-02-29 00:00:00,0.267,0.267,0.267,0.267,500,2008
32,2008-03-04 00:00:00,0.233,0.26,0.23199999999999998,0.26,16000,2008
33,2008-03-05 00:00:00,0.258,0.258,0.258,0.258,200,2008
34,2008-03-07 00:00:00,0.24,0.26,0.24,0.26,18500,2008
35,2008-03-11 00:00:00,0.23600000000000002,0.251,0.23600000000000002,0.251,12190,2008
36,2008-03-12 00:00:00,0.25,0.251,0.25,0.251,11000,2008
37,2008-03-13 00:00:00,0.251,0.251,0.251,0.251,200,2008
38,2008-03-14 00:00:00,0.237,0.25,0.235,0.25,8210,2008
39,2008-03-17 00:00:00,0.23399999999999999,0.244,0.233,0.233,108060,2008
40,2008-03-18 00:00:00,0.24,0.24,0.24,0.24,100,2008
41,2008-03-19 00:00:00,0.24,0.24,0.239,0.239,1110,2008
42,2008-03-20 00:00:00,0.20199999999999999,0.20199999999999999,0.20199999999999999,0.20199999999999999,120,2008
43,2008-03-25 00:00:00,0.24,0.24,0.205,0.205,11150,2008
44,2008-03-26 00:00:00,0.24,0.24,0.21,0.21,17160,2008
45,2008-03-27 00:00:00,0.215,0.22399999999999998,0.21,0.21,18920,2008
46,2008-03-28 00:00:00,0.23399999999999999,0.23399999999999999,0.22899999999999998,0.22899999999999998,2330,2008
47,2008-04-01 00:00:00,0.23199999999999998,0.23199999999999998,0.213,0.213,4750,2008
48,2008-04-02 00:00:00,0.23800000000000002,0.23800000000000002,0.237,0.237,2540,2008
49,2008-04-04 00:00:00,0.215,0.235,0.215,0.235,8440,2008
50,2008-04-07 00:00:00,0.222,0.235,0.222,0.235,5140,2008
51,2008-04-10 00:00:00,0.23,0.235,0.21899999999999997,0.235,28590,2008
52,2008-04-11 00:00:00,0.235,0.235,0.235,0.235,7000,2008
53,2008-04-14 00:00:00,0.225,0.235,0.225,0.235,3500,2008
54,2008-04-15 00:00:00,0.23399999999999999,0.23399999999999999,0.225,0.225,3250,2008
55,2008-04-16 00:00:00,0.225,0.225,0.225,0.225,3920,2008
56,2008-04-21 00:00:00,0.21600000000000003,0.233,0.21600000000000003,0.233,4700,2008
57,2008-04-22 00:00:00,0.21600000000000003,0.22899999999999998,0.215,0.22899999999999998,16700,2008
58,2008-04-23 00:00:00,0.215,0.215,0.215,0.215,118630,2008
59,2008-04-24 00:00:00,0.225,0.225,0.205,0.22399999999999998,13710,2008
60,2008-04-29 00:00:00,0.21,0.22899999999999998,0.21,0.22899999999999998,3600,2008
61,2008-05-05 00:00:00,0.22899999999999998,0.22899999999999998,0.212,0.22899999999999998,20900,2008
62,2008-05-06 00:00:00,0.213,0.228,0.213,0.228,3130,2008
63,2008-05-07 00:00:00,0.213,0.228,0.212,0.228,3000,2008
64,2008-05-09 00:00:00,0.21600000000000003,0.21600000000000003,0.215,0.215,53470,2008
