,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-11-19 00:00:00,19.36,29.0,19.36,29.0,132,2018
1,2018-11-20 00:00:00,30.0,43.2,30.0,33.5,833,2018
2,2018-11-21 00:00:00,34.0,34.0,29.12,29.2,71,2018
3,2018-11-22 00:00:00,26.0,26.0,22.9,22.9,122,2018
4,2018-11-23 00:00:00,19.36,19.36,19.36,19.36,26,2018
5,2018-11-26 00:00:00,19.9,19.9,18.52,18.52,7,2018
6,2018-11-27 00:00:00,18.52,18.52,18.52,18.52,54,2018
7,2018-11-30 00:00:00,18.5,18.5,18.5,18.5,10,2018
8,2018-12-17 00:00:00,18.52,18.52,18.52,18.52,54,2018
9,2018-12-19 00:00:00,18.52,18.52,18.52,18.52,54,2018
10,2019-01-04 00:00:00,18.52,19.0,18.52,19.0,10612,2019
11,2019-01-17 00:00:00,17.23,17.23,17.23,17.23,59,2019
12,2019-01-18 00:00:00,16.03,16.03,16.03,16.03,76,2019
13,2019-01-21 00:00:00,15.0,15.0,15.0,15.0,61,2019
14,2019-02-20 00:00:00,14.92,14.92,14.92,14.92,50,2019
15,2019-03-04 00:00:00,14.94,17.8,14.94,17.8,250,2019
16,2019-03-06 00:00:00,17.6,18.52,17.6,18.52,114,2019
17,2019-03-13 00:00:00,19.9,23.8,19.9,23.0,180,2019
18,2019-04-03 00:00:00,21.4,21.4,21.4,21.4,2,2019
19,2019-04-12 00:00:00,23.0,27.6,23.0,27.0,415,2019
20,2019-04-16 00:00:00,27.2,35.0,27.2,35.0,364,2019
21,2019-04-17 00:00:00,35.0,35.0,35.0,35.0,65,2019
22,2019-04-18 00:00:00,40.0,40.0,40.0,40.0,200,2019
23,2019-04-23 00:00:00,42.0,42.0,42.0,42.0,10,2019
24,2019-04-24 00:00:00,42.0,42.0,40.0,40.0,60,2019
25,2019-04-25 00:00:00,40.0,40.0,40.0,40.0,10,2019
26,2019-04-29 00:00:00,38.0,38.0,32.0,32.0,45,2019
27,2019-04-30 00:00:00,30.0,31.6,30.0,31.6,143,2019
28,2019-05-02 00:00:00,31.0,33.0,31.0,33.0,48300,2019
29,2019-05-07 00:00:00,33.6,33.6,32.4,32.4,170,2019
30,2019-05-09 00:00:00,33.6,33.6,33.6,33.6,90,2019
31,2019-05-10 00:00:00,33.6,34.0,33.6,34.0,120,2019
32,2019-05-13 00:00:00,33.2,34.8,33.2,34.8,260,2019
33,2019-05-14 00:00:00,33.0,35.0,33.0,35.0,706,2019
