,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2020-01-08 00:00:00,10.0,12.9,8.5,11.4,56476,2020
1,2020-01-09 00:00:00,11.25,11.44,9.5,10.3,19512,2020
2,2020-01-10 00:00:00,10.3,10.3,9.3,9.72,4272,2020
3,2020-01-13 00:00:00,9.72,9.899,8.5,9.0,6783,2020
4,2020-01-14 00:00:00,8.9,9.5,7.86,9.1,7585,2020
5,2020-01-15 00:00:00,9.1,9.5,9.0,9.5,1457,2020
6,2020-01-16 00:00:00,9.5,9.8,9.05,9.55,1234,2020
7,2020-01-17 00:00:00,9.8,9.8,9.2,9.39,533,2020
8,2020-01-20 00:00:00,9.5,9.99,9.5,9.9,924,2020
9,2020-01-21 00:00:00,9.99,10.5,9.9,10.5,4325,2020
10,2020-01-22 00:00:00,10.5,10.5,10.3,10.3,399,2020
11,2020-01-23 00:00:00,10.3,10.3,9.65,10.3,423,2020
12,2020-01-24 00:00:00,9.7,10.4,9.7,10.4,647,2020
13,2020-01-27 00:00:00,10.0,10.25,9.7,10.25,1043,2020
14,2020-01-28 00:00:00,10.25,10.25,8.4,9.8,2635,2020
15,2020-01-29 00:00:00,9.8,9.8,9.2,9.8,2065,2020
16,2020-01-30 00:00:00,7.7,9.22,7.7,9.0,3920,2020
17,2020-01-31 00:00:00,9.0,9.85,8.55,9.85,3380,2020
18,2020-02-03 00:00:00,9.85,9.85,8.92,9.65,717,2020
19,2020-02-04 00:00:00,9.65,9.65,9.1,9.3,675,2020
20,2020-02-05 00:00:00,9.4,9.8,9.0,9.4,688,2020
21,2020-02-06 00:00:00,9.2,9.7,9.0,9.7,824,2020
22,2020-02-07 00:00:00,9.5,9.5,9.0,9.2,1968,2020
23,2020-02-10 00:00:00,9.4,9.6,8.0,9.6,5678,2020
24,2020-02-11 00:00:00,9.6,9.8,9.4,9.8,1444,2020
25,2020-02-12 00:00:00,8.95,9.84,8.95,9.5,2473,2020
26,2020-02-13 00:00:00,9.6,9.9,9.6,9.9,260,2020
27,2020-02-14 00:00:00,9.89,9.95,9.89,9.9,707,2020
28,2020-02-17 00:00:00,11.0,12.32,9.0,9.99,14661,2020
29,2020-02-18 00:00:00,10.1,10.59,9.9,10.38,2051,2020
30,2020-02-19 00:00:00,10.34,10.34,9.4,10.25,1597,2020
31,2020-02-20 00:00:00,10.25,10.3,9.01,9.9,5831,2020
32,2020-02-21 00:00:00,9.9,9.9,9.1,9.75,1338,2020
33,2020-02-24 00:00:00,9.5,9.75,8.7,9.18,4366,2020
34,2020-02-25 00:00:00,8.55,8.99,8.3,8.66,3719,2020
35,2020-02-26 00:00:00,8.99,9.3,8.4,8.9,2412,2020
