,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-02-07 00:00:00,2.612,3.0808,2.1097,2.6387,39265,2013
1,2013-02-08 00:00:00,2.6789,2.6789,2.1431,2.6187,9061,2013
2,2013-02-11 00:00:00,2.6187,2.6187,2.2973,2.4646,1512,2013
3,2013-02-12 00:00:00,2.612,2.612,2.324,2.3977,1859,2013
4,2013-02-13 00:00:00,2.478,2.6187,2.0762,2.6187,181,2013
5,2013-02-14 00:00:00,2.4379,2.6187,2.0963,2.6187,3620,2013
6,2013-02-15 00:00:00,2.6187,2.6187,2.2904,2.4914,288,2013
7,2013-02-18 00:00:00,2.6387,2.6387,2.6387,2.6387,2,2013
8,2013-02-19 00:00:00,2.6387,2.6387,2.612,2.612,51,2013
9,2013-02-20 00:00:00,2.6387,2.6387,2.6387,2.6387,2,2013
10,2013-02-21 00:00:00,2.612,2.612,2.3306,2.612,964,2013
11,2013-02-22 00:00:00,2.6387,2.6387,2.3574,2.6387,28,2013
12,2013-02-25 00:00:00,2.6254,2.6254,2.2102,2.6254,2962,2013
13,2013-02-26 00:00:00,2.6254,2.6254,2.6254,2.6254,3,2013
14,2013-02-27 00:00:00,2.6254,2.6254,2.6254,2.6254,3,2013
15,2013-02-28 00:00:00,2.6254,2.6254,2.6254,2.6254,12,2013
16,2013-03-01 00:00:00,2.4445,2.6387,2.4445,2.6387,1239,2013
17,2013-03-04 00:00:00,2.6254,2.6254,2.3574,2.6254,2382,2013
18,2013-03-05 00:00:00,2.6254,2.6254,2.6254,2.6254,5,2013
19,2013-03-06 00:00:00,2.6254,2.6254,2.6254,2.6254,15,2013
20,2013-03-07 00:00:00,2.6254,2.6254,2.6254,2.6254,5,2013
21,2013-03-08 00:00:00,2.6254,2.6254,2.6254,2.6254,5,2013
22,2013-03-11 00:00:00,2.6254,2.6254,2.6254,2.6254,4,2013
23,2013-03-12 00:00:00,2.6254,2.6254,2.6254,2.6254,5,2013
24,2013-03-13 00:00:00,2.6254,2.6254,2.6254,2.6254,11,2013
25,2013-03-14 00:00:00,2.6254,2.6254,2.2771,2.2771,4023,2013
26,2013-03-15 00:00:00,2.2771,2.5785,2.2771,2.5785,46,2013
27,2013-03-18 00:00:00,2.5785,2.5785,2.5785,2.5785,3,2013
28,2013-03-19 00:00:00,2.5785,2.5785,2.5785,2.5785,2,2013
29,2013-03-20 00:00:00,2.5449,2.5449,2.5449,2.5449,1,2013
30,2013-03-21 00:00:00,2.612,2.612,2.612,2.612,11,2013
31,2013-03-22 00:00:00,2.612,2.612,2.0896,2.612,728,2013
32,2013-03-25 00:00:00,2.612,2.612,2.612,2.612,4,2013
33,2013-03-26 00:00:00,2.612,2.612,2.612,2.612,4,2013
34,2013-03-27 00:00:00,2.612,2.612,2.1968,2.612,690,2013
35,2013-03-28 00:00:00,2.612,2.612,2.612,2.612,2,2013
36,2013-04-02 00:00:00,2.612,2.612,2.612,2.612,3,2013
37,2013-04-03 00:00:00,2.5785,2.5785,2.5785,2.5785,2,2013
38,2013-04-04 00:00:00,2.612,2.612,2.612,2.612,1,2013
39,2013-04-05 00:00:00,2.5785,2.5785,2.5785,2.5785,1,2013
40,2013-04-08 00:00:00,2.5785,2.5785,2.5785,2.5785,2,2013
41,2013-04-09 00:00:00,2.5785,2.5785,2.1431,2.5785,2757,2013
42,2013-04-10 00:00:00,2.5449,2.5449,2.0695,2.5249,1817,2013
43,2013-04-11 00:00:00,2.5785,2.5785,2.1297,2.5785,717,2013
44,2013-04-12 00:00:00,2.5785,2.5785,2.5785,2.5785,1,2013
45,2013-04-15 00:00:00,2.5785,2.5785,2.0762,2.5115,1423,2013
46,2013-04-17 00:00:00,2.5449,2.5449,2.5449,2.5449,2,2013
47,2013-04-18 00:00:00,2.5449,2.5449,2.5449,2.5449,1,2013
48,2013-04-19 00:00:00,2.1564,2.5449,2.1564,2.5449,717,2013
49,2013-04-22 00:00:00,2.5785,2.5785,2.0494,2.3775,3595,2013
50,2013-04-23 00:00:00,2.5449,2.5449,2.5449,2.5449,5,2013
51,2013-04-24 00:00:00,2.478,2.478,2.478,2.478,1,2013
52,2013-04-25 00:00:00,2.3508,2.3508,2.3508,2.3508,5,2013
53,2013-04-26 00:00:00,2.3508,2.3508,1.9355,2.3508,1299,2013
54,2013-04-29 00:00:00,2.3508,2.3508,2.3508,2.3508,1,2013
55,2013-04-30 00:00:00,2.3508,2.478,2.0025,2.478,1596,2013
56,2013-05-07 00:00:00,2.478,2.478,2.0226,2.478,1470,2013
57,2013-05-08 00:00:00,2.478,2.478,2.478,2.478,3,2013
58,2013-05-09 00:00:00,2.478,2.478,2.0361,2.4244,3131,2013
59,2013-05-10 00:00:00,2.3977,2.3977,2.1833,2.3977,700,2013
60,2013-05-13 00:00:00,2.3977,2.3977,2.0361,2.2236,2219,2013
61,2013-05-14 00:00:00,2.1968,2.1968,2.1968,2.1968,747,2013
62,2013-05-15 00:00:00,2.1968,2.1968,2.1968,2.1968,3,2013
63,2013-05-16 00:00:00,2.1968,2.1968,2.0361,2.1766,157,2013
64,2013-05-17 00:00:00,2.1968,2.1968,2.1968,2.1968,3,2013
65,2013-05-20 00:00:00,2.1968,2.1968,2.1365,2.1968,15,2013
66,2013-05-21 00:00:00,2.1365,2.1365,2.1365,2.1365,5,2013
67,2013-05-22 00:00:00,2.1365,2.1365,2.1365,2.1365,1,2013
68,2013-05-23 00:00:00,2.1365,2.1365,1.9958,2.1365,751,2013
69,2013-05-24 00:00:00,2.1365,2.1431,1.9958,2.1431,757,2013
70,2013-05-27 00:00:00,1.9421,2.1431,1.9421,2.1431,971,2013
71,2013-05-28 00:00:00,2.1431,2.1431,2.1431,2.1431,5,2013
72,2013-05-29 00:00:00,2.1431,2.3843,2.1431,2.3843,732,2013
73,2013-05-31 00:00:00,2.3843,2.3843,2.3843,2.3843,1,2013
74,2013-06-03 00:00:00,2.3843,2.3843,1.9421,2.3843,1529,2013
75,2013-06-04 00:00:00,2.3843,2.3843,1.9757,2.3574,2985,2013
76,2013-06-05 00:00:00,2.3574,2.3574,2.3574,2.3574,2,2013
77,2013-06-06 00:00:00,2.3574,2.3574,1.9824,2.3574,1503,2013
78,2013-06-07 00:00:00,2.1231,2.344,2.1231,2.344,106,2013
79,2013-06-10 00:00:00,2.3373,2.3373,1.969,2.3373,2559,2013
80,2013-06-11 00:00:00,2.2771,2.3373,1.9355,2.3373,3096,2013
81,2013-06-12 00:00:00,2.3373,2.3373,1.9757,2.1231,2618,2013
82,2013-06-13 00:00:00,2.3373,2.3373,1.9757,2.0293,2031,2013
83,2013-06-14 00:00:00,2.3373,2.3373,2.3373,2.3373,15,2013
84,2013-06-17 00:00:00,2.3373,2.3373,2.0159,2.0159,47,2013
85,2013-06-18 00:00:00,2.3373,2.3373,2.3373,2.3373,1,2013
86,2013-06-19 00:00:00,2.3373,2.3373,2.3373,2.3373,1,2013
87,2013-06-20 00:00:00,2.3373,2.3373,2.3373,2.3373,2,2013
88,2013-06-21 00:00:00,2.3373,2.3373,2.3373,2.3373,1,2013
89,2013-06-24 00:00:00,2.3373,2.3373,2.3373,2.3373,1,2013
90,2013-06-25 00:00:00,2.3373,2.3373,2.3373,2.3373,2,2013
91,2013-06-26 00:00:00,2.3373,2.3373,2.3373,2.3373,1,2013
92,2013-06-27 00:00:00,2.3373,2.3373,2.3373,2.3373,2,2013
93,2013-06-28 00:00:00,2.0025,2.5449,2.0025,2.5449,2837,2013
94,2013-07-01 00:00:00,2.5449,2.5449,2.5449,2.5449,5,2013
95,2013-07-02 00:00:00,2.6722,2.6722,2.6722,2.6722,2,2013
96,2013-07-03 00:00:00,2.6655,2.6655,1.9958,2.5449,3158,2013
97,2013-07-04 00:00:00,2.5047,2.5047,2.5047,2.5047,1,2013
98,2013-07-05 00:00:00,2.4981,2.4981,2.4981,2.4981,2,2013
99,2013-07-08 00:00:00,2.4981,2.4981,1.9958,2.1097,1155,2013
100,2013-07-09 00:00:00,2.1766,2.2838,2.1766,2.2838,2,2013
101,2013-07-10 00:00:00,2.2838,2.2838,1.8351,2.2771,10601,2013
102,2013-07-11 00:00:00,2.2838,2.2838,1.8284,2.0695,2452,2013
103,2013-07-12 00:00:00,2.0762,2.0762,2.0361,2.0361,1449,2013
104,2013-07-15 00:00:00,2.0762,2.0762,1.8016,1.9421,4020,2013
105,2013-07-16 00:00:00,1.9154,2.2102,1.9154,2.0427,806,2013
106,2013-07-17 00:00:00,1.8619,2.0628,1.6944,2.0628,1144,2013
107,2013-07-18 00:00:00,1.8619,2.0762,1.8485,1.9891,1767,2013
108,2013-07-19 00:00:00,1.8753,1.8753,1.8753,1.8753,1,2013
109,2013-07-26 00:00:00,2.0762,2.0762,2.0762,2.0762,1,2013
110,2013-07-29 00:00:00,1.8886,1.8886,1.8886,1.8886,3,2013
111,2013-07-30 00:00:00,1.8886,1.8886,1.8886,1.8886,3,2013
112,2013-07-31 00:00:00,1.8886,1.8886,1.8886,1.8886,5,2013
113,2013-08-01 00:00:00,1.8886,1.8886,1.8886,1.8886,4,2013
114,2013-08-02 00:00:00,1.9088,2.0361,1.9088,2.0361,15,2013
115,2013-08-05 00:00:00,2.0361,2.0361,2.0361,2.0361,3,2013
116,2013-08-06 00:00:00,2.0361,2.0361,2.0361,2.0361,1,2013
117,2013-08-07 00:00:00,2.0361,2.0361,2.0361,2.0361,2,2013
118,2013-08-08 00:00:00,2.0361,2.0361,2.0361,2.0361,3,2013
119,2013-08-09 00:00:00,2.0293,2.0293,2.0293,2.0293,1,2013
120,2013-08-12 00:00:00,2.0293,2.0293,2.0293,2.0293,1,2013
121,2013-08-21 00:00:00,2.0293,2.1163,1.8886,2.0093,2013,2013
122,2013-08-22 00:00:00,2.0093,2.0093,2.0093,2.0093,1,2013
123,2013-08-23 00:00:00,2.0293,2.0293,1.7882,1.9154,1904,2013
124,2013-08-26 00:00:00,1.9288,1.9288,1.9288,1.9288,1,2013
125,2013-08-27 00:00:00,1.9288,1.9288,1.7949,1.8418,854,2013
126,2013-08-28 00:00:00,1.8083,1.8083,1.6743,1.7547,905,2013
127,2013-09-03 00:00:00,1.7614,1.7748,1.7078,1.7078,855,2013
128,2013-09-04 00:00:00,1.7748,1.7748,1.7748,1.7748,15,2013
129,2013-09-05 00:00:00,1.7748,1.7748,1.7748,1.7748,1,2013
130,2013-09-10 00:00:00,1.7078,1.7078,1.7078,1.7078,2613,2013
131,2013-09-12 00:00:00,1.2724,1.7815,1.2724,1.7815,4443,2013
132,2013-09-16 00:00:00,1.7279,1.815,1.7279,1.8083,3634,2013
133,2013-09-17 00:00:00,1.8083,1.8083,1.8083,1.8083,1,2013
134,2013-09-18 00:00:00,1.8217,1.9355,1.8083,1.882,2891,2013
135,2013-09-19 00:00:00,2.0093,2.0093,1.882,1.882,254,2013
136,2013-09-20 00:00:00,2.0025,2.0025,2.0025,2.0025,2,2013
137,2013-09-24 00:00:00,2.0093,2.0093,1.8886,2.0093,279,2013
138,2013-09-25 00:00:00,2.0025,2.0025,1.8954,1.8954,13187,2013
139,2013-09-26 00:00:00,2.0093,2.0093,2.0093,2.0093,1,2013
140,2013-09-30 00:00:00,1.7078,1.9891,1.7078,1.9891,6360,2013
141,2013-10-01 00:00:00,1.8351,1.8351,1.8351,1.8351,848,2013
142,2013-10-03 00:00:00,1.9891,1.9891,1.7614,1.9421,840,2013
143,2013-10-08 00:00:00,1.8418,1.8886,1.8418,1.8886,1722,2013
144,2013-10-09 00:00:00,1.8753,1.9421,1.8753,1.9421,888,2013
145,2013-10-10 00:00:00,2.0025,2.0025,2.0025,2.0025,15,2013
146,2013-10-11 00:00:00,1.7614,1.9891,1.7614,1.9891,157,2013
147,2013-10-14 00:00:00,1.949,1.949,1.949,1.949,776,2013
148,2013-10-15 00:00:00,2.0093,2.0093,2.0093,2.0093,732,2013
149,2013-10-16 00:00:00,1.6609,1.9757,1.6609,1.9757,11403,2013
150,2013-10-17 00:00:00,2.0093,2.0093,2.0093,2.0093,2,2013
151,2013-10-18 00:00:00,1.9421,1.9421,1.9421,1.9421,6250,2013
152,2013-10-21 00:00:00,1.949,1.949,1.949,1.949,2,2013
153,2013-10-22 00:00:00,1.882,1.882,1.882,1.882,5,2013
154,2013-10-23 00:00:00,1.8552,1.9088,1.8552,1.882,8291,2013
155,2013-10-25 00:00:00,1.8485,1.8485,1.8485,1.8485,1,2013
156,2013-10-28 00:00:00,2.0093,2.0093,1.9623,2.0093,1513,2013
157,2013-10-29 00:00:00,2.0025,2.0494,2.0025,2.0494,5723,2013
158,2013-10-30 00:00:00,2.0762,2.0762,2.0762,2.0762,5,2013
159,2013-10-31 00:00:00,1.815,2.1431,1.815,2.1431,30808,2013
160,2013-11-04 00:00:00,2.1498,2.1498,2.1498,2.1498,5,2013
161,2013-11-05 00:00:00,2.1498,2.1498,2.1097,2.1231,210,2013
162,2013-11-14 00:00:00,2.1231,2.1498,2.0093,2.1498,59,2013
163,2013-11-15 00:00:00,2.1431,2.1431,2.1431,2.1431,2,2013
164,2013-11-18 00:00:00,2.1431,2.1431,2.1431,2.1431,4,2013
165,2013-11-19 00:00:00,2.1431,2.1431,2.1431,2.1431,3,2013
166,2013-11-20 00:00:00,2.1431,2.1431,2.1431,2.1431,2,2013
167,2013-11-21 00:00:00,2.1431,2.1431,2.1431,2.1431,4,2013
168,2013-11-22 00:00:00,2.1431,2.1431,2.1431,2.1431,41,2013
169,2013-11-25 00:00:00,2.1498,2.1498,2.1498,2.1498,150,2013
170,2013-11-26 00:00:00,2.1365,2.1431,2.0896,2.1431,70,2013
171,2013-11-27 00:00:00,2.1431,2.1431,1.9891,2.1431,160,2013
172,2013-11-29 00:00:00,2.1431,2.1431,2.1431,2.1431,2,2013
173,2013-12-03 00:00:00,2.5115,2.5115,2.0963,2.5047,8171,2013
174,2013-12-04 00:00:00,2.5047,2.5047,2.0025,2.0025,184,2013
175,2013-12-05 00:00:00,2.0762,2.1431,2.0762,2.1431,182,2013
176,2013-12-06 00:00:00,2.1431,2.1431,2.1431,2.1431,3,2013
177,2013-12-10 00:00:00,2.1029,2.1097,2.1029,2.1097,1452,2013
178,2013-12-12 00:00:00,2.1097,2.1097,2.1097,2.1097,24090,2013
179,2013-12-13 00:00:00,2.0762,2.1498,2.0762,2.1498,2818,2013
180,2013-12-16 00:00:00,2.1498,2.1498,2.0093,2.1498,174,2013
181,2013-12-17 00:00:00,2.1498,2.1498,2.1365,2.1498,28713,2013
182,2013-12-18 00:00:00,2.1498,2.1498,2.1498,2.1498,1,2013
183,2013-12-19 00:00:00,2.1498,2.5047,2.0762,2.0762,2453,2013
184,2013-12-27 00:00:00,2.4914,2.5047,2.1163,2.2034,1598,2013
185,2013-12-30 00:00:00,2.5047,2.5047,2.5047,2.5047,2,2013
186,2014-01-02 00:00:00,2.6789,2.6789,2.1365,2.2436,389,2014
187,2014-01-03 00:00:00,2.2436,2.2436,2.083,2.2436,751,2014
188,2014-01-07 00:00:00,2.1163,2.1163,2.1163,2.1163,2,2014
189,2014-01-08 00:00:00,2.1163,2.1163,2.1163,2.1163,4,2014
190,2014-01-09 00:00:00,2.1163,2.1163,2.1163,2.1163,3,2014
191,2014-01-10 00:00:00,2.1163,2.1163,2.1163,2.1163,4,2014
192,2014-01-13 00:00:00,2.1163,2.1163,2.083,2.1097,81,2014
193,2014-01-14 00:00:00,2.1097,2.1097,2.1097,2.1097,5,2014
194,2014-01-15 00:00:00,2.1097,2.1097,2.1097,2.1097,4,2014
195,2014-01-16 00:00:00,2.1097,2.1097,2.1097,2.1097,1,2014
196,2014-01-20 00:00:00,2.1097,2.1097,2.1097,2.1097,2,2014
197,2014-01-21 00:00:00,2.1097,2.1097,2.1097,2.1097,2,2014
198,2014-01-22 00:00:00,2.1097,2.2436,2.1097,2.2436,2537,2014
199,2014-01-23 00:00:00,2.2436,2.2436,2.2436,2.2436,2,2014
200,2014-01-24 00:00:00,2.2436,2.2436,2.2436,2.2436,3,2014
201,2014-01-27 00:00:00,2.2436,2.2436,2.2436,2.2436,3,2014
202,2014-01-28 00:00:00,2.2436,2.2436,2.2436,2.2436,3,2014
203,2014-01-29 00:00:00,2.2436,2.2436,2.2436,2.2436,2,2014
204,2014-01-30 00:00:00,2.2436,2.2436,2.2436,2.2436,3,2014
205,2014-01-31 00:00:00,2.2436,2.478,2.2369,2.478,3023,2014
206,2014-02-03 00:00:00,2.4646,2.4646,2.4646,2.4646,4,2014
207,2014-02-04 00:00:00,2.4646,2.4646,2.4445,2.4445,42,2014
