,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-08-31 00:00:00,3.7308,3.7308,2.5673,2.9808,43122,2012
1,2012-09-03 00:00:00,2.9712,2.9712,2.2596,2.2596,6298,2012
2,2012-09-04 00:00:00,2.2596,2.5577,2.1346,2.2019,2536,2012
3,2012-09-05 00:00:00,2.1635,2.5288,1.8846,2.4038,64488,2012
4,2012-09-06 00:00:00,2.5,2.6346,1.9231,2.2981,16881,2012
5,2012-09-07 00:00:00,2.2596,2.2596,1.9423,1.9423,10117,2012
6,2012-09-10 00:00:00,1.9231,2.0673,1.8462,2.0673,6915,2012
7,2012-09-11 00:00:00,2.0673,2.2019,2.0288,2.1538,4357,2012
8,2012-09-12 00:00:00,2.1635,2.5769,2.0673,2.2115,24464,2012
9,2012-09-13 00:00:00,2.2788,2.3077,2.2115,2.3077,10956,2012
10,2012-09-14 00:00:00,2.2212,2.2212,2.0865,2.2212,7987,2012
11,2012-09-17 00:00:00,2.1827,2.1827,1.9231,2.0673,12274,2012
12,2012-09-18 00:00:00,2.0577,2.1154,1.8173,2.1154,14602,2012
13,2012-09-19 00:00:00,2.1154,2.1154,2.0673,2.0673,3101,2012
14,2012-09-20 00:00:00,2.0481,2.0577,2.0192,2.0192,3137,2012
15,2012-09-21 00:00:00,2.0192,2.1058,2.0192,2.1058,105,2012
16,2012-09-24 00:00:00,2.1154,2.3654,2.1058,2.2115,20821,2012
17,2012-09-25 00:00:00,2.2115,2.2596,2.0481,2.2596,7639,2012
18,2012-09-26 00:00:00,2.2212,2.3654,2.2115,2.3365,2217,2012
19,2012-09-27 00:00:00,2.375,2.375,2.2115,2.2596,7198,2012
20,2012-09-28 00:00:00,2.2596,2.2596,2.2404,2.2404,156,2012
21,2012-10-01 00:00:00,2.2115,2.2115,2.0192,2.0865,1846,2012
22,2012-10-02 00:00:00,2.0577,2.0577,2.0192,2.0192,17290,2012
23,2012-10-03 00:00:00,2.0673,2.0673,2.0673,2.0673,26,2012
24,2012-10-04 00:00:00,2.0577,2.1154,1.9231,2.1154,1915,2012
25,2012-10-05 00:00:00,2.1154,2.125,2.0769,2.125,775,2012
26,2012-10-08 00:00:00,2.1154,2.1154,2.0673,2.0673,10816,2012
27,2012-10-09 00:00:00,2.0962,2.0962,2.0481,2.0481,94,2012
28,2012-10-10 00:00:00,2.0962,2.1058,2.0481,2.1058,1914,2012
29,2012-10-16 00:00:00,2.1058,2.1442,2.1058,2.1442,156,2012
30,2012-10-17 00:00:00,2.1635,2.1635,1.9038,2.0096,1586,2012
31,2012-10-18 00:00:00,2.0192,2.0577,1.9038,1.9038,2142,2012
32,2012-10-19 00:00:00,2.0192,2.0192,2.0192,2.0192,5,2012
33,2012-10-24 00:00:00,2.0,2.0,1.9231,1.9231,4469,2012
34,2012-10-25 00:00:00,1.9231,1.9712,1.9231,1.9712,1238,2012
35,2012-10-26 00:00:00,1.9808,2.0865,1.9615,2.0865,6146,2012
36,2012-10-29 00:00:00,2.0865,2.1154,2.0865,2.1154,20092,2012
37,2012-10-30 00:00:00,2.1154,2.1154,2.1154,2.1154,26,2012
38,2012-10-31 00:00:00,2.0769,2.1154,2.0769,2.1154,31,2012
39,2012-11-02 00:00:00,2.0385,2.0385,1.9519,1.9519,1627,2012
40,2012-11-06 00:00:00,1.9615,1.9615,1.875,1.875,1273,2012
41,2012-11-07 00:00:00,1.9231,1.9231,1.9231,1.9231,1358,2012
42,2012-11-08 00:00:00,1.8846,1.8846,1.6442,1.8269,17308,2012
43,2012-11-09 00:00:00,1.9038,1.9038,1.7308,1.9038,2726,2012
44,2012-11-12 00:00:00,1.9038,1.9038,1.6635,1.7308,322,2012
45,2012-11-13 00:00:00,1.7308,1.7308,1.6827,1.6827,1804,2012
46,2012-11-14 00:00:00,1.6923,1.875,1.6923,1.875,1404,2012
47,2012-11-15 00:00:00,1.9038,1.9038,1.7788,1.7788,920,2012
48,2012-11-19 00:00:00,1.7308,1.7308,1.6538,1.6827,1872,2012
49,2012-11-20 00:00:00,1.6827,1.6827,1.5577,1.5577,6234,2012
50,2012-11-21 00:00:00,1.5385,1.5385,1.4423,1.5288,16459,2012
51,2012-11-22 00:00:00,1.5288,1.7308,1.4615,1.7308,10001,2012
52,2012-11-23 00:00:00,1.7308,1.7308,1.7308,1.7308,26,2012
53,2012-11-26 00:00:00,1.7308,1.7308,1.625,1.625,2101,2012
54,2012-11-27 00:00:00,1.6635,1.6635,1.6635,1.6635,53,2012
55,2012-11-28 00:00:00,1.625,1.7308,1.5577,1.7308,4160,2012
56,2012-11-29 00:00:00,1.7308,1.7308,1.5577,1.7308,19173,2012
57,2012-11-30 00:00:00,1.7308,1.7308,1.5769,1.7308,19583,2012
58,2012-12-03 00:00:00,1.7308,1.7308,1.625,1.6346,10869,2012
59,2012-12-04 00:00:00,1.5962,1.7212,1.5288,1.6346,7831,2012
60,2012-12-05 00:00:00,1.7019,1.7019,1.5673,1.5673,2123,2012
61,2012-12-06 00:00:00,1.5865,1.6731,1.5865,1.6731,467,2012
62,2012-12-07 00:00:00,1.6827,1.7308,1.6827,1.7308,20800,2012
63,2012-12-10 00:00:00,1.7308,1.8173,1.625,1.7308,9381,2012
64,2012-12-11 00:00:00,1.7308,1.7308,1.7308,1.7308,7,2012
65,2012-12-13 00:00:00,1.6923,1.7212,1.5481,1.7212,12423,2012
66,2012-12-14 00:00:00,1.7212,1.7212,1.7212,1.7212,52,2012
67,2012-12-17 00:00:00,1.6731,1.8654,1.3942,1.8654,5087,2012
68,2012-12-18 00:00:00,1.75,1.8654,1.5865,1.7308,14926,2012
69,2012-12-19 00:00:00,1.6635,1.7308,1.5962,1.7308,1924,2012
70,2012-12-20 00:00:00,1.7212,1.7308,1.6827,1.6827,2196234,2012
71,2012-12-21 00:00:00,1.6827,1.6827,1.6827,1.6827,26,2012
72,2012-12-27 00:00:00,1.6731,1.6731,1.6635,1.6731,149994,2012
73,2012-12-28 00:00:00,1.6731,1.7788,1.6346,1.6346,8286,2012
74,2013-01-02 00:00:00,1.6346,1.6827,1.6346,1.6827,74776,2013
75,2013-01-03 00:00:00,1.7115,1.875,1.6346,1.7308,81062,2013
76,2013-01-04 00:00:00,1.7308,1.8942,1.7308,1.8942,19586,2013
77,2013-01-07 00:00:00,1.9231,2.2981,1.9231,2.2596,98374,2013
78,2013-01-08 00:00:00,2.2981,2.2981,2.0288,2.0288,9426,2013
79,2013-01-09 00:00:00,2.0673,2.2788,2.0673,2.0865,27116,2013
80,2013-01-10 00:00:00,2.0962,2.2115,2.0385,2.1923,35674,2013
81,2013-01-11 00:00:00,2.2115,2.2115,2.0192,2.0192,15944,2013
82,2013-01-14 00:00:00,2.0192,2.1154,1.7981,1.8846,28368,2013
83,2013-01-15 00:00:00,1.8846,1.8846,1.6058,1.7308,23102,2013
84,2013-01-16 00:00:00,1.7308,1.7981,1.7308,1.7981,702,2013
