,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2020-08-31 00:00:00,17.5,18.65,14.0,15.0,218892,2020
1,2020-09-01 00:00:00,15.4,16.43,12.8,15.4,186105,2020
2,2020-09-02 00:00:00,15.6,22.46,14.6,20.8,176868,2020
3,2020-09-03 00:00:00,21.0,22.98,18.82,19.8,139798,2020
4,2020-09-04 00:00:00,19.4,19.4,17.5,19.0,61557,2020
5,2020-09-07 00:00:00,17.6,19.0,17.0,17.0,44322,2020
6,2020-09-08 00:00:00,17.0,17.1,14.62,17.0,41171,2020
7,2020-09-09 00:00:00,16.95,18.8,16.5,18.5,29184,2020
8,2020-09-10 00:00:00,18.5,18.7,17.6,18.5,9518,2020
9,2020-09-11 00:00:00,18.5,18.5,17.6,18.3,2648,2020
10,2020-09-14 00:00:00,18.5,18.5,17.5,18.05,7998,2020
11,2020-09-15 00:00:00,18.0,18.0,17.1,17.788,6490,2020
12,2020-09-16 00:00:00,17.8,18.5,16.0,17.44,24952,2020
13,2020-09-17 00:00:00,17.0,18.0,16.6,17.48,5797,2020
14,2020-09-18 00:00:00,17.48,17.8,17.0,17.4,3795,2020
15,2020-09-21 00:00:00,17.1,17.5,16.3,16.8,12486,2020
16,2020-09-22 00:00:00,16.42,17.25,15.72,17.25,13798,2020
17,2020-09-23 00:00:00,16.3,16.44,15.8,15.8,15749,2020
18,2020-09-24 00:00:00,15.5,17.5,14.3,16.0,42418,2020
