,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-02-26 00:00:00,13.98,14.9,12.8,13.47,31267,2010
1,2010-03-01 00:00:00,13.52,13.53,12.7,13.5,9221,2010
2,2010-03-02 00:00:00,12.92,14.8,12.92,14.5,25479,2010
3,2010-03-03 00:00:00,14.59,14.8,13.71,14.45,13929,2010
4,2010-03-04 00:00:00,13.75,14.68,13.45,14.68,8820,2010
5,2010-03-05 00:00:00,13.61,14.49,13.61,14.35,5121,2010
6,2010-03-08 00:00:00,14.0,14.29,13.79,14.29,5226,2010
7,2010-03-09 00:00:00,14.0,14.6,13.86,14.41,8083,2010
8,2010-03-10 00:00:00,14.01,14.01,14.0,14.0,4575,2010
9,2010-03-11 00:00:00,13.9,14.2,13.77,14.19,4103,2010
10,2010-03-12 00:00:00,13.92,14.28,13.91,14.18,12941,2010
11,2010-03-15 00:00:00,13.94,14.18,13.92,14.18,2026,2010
12,2010-03-16 00:00:00,14.23,14.23,13.93,14.0,3581,2010
13,2010-03-17 00:00:00,14.22,14.22,13.95,13.95,2223,2010
14,2010-03-18 00:00:00,14.19,14.19,14.1,14.1,210,2010
15,2010-03-19 00:00:00,14.14,14.14,14.14,14.14,10,2010
16,2010-03-22 00:00:00,14.29,14.29,14.29,14.29,80,2010
17,2010-03-23 00:00:00,13.81,14.19,13.32,14.19,1868,2010
18,2010-03-24 00:00:00,13.67,13.9,13.67,13.9,210,2010
19,2010-03-25 00:00:00,13.55,13.55,13.55,13.55,580,2010
20,2010-03-26 00:00:00,14.08,14.08,13.52,13.7,1000,2010
21,2010-03-29 00:00:00,14.05,14.2,14.04,14.2,3495,2010
22,2010-03-30 00:00:00,14.2,14.2,14.17,14.17,1002,2010
23,2010-03-31 00:00:00,14.17,14.17,13.68,14.09,11106,2010
24,2010-04-01 00:00:00,14.15,14.15,13.63,13.63,954,2010
25,2010-04-06 00:00:00,14.09,14.09,13.63,13.8,342,2010
26,2010-04-07 00:00:00,13.8,14.0,13.74,14.0,289,2010
27,2010-04-08 00:00:00,14.03,14.03,14.03,14.03,7,2010
28,2010-04-09 00:00:00,14.03,14.03,13.96,13.99,3253,2010
29,2010-04-12 00:00:00,14.0,14.0,14.0,14.0,4,2010
30,2010-04-13 00:00:00,13.99,14.1,13.96,14.1,1330,2010
31,2010-04-14 00:00:00,14.1,14.1,13.93,13.93,152,2010
32,2010-04-15 00:00:00,14.0,14.0,14.0,14.0,2,2010
33,2010-04-16 00:00:00,14.0,14.0,13.95,13.95,30,2010
34,2010-04-19 00:00:00,13.95,14.07,13.95,14.0,15,2010
35,2010-04-20 00:00:00,14.02,14.02,14.02,14.02,80,2010
36,2010-04-21 00:00:00,14.0,14.0,13.9,13.9,165,2010
37,2010-04-22 00:00:00,14.06,14.06,14.06,14.06,2,2010
38,2010-04-23 00:00:00,14.04,14.04,14.04,14.04,2,2010
39,2010-04-26 00:00:00,14.03,14.03,14.03,14.03,2,2010
40,2010-04-27 00:00:00,14.0,14.0,14.0,14.0,2,2010
41,2010-04-28 00:00:00,14.04,14.04,14.04,14.04,2,2010
42,2010-04-29 00:00:00,14.04,14.04,14.04,14.04,3,2010
43,2010-04-30 00:00:00,14.03,14.03,14.0,14.0,1100,2010
44,2010-05-04 00:00:00,14.03,14.03,14.03,14.03,2,2010
45,2010-05-05 00:00:00,14.0,14.0,13.72,13.72,193,2010
46,2010-05-06 00:00:00,13.8,13.8,13.0,13.74,2112,2010
47,2010-05-07 00:00:00,13.14,13.99,13.14,13.99,197,2010
48,2010-05-11 00:00:00,13.99,13.99,13.99,13.99,2,2010
49,2010-05-14 00:00:00,13.6,13.99,13.6,13.99,115,2010
50,2010-05-17 00:00:00,13.99,13.99,13.99,13.99,5,2010
51,2010-05-18 00:00:00,13.9,14.1,13.9,14.1,2206,2010
52,2010-05-19 00:00:00,14.06,14.06,14.05,14.05,1345,2010
53,2010-05-20 00:00:00,14.05,14.05,14.05,14.05,5,2010
54,2010-05-21 00:00:00,13.99,13.99,13.98,13.98,362,2010
55,2010-05-24 00:00:00,14.0,14.0,14.0,14.0,50,2010
56,2010-05-25 00:00:00,13.9,13.9,13.6,13.6,298,2010
57,2010-05-26 00:00:00,13.75,13.75,13.3,13.7,110,2010
58,2010-05-27 00:00:00,14.0,14.0,14.0,14.0,10,2010
59,2010-05-28 00:00:00,13.95,13.95,13.95,13.95,10,2010
60,2010-05-31 00:00:00,13.2,13.2,13.2,13.2,300,2010
61,2010-06-01 00:00:00,13.7,13.7,13.7,13.7,1,2010
62,2010-06-02 00:00:00,13.2,14.0,13.2,14.0,889,2010
63,2010-06-04 00:00:00,13.95,13.95,13.7,13.95,70,2010
64,2010-06-07 00:00:00,13.71,13.71,13.2,13.65,321,2010
65,2010-06-08 00:00:00,13.0,13.4,13.0,13.4,301,2010
66,2010-06-10 00:00:00,13.6,13.6,13.1,13.45,1599,2010
67,2010-06-11 00:00:00,13.85,13.85,13.85,13.85,1,2010
68,2010-06-14 00:00:00,13.1,13.8,12.6,13.7,3702,2010
69,2010-06-15 00:00:00,13.1,13.1,13.1,13.1,206,2010
70,2010-06-16 00:00:00,13.6,14.5,13.6,14.45,2448,2010
71,2010-06-17 00:00:00,14.11,14.45,14.0,14.45,616,2010
72,2010-06-18 00:00:00,14.5,14.5,14.0,14.49,280,2010
73,2010-06-21 00:00:00,14.49,14.49,14.2,14.49,156,2010
74,2010-06-22 00:00:00,14.01,14.49,14.0,14.49,205,2010
75,2010-06-23 00:00:00,14.01,14.49,13.99,14.49,450,2010
76,2010-06-24 00:00:00,14.01,14.49,13.94,14.4,939,2010
77,2010-06-25 00:00:00,14.02,14.49,14.02,14.48,127,2010
78,2010-06-28 00:00:00,14.01,14.48,14.01,14.48,105,2010
79,2010-06-29 00:00:00,14.49,14.49,14.01,14.49,59,2010
80,2010-06-30 00:00:00,14.01,14.4,14.01,14.4,175,2010
81,2010-07-01 00:00:00,14.02,14.4,14.02,14.4,37,2010
82,2010-07-02 00:00:00,14.4,14.4,14.4,14.4,35,2010
83,2010-07-05 00:00:00,14.49,14.7,14.49,14.7,4,2010
84,2010-07-06 00:00:00,14.1,14.65,14.1,14.65,41,2010
85,2010-07-07 00:00:00,14.1,14.1,14.1,14.1,210,2010
86,2010-07-08 00:00:00,14.7,14.7,14.7,14.7,5,2010
87,2010-07-12 00:00:00,14.17,14.65,14.17,14.65,35,2010
88,2010-07-15 00:00:00,14.69,14.69,14.69,14.69,50,2010
89,2010-07-20 00:00:00,14.68,14.68,14.68,14.68,85,2010
90,2010-07-21 00:00:00,14.68,14.68,14.68,14.68,16,2010
91,2010-07-23 00:00:00,14.3,14.68,14.3,14.68,713,2010
92,2010-08-02 00:00:00,14.62,14.62,14.62,14.62,5,2010
93,2010-08-03 00:00:00,14.0,14.0,14.0,14.0,95,2010
94,2010-08-04 00:00:00,14.15,14.6,14.15,14.6,110,2010
95,2010-08-05 00:00:00,14.15,14.6,14.12,14.6,480,2010
96,2010-08-09 00:00:00,14.1,14.6,13.9,14.6,610,2010
97,2010-08-10 00:00:00,14.05,14.7,13.85,14.7,4700,2010
98,2010-08-12 00:00:00,14.69,14.74,14.69,14.74,1350,2010
99,2010-08-13 00:00:00,14.73,14.73,14.73,14.73,50,2010
100,2010-08-16 00:00:00,14.72,14.72,14.72,14.72,5,2010
101,2010-08-17 00:00:00,14.7,14.74,14.5,14.74,2410,2010
102,2010-08-18 00:00:00,14.73,14.73,14.73,14.73,5,2010
103,2010-08-20 00:00:00,14.71,14.71,14.71,14.71,2,2010
104,2010-08-23 00:00:00,14.73,14.73,14.73,14.73,2,2010
105,2010-08-24 00:00:00,14.12,14.71,14.0,14.7,492,2010
106,2010-08-25 00:00:00,13.9,14.5,13.9,14.5,243,2010
107,2010-08-26 00:00:00,13.82,14.47,13.81,14.45,201,2010
108,2010-08-27 00:00:00,13.71,14.41,13.71,14.41,324,2010
109,2010-08-30 00:00:00,13.71,14.38,13.71,14.38,129,2010
110,2010-08-31 00:00:00,13.71,14.36,13.71,14.36,177,2010
111,2010-09-01 00:00:00,14.0,14.35,14.0,14.35,102,2010
112,2010-09-03 00:00:00,14.25,14.25,14.25,14.25,14,2010
113,2010-09-06 00:00:00,14.3,14.3,14.3,14.3,200,2010
114,2010-09-09 00:00:00,14.28,14.28,14.28,14.28,2,2010
115,2010-09-13 00:00:00,14.0,14.0,14.0,14.0,150,2010
116,2010-09-14 00:00:00,14.0,14.0,14.0,14.0,7,2010
117,2010-09-15 00:00:00,14.18,14.18,14.17,14.17,632,2010
118,2010-09-16 00:00:00,14.17,14.17,14.15,14.15,5236,2010
119,2010-09-17 00:00:00,14.19,14.19,14.19,14.19,5,2010
120,2010-09-20 00:00:00,14.18,14.18,14.18,14.18,5,2010
