,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-09-13 00:00:00,0.9163,0.9163,0.9163,0.9163,145473,2012
1,2012-09-14 00:00:00,0.9163,0.9163,0.8868,0.8868,233519,2012
2,2012-09-17 00:00:00,0.8572,1.1824,0.7981,0.9755,549447,2012
3,2012-09-18 00:00:00,0.9163,0.9459,0.7981,0.8276,289302,2012
4,2012-09-19 00:00:00,0.8276,1.0641,0.8276,0.8868,216243,2012
5,2012-09-20 00:00:00,0.8868,0.8868,0.7981,0.7981,334562,2012
6,2012-09-21 00:00:00,0.8276,0.8572,0.7685,0.7981,308211,2012
7,2012-09-24 00:00:00,0.8276,0.8276,0.7685,0.7685,175875,2012
8,2012-09-25 00:00:00,0.7981,0.9163,0.7981,0.9163,292545,2012
9,2012-09-26 00:00:00,0.9163,1.0937,0.8276,0.8572,431908,2012
10,2012-09-27 00:00:00,0.8572,0.8572,0.8276,0.8572,121341,2012
11,2012-09-28 00:00:00,0.8572,0.8868,0.8276,0.8868,7712,2012
12,2012-10-01 00:00:00,0.8868,1.1824,0.8868,0.8868,761754,2012
13,2012-10-02 00:00:00,0.8868,0.9163,0.7685,0.8276,490861,2012
14,2012-10-03 00:00:00,0.8276,0.8868,0.7981,0.8276,318906,2012
15,2012-10-04 00:00:00,0.8276,0.9163,0.7981,0.8868,356930,2012
16,2012-10-05 00:00:00,0.8572,0.8868,0.7981,0.7981,253595,2012
17,2012-10-08 00:00:00,0.8276,0.8276,0.7981,0.8276,179585,2012
18,2012-10-09 00:00:00,0.7981,0.8572,0.7981,0.7981,151760,2012
19,2012-10-10 00:00:00,0.7981,0.8276,0.7981,0.8276,186325,2012
20,2012-10-11 00:00:00,0.7981,0.8276,0.7685,0.7685,176538,2012
21,2012-10-12 00:00:00,0.7685,0.7981,0.7390000000000001,0.7685,10671,2012
22,2012-10-15 00:00:00,0.7685,0.7685,0.6207,0.7094,246943,2012
23,2012-10-16 00:00:00,0.7094,0.7390000000000001,0.6503,0.6503,80327,2012
24,2012-10-17 00:00:00,0.6503,0.7390000000000001,0.5912,0.5912,198790,2012
25,2012-10-18 00:00:00,0.6207,0.6503,0.5912,0.5912,19643,2012
26,2012-10-19 00:00:00,0.5912,0.6503,0.5912,0.6503,8739,2012
27,2012-10-22 00:00:00,0.6207,0.6207,0.5616,0.5912,30576,2012
28,2012-10-23 00:00:00,0.5912,0.5912,0.5616,0.5912,5071,2012
29,2012-10-24 00:00:00,0.6207,0.6207,0.5616,0.5912,8977,2012
30,2012-10-25 00:00:00,0.5912,0.6207,0.5616,0.5912,7477,2012
31,2012-10-26 00:00:00,0.6207,0.6207,0.5616,0.5912,1335,2012
32,2012-10-29 00:00:00,0.5912,0.5912,0.5616,0.5912,7104,2012
33,2012-10-30 00:00:00,0.5912,0.5912,0.5912,0.5912,3246,2012
34,2012-10-31 00:00:00,0.5912,0.5912,0.5616,0.5912,5413,2012
35,2012-11-02 00:00:00,0.5912,0.5912,0.5912,0.5912,677,2012
36,2012-11-06 00:00:00,0.5616,0.5912,0.5616,0.5912,25687,2012
37,2012-11-07 00:00:00,0.5616,0.6207,0.5616,0.6207,39818,2012
38,2012-11-08 00:00:00,0.5912,0.5912,0.47295,0.5616,130584,2012
39,2012-11-09 00:00:00,0.5321,0.5616,0.47295,0.5616,6173,2012
40,2012-11-12 00:00:00,0.5321,0.5321,0.47295,0.47295,4046,2012
41,2012-11-13 00:00:00,0.47295,0.5025,0.47295,0.47295,7717,2012
42,2012-11-14 00:00:00,0.47295,0.5025,0.44337,0.5025,6462,2012
43,2012-11-15 00:00:00,0.5025,0.5912,0.5025,0.5912,1225,2012
44,2012-11-16 00:00:00,0.5616,0.5616,0.5025,0.5616,778,2012
45,2012-11-19 00:00:00,0.5321,0.5321,0.47295,0.47295,12870,2012
46,2012-11-20 00:00:00,0.47295,0.47295,0.47295,0.47295,3654,2012
47,2012-11-21 00:00:00,0.47295,0.5616,0.47295,0.5616,4891,2012
48,2012-11-22 00:00:00,0.5616,0.5616,0.5321,0.5321,237,2012
49,2012-11-23 00:00:00,0.5321,0.5321,0.5025,0.5321,304,2012
50,2012-11-26 00:00:00,0.5321,0.5321,0.47295,0.47295,3384,2012
51,2012-11-27 00:00:00,0.44337,0.5025,0.38427,0.5025,2880,2012
52,2012-11-28 00:00:00,0.5025,0.5025,0.5025,0.5025,20636,2012
53,2012-11-29 00:00:00,0.5025,0.5025,0.5025,0.5025,338,2012
54,2012-11-30 00:00:00,0.5025,0.5616,0.5025,0.5616,3248,2012
55,2012-12-03 00:00:00,0.5321,0.5616,0.5321,0.5616,203,2012
56,2012-12-04 00:00:00,0.5616,0.5912,0.5616,0.5912,338,2012
57,2012-12-05 00:00:00,0.5616,0.5912,0.5616,0.5912,627,2012
58,2012-12-06 00:00:00,0.5616,0.5616,0.5616,0.5616,68,2012
59,2012-12-07 00:00:00,0.5616,0.5616,0.5321,0.5616,806,2012
60,2012-12-10 00:00:00,0.5616,0.5912,0.5321,0.5616,2478,2012
61,2012-12-11 00:00:00,0.5616,0.5616,0.5616,0.5616,17,2012
62,2012-12-12 00:00:00,0.5025,0.5025,0.47295,0.47295,3383,2012
63,2012-12-13 00:00:00,0.5025,0.5321,0.5025,0.5025,1336,2012
64,2012-12-14 00:00:00,0.5025,0.5025,0.5025,0.5025,358,2012
65,2012-12-17 00:00:00,0.5025,0.5025,0.5025,0.5025,101,2012
66,2012-12-18 00:00:00,0.5025,0.5616,0.5025,0.5616,1546,2012
67,2012-12-19 00:00:00,0.5616,0.5616,0.5616,0.5616,51,2012
68,2012-12-20 00:00:00,0.5616,0.5616,0.5321,0.5321,118,2012
69,2012-12-21 00:00:00,0.5321,0.5321,0.5321,0.5321,169,2012
70,2012-12-27 00:00:00,0.5321,0.5616,0.5321,0.5616,304,2012
71,2012-12-28 00:00:00,0.5616,0.5912,0.5616,0.5912,3485,2012
72,2013-01-02 00:00:00,0.5912,0.5912,0.5912,0.5912,338,2013
73,2013-01-03 00:00:00,0.5616,0.5616,0.47295,0.5616,1556,2013
74,2013-01-04 00:00:00,0.5321,0.5321,0.5321,0.5321,338,2013
75,2013-01-09 00:00:00,0.5025,0.5025,0.44337,0.5025,1692,2013
76,2013-01-10 00:00:00,0.44337,0.5025,0.44337,0.5025,304,2013
77,2013-01-11 00:00:00,0.47295,0.5025,0.47295,0.5025,169,2013
78,2013-01-15 00:00:00,0.5025,0.5321,0.5025,0.5025,456,2013
79,2013-01-16 00:00:00,0.5321,0.5321,0.5321,0.5321,846,2013
80,2013-01-17 00:00:00,0.5616,0.5616,0.5616,0.5616,107,2013
81,2013-01-18 00:00:00,0.5616,0.5616,0.5025,0.5025,271,2013
82,2013-01-21 00:00:00,0.5025,0.5025,0.5025,0.5025,169,2013
83,2013-01-22 00:00:00,0.5025,0.5025,0.5025,0.5025,101,2013
84,2013-01-23 00:00:00,0.47295,0.47295,0.47295,0.47295,321,2013
85,2013-01-24 00:00:00,0.5025,0.5025,0.5025,0.5025,34,2013
86,2013-01-28 00:00:00,0.47295,0.47295,0.44337,0.44337,338,2013
87,2013-01-30 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
88,2013-02-01 00:00:00,0.47295,0.5025,0.47295,0.5025,440,2013
89,2013-02-05 00:00:00,0.5025,0.5025,0.5025,0.5025,7443,2013
90,2013-02-06 00:00:00,0.5025,0.5025,0.5025,0.5025,101,2013
91,2013-02-08 00:00:00,0.5025,0.6799,0.5025,0.6207,15001,2013
92,2013-02-11 00:00:00,0.6503,0.6503,0.6207,0.6207,626,2013
93,2013-02-12 00:00:00,0.5912,0.5912,0.5321,0.5912,7366,2013
94,2013-02-13 00:00:00,0.5616,0.5912,0.5616,0.5912,406,2013
95,2013-02-14 00:00:00,0.5616,0.6207,0.5616,0.6207,1177,2013
96,2013-02-15 00:00:00,0.6207,0.6503,0.5912,0.6503,909,2013
97,2013-02-18 00:00:00,0.6503,0.6503,0.5912,0.5912,439,2013
98,2013-02-19 00:00:00,0.5912,0.5912,0.5616,0.5912,1049,2013
99,2013-02-20 00:00:00,0.5912,0.5912,0.5912,0.5912,609,2013
100,2013-02-21 00:00:00,0.5912,0.5912,0.5912,0.5912,68,2013
101,2013-02-22 00:00:00,0.5912,0.5912,0.5912,0.5912,670,2013
102,2013-02-25 00:00:00,0.5912,0.5912,0.5616,0.5616,710,2013
103,2013-02-26 00:00:00,0.5321,0.5321,0.44337,0.44337,20860,2013
104,2013-02-27 00:00:00,0.44337,0.5025,0.44337,0.5025,1424,2013
105,2013-03-01 00:00:00,0.5025,0.5321,0.5025,0.5321,842,2013
106,2013-03-04 00:00:00,0.5321,0.5321,0.5321,0.5321,671,2013
107,2013-03-05 00:00:00,0.5321,0.5321,0.5321,0.5321,17,2013
108,2013-03-06 00:00:00,0.5025,0.5025,0.5025,0.5025,64,2013
109,2013-03-07 00:00:00,0.5025,0.5025,0.5025,0.5025,338,2013
110,2013-03-08 00:00:00,0.47295,0.47295,0.41381999999999997,0.47295,8931,2013
111,2013-03-11 00:00:00,0.47295,0.47295,0.47295,0.47295,338,2013
112,2013-03-12 00:00:00,0.47295,0.47295,0.47295,0.47295,338,2013
113,2013-03-13 00:00:00,0.44337,0.5025,0.44337,0.5025,372,2013
114,2013-03-14 00:00:00,0.47295,0.47295,0.47295,0.47295,1161,2013
115,2013-03-15 00:00:00,0.47295,0.47295,0.47295,0.47295,3237,2013
116,2013-03-18 00:00:00,0.47295,0.5321,0.44337,0.5321,11185,2013
117,2013-03-19 00:00:00,0.5025,0.5025,0.47295,0.47295,430,2013
118,2013-03-20 00:00:00,0.47295,0.5321,0.47295,0.5025,5152,2013
119,2013-03-21 00:00:00,0.5025,0.5321,0.47295,0.47295,11624,2013
120,2013-03-25 00:00:00,0.47295,0.5025,0.41381999999999997,0.5025,1604,2013
121,2013-03-26 00:00:00,0.5025,0.5025,0.47295,0.5025,12699,2013
122,2013-03-27 00:00:00,0.5025,0.5912,0.47295,0.5025,82324,2013
123,2013-03-28 00:00:00,0.5025,0.5025,0.47295,0.5025,51167,2013
124,2013-04-02 00:00:00,0.5321,0.5321,0.47295,0.47295,4794,2013
125,2013-04-04 00:00:00,0.44337,0.44337,0.44337,0.44337,1522,2013
126,2013-04-05 00:00:00,0.47295,0.47295,0.47295,0.47295,17,2013
127,2013-04-08 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
128,2013-04-09 00:00:00,0.47295,0.47295,0.47295,0.47295,152,2013
129,2013-04-10 00:00:00,0.47295,0.47295,0.47295,0.47295,643,2013
130,2013-04-11 00:00:00,0.47295,0.5321,0.47295,0.47295,61038,2013
131,2013-04-12 00:00:00,0.5321,0.5321,0.44337,0.5025,1020,2013
132,2013-04-15 00:00:00,0.47295,0.5321,0.47295,0.5321,1725,2013
133,2013-04-17 00:00:00,0.5025,0.5025,0.47295,0.47295,2826,2013
134,2013-04-18 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
135,2013-04-19 00:00:00,0.47295,0.5025,0.47295,0.5025,443,2013
136,2013-04-22 00:00:00,0.5025,0.5025,0.5025,0.5025,34,2013
137,2013-04-23 00:00:00,0.5025,0.5025,0.5025,0.5025,34,2013
138,2013-04-24 00:00:00,0.5025,0.5025,0.47295,0.47295,68,2013
139,2013-04-29 00:00:00,0.47295,0.47295,0.47295,0.47295,78,2013
140,2013-04-30 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
141,2013-05-02 00:00:00,0.47295,0.47295,0.47295,0.47295,34,2013
142,2013-05-06 00:00:00,0.47295,0.47295,0.38427,0.38427,1317,2013
143,2013-05-07 00:00:00,0.35472,0.41381999999999997,0.35472,0.38427,1942,2013
144,2013-05-08 00:00:00,0.38427,0.41381999999999997,0.38427,0.41381999999999997,354,2013
145,2013-05-10 00:00:00,0.38427,0.38427,0.32514,0.32514,1862,2013
146,2013-05-13 00:00:00,0.35472,0.38427,0.35472,0.38427,706,2013
147,2013-05-15 00:00:00,0.32514,0.32514,0.32514,0.32514,44,2013
148,2013-05-16 00:00:00,0.32514,0.32514,0.32514,0.32514,13360,2013
149,2013-05-17 00:00:00,0.32514,0.32514,0.32514,0.32514,338,2013
150,2013-05-20 00:00:00,0.35472,0.35472,0.35472,0.35472,7,2013
151,2013-05-21 00:00:00,0.32514,0.35472,0.32514,0.35472,957,2013
152,2013-05-23 00:00:00,0.32514,0.32514,0.32514,0.32514,338,2013
153,2013-05-24 00:00:00,0.29559,0.32514,0.29559,0.32514,386,2013
154,2013-05-27 00:00:00,0.29559,0.35472,0.29559,0.35472,702,2013
155,2013-05-28 00:00:00,0.32514,0.35472,0.29559,0.32514,9328,2013
156,2013-05-31 00:00:00,0.32514,0.35472,0.32514,0.35472,784,2013
157,2013-06-03 00:00:00,0.35472,0.41381999999999997,0.29559,0.41381999999999997,13406,2013
158,2013-06-04 00:00:00,0.35472,0.35472,0.29559,0.29559,6896,2013
159,2013-06-05 00:00:00,0.29559,0.29559,0.23646,0.26604,13991,2013
160,2013-06-06 00:00:00,0.26604,0.26604,0.26604,0.26604,2691,2013
161,2013-06-07 00:00:00,0.26604,0.26604,0.26604,0.26604,169,2013
162,2013-06-10 00:00:00,0.26604,0.26604,0.23646,0.26604,15138,2013
163,2013-06-13 00:00:00,0.26604,0.26604,0.26604,0.26604,846,2013
164,2013-06-14 00:00:00,0.26604,0.35472,0.26604,0.35472,5548,2013
165,2013-06-18 00:00:00,0.32514,0.32514,0.32514,0.32514,338,2013
166,2013-06-19 00:00:00,0.29559,0.29559,0.29559,0.29559,3180,2013
167,2013-06-20 00:00:00,0.32514,0.38427,0.32514,0.38427,21089,2013
168,2013-06-21 00:00:00,0.41381999999999997,0.47295,0.35472,0.35472,10921,2013
169,2013-06-24 00:00:00,0.35472,0.38427,0.32514,0.38427,7200,2013
170,2013-06-25 00:00:00,0.38427,0.47295,0.38427,0.44337,1736,2013
171,2013-06-26 00:00:00,0.47295,0.47295,0.44337,0.44337,345,2013
172,2013-06-27 00:00:00,0.47295,0.47295,0.38427,0.41381999999999997,2236,2013
173,2013-06-28 00:00:00,0.41381999999999997,0.41381999999999997,0.38427,0.38427,1184,2013
174,2013-07-01 00:00:00,0.38427,0.38427,0.35472,0.35472,1353,2013
175,2013-07-03 00:00:00,0.38427,0.38427,0.38427,0.38427,24,2013
176,2013-07-04 00:00:00,0.35472,0.35472,0.32514,0.32514,339,2013
177,2013-07-05 00:00:00,0.35472,0.35472,0.35472,0.35472,169,2013
178,2013-07-08 00:00:00,0.35472,0.38427,0.35472,0.38427,3585,2013
179,2013-07-09 00:00:00,0.35472,0.35472,0.29559,0.35472,9274,2013
180,2013-07-10 00:00:00,0.29559,0.32514,0.26604,0.32514,21752,2013
