,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-01-08 00:00:00,2.8,3.8,1.6,1.6,43078,2014
1,2014-01-09 00:00:00,1.6,1.8,1.6,1.8,11055,2014
2,2014-01-10 00:00:00,1.6,2.0,1.2,2.0,36416,2014
3,2014-01-13 00:00:00,2.2,2.6,2.0,2.2,83996,2014
4,2014-01-14 00:00:00,2.2,2.4,2.0,2.0,30821,2014
5,2014-01-15 00:00:00,2.2,2.6,2.2,2.6,66345,2014
6,2014-01-16 00:00:00,2.6,2.8,2.4,2.4,49077,2014
7,2014-01-17 00:00:00,2.4,2.4,2.0,2.2,43688,2014
8,2014-01-20 00:00:00,2.0,2.2,2.0,2.2,6416,2014
9,2014-01-21 00:00:00,2.0,2.0,1.8,1.8,4722,2014
10,2014-01-22 00:00:00,1.8,2.0,1.6,1.8,19388,2014
11,2014-01-23 00:00:00,2.0,2.0,1.8,2.0,8016,2014
12,2014-01-24 00:00:00,2.0,2.0,1.8,2.0,7778,2014
13,2014-01-27 00:00:00,2.0,2.0,1.8,1.8,12529,2014
14,2014-01-28 00:00:00,1.8,2.0,1.8,1.8,7631,2014
15,2014-01-29 00:00:00,1.8,1.8,1.8,1.8,5042,2014
16,2014-01-30 00:00:00,1.8,1.8,1.6,1.8,44,2014
17,2014-01-31 00:00:00,1.8,1.8,1.6,1.8,15747,2014
18,2014-02-03 00:00:00,1.6,1.8,1.4,1.8,3037,2014
19,2014-02-04 00:00:00,1.6,1.6,1.6,1.6,2000,2014
20,2014-02-05 00:00:00,1.6,1.6,1.6,1.6,365,2014
21,2014-02-07 00:00:00,1.4,1.6,1.4,1.4,8738,2014
22,2014-02-10 00:00:00,1.4,1.4,1.2,1.4,1050,2014
23,2014-02-11 00:00:00,1.2,1.4,1.2,1.4,11452,2014
24,2014-02-12 00:00:00,1.4,1.4,1.2,1.4,126,2014
25,2014-02-13 00:00:00,1.4,1.4,1.2,1.4,3535,2014
26,2014-02-14 00:00:00,1.4,1.4,1.2,1.2,7205,2014
27,2014-02-17 00:00:00,1.4,1.4,1.2,1.4,9347,2014
28,2014-02-18 00:00:00,1.4,1.4,1.4,1.4,20,2014
29,2014-02-19 00:00:00,1.2,1.4,1.0,1.2,2451,2014
30,2014-02-20 00:00:00,1.2,1.4,1.0,1.4,14365,2014
31,2014-02-21 00:00:00,1.4,1.4,1.4,1.4,8,2014
32,2014-02-24 00:00:00,1.2,1.4,1.2,1.4,15331,2014
33,2014-02-25 00:00:00,1.2,1.2,1.0,1.2,3763,2014
34,2014-02-26 00:00:00,1.2,1.4,1.2,1.4,6900,2014
35,2014-02-27 00:00:00,1.4,1.4,1.2,1.2,18263,2014
36,2014-02-28 00:00:00,1.2,1.4,1.2,1.4,2388,2014
37,2014-03-03 00:00:00,1.4,1.4,1.2,1.2,360,2014
38,2014-03-04 00:00:00,1.2,1.2,1.2,1.2,25,2014
39,2014-03-05 00:00:00,1.2,1.2,1.2,1.2,1700,2014
40,2014-03-06 00:00:00,1.2,1.2,1.2,1.2,450,2014
41,2014-03-07 00:00:00,1.2,1.2,1.2,1.2,25,2014
42,2014-03-10 00:00:00,1.2,1.2,1.2,1.2,50,2014
43,2014-03-11 00:00:00,1.2,1.4,1.2,1.4,300,2014
44,2014-03-12 00:00:00,1.4,1.4,1.4,1.4,40,2014
45,2014-03-13 00:00:00,1.4,1.4,1.4,1.4,10,2014
46,2014-03-14 00:00:00,1.2,1.2,1.2,1.2,550,2014
47,2014-03-17 00:00:00,1.2,1.2,1.0,1.2,1052,2014
48,2014-03-18 00:00:00,1.2,1.2,1.0,1.0,1015,2014
49,2014-03-19 00:00:00,1.2,1.2,1.2,1.2,481,2014
50,2014-03-20 00:00:00,1.0,1.0,0.8,1.0,16950,2014
51,2014-03-24 00:00:00,1.0,1.0,1.0,1.0,362,2014
52,2014-03-25 00:00:00,1.0,1.0,1.0,1.0,40,2014
53,2014-03-26 00:00:00,1.0,1.0,1.0,1.0,40,2014
54,2014-03-27 00:00:00,1.2,1.2,1.0,1.0,50,2014
55,2014-03-28 00:00:00,1.2,1.2,1.0,1.0,5375,2014
56,2014-03-31 00:00:00,1.0,1.0,1.0,1.0,110,2014
57,2014-04-01 00:00:00,1.0,1.2,1.0,1.2,810,2014
58,2014-04-02 00:00:00,1.2,1.2,1.2,1.2,510,2014
59,2014-04-03 00:00:00,1.0,1.2,1.0,1.2,1141,2014
60,2014-04-04 00:00:00,1.2,1.2,1.2,1.2,1275,2014
61,2014-04-07 00:00:00,1.0,1.2,1.0,1.2,1075,2014
62,2014-04-08 00:00:00,1.2,1.2,1.0,1.0,520,2014
63,2014-04-09 00:00:00,1.0,1.0,1.0,1.0,1010,2014
64,2014-04-10 00:00:00,1.0,1.0,1.0,1.0,565,2014
65,2014-04-11 00:00:00,1.0,1.0,1.0,1.0,460,2014
66,2014-04-14 00:00:00,1.2,1.2,1.0,1.0,535,2014
67,2014-04-15 00:00:00,1.0,1.0,1.0,1.0,681,2014
68,2014-04-16 00:00:00,1.0,1.0,1.0,1.0,2366,2014
69,2014-04-17 00:00:00,1.0,1.0,1.0,1.0,758,2014
70,2014-04-22 00:00:00,1.0,1.0,1.0,1.0,10,2014
71,2014-04-23 00:00:00,1.0,1.0,0.8,0.8,5092,2014
72,2014-04-24 00:00:00,0.8,0.8,0.8,0.8,1965,2014
73,2014-04-25 00:00:00,0.8,0.8,0.8,0.8,1515,2014
74,2014-04-28 00:00:00,0.8,0.8,0.8,0.8,2764,2014
75,2014-04-29 00:00:00,0.8,0.8,0.8,0.8,15,2014
76,2014-04-30 00:00:00,0.8,0.8,0.8,0.8,15,2014
77,2014-05-05 00:00:00,0.8,1.0,0.8,1.0,1122,2014
78,2014-05-06 00:00:00,1.0,1.0,1.0,1.0,10,2014
79,2014-05-07 00:00:00,1.0,1.0,1.0,1.0,10,2014
80,2014-05-08 00:00:00,1.0,1.0,1.0,1.0,250,2014
81,2014-05-09 00:00:00,1.0,1.0,0.8,0.8,10101,2014
82,2014-05-12 00:00:00,0.8,0.8,0.8,0.8,65,2014
83,2014-05-13 00:00:00,0.8,0.8,0.8,0.8,525,2014
84,2014-05-14 00:00:00,0.8,0.8,0.8,0.8,25,2014
85,2014-05-15 00:00:00,0.8,1.0,0.8,1.0,574,2014
86,2014-05-16 00:00:00,1.0,1.0,1.0,1.0,10,2014
87,2014-05-19 00:00:00,1.0,1.0,1.0,1.0,10,2014
88,2014-05-20 00:00:00,1.0,1.0,1.0,1.0,10,2014
89,2014-05-21 00:00:00,1.0,1.0,0.8,0.8,1015,2014
90,2014-05-23 00:00:00,0.8,0.8,0.8,0.8,600,2014
91,2014-05-26 00:00:00,0.8,0.8,0.8,0.8,860,2014
92,2014-05-27 00:00:00,0.8,0.8,0.8,0.8,15,2014
93,2014-05-28 00:00:00,0.8,0.8,0.8,0.8,1285,2014
94,2014-05-29 00:00:00,0.8,0.8,0.8,0.8,13,2014
95,2014-05-30 00:00:00,0.8,1.0,0.8,1.0,1378,2014
96,2014-06-02 00:00:00,1.0,1.0,1.0,1.0,25,2014
97,2014-06-03 00:00:00,1.0,1.0,1.0,1.0,10,2014
98,2014-06-04 00:00:00,1.0,1.0,0.8,0.8,485,2014
99,2014-06-05 00:00:00,0.8,0.8,0.8,0.8,13,2014
100,2014-06-06 00:00:00,0.8,0.8,0.8,0.8,275,2014
101,2014-06-09 00:00:00,0.8,0.8,0.8,0.8,525,2014
102,2014-06-10 00:00:00,0.8,0.8,0.8,0.8,15,2014
103,2014-06-11 00:00:00,0.8,0.8,0.8,0.8,15,2014
104,2014-06-12 00:00:00,0.8,0.8,0.8,0.8,616,2014
105,2014-06-13 00:00:00,0.8,0.8,0.8,0.8,30,2014
106,2014-06-16 00:00:00,0.8,0.8,0.8,0.8,150,2014
107,2014-06-17 00:00:00,0.8,0.8,0.8,0.8,1397,2014
108,2014-06-18 00:00:00,1.0,1.0,1.0,1.0,1898,2014
109,2014-06-20 00:00:00,0.8,0.8,0.8,0.8,680,2014
110,2014-06-23 00:00:00,0.8,1.0,0.8,1.0,10,2014
111,2014-06-24 00:00:00,1.0,1.0,1.0,1.0,505,2014
112,2014-06-25 00:00:00,0.8,1.0,0.6,1.0,12869,2014
113,2014-06-26 00:00:00,1.0,1.0,0.8,0.8,12870,2014
114,2014-06-27 00:00:00,0.8,1.0,0.8,1.0,3175,2014
115,2014-06-30 00:00:00,1.0,1.0,0.8,1.0,8015,2014
116,2014-07-01 00:00:00,1.0,1.0,0.6,0.6,8265,2014
117,2014-07-02 00:00:00,0.8,0.8,0.8,0.8,2419,2014
118,2014-07-03 00:00:00,1.0,1.0,1.0,1.0,1250,2014
119,2014-07-04 00:00:00,1.0,1.0,1.0,1.0,10,2014
120,2014-07-07 00:00:00,1.0,1.0,1.0,1.0,10,2014
121,2014-07-08 00:00:00,1.0,1.0,0.8,0.8,710,2014
122,2014-07-09 00:00:00,0.8,1.0,0.8,1.0,2515,2014
123,2014-07-10 00:00:00,1.0,1.0,1.0,1.0,10,2014
124,2014-07-11 00:00:00,0.8,1.0,0.8,1.0,7850,2014
125,2014-07-14 00:00:00,1.0,1.0,1.0,1.0,10,2014
126,2014-07-15 00:00:00,1.0,1.0,1.0,1.0,10,2014
127,2014-07-16 00:00:00,1.0,1.0,1.0,1.0,15,2014
128,2014-07-17 00:00:00,1.0,1.0,1.0,1.0,10,2014
129,2014-07-18 00:00:00,1.0,1.0,1.0,1.0,10,2014
130,2014-07-21 00:00:00,1.0,1.0,1.0,1.0,10,2014
131,2014-07-22 00:00:00,1.0,1.0,1.0,1.0,10,2014
132,2014-07-23 00:00:00,0.8,0.8,0.8,0.8,59,2014
133,2014-07-24 00:00:00,0.8,0.8,0.8,0.8,25,2014
134,2014-07-25 00:00:00,0.8,0.8,0.8,0.8,525,2014
135,2014-07-28 00:00:00,0.8,0.8,0.8,0.8,25,2014
136,2014-07-29 00:00:00,0.8,0.8,0.8,0.8,25,2014
137,2014-07-30 00:00:00,0.8,0.8,0.8,0.8,15,2014
138,2014-07-31 00:00:00,0.8,0.8,0.8,0.8,15,2014
139,2014-08-01 00:00:00,0.8,0.8,0.8,0.8,775,2014
140,2014-08-04 00:00:00,0.8,0.8,0.8,0.8,50,2014
141,2014-08-05 00:00:00,0.8,0.8,0.8,0.8,931,2014
142,2014-08-06 00:00:00,0.8,0.8,0.8,0.8,1428,2014
143,2014-08-07 00:00:00,0.8,0.8,0.8,0.8,793,2014
144,2014-08-08 00:00:00,1.0,1.0,1.0,1.0,2500,2014
145,2014-08-11 00:00:00,1.0,1.2,1.0,1.2,15152,2014
146,2014-08-12 00:00:00,1.2,1.2,1.2,1.2,300,2014
147,2014-08-13 00:00:00,1.2,1.2,1.2,1.2,50,2014
148,2014-08-14 00:00:00,1.2,1.2,1.2,1.2,35,2014
149,2014-08-18 00:00:00,1.2,1.2,1.2,1.2,10,2014
150,2014-08-19 00:00:00,1.2,1.2,1.2,1.2,10,2014
151,2014-08-20 00:00:00,1.2,1.2,1.2,1.2,10,2014
152,2014-08-21 00:00:00,1.0,1.0,1.0,1.0,500,2014
153,2014-08-22 00:00:00,1.2,1.2,1.2,1.2,100,2014
154,2014-08-25 00:00:00,1.2,1.2,1.2,1.2,50,2014
155,2014-08-26 00:00:00,1.2,1.2,1.2,1.2,50,2014
156,2014-08-27 00:00:00,1.2,1.2,1.2,1.2,50,2014
157,2014-08-28 00:00:00,1.2,1.2,1.2,1.2,10,2014
158,2014-08-29 00:00:00,1.2,1.2,1.2,1.2,10,2014
159,2014-09-01 00:00:00,1.2,1.2,1.0,1.0,510,2014
160,2014-09-02 00:00:00,1.0,1.2,1.0,1.2,350,2014
161,2014-09-03 00:00:00,1.2,1.2,1.2,1.2,10,2014
162,2014-09-04 00:00:00,1.2,1.2,1.2,1.2,10,2014
163,2014-09-05 00:00:00,1.2,1.2,1.2,1.2,10,2014
164,2014-09-08 00:00:00,1.0,1.0,1.0,1.0,728,2014
165,2014-09-09 00:00:00,1.0,1.0,1.0,1.0,6025,2014
166,2014-09-10 00:00:00,1.0,1.0,1.0,1.0,50,2014
167,2014-09-11 00:00:00,1.2,1.2,1.2,1.2,150,2014
168,2014-09-12 00:00:00,1.2,1.2,1.2,1.2,8,2014
169,2014-09-15 00:00:00,1.2,1.2,1.2,1.2,10,2014
170,2014-09-16 00:00:00,1.2,1.2,1.2,1.2,10,2014
171,2014-09-17 00:00:00,1.2,1.2,1.2,1.2,10,2014
172,2014-09-18 00:00:00,1.2,1.2,1.2,1.2,10,2014
173,2014-09-19 00:00:00,1.2,1.2,1.2,1.2,10,2014
174,2014-09-22 00:00:00,1.2,1.2,1.2,1.2,10,2014
175,2014-09-23 00:00:00,1.2,1.2,1.2,1.2,10,2014
176,2014-09-24 00:00:00,1.2,1.2,1.2,1.2,10,2014
177,2014-09-25 00:00:00,1.2,1.2,1.2,1.2,10,2014
178,2014-09-26 00:00:00,1.2,1.2,1.2,1.2,10,2014
179,2014-09-29 00:00:00,1.2,1.2,1.2,1.2,10,2014
180,2014-09-30 00:00:00,1.2,1.2,1.2,1.2,10,2014
181,2014-10-01 00:00:00,0.8,0.8,0.8,0.8,7200,2014
182,2014-10-02 00:00:00,0.8,0.8,0.8,0.8,500,2014
183,2014-10-03 00:00:00,1.0,1.0,1.0,1.0,15500,2014
184,2014-10-06 00:00:00,1.0,1.0,1.0,1.0,10,2014
185,2014-10-07 00:00:00,0.8,0.8,0.8,0.8,10000,2014
186,2014-10-08 00:00:00,0.8,0.8,0.8,0.8,25,2014
187,2014-10-09 00:00:00,1.0,1.0,1.0,1.0,500,2014
188,2014-10-10 00:00:00,1.0,1.0,1.0,1.0,10,2014
189,2014-10-13 00:00:00,1.0,1.0,1.0,1.0,10,2014
190,2014-10-14 00:00:00,1.0,1.0,1.0,1.0,10,2014
191,2014-10-15 00:00:00,1.0,1.0,1.0,1.0,10,2014
192,2014-10-16 00:00:00,1.0,1.0,1.0,1.0,15,2014
193,2014-10-17 00:00:00,1.0,1.0,1.0,1.0,10,2014
194,2014-10-20 00:00:00,1.0,1.0,1.0,1.0,10,2014
195,2014-10-21 00:00:00,0.8,0.8,0.8,0.8,3042,2014
196,2014-10-22 00:00:00,0.8,0.8,0.8,0.8,850,2014
197,2014-10-23 00:00:00,0.8,0.8,0.8,0.8,30,2014
198,2014-10-24 00:00:00,0.8,0.8,0.8,0.8,5275,2014
199,2014-10-27 00:00:00,0.8,0.8,0.8,0.8,15,2014
200,2014-10-28 00:00:00,0.8,0.8,0.8,0.8,15,2014
201,2014-10-29 00:00:00,0.8,0.8,0.8,0.8,4765,2014
202,2014-10-30 00:00:00,0.8,0.8,0.8,0.8,2069,2014
203,2014-10-31 00:00:00,0.8,0.8,0.8,0.8,15,2014
204,2014-11-04 00:00:00,0.6,0.6,0.6,0.6,667,2014
