,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-10-01 00:00:00,4.5111,5.2404,4.5111,4.5562,52400,2010
1,2010-10-04 00:00:00,4.857,5.0375,4.5863,5.0375,14383,2010
2,2010-10-05 00:00:00,4.7743,5.1803,4.638999999999999,4.638999999999999,2970,2010
3,2010-10-06 00:00:00,4.6464,4.6464,4.638999999999999,4.638999999999999,652,2010
4,2010-10-07 00:00:00,4.638999999999999,4.638999999999999,4.6164,4.6164,916,2010
5,2010-10-08 00:00:00,4.7292,4.7292,4.7292,4.7292,46,2010
6,2010-10-12 00:00:00,4.5111,4.5111,4.5111,4.5111,95,2010
7,2010-10-13 00:00:00,4.6916,4.6916,4.5187,4.5187,599,2010
8,2010-10-14 00:00:00,4.6164,4.887,4.2104,4.2104,7533,2010
9,2010-10-15 00:00:00,4.2254,4.2254,4.2254,4.2254,12,2010
10,2010-10-18 00:00:00,4.2329,4.248,4.2179,4.2179,617,2010
11,2010-10-19 00:00:00,4.5111,4.5111,4.5111,4.5111,133,2010
12,2010-10-20 00:00:00,4.5111,4.5111,4.5111,4.5111,146,2010
13,2010-10-21 00:00:00,4.263,4.263,4.2556,4.2556,240,2010
14,2010-10-22 00:00:00,4.2556,4.3232,4.2556,4.3232,545,2010
15,2010-10-27 00:00:00,4.5487,4.5487,4.4735,4.4735,144,2010
16,2010-11-03 00:00:00,4.2556,4.4735,4.2556,4.4735,105,2010
17,2010-11-04 00:00:00,4.4735,4.4735,4.4735,4.4735,442,2010
18,2010-11-05 00:00:00,4.3232,4.3232,4.3232,4.3232,339,2010
19,2010-11-08 00:00:00,4.5487,4.5487,4.2556,4.2556,666,2010
20,2010-11-09 00:00:00,4.3081,5.1051,4.3081,5.1051,3122,2010
21,2010-11-10 00:00:00,4.887,5.2255,4.887,5.2255,3525,2010
22,2010-11-12 00:00:00,5.2179,5.263,5.2179,5.263,3991,2010
23,2010-11-15 00:00:00,5.3381,6.5036,5.3381,6.5036,3393,2010
24,2010-11-16 00:00:00,5.7142,5.7142,4.8119,5.3758,5551,2010
25,2010-11-18 00:00:00,5.1878,5.1878,4.8495,4.8495,3856,2010
26,2010-11-22 00:00:00,5.2255,5.5261,5.2255,5.5261,798,2010
27,2010-11-23 00:00:00,4.9998,4.9998,4.9998,4.9998,399,2010
28,2010-11-24 00:00:00,4.7743,4.7743,4.7743,4.7743,599,2010
29,2010-11-25 00:00:00,4.4735,4.4735,4.4735,4.4735,731,2010
30,2010-11-30 00:00:00,4.6615,4.6615,4.6615,4.6615,47,2010
