,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-04-26 00:00:00,14.737,14.737,13.079,13.603,550,2013
1,2013-04-29 00:00:00,11.685,12.557,11.685,12.208,259,2013
2,2013-04-30 00:00:00,12.382,14.388,12.382,14.388,4,2013
3,2013-05-02 00:00:00,12.985,13.952,12.985,13.952,135,2013
4,2013-05-06 00:00:00,12.985,13.079,12.985,13.079,292,2013
5,2013-05-08 00:00:00,13.517000000000001,13.517000000000001,13.517000000000001,13.517000000000001,2,2013
6,2013-05-09 00:00:00,13.517000000000001,13.517000000000001,12.565,13.499,120,2013
7,2013-05-17 00:00:00,12.600999999999999,12.923,12.600999999999999,12.923,944,2013
8,2013-05-21 00:00:00,13.952,13.952,13.952,13.952,224,2013
9,2013-05-27 00:00:00,15.286,15.286,15.286,15.286,102,2013
10,2013-05-28 00:00:00,16.133,16.133,16.133,16.133,34,2013
11,2013-05-31 00:00:00,15.697000000000001,17.875999999999998,15.697000000000001,17.875999999999998,82,2013
12,2013-06-04 00:00:00,16.647000000000002,17.875999999999998,16.647000000000002,17.875999999999998,62,2013
13,2013-07-01 00:00:00,17.441,17.441,17.441,17.441,3,2013
14,2013-07-02 00:00:00,17.441,17.441,17.441,17.441,2,2013
15,2013-07-15 00:00:00,17.441,17.57,17.441,17.57,576,2013
16,2013-07-16 00:00:00,17.57,17.57,17.57,17.57,2,2013
17,2013-07-17 00:00:00,17.527,17.527,17.527,17.527,461,2013
18,2013-07-18 00:00:00,17.527,17.527,17.527,17.527,2,2013
19,2013-07-22 00:00:00,15.697000000000001,17.527,15.697000000000001,17.527,17437,2013
20,2013-07-23 00:00:00,18.313,18.313,18.313,18.313,10,2013
21,2013-07-24 00:00:00,18.313,18.313,18.313,18.313,2,2013
22,2013-07-26 00:00:00,18.313,18.313,18.313,18.313,2,2013
23,2013-07-29 00:00:00,18.313,18.313,18.313,18.313,2,2013
24,2013-07-30 00:00:00,18.313,18.313,18.313,18.313,2,2013
25,2013-07-31 00:00:00,18.313,18.313,18.313,18.313,2,2013
26,2013-08-01 00:00:00,18.313,18.313,18.313,18.313,2,2013
27,2013-08-02 00:00:00,18.313,18.748,18.313,18.313,4782,2013
28,2013-08-05 00:00:00,18.662,18.662,18.662,18.662,2,2013
29,2013-08-06 00:00:00,18.662,18.662,18.662,18.662,2,2013
30,2013-08-07 00:00:00,18.662,18.662,18.662,18.662,2,2013
31,2013-08-08 00:00:00,18.662,18.662,18.662,18.662,3,2013
32,2013-08-09 00:00:00,18.662,18.662,18.662,18.662,3,2013
33,2013-08-12 00:00:00,18.662,18.662,18.662,18.662,2,2013
34,2013-08-13 00:00:00,18.662,19.62,18.662,19.62,1768,2013
35,2013-10-04 00:00:00,19.62,21.8,19.62,21.8,79,2013
36,2013-11-04 00:00:00,22.671999999999997,22.671999999999997,22.671999999999997,22.671999999999997,16,2013
37,2013-11-15 00:00:00,22.671999999999997,22.671999999999997,22.671999999999997,22.671999999999997,57,2013
38,2013-12-18 00:00:00,22.671999999999997,22.671999999999997,22.671999999999997,22.671999999999997,68,2013
39,2013-12-19 00:00:00,24.416,24.416,24.416,24.416,16,2013
40,2013-12-20 00:00:00,23.545,23.545,23.545,23.545,6,2013
41,2013-12-30 00:00:00,22.671999999999997,22.671999999999997,22.671999999999997,22.671999999999997,6,2013
