,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-01-19 00:00:00,4.0,4.75,3.9,3.9,7522,2012
1,2012-01-20 00:00:00,3.9,4.2,3.23,3.9,4830,2012
2,2012-01-23 00:00:00,3.9,3.9,3.9,3.9,15,2012
3,2012-01-24 00:00:00,3.9,3.9,3.9,3.9,15,2012
4,2012-01-25 00:00:00,3.9,3.9,3.9,3.9,358,2012
5,2012-01-26 00:00:00,4.0,4.05,4.0,4.05,869,2012
6,2012-01-27 00:00:00,4.05,4.05,3.8,3.8,1300,2012
7,2012-01-30 00:00:00,3.8,3.8,3.7,3.7,1009,2012
8,2012-02-01 00:00:00,3.5,3.7,3.35,3.7,300,2012
9,2012-02-07 00:00:00,3.55,3.55,3.5,3.5,740,2012
10,2012-02-20 00:00:00,3.5,4.1,3.5,4.1,960,2012
11,2012-02-21 00:00:00,4.1,4.1,4.1,4.1,50,2012
12,2012-02-22 00:00:00,4.1,4.1,4.1,4.1,50,2012
13,2012-02-27 00:00:00,4.2,4.2,4.2,4.2,5,2012
14,2012-02-28 00:00:00,4.15,4.15,3.91,4.0,895,2012
15,2012-02-29 00:00:00,4.01,4.01,4.01,4.01,20,2012
16,2012-03-09 00:00:00,4.18,4.5,4.18,4.5,620,2012
17,2012-03-12 00:00:00,4.93,5.14,4.93,5.14,20,2012
18,2012-03-13 00:00:00,5.25,5.25,5.25,5.25,10,2012
19,2012-03-14 00:00:00,5.4,5.56,5.4,5.56,20,2012
20,2012-03-15 00:00:00,5.57,5.57,5.4,5.4,495,2012
21,2012-03-16 00:00:00,5.05,5.05,5.05,5.05,496,2012
22,2012-03-19 00:00:00,4.81,4.81,4.81,4.81,520,2012
23,2012-03-26 00:00:00,4.4,4.4,4.15,4.15,655,2012
24,2012-03-27 00:00:00,3.7,3.7,3.1,3.1,635,2012
25,2012-03-28 00:00:00,3.15,3.15,3.15,3.15,5,2012
26,2012-04-02 00:00:00,3.0,3.0,3.0,3.0,390,2012
27,2012-04-05 00:00:00,3.0,3.3,3.0,3.3,845,2012
28,2012-04-13 00:00:00,3.15,3.15,3.15,3.15,800,2012
29,2012-04-16 00:00:00,3.3,3.3,3.3,3.3,100,2012
30,2012-04-17 00:00:00,3.4,3.4,3.4,3.4,100,2012
31,2012-04-18 00:00:00,3.5,3.5,3.5,3.5,100,2012
32,2012-04-19 00:00:00,3.67,3.67,3.67,3.67,100,2012
33,2012-04-23 00:00:00,3.8,3.8,3.8,3.8,15,2012
34,2012-04-24 00:00:00,3.8,3.8,3.8,3.8,20,2012
35,2012-04-25 00:00:00,3.8,3.8,3.8,3.8,50,2012
36,2012-04-26 00:00:00,3.8,3.8,3.8,3.8,20,2012
37,2012-04-27 00:00:00,3.8,3.8,3.8,3.8,30,2012
38,2012-05-04 00:00:00,3.8,3.8,3.8,3.8,30,2012
39,2012-05-07 00:00:00,3.63,3.63,3.63,3.63,635,2012
40,2012-06-28 00:00:00,3.65,3.65,3.65,3.65,66687,2012
41,2012-07-10 00:00:00,3.65,3.65,3.65,3.65,16879,2012
42,2013-02-01 00:00:00,3.71,3.71,3.0,3.0,800,2013
43,2013-02-12 00:00:00,3.0,3.6,3.0,3.6,1141,2013
44,2013-02-13 00:00:00,3.0,3.0,3.0,3.0,660,2013
45,2013-02-28 00:00:00,3.0,3.0,3.0,3.0,30,2013
46,2013-03-01 00:00:00,3.0,3.0,3.0,3.0,15,2013
47,2013-03-04 00:00:00,3.0,3.0,3.0,3.0,10,2013
48,2013-03-05 00:00:00,3.0,3.0,3.0,3.0,20,2013
49,2013-03-06 00:00:00,3.0,3.0,3.0,3.0,15,2013
50,2013-03-07 00:00:00,3.0,3.0,3.0,3.0,25,2013
51,2013-03-08 00:00:00,3.0,3.0,3.0,3.0,20,2013
52,2013-03-11 00:00:00,3.0,3.0,3.0,3.0,15,2013
53,2013-03-12 00:00:00,3.0,3.0,3.0,3.0,20,2013
54,2013-03-13 00:00:00,3.0,3.0,3.0,3.0,15,2013
55,2013-03-14 00:00:00,3.0,3.0,3.0,3.0,16,2013
56,2013-03-15 00:00:00,3.0,3.0,3.0,3.0,20,2013
57,2013-03-18 00:00:00,3.0,3.0,3.0,3.0,20,2013
58,2013-03-19 00:00:00,3.0,3.0,3.0,3.0,20,2013
59,2013-03-20 00:00:00,3.0,3.0,3.0,3.0,20,2013
