,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2016-09-29 00:00:00,3.0,3.15,2.38,2.44,791374,2016
1,2016-09-30 00:00:00,2.39,2.57,2.25,2.49,188280,2016
2,2016-10-03 00:00:00,2.49,2.49,2.25,2.32,92091,2016
3,2016-10-04 00:00:00,2.27,2.32,2.11,2.25,47062,2016
4,2016-10-05 00:00:00,2.25,2.28,2.2,2.27,14940,2016
5,2016-10-06 00:00:00,2.25,2.5,2.25,2.45,27886,2016
6,2016-10-07 00:00:00,2.47,2.47,2.35,2.4,15237,2016
7,2016-10-10 00:00:00,2.44,2.45,2.3,2.42,14480,2016
8,2016-10-11 00:00:00,2.32,2.42,2.3,2.33,25959,2016
9,2016-10-12 00:00:00,2.33,2.39,2.29,2.35,19809,2016
10,2016-10-13 00:00:00,2.35,2.39,2.32,2.38,13044,2016
11,2016-10-14 00:00:00,2.37,2.38,2.3,2.38,32278,2016
12,2016-10-17 00:00:00,2.32,2.48,2.14,2.35,53180,2016
13,2016-10-18 00:00:00,2.25,2.32,2.23,2.32,7679,2016
14,2016-10-19 00:00:00,2.3,2.3,2.16,2.2,18235,2016
15,2016-10-20 00:00:00,2.2,2.2,2.13,2.18,50500,2016
16,2016-10-21 00:00:00,2.15,2.19,2.08,2.17,16823,2016
17,2016-10-24 00:00:00,2.17,2.17,1.88,1.9,77175,2016
18,2016-10-25 00:00:00,1.9,1.96,1.77,1.95,24871,2016
19,2016-10-26 00:00:00,1.91,1.95,1.8,1.87,14985,2016
20,2016-10-27 00:00:00,1.82,1.91,1.7,1.91,31039,2016
21,2016-10-28 00:00:00,1.9,1.91,1.82,1.89,19814,2016
22,2016-10-31 00:00:00,1.84,1.84,1.74,1.83,7511,2016
23,2016-11-02 00:00:00,1.83,1.97,1.74,1.94,16676,2016
24,2016-11-03 00:00:00,1.9,1.93,1.86,1.9,4734,2016
25,2016-11-04 00:00:00,1.9,1.9,1.8,1.85,6023,2016
26,2016-11-07 00:00:00,1.85,1.85,1.75,1.83,8803,2016
27,2016-11-08 00:00:00,1.83,1.83,1.75,1.75,3154,2016
28,2016-11-09 00:00:00,1.8,1.8,1.7,1.7,20067,2016
29,2016-11-10 00:00:00,1.73,1.73,1.68,1.7,13022,2016
30,2016-11-14 00:00:00,1.7,1.79,1.67,1.71,35578,2016
31,2016-11-15 00:00:00,1.65,1.69,1.51,1.69,12164,2016
32,2016-11-16 00:00:00,1.63,1.65,1.52,1.65,11342,2016
33,2016-11-17 00:00:00,1.57,1.64,1.55,1.59,3941,2016
34,2016-11-18 00:00:00,1.55,1.67,1.54,1.67,9296,2016
35,2016-11-21 00:00:00,1.65,1.66,1.59,1.65,9030,2016
36,2016-11-22 00:00:00,1.64,1.65,1.55,1.63,5099,2016
37,2016-11-23 00:00:00,1.58,1.65,1.55,1.64,8462,2016
38,2016-11-24 00:00:00,1.64,1.95,1.64,1.81,13825,2016
39,2016-11-25 00:00:00,1.85,1.96,1.8,1.95,22861,2016
40,2016-11-28 00:00:00,1.93,1.95,1.85,1.94,8040,2016
41,2016-11-29 00:00:00,1.87,1.94,1.85,1.92,13322,2016
42,2016-11-30 00:00:00,1.83,1.84,1.76,1.84,4280,2016
43,2016-12-01 00:00:00,1.82,1.9,1.71,1.88,6370,2016
44,2016-12-02 00:00:00,1.76,1.86,1.7,1.86,7201,2016
45,2016-12-05 00:00:00,1.66,1.84,1.62,1.84,9691,2016
46,2016-12-06 00:00:00,1.7,1.82,1.64,1.81,5645,2016
47,2016-12-07 00:00:00,1.79,1.79,1.79,1.79,2300,2016
48,2016-12-08 00:00:00,1.64,1.8,1.64,1.75,5261,2016
49,2016-12-09 00:00:00,1.75,1.79,1.64,1.69,30696,2016
50,2016-12-12 00:00:00,1.76,1.92,1.76,1.89,74891,2016
51,2016-12-13 00:00:00,1.9,1.92,1.82,1.89,16227,2016
52,2016-12-14 00:00:00,1.89,1.89,1.84,1.88,5355,2016
53,2016-12-15 00:00:00,1.83,1.88,1.79,1.85,9348,2016
54,2016-12-16 00:00:00,1.78,1.85,1.72,1.82,13544,2016
55,2016-12-19 00:00:00,1.81,1.82,1.7,1.8,11597,2016
56,2016-12-20 00:00:00,1.75,1.8,1.66,1.8,12531,2016
57,2016-12-21 00:00:00,1.79,1.79,1.7,1.7,1595,2016
58,2016-12-22 00:00:00,1.7,1.79,1.63,1.7,30686,2016
59,2016-12-23 00:00:00,1.62,1.72,1.61,1.72,13444,2016
60,2016-12-27 00:00:00,1.63,1.63,1.6,1.63,8400,2016
61,2016-12-28 00:00:00,1.64,1.68,1.63,1.67,8985,2016
62,2016-12-29 00:00:00,1.68,1.87,1.65,1.87,23555,2016
63,2016-12-30 00:00:00,1.86,1.88,1.83,1.88,18900,2016
64,2017-01-02 00:00:00,1.76,1.89,1.75,1.85,28571,2017
65,2017-01-03 00:00:00,1.85,1.85,1.65,1.68,82145,2017
66,2017-01-04 00:00:00,1.72,1.76,1.65,1.7,244677,2017
67,2017-01-05 00:00:00,1.71,1.73,1.55,1.6,86103,2017
68,2017-01-09 00:00:00,1.6,1.73,1.5,1.73,61855,2017
69,2017-01-10 00:00:00,1.73,1.77,1.64,1.72,127981,2017
70,2017-01-11 00:00:00,1.68,1.71,1.59,1.7,373937,2017
71,2017-01-12 00:00:00,1.64,1.85,1.63,1.77,117322,2017
72,2017-01-13 00:00:00,1.73,1.75,1.6,1.65,716651,2017
73,2017-01-16 00:00:00,1.67,1.88,1.67,1.79,264627,2017
74,2017-01-17 00:00:00,1.76,1.8,1.72,1.78,47376,2017
75,2017-01-18 00:00:00,1.78,1.8,1.73,1.8,35469,2017
76,2017-01-19 00:00:00,1.81,1.84,1.76,1.81,113211,2017
77,2017-01-20 00:00:00,1.77,1.8,1.7,1.7,76077,2017
78,2017-01-23 00:00:00,1.7,1.75,1.65,1.74,89496,2017
79,2017-01-24 00:00:00,1.72,1.8,1.69,1.8,105184,2017
80,2017-01-25 00:00:00,1.8,1.8,1.72,1.76,46010,2017
81,2017-01-26 00:00:00,1.77,1.77,1.72,1.76,7183,2017
82,2017-01-27 00:00:00,1.72,1.74,1.69,1.7,26109,2017
83,2017-01-30 00:00:00,1.7,1.97,1.7,1.97,197657,2017
