,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-06-01 00:00:00,6.8102,8.1723,6.7227,7.2967,35329,2011
1,2011-06-02 00:00:00,7.0534,7.7345,6.0806,6.314,9569,2011
2,2011-06-03 00:00:00,6.3239,6.7616,5.9444,6.3239,5903,2011
3,2011-06-06 00:00:00,6.3239,6.5087,5.6427,6.5087,1789,2011
4,2011-06-07 00:00:00,6.5087,7.287000000000001,5.9833,6.4211,3771,2011
5,2011-06-08 00:00:00,6.4211,6.4697,6.4211,6.4697,103,2011
6,2011-06-09 00:00:00,6.5087,6.5087,5.7401,6.3239,1244,2011
7,2011-06-10 00:00:00,6.032,6.0513,6.032,6.032,514,2011
8,2011-06-13 00:00:00,6.032,6.5671,5.5454,6.5671,2685,2011
9,2011-06-14 00:00:00,6.6157,6.6157,6.2265,6.4211,75,2011
10,2011-06-15 00:00:00,6.4211,7.2967,6.4211,7.1994,13296,2011
11,2011-06-16 00:00:00,7.2285,7.2285,5.8471,6.5671,1474,2011
12,2011-06-17 00:00:00,6.46,6.4697,6.0806,6.4697,582,2011
13,2011-06-20 00:00:00,6.4697,6.4989,6.4697,6.4989,72,2011
14,2011-06-21 00:00:00,6.5865,7.2383,6.5865,6.8102,1577,2011
15,2011-06-22 00:00:00,6.9076,6.9076,6.1292,6.8102,1572,2011
16,2011-06-24 00:00:00,6.8102,6.8102,5.9833,6.7907,463,2011
17,2011-06-27 00:00:00,6.7907,6.7907,5.8374,6.5087,810,2011
18,2011-06-28 00:00:00,6.0806,6.5671,5.8374,6.5671,482,2011
19,2011-06-29 00:00:00,6.6157,6.6157,6.6157,6.6157,20,2011
20,2011-06-30 00:00:00,6.6157,6.8589,6.2752,6.8589,1895,2011
21,2011-07-01 00:00:00,6.8589,6.8589,6.7129,6.7129,41,2011
22,2011-07-04 00:00:00,6.8589,6.8589,6.7129,6.8589,115,2011
23,2011-07-05 00:00:00,6.8589,7.0048,6.7129,6.9562,689,2011
24,2011-07-06 00:00:00,6.9562,6.9562,6.8102,6.8102,46,2011
25,2011-07-07 00:00:00,6.8102,6.8102,6.8102,6.8102,15,2011
26,2011-07-08 00:00:00,6.8102,6.8102,6.8102,6.8102,15,2011
27,2011-07-11 00:00:00,6.6157,6.8102,6.4211,6.4211,390,2011
28,2011-07-12 00:00:00,6.5184,6.8102,6.3239,6.7129,241,2011
29,2011-07-13 00:00:00,6.8102,6.8102,6.3239,6.7129,499,2011
30,2011-07-14 00:00:00,6.7616,6.7616,6.7616,6.7616,329,2011
31,2011-07-15 00:00:00,6.8102,7.2967,6.5671,7.2967,2270,2011
32,2011-07-18 00:00:00,7.1994,7.1994,7.1994,7.1994,15,2011
33,2011-07-19 00:00:00,7.1994,7.394,7.1508,7.394,83,2011
34,2011-07-20 00:00:00,7.2967,7.2967,7.1994,7.1994,51,2011
35,2011-07-21 00:00:00,7.1508,7.4913,7.1508,7.4913,278,2011
36,2011-07-22 00:00:00,7.5691,7.5691,7.4426,7.4426,288,2011
37,2011-07-25 00:00:00,7.5886,7.5886,7.3453,7.3453,571,2011
38,2011-07-26 00:00:00,7.3453,7.394,6.9562,6.9562,597,2011
39,2011-07-29 00:00:00,7.1508,7.394,7.1508,7.394,514,2011
40,2011-08-02 00:00:00,7.2967,7.2967,7.2967,7.2967,20,2011
41,2011-08-03 00:00:00,7.2967,7.2967,7.1021,7.1021,61,2011
42,2011-08-04 00:00:00,7.1021,7.1021,6.7129,7.1021,198,2011
43,2011-08-05 00:00:00,6.7129,7.1021,6.7129,7.1021,35,2011
44,2011-08-08 00:00:00,6.2362,7.2481,6.2362,7.2481,302,2011
45,2011-08-09 00:00:00,7.2481,7.2481,7.2481,7.2481,10,2011
46,2011-08-10 00:00:00,7.0048,7.2967,7.0048,7.2967,255,2011
47,2011-08-11 00:00:00,7.2481,7.2481,6.7129,7.2285,211,2011
48,2011-08-12 00:00:00,7.1021,7.1021,7.0048,7.0048,20,2011
49,2011-08-16 00:00:00,7.1021,7.1021,7.1021,7.1021,15,2011
50,2011-08-17 00:00:00,7.1021,7.1021,6.9076,7.1021,236,2011
51,2011-08-19 00:00:00,7.1021,7.1021,7.1021,7.1021,15,2011
52,2011-08-23 00:00:00,7.1021,7.1021,7.1021,7.1021,15,2011
53,2011-08-25 00:00:00,6.7616,7.1021,6.6157,7.1021,1030,2011
