,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-10-07 00:00:00,2.05,2.07,1.8,2.02,8958,2008
1,2008-10-08 00:00:00,1.8,2.05,1.8,2.05,1656,2008
2,2008-10-09 00:00:00,2.04,2.04,2.04,2.04,20,2008
3,2008-10-10 00:00:00,2.04,2.04,2.04,2.04,10,2008
4,2008-10-13 00:00:00,2.04,2.04,2.04,2.04,10,2008
5,2008-10-14 00:00:00,2.04,2.04,2.04,2.04,10,2008
6,2008-10-15 00:00:00,2.12,2.12,2.12,2.12,10,2008
7,2008-10-16 00:00:00,2.12,2.12,2.12,2.12,40,2008
8,2008-10-17 00:00:00,2.12,2.12,2.12,2.12,50,2008
9,2008-10-20 00:00:00,2.12,2.12,2.12,2.12,10,2008
10,2008-10-21 00:00:00,2.12,2.12,2.12,2.12,10,2008
11,2008-10-22 00:00:00,2.12,2.15,2.12,2.15,251,2008
12,2008-10-29 00:00:00,1.8,2.2,1.8,2.2,1410,2008
13,2008-10-30 00:00:00,2.28,2.28,2.28,2.28,10,2008
14,2008-11-18 00:00:00,2.3,2.3,2.3,2.3,100,2008
15,2008-11-24 00:00:00,2.3,2.3,2.3,2.3,1,2008
16,2008-12-04 00:00:00,2.4,2.76,2.4,2.76,484,2008
17,2008-12-05 00:00:00,2.85,3.6,2.85,3.6,611,2008
18,2008-12-08 00:00:00,3.8,4.5,3.04,3.7,1462,2008
19,2008-12-15 00:00:00,3.7,4.2,3.5,4.15,698,2008
20,2008-12-17 00:00:00,3.6,3.6,3.6,3.6,50,2008
21,2008-12-29 00:00:00,3.4,3.6,3.2,3.6,180,2008
22,2009-01-05 00:00:00,3.7,3.9,3.7,3.9,60,2009
23,2009-01-21 00:00:00,3.9,4.2,3.9,4.2,241,2009
24,2009-01-22 00:00:00,4.2,4.2,4.2,4.2,45,2009
25,2009-01-29 00:00:00,4.21,4.21,4.21,4.21,2,2009
26,2009-02-06 00:00:00,4.22,4.22,4.22,4.22,35,2009
27,2009-02-11 00:00:00,3.8,3.8,3.7,3.7,100,2009
28,2009-02-17 00:00:00,3.8,3.95,3.8,3.95,53,2009
29,2009-02-20 00:00:00,3.95,3.95,3.95,3.95,5,2009
30,2009-03-05 00:00:00,3.5,3.5,3.2,3.2,735,2009
31,2009-04-14 00:00:00,3.2,3.2,3.2,3.2,10,2009
32,2009-04-20 00:00:00,3.19,3.19,3.19,3.19,5,2009
33,2009-04-27 00:00:00,3.0,3.0,2.8,2.8,115,2009
34,2009-06-02 00:00:00,2.8,2.8,2.8,2.8,2,2009
35,2009-06-04 00:00:00,2.85,2.85,2.85,2.85,10,2009
36,2009-06-05 00:00:00,2.85,2.85,2.85,2.85,20,2009
37,2009-06-08 00:00:00,2.85,2.85,2.85,2.85,10,2009
38,2009-06-09 00:00:00,2.85,2.85,2.85,2.85,10,2009
39,2009-06-10 00:00:00,2.85,2.85,2.85,2.85,10,2009
40,2009-06-12 00:00:00,2.85,2.85,2.85,2.85,20,2009
41,2009-06-15 00:00:00,2.85,2.85,2.85,2.85,10,2009
42,2009-06-16 00:00:00,2.85,2.85,2.85,2.85,10,2009
43,2009-06-17 00:00:00,2.85,2.85,2.85,2.85,10,2009
44,2009-06-18 00:00:00,2.85,2.85,2.85,2.85,10,2009
45,2009-06-19 00:00:00,2.85,2.85,2.85,2.85,10,2009
46,2009-06-22 00:00:00,2.85,2.85,2.85,2.85,10,2009
47,2009-06-23 00:00:00,2.85,2.85,2.85,2.85,10,2009
48,2009-06-24 00:00:00,2.85,2.85,2.85,2.85,10,2009
49,2009-06-25 00:00:00,2.85,2.85,2.85,2.85,10,2009
50,2009-06-26 00:00:00,2.85,2.85,2.85,2.85,10,2009
51,2009-06-29 00:00:00,2.85,2.85,2.85,2.85,10,2009
52,2009-06-30 00:00:00,2.85,2.85,2.85,2.85,10,2009
53,2009-07-01 00:00:00,2.85,2.85,2.85,2.85,10,2009
54,2009-07-02 00:00:00,2.84,2.84,2.84,2.84,8,2009
55,2009-07-07 00:00:00,2.85,2.85,2.85,2.85,10,2009
56,2009-07-08 00:00:00,2.85,2.85,2.85,2.85,10,2009
57,2009-07-09 00:00:00,2.85,3.2,2.85,3.2,320,2009
58,2009-07-10 00:00:00,3.2,3.5,3.2,3.5,800,2009
59,2009-07-13 00:00:00,3.7,4.2,3.7,4.2,943,2009
60,2009-07-14 00:00:00,3.8,3.8,3.36,3.36,881,2009
61,2009-07-15 00:00:00,3.5,3.5,3.5,3.5,28,2009
62,2009-07-16 00:00:00,3.5,3.6,3.5,3.6,25,2009
63,2009-07-17 00:00:00,3.6,4.3,3.6,4.3,629,2009
64,2009-07-20 00:00:00,5.18,6.21,5.18,6.21,102,2009
65,2009-07-21 00:00:00,7.0,7.45,6.99,6.99,149,2009
66,2009-07-22 00:00:00,5.6,6.0,5.0,6.0,896,2009
67,2009-07-23 00:00:00,5.88,5.88,5.88,5.88,10,2009
68,2009-07-24 00:00:00,6.0,6.5,6.0,6.5,72,2009
69,2009-07-27 00:00:00,6.05,6.05,6.05,6.05,11,2009
70,2009-07-28 00:00:00,6.05,6.05,4.9,4.9,49,2009
71,2009-07-29 00:00:00,5.0,5.88,5.0,5.88,110,2009
72,2009-07-31 00:00:00,5.3,5.3,5.3,5.3,50,2009
73,2009-08-04 00:00:00,5.0,5.0,4.8,4.8,593,2009
74,2009-08-05 00:00:00,4.3,4.3,4.0,4.0,674,2009
75,2009-08-20 00:00:00,4.0,4.0,4.0,4.0,1,2009
76,2009-08-24 00:00:00,4.0,4.0,4.0,4.0,83,2009
77,2009-09-01 00:00:00,4.0,4.0,4.0,4.0,10,2009
78,2009-09-02 00:00:00,4.0,4.0,4.0,4.0,5,2009
79,2009-09-03 00:00:00,4.0,4.0,4.0,4.0,2,2009
80,2009-09-04 00:00:00,4.0,4.0,4.0,4.0,5,2009
