,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2009-02-12 00:00:00,3.0,3.38,2.7,2.7,322350,2009
1,2009-02-13 00:00:00,2.75,3.12,2.7,3.1,140218,2009
2,2009-02-16 00:00:00,3.08,3.08,2.73,2.73,32602,2009
3,2009-02-17 00:00:00,2.73,2.85,2.7,2.73,23567,2009
4,2009-02-18 00:00:00,2.79,2.8,2.7,2.75,8614,2009
5,2009-02-19 00:00:00,2.75,2.96,2.7,2.85,34634,2009
6,2009-02-20 00:00:00,2.81,2.81,2.72,2.72,231,2009
7,2009-02-23 00:00:00,2.72,2.72,2.7,2.71,7119,2009
8,2009-02-24 00:00:00,2.75,2.86,2.7,2.85,16642,2009
9,2009-02-25 00:00:00,2.85,2.86,2.71,2.73,6223,2009
10,2009-02-26 00:00:00,2.73,2.84,2.73,2.84,2053,2009
11,2009-02-27 00:00:00,2.84,2.85,2.73,2.84,5528,2009
12,2009-03-02 00:00:00,2.75,2.82,2.52,2.7,7626,2009
13,2009-03-03 00:00:00,2.7,2.7,2.7,2.7,5011,2009
14,2009-03-04 00:00:00,2.7,2.75,2.7,2.75,1299,2009
15,2009-03-05 00:00:00,2.75,2.75,2.7,2.74,2428,2009
16,2009-03-06 00:00:00,2.71,2.71,2.71,2.71,200,2009
17,2009-03-09 00:00:00,2.7,2.73,2.7,2.73,18367,2009
18,2009-03-10 00:00:00,2.75,2.75,2.7,2.75,10791,2009
19,2009-03-11 00:00:00,2.75,2.75,2.75,2.75,798,2009
20,2009-03-12 00:00:00,2.75,2.75,2.72,2.75,3204,2009
21,2009-03-13 00:00:00,2.71,2.75,2.71,2.73,8397,2009
22,2009-03-16 00:00:00,2.75,2.75,2.73,2.73,1700,2009
23,2009-03-17 00:00:00,2.72,2.75,2.72,2.75,2200,2009
24,2009-03-18 00:00:00,2.75,2.75,2.75,2.75,350,2009
25,2009-03-19 00:00:00,2.75,2.75,2.7,2.7,7010,2009
26,2009-03-20 00:00:00,2.7,2.7,2.7,2.7,5002,2009
27,2009-03-23 00:00:00,2.7,2.73,2.61,2.7,14607,2009
28,2009-03-24 00:00:00,2.71,2.72,2.66,2.7,32960,2009
