,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-09-26 00:00:00,2.388,2.39,2.0,2.05,393982,2019
1,2019-09-27 00:00:00,2.0195,2.0195,1.75,1.79,130490,2019
2,2019-09-30 00:00:00,1.85,1.85,1.348,1.47,133124,2019
3,2019-10-01 00:00:00,1.46,1.61,1.2409999999999999,1.57,108222,2019
4,2019-10-02 00:00:00,1.57,1.57,1.37,1.5496,49600,2019
5,2019-10-03 00:00:00,1.5,1.58,1.39,1.439,36372,2019
6,2019-10-04 00:00:00,1.499,1.499,1.34,1.45,12871,2019
7,2019-10-07 00:00:00,1.51,1.5298,1.48,1.51,26272,2019
8,2019-10-08 00:00:00,1.54,1.55,1.3,1.47,23749,2019
9,2019-10-09 00:00:00,1.44,1.44,1.36,1.4,18131,2019
10,2019-10-10 00:00:00,1.43,1.4418,1.21,1.3780000000000001,30144,2019
11,2019-10-11 00:00:00,1.31,1.3298,1.25,1.3,28823,2019
12,2019-10-14 00:00:00,1.245,1.41,1.24,1.35,27641,2019
13,2019-10-15 00:00:00,1.3980000000000001,1.3980000000000001,1.2602,1.3596,9921,2019
14,2019-10-16 00:00:00,1.35,1.35,1.25,1.35,17808,2019
15,2019-10-17 00:00:00,1.31,1.34,1.18,1.25,32359,2019
16,2019-10-18 00:00:00,1.25,1.29,1.15,1.22,21228,2019
17,2019-10-21 00:00:00,1.21,1.21,1.1002,1.14,7833,2019
18,2019-10-22 00:00:00,1.1,1.1840000000000002,1.1,1.13,10780,2019
19,2019-10-23 00:00:00,1.1788,1.19,1.13,1.16,5550,2019
20,2019-10-24 00:00:00,1.18,1.25,1.16,1.199,3476,2019
21,2019-10-25 00:00:00,1.22,1.248,1.1,1.1,7029,2019
22,2019-10-28 00:00:00,1.1,1.19,1.1,1.18,3452,2019
23,2019-10-29 00:00:00,1.2,1.2,1.021,1.021,9292,2019
24,2019-10-30 00:00:00,1.02,1.18,1.0,1.148,16814,2019
25,2019-10-31 00:00:00,1.19,1.19,1.01,1.16,20594,2019
26,2019-11-04 00:00:00,1.14,1.14,1.021,1.06,14043,2019
27,2019-11-05 00:00:00,1.05,1.12,1.021,1.064,19869,2019
28,2019-11-06 00:00:00,1.064,1.064,1.03,1.05,7471,2019
29,2019-11-07 00:00:00,1.04,1.121,1.01,1.081,20331,2019
30,2019-11-08 00:00:00,1.081,1.081,1.02,1.06,2780,2019
31,2019-11-12 00:00:00,1.07,1.081,1.004,1.06,2400,2019
32,2019-11-13 00:00:00,1.06,1.074,0.98,1.05,21102,2019
33,2019-11-14 00:00:00,1.07,1.07,1.0,1.04,10456,2019
34,2019-11-15 00:00:00,1.0,1.022,0.93,1.021,20509,2019
35,2019-11-18 00:00:00,1.034,1.035,1.034,1.035,860,2019
36,2019-11-19 00:00:00,1.0388,1.06,1.0,1.04,9111,2019
37,2019-11-20 00:00:00,1.05,1.05,0.99,1.05,20287,2019
38,2019-11-21 00:00:00,1.06,1.06,0.99,1.0,8598,2019
39,2019-11-22 00:00:00,1.0,1.0,0.96,1.0,1584,2019
40,2019-11-25 00:00:00,1.07,1.0759999999999998,1.061,1.073,4742,2019
41,2019-11-26 00:00:00,1.07,1.07,1.07,1.07,510,2019
42,2019-11-27 00:00:00,1.07,1.07,1.06,1.06,3052,2019
43,2019-11-28 00:00:00,1.06,1.08,0.992,1.079,12176,2019
44,2019-11-29 00:00:00,1.08,1.08,1.01,1.08,1445,2019
45,2019-12-02 00:00:00,1.02,1.0798,1.02,1.074,1215,2019
46,2019-12-03 00:00:00,1.05,1.05,0.992,1.05,5543,2019
47,2019-12-04 00:00:00,1.05,1.05,0.99,1.05,6956,2019
48,2019-12-05 00:00:00,1.04,1.04,1.01,1.01,1109,2019
49,2019-12-06 00:00:00,1.01,1.01,1.01,1.01,3548,2019
50,2019-12-09 00:00:00,1.01,1.01,0.97,1.0,5268,2019
51,2019-12-10 00:00:00,0.99,1.0,0.95,0.951,6528,2019
52,2019-12-11 00:00:00,1.0,1.0,0.98,0.98,1010,2019
53,2019-12-12 00:00:00,1.038,1.038,0.89,0.96,26089,2019
54,2019-12-13 00:00:00,0.93,0.998,0.89,0.958,15558,2019
55,2019-12-16 00:00:00,0.96,1.01,0.93,0.93,12480,2019
56,2019-12-17 00:00:00,0.932,0.997,0.914,0.914,2254,2019
57,2019-12-18 00:00:00,0.92,0.96,0.91,0.96,5650,2019
58,2019-12-19 00:00:00,0.96,0.96,0.88,0.9342,9884,2019
59,2019-12-20 00:00:00,0.9388,0.9388,0.88,0.91,3270,2019
60,2019-12-23 00:00:00,0.9188,0.98,0.85,0.89,43210,2019
61,2019-12-27 00:00:00,0.958,0.958,0.89,0.89,141,2019
62,2019-12-30 00:00:00,0.85,0.956,0.85,0.89,26843,2019
63,2020-01-02 00:00:00,0.92,0.96,0.83,0.93,30483,2020
64,2020-01-07 00:00:00,0.9,0.93,0.88,0.93,2016,2020
65,2020-01-08 00:00:00,0.93,0.975,0.85,0.975,12595,2020
66,2020-01-09 00:00:00,0.9740000000000001,1.16,0.935,1.12,31783,2020
67,2020-01-10 00:00:00,1.1,1.14,1.05,1.12,5530,2020
68,2020-01-13 00:00:00,1.13,1.45,1.122,1.34,88152,2020
69,2020-01-14 00:00:00,1.4,1.43,1.2,1.266,22622,2020
70,2020-01-15 00:00:00,1.2,1.2488,1.18,1.2488,501,2020
71,2020-01-16 00:00:00,1.264,1.38,1.2,1.37,28257,2020
72,2020-01-17 00:00:00,1.37,1.37,1.26,1.35,18005,2020
73,2020-01-20 00:00:00,1.36,1.36,1.21,1.32,7318,2020
74,2020-01-21 00:00:00,1.32,1.368,1.27,1.27,5423,2020
75,2020-01-22 00:00:00,1.27,1.3488,1.27,1.29,6260,2020
76,2020-01-23 00:00:00,1.3,1.41,1.2802,1.3769999999999998,29529,2020
77,2020-01-24 00:00:00,1.34,1.39,1.26,1.3,13588,2020
78,2020-01-27 00:00:00,1.3,1.33,1.22,1.22,8927,2020
79,2020-01-28 00:00:00,1.28,1.29,1.182,1.276,2200,2020
80,2020-01-29 00:00:00,1.227,1.28,1.16,1.2770000000000001,5814,2020
81,2020-01-30 00:00:00,1.2748,1.2748,1.14,1.235,8186,2020
82,2020-01-31 00:00:00,1.1,1.19,1.06,1.19,10186,2020
83,2020-02-03 00:00:00,1.25,1.25,1.18,1.249,8612,2020
84,2020-02-04 00:00:00,1.15,1.29,1.15,1.29,11825,2020
85,2020-02-05 00:00:00,1.2,1.27,1.11,1.11,27815,2020
86,2020-02-06 00:00:00,1.21,1.21,1.1,1.18,34505,2020
87,2020-02-07 00:00:00,1.1,1.2,1.08,1.2,21078,2020
88,2020-02-10 00:00:00,1.2,1.24,1.102,1.198,34129,2020
89,2020-02-11 00:00:00,1.2,1.44,1.14,1.3869999999999998,127354,2020
90,2020-02-12 00:00:00,1.39,1.49,1.3869999999999998,1.4898,105775,2020
91,2020-02-13 00:00:00,1.49,1.49,1.42,1.49,17081,2020
92,2020-02-14 00:00:00,1.43,1.49,1.43,1.47,15833,2020
93,2020-02-17 00:00:00,1.47,1.47,1.35,1.35,21568,2020
94,2020-02-18 00:00:00,1.35,1.57,1.35,1.55,100659,2020
95,2020-02-19 00:00:00,1.58,1.7,1.51,1.689,160159,2020
96,2020-02-20 00:00:00,1.68,1.7698,1.55,1.739,125609,2020
97,2020-02-21 00:00:00,1.79,2.1,1.79,2.01,289688,2020
98,2020-02-24 00:00:00,1.97,2.01,1.71,1.82,130371,2020
99,2020-02-25 00:00:00,1.82,1.94,1.6,1.79,102214,2020
100,2020-02-26 00:00:00,1.77,1.79,1.54,1.79,43064,2020
101,2020-02-27 00:00:00,1.77,1.77,1.55,1.67,16879,2020
102,2020-02-28 00:00:00,1.55,1.67,1.2202,1.53,147045,2020
103,2020-03-02 00:00:00,1.5,1.7,1.25,1.5959999999999999,23882,2020
104,2020-03-03 00:00:00,1.53,1.68,1.4,1.55,38432,2020
105,2020-03-04 00:00:00,1.62,1.7,1.52,1.685,10382,2020
106,2020-03-05 00:00:00,1.685,1.84,1.5,1.56,16046,2020
107,2020-03-06 00:00:00,1.6,1.6,1.37,1.382,35670,2020
108,2020-03-09 00:00:00,1.4698,1.4698,1.18,1.18,58387,2020
109,2020-03-10 00:00:00,1.18,1.416,1.18,1.3,24369,2020
110,2020-03-11 00:00:00,1.22,1.3,1.12,1.25,27376,2020
111,2020-03-12 00:00:00,1.1,1.2,0.95,1.19,32603,2020
112,2020-03-13 00:00:00,1.14,1.6,1.005,1.16,67005,2020
113,2020-03-16 00:00:00,1.2,1.26,1.002,1.26,21723,2020
114,2020-03-17 00:00:00,1.26,1.3498,1.189,1.298,31859,2020
115,2020-03-18 00:00:00,1.2978,1.34,1.2,1.33,31002,2020
116,2020-03-19 00:00:00,1.34,1.49,1.2,1.4198,16498,2020
117,2020-03-20 00:00:00,1.49,1.49,1.3,1.3,8119,2020
118,2020-03-23 00:00:00,1.3,1.4,1.1,1.12,62304,2020
119,2020-03-24 00:00:00,1.12,1.249,1.12,1.199,72196,2020
120,2020-03-25 00:00:00,1.199,1.25,1.12,1.17,27336,2020
121,2020-03-26 00:00:00,1.2298,1.47,1.19,1.275,61498,2020
122,2020-03-27 00:00:00,1.38,1.38,1.19,1.206,27043,2020
123,2020-03-30 00:00:00,1.29,1.29,1.2,1.26,10803,2020
124,2020-03-31 00:00:00,1.29,1.3998,1.2102,1.27,21027,2020
125,2020-04-01 00:00:00,1.35,1.36,1.22,1.22,9330,2020
126,2020-04-02 00:00:00,1.31,1.33,1.22,1.29,16419,2020
127,2020-04-03 00:00:00,1.25,1.32,1.2,1.3,24507,2020
128,2020-04-06 00:00:00,1.34,1.37,1.26,1.36,73827,2020
129,2020-04-07 00:00:00,1.36,1.37,1.29,1.29,16358,2020
130,2020-04-08 00:00:00,1.27,1.32,1.27,1.32,3350,2020
131,2020-04-09 00:00:00,1.33,1.46,1.33,1.39,69859,2020
132,2020-04-14 00:00:00,1.45,1.6,1.3,1.6,81435,2020
133,2020-04-15 00:00:00,1.6,1.65,1.52,1.575,46745,2020
134,2020-04-16 00:00:00,1.575,1.65,1.48,1.65,45630,2020
135,2020-04-17 00:00:00,1.65,1.7,1.5,1.7,83096,2020
136,2020-04-20 00:00:00,1.7,1.705,1.55,1.64,93489,2020
137,2020-04-21 00:00:00,1.7,1.7,1.425,1.565,44937,2020
138,2020-04-22 00:00:00,1.54,1.65,1.46,1.65,9436,2020
139,2020-04-23 00:00:00,1.59,1.635,1.54,1.56,14668,2020
140,2020-04-24 00:00:00,1.55,1.6,1.495,1.51,8311,2020
141,2020-04-27 00:00:00,1.6,1.6,1.53,1.59,11317,2020
142,2020-04-28 00:00:00,1.59,1.77,1.54,1.74,70487,2020
143,2020-04-29 00:00:00,1.765,1.89,1.63,1.73,38062,2020
144,2020-04-30 00:00:00,1.825,1.825,1.66,1.7,20838,2020
145,2020-05-04 00:00:00,1.7,1.75,1.53,1.71,32997,2020
146,2020-05-05 00:00:00,1.8,1.85,1.71,1.75,27518,2020
147,2020-05-06 00:00:00,1.82,1.87,1.7,1.72,22624,2020
148,2020-05-07 00:00:00,1.7,1.81,1.69,1.69,10517,2020
149,2020-05-08 00:00:00,1.74,1.77,1.67,1.68,10788,2020
150,2020-05-11 00:00:00,1.63,1.7,1.55,1.67,56325,2020
151,2020-05-12 00:00:00,1.665,1.665,1.55,1.62,24375,2020
152,2020-05-13 00:00:00,1.62,1.66,1.55,1.565,9204,2020
153,2020-05-14 00:00:00,1.63,1.63,1.38,1.47,33863,2020
154,2020-05-15 00:00:00,1.53,1.54,1.42,1.505,14209,2020
155,2020-05-18 00:00:00,1.59,1.64,1.46,1.58,23725,2020
156,2020-05-19 00:00:00,1.58,1.615,1.47,1.5,16710,2020
157,2020-05-20 00:00:00,1.5,1.59,1.49,1.51,12696,2020
158,2020-05-21 00:00:00,1.55,1.55,1.47,1.5,12856,2020
159,2020-05-22 00:00:00,1.41,1.58,1.41,1.45,26939,2020
160,2020-05-25 00:00:00,1.52,1.58,1.47,1.52,27274,2020
161,2020-05-26 00:00:00,1.55,1.66,1.535,1.645,86039,2020
162,2020-05-27 00:00:00,1.655,1.655,1.545,1.63,12793,2020
163,2020-05-28 00:00:00,1.63,1.69,1.56,1.56,29065,2020
164,2020-05-29 00:00:00,1.66,1.67,1.56,1.61,23502,2020
165,2020-06-01 00:00:00,1.61,1.67,1.6,1.62,2783,2020
166,2020-06-02 00:00:00,1.655,1.655,1.57,1.58,5913,2020
167,2020-06-03 00:00:00,1.57,1.7,1.505,1.6,21288,2020
168,2020-06-04 00:00:00,1.62,1.695,1.5,1.6,23583,2020
169,2020-06-05 00:00:00,1.68,1.76,1.56,1.75,46094,2020
170,2020-06-08 00:00:00,1.75,1.8,1.62,1.63,32918,2020
171,2020-06-09 00:00:00,1.655,1.79,1.655,1.73,20312,2020
172,2020-06-10 00:00:00,1.7,1.73,1.69,1.73,3007,2020
173,2020-06-12 00:00:00,1.73,1.73,1.62,1.7,12518,2020
174,2020-06-15 00:00:00,1.62,1.75,1.6,1.72,8995,2020
175,2020-06-16 00:00:00,1.7,1.765,1.69,1.745,13615,2020
176,2020-06-17 00:00:00,1.75,1.79,1.7,1.755,8763,2020
177,2020-06-18 00:00:00,1.75,1.85,1.69,1.82,82156,2020
178,2020-06-19 00:00:00,1.83,1.85,1.76,1.8,42336,2020
179,2020-06-22 00:00:00,1.845,1.9,1.76,1.9,123539,2020
180,2020-06-23 00:00:00,1.9,2.0,1.87,2.0,271160,2020
181,2020-06-24 00:00:00,2.0,2.1,1.89,1.92,75026,2020
182,2020-06-25 00:00:00,1.93,1.97,1.8,1.9,47357,2020
183,2020-06-26 00:00:00,1.905,2.04,1.9,1.92,41022,2020
184,2020-06-29 00:00:00,1.99,2.85,1.95,2.75,383988,2020
185,2020-06-30 00:00:00,2.89,4.15,2.89,4.15,667247,2020
186,2020-07-01 00:00:00,3.99,5.12,3.24,4.07,833846,2020
187,2020-07-02 00:00:00,4.39,5.26,4.3,5.26,465146,2020
188,2020-07-03 00:00:00,5.3,6.24,5.0,5.32,567867,2020
189,2020-07-06 00:00:00,5.38,5.46,4.52,4.79,379930,2020
190,2020-07-07 00:00:00,4.9,5.54,4.4,4.87,384766,2020
191,2020-07-08 00:00:00,4.95,4.95,4.45,4.51,108151,2020
192,2020-07-09 00:00:00,4.6,4.8,4.09,4.24,159385,2020
193,2020-07-10 00:00:00,4.0,4.5,3.87,4.17,240056,2020
194,2020-07-13 00:00:00,4.17,4.4,4.1,4.27,54539,2020
195,2020-07-14 00:00:00,4.17,4.31,3.72,3.79,136619,2020
196,2020-07-15 00:00:00,3.71,3.8,3.61,3.74,67932,2020
197,2020-07-16 00:00:00,3.64,3.64,3.31,3.45,134428,2020
198,2020-07-17 00:00:00,3.66,4.18,3.33,4.14,186577,2020
199,2020-07-20 00:00:00,4.25,4.43,3.82,3.93,96065,2020
200,2020-07-21 00:00:00,3.8,3.93,3.51,3.62,101697,2020
201,2020-07-22 00:00:00,3.7,3.78,3.51,3.57,40708,2020
202,2020-07-23 00:00:00,3.57,3.57,3.21,3.39,138334,2020
203,2020-07-24 00:00:00,3.27,3.54,3.14,3.4,86836,2020
204,2020-07-27 00:00:00,3.4,3.45,3.16,3.39,31193,2020
205,2020-07-28 00:00:00,3.3,4.34,3.25,3.95,207909,2020
206,2020-07-29 00:00:00,4.16,4.16,3.8,3.81,88097,2020
207,2020-07-30 00:00:00,3.97,3.97,3.3,3.44,77589,2020
208,2020-07-31 00:00:00,3.5,3.65,3.32,3.53,53127,2020
209,2020-08-03 00:00:00,3.95,4.05,3.79,4.04,180564,2020
210,2020-08-04 00:00:00,4.05,4.25,3.9,4.15,149373,2020
211,2020-08-05 00:00:00,4.18,4.18,3.82,4.01,48835,2020
212,2020-08-06 00:00:00,3.99,3.99,3.72,3.9,32830,2020
213,2020-08-07 00:00:00,3.96,3.96,3.53,3.83,56384,2020
214,2020-08-10 00:00:00,3.8,3.85,3.6,3.68,12079,2020
215,2020-08-11 00:00:00,3.56,3.6,3.35,3.37,74970,2020
216,2020-08-12 00:00:00,3.37,3.39,3.0,3.0,88379,2020
217,2020-08-13 00:00:00,2.83,3.18,2.81,3.05,55237,2020
218,2020-08-14 00:00:00,3.03,3.11,2.92,3.04,28943,2020
219,2020-08-17 00:00:00,3.1,3.72,3.08,3.42,136487,2020
220,2020-08-18 00:00:00,3.5,3.69,3.1,3.55,70654,2020
221,2020-08-19 00:00:00,3.54,3.54,3.24,3.42,49170,2020
222,2020-08-20 00:00:00,3.42,3.45,3.21,3.21,24963,2020
223,2020-08-21 00:00:00,3.22,3.22,2.65,3.0,248731,2020
224,2020-08-24 00:00:00,2.86,2.99,2.85,2.99,52305,2020
225,2020-08-25 00:00:00,2.99,3.13,2.99,3.11,33721,2020
226,2020-08-26 00:00:00,3.11,3.13,2.87,2.99,63370,2020
227,2020-08-27 00:00:00,2.95,3.12,2.85,3.1,28932,2020
228,2020-08-28 00:00:00,3.01,3.25,2.95,3.23,36414,2020
229,2020-08-31 00:00:00,3.27,3.27,3.15,3.15,12774,2020
230,2020-09-01 00:00:00,3.15,3.15,2.97,3.04,31386,2020
231,2020-09-02 00:00:00,3.04,3.2,2.97,3.17,17839,2020
232,2020-09-03 00:00:00,3.06,3.19,3.0,3.1,11793,2020
233,2020-09-04 00:00:00,3.08,3.19,2.98,3.15,6101,2020
234,2020-09-07 00:00:00,3.1,3.1,2.9,3.07,27541,2020
235,2020-09-08 00:00:00,2.9,2.96,2.6,2.8,78752,2020
236,2020-09-09 00:00:00,2.84,3.24,2.8,3.14,65517,2020
237,2020-09-10 00:00:00,3.14,3.16,2.86,3.14,17485,2020
238,2020-09-11 00:00:00,3.08,3.14,2.92,3.02,15490,2020
239,2020-09-14 00:00:00,3.08,3.15,3.04,3.14,8786,2020
