,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-11-19 00:00:00,0.44,0.52,0.42,0.52,2200359,2010
1,2010-11-23 00:00:00,0.77,0.92,0.73,0.83,1163439,2010
2,2010-11-24 00:00:00,0.83,0.91,0.7,0.74,515462,2010
3,2010-11-25 00:00:00,0.73,0.76,0.67,0.69,233369,2010
4,2010-11-26 00:00:00,0.69,0.98,0.69,0.98,720425,2010
5,2010-11-29 00:00:00,0.95,0.98,0.81,0.82,409271,2010
6,2010-11-30 00:00:00,0.84,0.91,0.8,0.85,129973,2010
7,2010-12-01 00:00:00,0.87,1.02,0.85,0.97,516357,2010
8,2010-12-02 00:00:00,0.97,1.04,0.88,0.96,399361,2010
9,2010-12-03 00:00:00,0.96,0.99,0.92,0.95,118125,2010
10,2010-12-06 00:00:00,0.95,1.09,0.92,1.02,425362,2010
11,2010-12-07 00:00:00,1.02,1.08,0.99,1.0,198169,2010
12,2010-12-08 00:00:00,1.0,1.0,0.94,0.97,157331,2010
13,2010-12-09 00:00:00,0.96,1.0,0.93,1.0,61365,2010
14,2010-12-10 00:00:00,0.99,0.99,0.93,0.96,8581,2010
15,2010-12-13 00:00:00,0.95,0.98,0.87,0.87,103564,2010
16,2010-12-14 00:00:00,0.87,0.91,0.84,0.88,48739,2010
17,2010-12-15 00:00:00,0.83,0.88,0.83,0.88,20008,2010
18,2010-12-16 00:00:00,0.87,0.93,0.87,0.9,34742,2010
19,2010-12-17 00:00:00,0.9,0.91,0.87,0.91,29237,2010
20,2010-12-20 00:00:00,0.86,0.89,0.84,0.89,8814,2010
21,2010-12-21 00:00:00,0.88,0.88,0.81,0.81,62641,2010
22,2010-12-22 00:00:00,0.81,0.97,0.81,0.95,138861,2010
23,2010-12-23 00:00:00,0.99,1.36,0.98,1.22,472818,2010
24,2010-12-27 00:00:00,1.29,1.44,1.17,1.19,156382,2010
25,2010-12-28 00:00:00,1.19,1.19,1.04,1.09,78404,2010
26,2010-12-29 00:00:00,1.09,1.19,1.0,1.08,23271,2010
27,2010-12-30 00:00:00,1.08,1.23,1.02,1.11,60137,2010
28,2010-12-31 00:00:00,1.1,1.26,1.05,1.24,68729,2010
29,2011-01-03 00:00:00,1.25,1.5,1.17,1.4,100513,2011
30,2011-01-04 00:00:00,1.43,1.43,1.16,1.3,36809,2011
31,2011-01-05 00:00:00,1.23,1.26,1.14,1.2,51500,2011
32,2011-01-07 00:00:00,1.2,1.28,1.1,1.28,118523,2011
33,2011-01-10 00:00:00,1.28,1.28,1.05,1.15,29939,2011
34,2011-01-11 00:00:00,1.15,1.18,1.05,1.18,11629,2011
35,2011-01-12 00:00:00,1.18,1.18,1.03,1.09,41753,2011
36,2011-01-13 00:00:00,1.09,1.09,0.99,1.0,16975,2011
37,2011-01-14 00:00:00,1.07,1.14,1.02,1.07,18265,2011
38,2011-01-17 00:00:00,1.14,1.18,0.99,1.07,54239,2011
39,2011-01-18 00:00:00,1.1,1.1,1.01,1.07,13304,2011
40,2011-01-19 00:00:00,1.01,1.1,1.01,1.07,5032,2011
41,2011-01-20 00:00:00,1.07,1.07,0.95,1.02,25494,2011
42,2011-01-21 00:00:00,1.02,1.02,0.86,0.95,96586,2011
43,2011-01-24 00:00:00,0.95,0.98,0.85,0.9,49787,2011
44,2011-01-25 00:00:00,0.92,1.03,0.89,0.96,86025,2011
45,2011-01-26 00:00:00,0.97,1.01,0.92,0.97,51838,2011
46,2011-01-27 00:00:00,0.97,0.97,0.91,0.95,28700,2011
47,2011-01-28 00:00:00,0.94,0.94,0.87,0.89,44470,2011
48,2011-01-31 00:00:00,0.89,0.96,0.89,0.9,10410,2011
49,2011-02-01 00:00:00,0.91,0.91,0.73,0.77,98112,2011
50,2011-02-02 00:00:00,0.78,0.83,0.7,0.83,43512,2011
51,2011-02-03 00:00:00,0.78,0.83,0.75,0.83,24596,2011
52,2011-02-04 00:00:00,0.81,0.84,0.77,0.83,13171,2011
53,2011-02-07 00:00:00,0.83,0.91,0.83,0.87,11253,2011
54,2011-02-08 00:00:00,0.86,0.91,0.86,0.91,11040,2011
55,2011-02-09 00:00:00,0.91,0.92,0.81,0.89,15723,2011
56,2011-02-10 00:00:00,0.84,1.04,0.84,0.97,107424,2011
57,2011-02-11 00:00:00,1.01,1.02,0.99,1.02,26721,2011
58,2011-02-14 00:00:00,1.1,1.1,0.97,1.06,5629,2011
59,2011-02-15 00:00:00,1.05,1.05,0.95,1.0,12101,2011
60,2011-02-16 00:00:00,0.99,0.99,0.89,0.89,26879,2011
61,2011-02-17 00:00:00,0.94,0.94,0.87,0.9,11110,2011
62,2011-02-18 00:00:00,0.9,0.9,0.86,0.88,4149,2011
63,2011-02-21 00:00:00,0.86,0.91,0.8,0.86,30866,2011
64,2011-02-22 00:00:00,0.87,0.87,0.87,0.87,10,2011
65,2011-02-23 00:00:00,0.81,0.86,0.79,0.8,24270,2011
66,2011-02-24 00:00:00,0.81,0.81,0.79,0.8,5742,2011
67,2011-02-25 00:00:00,0.8,0.81,0.77,0.8,29047,2011
68,2011-02-28 00:00:00,0.8,0.81,0.78,0.81,7499,2011
69,2011-03-01 00:00:00,0.81,0.83,0.79,0.83,11200,2011
70,2011-03-02 00:00:00,0.83,0.83,0.8,0.8,3600,2011
71,2011-03-03 00:00:00,0.82,0.86,0.79,0.84,25130,2011
72,2011-03-04 00:00:00,0.81,0.86,0.8,0.86,11533,2011
73,2011-03-07 00:00:00,0.86,0.86,0.82,0.86,2484,2011
74,2011-03-08 00:00:00,0.85,0.85,0.85,0.85,100,2011
75,2011-03-09 00:00:00,0.85,0.85,0.77,0.82,5334,2011
76,2011-03-10 00:00:00,0.82,0.82,0.77,0.77,4500,2011
77,2011-03-11 00:00:00,0.77,0.8,0.74,0.77,25001,2011
78,2011-03-14 00:00:00,0.77,0.77,0.7,0.7,64161,2011
79,2011-03-15 00:00:00,0.7,0.7,0.69,0.7,7943,2011
80,2011-03-16 00:00:00,0.7,0.75,0.7,0.74,32073,2011
81,2011-03-17 00:00:00,0.74,0.75,0.7,0.75,9610,2011
82,2011-03-18 00:00:00,0.75,0.76,0.75,0.76,3730,2011
83,2011-03-21 00:00:00,0.76,0.76,0.7,0.72,10311,2011
84,2011-03-23 00:00:00,0.73,0.74,0.73,0.74,2051,2011
85,2011-03-24 00:00:00,0.74,0.74,0.68,0.68,9225,2011
86,2011-03-25 00:00:00,0.69,0.69,0.65,0.69,15174,2011
87,2011-03-28 00:00:00,0.68,0.68,0.6,0.61,44505,2011
88,2011-03-29 00:00:00,0.61,0.61,0.51,0.56,46089,2011
