,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-07-30 00:00:00,2.0,2.4,1.98,2.4,127639,2010
1,2010-08-02 00:00:00,2.7,2.84,2.32,2.5,73158,2010
2,2010-08-03 00:00:00,2.42,2.42,2.1,2.2,12132,2010
3,2010-08-04 00:00:00,2.22,2.22,1.76,1.95,16867,2010
4,2010-08-05 00:00:00,1.86,2.18,1.72,1.95,20220,2010
5,2010-08-06 00:00:00,1.9,2.0,1.9,2.0,990,2010
6,2010-08-09 00:00:00,2.0,2.05,1.9,1.9,5340,2010
7,2010-08-10 00:00:00,1.9,1.9,1.81,1.81,2270,2010
8,2010-08-11 00:00:00,1.81,1.81,1.81,1.81,150,2010
9,2010-08-12 00:00:00,1.81,1.85,1.81,1.85,310,2010
10,2010-08-13 00:00:00,1.83,1.83,1.78,1.78,1556,2010
11,2010-08-16 00:00:00,1.78,1.8,1.78,1.8,400,2010
12,2010-08-17 00:00:00,1.79,1.8,1.77,1.77,4340,2010
13,2010-08-18 00:00:00,1.78,1.78,1.69,1.71,1301,2010
14,2010-08-19 00:00:00,1.64,1.75,1.64,1.75,2052,2010
15,2010-08-20 00:00:00,1.75,1.94,1.69,1.76,5083,2010
16,2010-08-23 00:00:00,1.76,1.87,1.67,1.7,7611,2010
17,2010-08-24 00:00:00,1.71,1.85,1.6,1.85,2721,2010
18,2010-08-25 00:00:00,1.87,1.93,1.71,1.71,2114,2010
19,2010-08-26 00:00:00,1.73,1.79,1.71,1.71,540,2010
20,2010-08-27 00:00:00,1.74,1.8,1.7,1.8,6552,2010
21,2010-08-30 00:00:00,1.77,1.83,1.74,1.81,2711,2010
22,2010-08-31 00:00:00,1.73,1.73,1.64,1.66,7714,2010
23,2010-09-01 00:00:00,1.7,1.73,1.7,1.73,828,2010
24,2010-09-02 00:00:00,1.72,1.72,1.5,1.5,5303,2010
25,2010-09-03 00:00:00,1.52,1.66,1.34,1.66,22067,2010
26,2010-09-06 00:00:00,1.62,1.62,1.62,1.62,30,2010
27,2010-09-07 00:00:00,1.55,1.58,1.32,1.57,7168,2010
28,2010-09-08 00:00:00,1.6,1.62,1.35,1.59,174403,2010
29,2010-09-09 00:00:00,1.59,1.61,1.41,1.54,5511,2010
30,2010-09-10 00:00:00,1.5,1.64,1.5,1.63,4714,2010
31,2010-09-13 00:00:00,1.64,1.77,1.5,1.54,901,2010
32,2010-09-14 00:00:00,1.56,1.61,1.43,1.55,4440,2010
33,2010-09-15 00:00:00,1.5,1.53,1.5,1.53,110,2010
34,2010-09-16 00:00:00,1.49,1.55,1.44,1.44,8702,2010
35,2010-09-17 00:00:00,1.45,1.53,1.44,1.44,2396,2010
36,2010-09-20 00:00:00,1.45,1.5,1.45,1.48,900,2010
37,2010-09-21 00:00:00,1.47,1.5,1.47,1.5,1200,2010
38,2010-09-22 00:00:00,1.49,1.51,1.49,1.49,970,2010
39,2010-09-23 00:00:00,1.5,1.7,1.5,1.54,11063,2010
40,2010-09-24 00:00:00,1.7,1.8,1.6,1.75,2544,2010
41,2010-09-27 00:00:00,1.7,1.76,1.6,1.7,1312,2010
42,2010-09-28 00:00:00,1.7,1.7,1.61,1.61,787,2010
43,2010-09-29 00:00:00,1.48,1.91,1.48,1.91,20,2010
44,2010-09-30 00:00:00,1.75,1.87,1.71,1.8,2160,2010
45,2010-10-01 00:00:00,1.69,1.8,1.65,1.65,3120,2010
46,2010-10-05 00:00:00,1.59,1.59,1.59,1.59,320,2010
47,2010-10-06 00:00:00,1.62,1.62,1.55,1.55,500,2010
48,2010-10-07 00:00:00,1.51,1.55,1.51,1.55,180,2010
49,2010-10-08 00:00:00,1.49,1.56,1.47,1.56,836,2010
50,2010-10-11 00:00:00,1.55,1.55,1.55,1.55,60,2010
51,2010-10-12 00:00:00,1.47,1.52,1.42,1.52,1259,2010
52,2010-10-13 00:00:00,1.52,1.8,1.49,1.68,6014,2010
53,2010-10-14 00:00:00,1.68,1.68,1.63,1.68,1801,2010
54,2010-10-15 00:00:00,1.66,1.66,1.57,1.62,2351,2010
