,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-06-11 00:00:00,1.39,1.39,1.05,1.05,22760,2013
1,2013-06-12 00:00:00,1.05,1.1,0.9,1.03,9627,2013
2,2013-06-13 00:00:00,1.03,1.03,0.9,0.96,3682,2013
3,2013-06-14 00:00:00,0.96,0.97,0.91,0.96,2667,2013
4,2013-06-17 00:00:00,0.96,0.98,0.96,0.98,1170,2013
5,2013-06-18 00:00:00,0.98,0.98,0.92,0.98,3800,2013
6,2013-06-19 00:00:00,0.98,1.17,0.98,1.08,14421,2013
7,2013-06-20 00:00:00,1.02,1.02,0.89,1.0,3589,2013
8,2013-06-21 00:00:00,1.0,1.03,0.92,0.92,2361,2013
9,2013-06-24 00:00:00,0.92,0.92,0.92,0.92,326,2013
10,2013-06-25 00:00:00,0.93,1.01,0.93,1.01,44200,2013
11,2013-06-26 00:00:00,1.01,1.01,1.01,1.01,50,2013
12,2013-06-27 00:00:00,1.01,1.01,1.01,1.01,10,2013
13,2013-06-28 00:00:00,1.01,1.03,0.96,1.01,610,2013
14,2013-07-01 00:00:00,1.01,1.01,1.01,1.01,1000,2013
15,2013-07-02 00:00:00,1.01,1.01,1.01,1.01,3550,2013
16,2013-07-03 00:00:00,1.0,1.01,1.0,1.01,4540,2013
17,2013-07-04 00:00:00,1.0,1.0,1.0,1.0,50,2013
18,2013-07-05 00:00:00,1.0,1.0,1.0,1.0,20,2013
19,2013-07-09 00:00:00,1.01,1.01,1.01,1.01,50,2013
20,2013-07-10 00:00:00,1.01,1.01,1.01,1.01,50,2013
21,2013-07-11 00:00:00,1.01,1.01,1.01,1.01,20,2013
22,2013-07-12 00:00:00,0.95,0.95,0.91,0.91,2200,2013
23,2013-07-19 00:00:00,0.93,1.0,0.93,1.0,1500,2013
24,2013-07-22 00:00:00,1.0,1.04,1.0,1.04,25651,2013
25,2013-07-23 00:00:00,1.04,1.04,1.04,1.04,10,2013
26,2013-07-24 00:00:00,1.04,1.04,1.04,1.04,380,2013
27,2013-07-25 00:00:00,1.04,1.04,1.02,1.03,18917,2013
28,2013-07-26 00:00:00,1.03,1.03,1.03,1.03,20,2013
29,2013-07-29 00:00:00,1.03,1.04,1.03,1.03,130,2013
30,2013-07-30 00:00:00,1.03,1.05,1.03,1.05,3790,2013
31,2013-07-31 00:00:00,1.05,1.05,1.05,1.05,500,2013
32,2013-08-01 00:00:00,1.04,1.06,1.04,1.06,1020,2013
33,2013-08-02 00:00:00,1.05,1.05,1.05,1.05,250,2013
34,2013-08-05 00:00:00,1.05,1.06,1.05,1.06,920,2013
35,2013-08-06 00:00:00,1.06,1.11,0.93,1.08,6468,2013
36,2013-08-07 00:00:00,1.08,1.08,0.95,1.05,3740,2013
37,2013-08-08 00:00:00,1.05,1.05,1.05,1.05,1060,2013
38,2013-08-09 00:00:00,1.05,1.06,1.04,1.06,4091,2013
39,2013-08-12 00:00:00,1.06,1.07,1.06,1.07,1120,2013
40,2013-08-13 00:00:00,1.07,1.07,1.07,1.07,20,2013
41,2013-08-14 00:00:00,1.07,1.07,1.06,1.07,1720,2013
42,2013-08-16 00:00:00,1.07,1.1,1.07,1.1,620,2013
