,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-12-23 00:00:00,2.32,2.78,2.32,2.77,237325,2010
1,2010-12-27 00:00:00,3.32,3.98,3.19,3.7,174199,2010
2,2010-12-28 00:00:00,3.7,3.7,3.08,3.1,34668,2010
3,2010-12-29 00:00:00,3.4,3.5,2.72,3.0,27721,2010
4,2010-12-30 00:00:00,2.95,3.31,2.6,3.2,199080,2010
5,2010-12-31 00:00:00,3.49,3.99,3.15,3.99,150755,2010
6,2011-01-03 00:00:00,4.11,4.4,3.35,3.5,183361,2011
7,2011-01-04 00:00:00,3.49,3.64,3.07,3.29,57799,2011
8,2011-01-05 00:00:00,3.45,3.45,3.08,3.18,36987,2011
9,2011-01-07 00:00:00,3.1,3.1,3.08,3.08,7918,2011
10,2011-01-10 00:00:00,3.1,3.17,3.09,3.12,8034,2011
11,2011-01-11 00:00:00,3.09,3.59,3.09,3.58,25565,2011
12,2011-01-12 00:00:00,3.5,3.93,3.5,3.74,43201,2011
13,2011-01-13 00:00:00,3.74,3.8,3.36,3.69,16022,2011
14,2011-01-14 00:00:00,3.73,3.8,3.6,3.72,20896,2011
15,2011-01-17 00:00:00,3.75,3.75,3.4,3.5,8822,2011
16,2011-01-18 00:00:00,3.4,3.55,3.4,3.55,4001,2011
17,2011-01-19 00:00:00,3.6,3.9,3.4,3.53,15535,2011
18,2011-01-20 00:00:00,3.59,3.59,3.41,3.41,3444,2011
19,2011-01-21 00:00:00,3.47,3.7,3.4,3.69,5949,2011
20,2011-01-24 00:00:00,3.79,3.85,3.67,3.85,27015,2011
21,2011-01-25 00:00:00,3.8,3.8,3.8,3.8,1880,2011
22,2011-01-26 00:00:00,3.85,4.0,3.8,3.9,36693,2011
23,2011-01-27 00:00:00,3.9,3.98,3.8,3.98,10615,2011
24,2011-01-28 00:00:00,3.98,4.04,3.82,3.82,7717,2011
25,2011-01-31 00:00:00,3.65,3.66,3.5,3.51,4364,2011
26,2011-02-01 00:00:00,3.5,3.5,3.49,3.49,8935,2011
27,2011-02-02 00:00:00,3.49,3.7,3.2,3.54,11678,2011
28,2011-02-03 00:00:00,3.5,3.5,3.25,3.41,3296,2011
29,2011-02-04 00:00:00,3.2,3.33,3.2,3.33,4054,2011
30,2011-02-07 00:00:00,3.27,3.4,3.27,3.4,2255,2011
31,2011-02-08 00:00:00,3.4,3.4,3.18,3.18,11771,2011
32,2011-02-09 00:00:00,3.16,3.19,3.1,3.18,9762,2011
33,2011-02-10 00:00:00,3.1,3.19,3.0,3.19,13566,2011
34,2011-02-11 00:00:00,3.1,3.18,3.1,3.18,3000,2011
35,2011-02-14 00:00:00,3.2,3.33,3.2,3.3,12431,2011
36,2011-02-15 00:00:00,3.21,3.21,3.06,3.06,3958,2011
37,2011-02-16 00:00:00,3.0,3.09,3.0,3.09,10454,2011
38,2011-02-17 00:00:00,3.0,3.1,3.0,3.1,543,2011
39,2011-02-18 00:00:00,3.08,3.11,3.01,3.11,8757,2011
40,2011-02-21 00:00:00,3.08,3.11,3.05,3.05,16810,2011
41,2011-02-22 00:00:00,3.03,3.1,3.01,3.1,8784,2011
42,2011-02-23 00:00:00,3.15,3.15,3.13,3.15,4229,2011
43,2011-02-24 00:00:00,3.15,3.27,3.15,3.27,7244,2011
44,2011-02-25 00:00:00,3.27,3.4,3.14,3.4,15059,2011
45,2011-02-28 00:00:00,3.35,3.77,3.35,3.76,30249,2011
46,2011-03-01 00:00:00,3.76,3.8,3.36,3.7,13614,2011
47,2011-03-02 00:00:00,3.7,3.75,3.63,3.75,8467,2011
48,2011-03-03 00:00:00,3.7,4.2,3.7,4.0,108203,2011
49,2011-03-04 00:00:00,3.95,3.99,3.9,3.9,3575,2011
50,2011-03-07 00:00:00,3.97,3.98,3.62,3.9,5819,2011
51,2011-03-08 00:00:00,3.9,3.95,3.6,3.69,5266,2011
52,2011-03-09 00:00:00,3.7,3.77,3.61,3.61,3547,2011
53,2011-03-10 00:00:00,3.69,3.77,3.69,3.77,1400,2011
54,2011-03-11 00:00:00,3.77,3.99,3.77,3.99,3000,2011
55,2011-03-14 00:00:00,3.77,3.78,3.6,3.68,7524,2011
56,2011-03-15 00:00:00,3.61,3.61,3.13,3.55,5891,2011
57,2011-03-16 00:00:00,3.6,3.78,3.6,3.6,11153,2011
58,2011-03-17 00:00:00,3.61,3.9,3.45,3.83,28890,2011
59,2011-03-18 00:00:00,3.88,3.88,3.88,3.88,500,2011
60,2011-03-21 00:00:00,3.83,3.83,3.83,3.83,560,2011
61,2011-03-22 00:00:00,3.76,3.78,3.6,3.7,9140,2011
62,2011-03-23 00:00:00,3.68,3.68,3.68,3.68,500,2011
63,2011-03-24 00:00:00,3.76,3.8,3.63,3.63,4551,2011
64,2011-03-25 00:00:00,3.63,3.63,3.63,3.63,1510,2011
65,2011-03-28 00:00:00,3.59,3.6,3.37,3.6,5720,2011
66,2011-03-29 00:00:00,3.59,3.61,3.46,3.6,4532,2011
67,2011-03-30 00:00:00,3.59,3.59,3.44,3.44,3067,2011
68,2011-03-31 00:00:00,3.45,3.48,3.0,3.0,13534,2011
69,2011-04-01 00:00:00,3.0,3.27,2.99,3.0,10587,2011
70,2011-04-04 00:00:00,3.06,3.1,3.04,3.04,5081,2011
71,2011-04-05 00:00:00,3.04,3.05,2.8,2.9,10680,2011
72,2011-04-06 00:00:00,2.85,2.99,2.7,2.85,12930,2011
