,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-08-30 00:00:00,14.925,14.925,9.1566,9.494,377381,2007
1,2007-08-31 00:00:00,10.855,10.940999999999999,9.3649,9.494,124234,2007
2,2007-09-03 00:00:00,9.837,10.11,9.0276,9.3717,41307,2007
3,2007-09-04 00:00:00,9.4147,9.4147,8.2255,8.5696,40572,2007
4,2007-09-05 00:00:00,8.5477,8.5477,7.5949,7.6093,24787,2007
5,2007-09-06 00:00:00,7.6021,8.5333,7.6021,7.6738,28082,2007
6,2007-09-07 00:00:00,8.0754,8.9846,7.7024,8.3976,55829,2007
7,2007-09-10 00:00:00,8.1395,9.0993,7.8672,8.7197,48314,2007
8,2007-09-11 00:00:00,9.0782,9.0849,8.6126,8.648,15454,2007
9,2007-09-12 00:00:00,8.6624,8.8134,8.0034,8.2112,10202,2007
10,2007-09-13 00:00:00,8.605,8.6126,8.1749,8.433,6847,2007
11,2007-09-14 00:00:00,8.5333,8.6843,8.0965,8.2179,6769,2007
12,2007-09-17 00:00:00,8.5477,8.67,8.1462,8.4262,20973,2007
13,2007-09-18 00:00:00,8.5266,8.5266,8.0965,8.2753,9079,2007
14,2007-09-19 00:00:00,8.5477,8.9559,8.4693,8.6767,17072,2007
15,2007-09-20 00:00:00,8.7484,8.7484,8.2896,8.5123,8849,2007
16,2007-09-21 00:00:00,8.4119,8.4119,8.0105,8.2399,9260,2007
17,2007-09-24 00:00:00,8.2466,8.2466,7.9675,8.1108,9361,2007
18,2007-09-25 00:00:00,8.1041,8.1041,7.5949,7.5949,8031,2007
19,2007-09-26 00:00:00,7.9819,7.9819,7.466,7.6308,9125,2007
20,2007-09-27 00:00:00,7.6164,7.6236,7.3943,7.466,6297,2007
21,2007-09-28 00:00:00,7.4588,7.4588,7.0862,7.165,9920,2007
22,2007-10-01 00:00:00,7.122000000000001,7.122000000000001,6.7853,7.0289,8714,2007
23,2007-10-02 00:00:00,6.7924,6.9787,6.4772,6.7781,11925,2007
24,2007-10-03 00:00:00,6.7709,6.9859,6.7638,6.9214,14536,2007
25,2007-10-04 00:00:00,6.9142,7.1794,6.7853,7.079,6149,2007
26,2007-10-05 00:00:00,7.079,7.1722,6.9501,7.1722,3135,2007
27,2007-10-08 00:00:00,7.122000000000001,7.6308,7.122000000000001,7.5734,10012,2007
28,2007-10-09 00:00:00,7.5305,7.5305,7.294,7.4588,6671,2007
29,2007-10-10 00:00:00,7.4588,7.6021,7.4588,7.5806,3875,2007
30,2007-10-11 00:00:00,7.5806,7.6666,7.4588,7.466,4818,2007
31,2007-10-12 00:00:00,7.4516,7.466,7.294,7.466,5675,2007
32,2007-10-15 00:00:00,7.4588,7.4588,7.1937,7.2582,3071,2007
33,2007-10-16 00:00:00,7.1937,7.4588,7.1937,7.2009,1545,2007
34,2007-10-17 00:00:00,7.1435,7.1435,6.9931,7.0218,5599,2007
35,2007-10-18 00:00:00,7.0218,7.2725,6.9572,6.9644,2803,2007
36,2007-10-19 00:00:00,7.0575,7.1866,6.9501,6.9644,6587,2007
37,2007-10-22 00:00:00,7.122000000000001,7.122000000000001,6.7853,7.0218,3058,2007
38,2007-10-23 00:00:00,6.8211,6.9787,6.7853,6.7853,6647,2007
39,2007-10-24 00:00:00,6.7924,6.8498,6.7924,6.8211,5042,2007
40,2007-10-25 00:00:00,6.7853,6.9572,6.7137,6.9572,1977,2007
41,2007-10-26 00:00:00,6.857,6.857,6.6922,6.7208,5224,2007
42,2007-10-29 00:00:00,6.7853,7.294,6.7853,7.2223,14607,2007
43,2007-10-30 00:00:00,7.3155,7.3943,6.9214,7.2868,4467,2007
44,2007-10-31 00:00:00,7.2223,7.3227,7.2151,7.3227,875,2007
45,2007-11-02 00:00:00,7.3155,7.3155,6.9429,7.2009,7741,2007
46,2007-11-05 00:00:00,7.3227,7.3227,6.9501,6.9501,6244,2007
47,2007-11-06 00:00:00,6.9572,6.9572,6.9142,6.9142,2783,2007
48,2007-11-07 00:00:00,6.9214,6.9214,6.7137,6.7137,1843,2007
49,2007-11-08 00:00:00,6.5703,6.5775,6.1046,6.5632,8060,2007
50,2007-11-09 00:00:00,6.2049,6.2479,6.1763,6.1834,2431,2007
51,2007-11-12 00:00:00,6.1834,6.1834,6.1046,6.1404,2004,2007
52,2007-11-13 00:00:00,5.8395,6.0401,5.7678,5.8323,3756,2007
53,2007-11-14 00:00:00,5.7678,5.8323,5.603,5.8323,337,2007
54,2007-11-15 00:00:00,5.7965,5.7965,5.0872,5.5958,2202,2007
55,2007-11-16 00:00:00,5.4168,5.4168,4.6143,5.4168,981,2007
56,2007-11-19 00:00:00,5.2878,5.7678,5.2233,5.7678,4761,2007
57,2007-11-20 00:00:00,5.7392,5.7392,4.8292,5.2592,6261,2007
58,2007-11-21 00:00:00,5.0872,5.2162,4.7504,5.2162,5415,2007
59,2007-11-22 00:00:00,4.7791,5.08,4.0697,5.08,11638,2007
60,2007-11-23 00:00:00,5.1516,5.1516,5.08,5.0872,3019,2007
61,2007-11-26 00:00:00,5.3451,5.4168,5.2878,5.381,10635,2007
62,2007-11-27 00:00:00,5.0227,5.3523,5.0227,5.3523,541,2007
63,2007-11-28 00:00:00,5.2878,5.2878,5.2878,5.2878,221,2007
64,2007-11-29 00:00:00,5.1015,5.4956,5.1015,5.4956,3919,2007
65,2007-11-30 00:00:00,5.5027,6.1763,5.5027,5.7821,7362,2007
66,2007-12-03 00:00:00,5.8682,5.8682,5.8682,5.8682,127,2007
67,2007-12-04 00:00:00,5.6962,5.7321,5.6675,5.6962,945,2007
68,2007-12-05 00:00:00,5.4239999999999995,5.6317,5.4168,5.6317,3199,2007
69,2007-12-06 00:00:00,5.6317,5.6317,5.5314,5.6317,1070,2007
70,2007-12-07 00:00:00,5.6962,6.0329999999999995,5.6962,6.0329999999999995,3799,2007
71,2007-12-10 00:00:00,6.1189,7.3871,6.1189,7.3298,27665,2007
72,2007-12-11 00:00:00,7.4516,7.4516,6.4413,7.2366,2617,2007
73,2007-12-12 00:00:00,6.7853,7.1077,6.7853,7.1077,1954,2007
74,2007-12-13 00:00:00,6.8855,6.9787,6.5202,6.9787,4012,2007
75,2007-12-14 00:00:00,6.9859,6.9859,6.7924,6.8855,2689,2007
76,2007-12-17 00:00:00,6.7781,6.7781,5.9112,6.6491,2529,2007
77,2007-12-18 00:00:00,6.4342,6.7853,5.9112,6.7781,5433,2007
78,2007-12-19 00:00:00,6.8641,6.8641,6.3769,6.7781,6675,2007
79,2007-12-20 00:00:00,6.7853,6.7853,6.3411,6.6635,10367,2007
80,2007-12-21 00:00:00,6.7137,6.7137,6.3769,6.6491,8513,2007
81,2007-12-27 00:00:00,6.2121,6.7853,6.2121,6.7494,828,2007
82,2007-12-28 00:00:00,6.7423,6.7423,6.2837,6.5202,3982,2007
83,2008-01-02 00:00:00,6.6133,6.6133,6.2408,6.6133,2249,2008
84,2008-01-03 00:00:00,6.5775,6.5775,6.3411,6.3411,956,2008
85,2008-01-04 00:00:00,6.3052,6.4055,6.2479,6.4055,2709,2008
86,2008-01-07 00:00:00,6.1046,6.1476,5.9326,6.1046,2609,2008
87,2008-01-08 00:00:00,6.1046,6.1046,5.9685,5.9685,1694,2008
88,2008-01-09 00:00:00,5.4239999999999995,5.9469,5.4239999999999995,5.4311,6320,2008
89,2008-01-10 00:00:00,5.4956,5.4956,5.4311,5.4311,1166,2008
90,2008-01-11 00:00:00,5.4956,5.9254,5.4956,5.6317,2073,2008
91,2008-01-14 00:00:00,6.4055,6.4055,5.7105,6.0688,9110,2008
92,2008-01-15 00:00:00,6.1046,6.5775,6.0974,6.4413,8117,2008
93,2008-01-16 00:00:00,5.9685,5.9685,5.7321,5.7321,3220,2008
94,2008-01-17 00:00:00,5.7678,6.1763,5.7678,6.1763,4405,2008
95,2008-01-18 00:00:00,6.4342,6.4342,5.9685,5.9685,2948,2008
96,2008-01-21 00:00:00,6.0401,6.1046,5.5027,6.0401,16897,2008
97,2008-01-22 00:00:00,6.0401,6.0545,5.6317,5.8108,5541,2008
98,2008-01-23 00:00:00,5.904,5.99,5.646,5.646,7204,2008
99,2008-01-24 00:00:00,6.0902,6.0902,5.7678,5.9685,4731,2008
100,2008-01-25 00:00:00,5.8108,6.1046,5.8108,6.0688,4266,2008
101,2008-01-28 00:00:00,6.4127,6.4127,6.0258,6.0258,2505,2008
102,2008-01-29 00:00:00,6.1619,6.2765,6.0258,6.2765,873,2008
103,2008-01-30 00:00:00,6.2408,6.4342,6.2408,6.4342,1091,2008
104,2008-01-31 00:00:00,6.4485,6.5632,6.4342,6.5632,9544,2008
105,2008-02-01 00:00:00,6.642,6.685,6.3769,6.6491,2060,2008
106,2008-02-04 00:00:00,6.6491,6.6491,6.4413,6.5703,505,2008
107,2008-02-05 00:00:00,6.513,6.5703,6.1834,6.5417,2586,2008
108,2008-02-06 00:00:00,6.2408,6.5345,6.2408,6.513,2686,2008
109,2008-02-07 00:00:00,6.5489,6.7137,6.3052,6.7137,3153,2008
110,2008-02-08 00:00:00,6.4557,6.6993,6.4557,6.6993,415,2008
111,2008-02-11 00:00:00,6.3769,6.5775,6.1763,6.1763,2365,2008
112,2008-02-12 00:00:00,6.1046,6.3626,6.1046,6.3626,692,2008
113,2008-02-13 00:00:00,6.1834,6.4342,6.1834,6.4342,544,2008
114,2008-02-14 00:00:00,6.4413,6.513,6.2765,6.5059,1381,2008
115,2008-02-15 00:00:00,6.513,6.513,6.1046,6.3769,2112,2008
116,2008-02-18 00:00:00,6.1548,6.1548,6.1548,6.1548,730,2008
117,2008-02-19 00:00:00,6.3697,6.3697,6.3697,6.3697,1,2008
118,2008-02-20 00:00:00,6.1834,6.3697,6.1763,6.3697,1081,2008
119,2008-02-21 00:00:00,6.1763,6.1763,6.1763,6.1763,972,2008
120,2008-02-22 00:00:00,6.1548,6.1548,6.1046,6.1046,1230,2008
121,2008-02-25 00:00:00,6.0545,6.3482,6.0545,6.3482,89,2008
122,2008-02-26 00:00:00,6.3769,6.4413,6.0688,6.4413,3891,2008
123,2008-02-27 00:00:00,6.3052,6.5417,6.3052,6.5417,2409,2008
124,2008-02-28 00:00:00,6.1189,6.4342,5.8467,6.4342,6809,2008
125,2008-02-29 00:00:00,6.3052,6.3697,6.1117,6.3697,2264,2008
126,2008-03-03 00:00:00,6.1117,6.3554,5.7678,5.7821,11538,2008
127,2008-03-04 00:00:00,5.8538,5.9685,5.8538,5.9685,442,2008
128,2008-03-05 00:00:00,5.775,5.7893,5.7678,5.775,12676,2008
129,2008-03-06 00:00:00,6.0616,6.0616,6.0616,6.0616,30,2008
130,2008-03-07 00:00:00,5.7965,5.7965,5.7965,5.7965,147,2008
131,2008-03-10 00:00:00,5.7965,5.9541,5.7678,5.9541,177,2008
132,2008-03-11 00:00:00,6.3052,6.3052,6.3052,6.3052,14,2008
133,2008-03-12 00:00:00,6.3267,6.3267,6.3124,6.3124,1445,2008
134,2008-03-13 00:00:00,6.3052,6.3052,6.3052,6.3052,14,2008
135,2008-03-14 00:00:00,5.7965,6.2909,5.7965,6.2909,1358,2008
136,2008-03-17 00:00:00,5.8682,6.0974,5.6962,6.0974,454,2008
137,2008-03-18 00:00:00,5.7392,6.0688,5.6962,6.0688,5301,2008
138,2008-03-19 00:00:00,5.7321,6.0688,5.7034,6.0688,778,2008
139,2008-03-25 00:00:00,5.7678,6.0974,5.7678,6.0974,148,2008
140,2008-03-26 00:00:00,5.7678,6.0902,5.7678,6.0401,279,2008
141,2008-03-28 00:00:00,5.7321,6.0258,5.7321,6.0258,3107,2008
142,2008-03-31 00:00:00,5.7893,6.0258,5.7893,6.0258,320,2008
143,2008-04-01 00:00:00,5.7965,5.8037,5.7965,5.8037,560,2008
144,2008-04-02 00:00:00,6.0401,6.3697,6.0401,6.3052,8946,2008
145,2008-04-04 00:00:00,6.0473,6.0473,6.0473,6.0473,147,2008
146,2008-04-07 00:00:00,6.2408,6.2408,6.0401,6.0401,1264,2008
147,2008-04-08 00:00:00,5.9112,5.9112,5.904,5.904,411,2008
148,2008-04-09 00:00:00,5.904,5.904,5.904,5.904,43,2008
149,2008-04-10 00:00:00,6.1046,6.1691,5.8108,5.8108,3966,2008
150,2008-04-14 00:00:00,5.904,5.904,5.8968,5.8968,700,2008
151,2008-04-15 00:00:00,6.0616,6.0616,5.9184,5.9184,2058,2008
152,2008-04-16 00:00:00,5.9541,5.9685,5.8968,5.8968,1814,2008
153,2008-04-17 00:00:00,6.0115,6.0115,6.0115,6.0115,1,2008
154,2008-04-18 00:00:00,6.0115,6.0115,5.7893,5.7893,1351,2008
155,2008-04-21 00:00:00,5.8037,5.8825,5.6317,5.6317,1705,2008
156,2008-04-22 00:00:00,5.7536,6.1619,5.7536,5.7678,11549,2008
157,2008-04-23 00:00:00,5.9613,5.9613,5.603,5.7678,2111,2008
158,2008-04-24 00:00:00,5.904,5.9685,5.904,5.9685,1779,2008
159,2008-04-25 00:00:00,5.775,6.0473,5.775,6.0473,4405,2008
160,2008-04-28 00:00:00,6.1476,6.1476,6.1046,6.1046,1474,2008
