,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-08-24 00:00:00,5.95,5.95,5.5,5.5,675,2011
1,2011-08-25 00:00:00,5.81,5.81,5.5,5.5,30,2011
2,2011-08-26 00:00:00,5.33,5.33,4.35,4.64,1081,2011
3,2011-08-29 00:00:00,4.4,4.79,3.72,4.3,365,2011
4,2011-08-30 00:00:00,4.3,4.78,3.44,4.03,341,2011
5,2011-08-31 00:00:00,3.44,4.4,3.23,3.5,715,2011
6,2011-09-01 00:00:00,3.2,3.69,2.56,3.58,1625,2011
7,2011-09-02 00:00:00,3.52,3.52,2.83,3.39,31,2011
8,2011-09-05 00:00:00,2.72,3.24,2.5,3.24,50,2011
9,2011-09-06 00:00:00,3.15,3.15,2.53,3.04,41,2011
10,2011-09-07 00:00:00,3.06,3.06,2.7,2.97,111,2011
11,2011-09-08 00:00:00,2.97,2.97,2.38,2.84,69,2011
12,2011-09-09 00:00:00,2.82,2.82,2.82,2.82,10,2011
13,2011-09-12 00:00:00,2.82,2.82,1.81,2.68,453,2011
14,2011-09-14 00:00:00,2.15,3.2,2.15,3.2,2012,2011
15,2011-09-15 00:00:00,3.4,3.4,2.5,2.88,1210,2011
16,2011-09-16 00:00:00,3.4,3.4,2.31,2.31,542,2011
17,2011-09-19 00:00:00,2.45,2.79,2.45,2.79,272,2011
18,2011-09-20 00:00:00,2.8,3.3,2.3,3.3,1571,2011
19,2011-09-21 00:00:00,3.8,4.56,3.79,4.56,3452,2011
20,2011-09-22 00:00:00,4.85,4.85,3.2,3.2,3284,2011
21,2011-09-23 00:00:00,3.6,3.8,2.56,3.6,6488,2011
22,2011-09-26 00:00:00,3.6,3.6,2.88,2.88,630,2011
23,2011-09-27 00:00:00,2.88,3.2,2.31,3.2,1083,2011
24,2011-09-28 00:00:00,3.2,3.2,2.6,3.15,233,2011
25,2011-09-29 00:00:00,3.12,3.2,2.8,2.8,190,2011
26,2011-09-30 00:00:00,2.8,3.4,2.8,3.4,2475,2011
27,2011-10-03 00:00:00,3.2,3.2,2.6,2.85,711,2011
28,2011-10-04 00:00:00,2.85,2.85,2.85,2.85,9,2011
29,2011-10-05 00:00:00,2.66,2.79,2.55,2.79,778,2011
30,2011-10-06 00:00:00,2.6,2.71,2.25,2.71,2460,2011
31,2011-10-07 00:00:00,2.3,2.3,2.2,2.2,160,2011
32,2011-10-10 00:00:00,2.15,2.15,2.0,2.0,100,2011
33,2011-10-11 00:00:00,2.0,2.0,2.0,2.0,62,2011
34,2011-10-13 00:00:00,2.0,2.0,2.0,2.0,25,2011
35,2011-10-17 00:00:00,2.13,2.33,2.13,2.33,110,2011
36,2011-10-19 00:00:00,2.2,2.2,2.15,2.15,105,2011
37,2011-10-20 00:00:00,2.05,2.15,2.05,2.15,90,2011
38,2011-10-21 00:00:00,2.1,2.1,1.9,1.9,268,2011
39,2011-10-24 00:00:00,2.15,2.45,1.9,2.45,3730,2011
40,2011-10-25 00:00:00,2.3,2.45,2.1,2.25,200,2011
41,2011-10-26 00:00:00,2.1,2.24,2.0,2.23,522,2011
42,2011-10-27 00:00:00,2.1,2.3,1.8,2.0,1580,2011
43,2011-10-28 00:00:00,1.95,2.1,1.8,1.9,2655,2011
44,2011-10-31 00:00:00,1.88,2.28,1.75,1.9,5466,2011
45,2011-11-02 00:00:00,1.8,2.0,1.8,2.0,535,2011
46,2011-11-03 00:00:00,1.85,1.95,1.85,1.95,110,2011
47,2011-11-04 00:00:00,1.85,1.99,1.82,1.99,371,2011
48,2011-11-07 00:00:00,1.85,1.97,1.85,1.85,170,2011
49,2011-11-08 00:00:00,1.85,1.85,1.85,1.85,60,2011
50,2011-11-09 00:00:00,1.84,1.95,1.8,1.95,270,2011
51,2011-11-10 00:00:00,1.8,2.34,1.8,2.05,6698,2011
52,2011-11-14 00:00:00,2.05,2.05,1.64,1.64,6253,2011
53,2011-11-15 00:00:00,1.75,1.95,1.4,1.75,10461,2011
54,2011-11-16 00:00:00,1.77,1.89,1.77,1.89,153,2011
55,2011-11-17 00:00:00,1.99,1.99,1.65,1.85,535,2011
56,2011-11-18 00:00:00,1.84,1.84,1.84,1.84,67,2011
57,2011-11-21 00:00:00,1.7,1.7,1.5,1.6,451,2011
58,2011-11-22 00:00:00,1.55,1.6,1.55,1.6,145,2011
59,2011-11-23 00:00:00,1.55,1.7,1.4,1.5,37059,2011
60,2011-11-30 00:00:00,1.5,1.55,1.4,1.4,2700,2011
61,2011-12-01 00:00:00,1.4,1.5,1.4,1.5,210,2011
62,2011-12-02 00:00:00,1.45,1.45,1.3,1.4,2460,2011
63,2011-12-06 00:00:00,1.35,1.35,1.17,1.17,2201,2011
64,2011-12-07 00:00:00,1.16,1.16,1.16,1.16,50,2011
65,2011-12-08 00:00:00,1.16,1.16,1.16,1.16,100,2011
66,2011-12-09 00:00:00,1.16,1.35,1.16,1.35,6350,2011
67,2011-12-12 00:00:00,1.37,1.37,1.25,1.25,170,2011
68,2011-12-13 00:00:00,1.25,1.5,1.1,1.5,10004,2011
69,2011-12-14 00:00:00,1.46,1.7,1.46,1.52,2250,2011
70,2011-12-15 00:00:00,1.66,1.7,1.4,1.4,701,2011
71,2011-12-16 00:00:00,1.45,1.5,1.45,1.5,2500,2011
72,2011-12-19 00:00:00,1.5,1.65,1.5,1.65,1000,2011
73,2011-12-20 00:00:00,1.6,1.6,1.6,1.6,50,2011
74,2011-12-21 00:00:00,1.65,1.75,1.6,1.75,5365,2011
75,2011-12-22 00:00:00,1.75,2.0,1.75,1.99,8900,2011
76,2011-12-23 00:00:00,2.2,2.2,1.76,2.0,3489,2011
77,2011-12-27 00:00:00,1.99,1.99,1.99,1.99,50,2011
78,2011-12-28 00:00:00,1.98,1.98,1.98,1.98,50,2011
79,2011-12-29 00:00:00,1.99,1.99,1.99,1.99,25,2011
80,2011-12-30 00:00:00,1.99,1.99,1.8,1.98,326,2011
81,2012-01-02 00:00:00,1.99,1.99,1.99,1.99,25,2012
82,2012-01-03 00:00:00,1.96,1.96,1.96,1.96,25,2012
83,2012-01-04 00:00:00,1.96,1.96,1.96,1.96,25,2012
84,2012-01-09 00:00:00,1.96,1.96,1.96,1.96,55,2012
85,2012-01-10 00:00:00,1.96,2.05,1.95,2.05,1285,2012
86,2012-01-11 00:00:00,2.05,2.3,2.0,2.3,670,2012
87,2012-01-12 00:00:00,2.34,2.34,2.15,2.2,1170,2012
88,2012-01-13 00:00:00,2.25,2.63,2.24,2.63,1735,2012
89,2012-01-16 00:00:00,2.6,3.1,2.28,3.0,8028,2012
90,2012-01-17 00:00:00,3.4,4.05,3.4,4.04,3443,2012
91,2012-01-18 00:00:00,4.04,4.04,3.4,3.5,2120,2012
92,2012-01-19 00:00:00,3.5,3.5,3.3,3.49,4385,2012
