,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-06-08 00:00:00,3.1832,3.1832,2.5503,2.6434,128931,2011
1,2011-06-09 00:00:00,2.7178,2.7178,2.4014,2.4665,29594,2011
2,2011-06-10 00:00:00,2.4479,2.7365,2.3269,2.6713,26526,2011
3,2011-06-13 00:00:00,2.6713,2.6713,2.3642,2.6155,1125,2011
4,2011-06-14 00:00:00,2.6062,2.6062,2.4852,2.6062,3259,2011
5,2011-06-15 00:00:00,2.6155,2.6155,2.42,2.5317,854,2011
6,2011-06-16 00:00:00,2.6155,2.6434,2.3828,2.541,6387,2011
7,2011-06-17 00:00:00,2.541,2.5875,2.4014,2.5875,2888,2011
8,2011-06-20 00:00:00,2.5968,2.5968,2.3269,2.541,3148,2011
9,2011-06-21 00:00:00,2.541,2.541,2.0942,2.3269,20382,2011
10,2011-06-22 00:00:00,2.3269,2.3269,2.0477,2.057,6468,2011
11,2011-06-24 00:00:00,2.2152,2.2152,2.057,2.2152,3812,2011
12,2011-06-27 00:00:00,2.2152,2.2152,2.0105,2.1873,6323,2011
13,2011-06-28 00:00:00,2.2152,2.2152,1.9174,1.9174,10342,2011
14,2011-06-29 00:00:00,2.1035,2.1035,1.8708,2.0849,5747,2011
15,2011-06-30 00:00:00,2.1035,2.2152,2.0012,2.2152,7351,2011
16,2011-07-01 00:00:00,2.1873,2.2245,2.1222,2.2245,2041,2011
17,2011-07-04 00:00:00,2.1873,2.2245,2.1594,2.1873,3266,2011
18,2011-07-05 00:00:00,2.1873,2.2152,2.0756,2.2152,1893,2011
19,2011-07-06 00:00:00,2.2152,2.2152,2.0477,2.178,8366,2011
20,2011-07-07 00:00:00,2.2152,2.2152,2.0942,2.0942,2533,2011
21,2011-07-08 00:00:00,2.1966,2.1966,2.1128,2.178,2409,2011
22,2011-07-11 00:00:00,2.178,2.1873,2.178,2.1873,27,2011
23,2011-07-12 00:00:00,2.1873,2.1873,2.178,2.178,7781,2011
24,2011-07-13 00:00:00,2.1873,2.1873,2.0105,2.1408,1329,2011
25,2011-07-14 00:00:00,2.1408,2.178,2.1408,2.178,10,2011
26,2011-07-15 00:00:00,2.178,2.178,1.9267,2.1687,833,2011
27,2011-07-18 00:00:00,2.1687,2.1873,2.1687,2.1873,8,2011
28,2011-07-19 00:00:00,2.1873,2.1873,2.178,2.178,11,2011
29,2011-07-20 00:00:00,2.1873,2.1873,2.1408,2.1408,118,2011
30,2011-07-21 00:00:00,2.1408,2.1408,1.8895,2.0477,1038,2011
31,2011-07-22 00:00:00,1.9546,2.0942,1.9546,2.0942,1080,2011
32,2011-07-25 00:00:00,2.0942,2.0942,1.694,2.0942,11,2011
33,2011-07-26 00:00:00,2.0942,2.0942,2.0942,2.0942,11,2011
34,2011-07-27 00:00:00,2.0942,2.0942,2.0942,2.0942,11,2011
35,2011-07-28 00:00:00,2.0942,2.0942,2.0477,2.0942,318,2011
36,2011-07-29 00:00:00,2.0942,2.1687,2.0477,2.1315,2435,2011
37,2011-08-01 00:00:00,2.1408,2.1408,2.1315,2.1315,11,2011
38,2011-08-02 00:00:00,2.1408,2.1408,1.8615,1.9732,1085,2011
39,2011-08-03 00:00:00,1.9732,1.9732,1.6754,1.6754,3964,2011
40,2011-08-04 00:00:00,1.8429,1.8429,1.3962,1.5358,9330,2011
41,2011-08-05 00:00:00,1.8429,1.8429,1.4799,1.6754,1996,2011
42,2011-08-08 00:00:00,1.8429,1.8429,1.6754,1.6754,2697,2011
43,2011-08-09 00:00:00,1.815,1.815,1.6288,1.6288,1082,2011
44,2011-08-10 00:00:00,1.7405,1.7405,1.5172,1.7219,1081,2011
45,2011-08-11 00:00:00,1.7219,1.7219,1.7219,1.7219,11,2011
46,2011-08-12 00:00:00,1.8615,1.9546,1.4985,1.8615,1749,2011
47,2011-08-17 00:00:00,1.8615,1.8615,1.7498,1.7498,2152,2011
48,2011-08-18 00:00:00,1.6661,1.6661,1.4148,1.452,7872,2011
49,2011-08-19 00:00:00,1.4799,1.4799,1.3868,1.3868,367,2011
50,2011-08-22 00:00:00,1.4799,1.4799,1.3496,1.3496,77,2011
51,2011-08-23 00:00:00,1.4799,1.4799,1.3962,1.4427,3338,2011
52,2011-08-24 00:00:00,1.4799,1.4799,1.4427,1.4427,1622,2011
53,2011-08-25 00:00:00,1.4799,1.6661,1.4799,1.5358,5639,2011
54,2011-08-26 00:00:00,1.6661,1.6661,1.5823,1.5823,11,2011
55,2011-08-29 00:00:00,1.6661,1.6661,1.6568,1.6568,8,2011
