,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-01-09 00:00:00,0.19893,0.23872,0.19893,0.22876999999999997,719673,2012
1,2012-01-10 00:00:00,0.24866,0.24866,0.18898,0.20888,275277,2012
2,2012-01-11 00:00:00,0.19893,0.20888,0.17904,0.20888,22241,2012
3,2012-01-12 00:00:00,0.20888,0.23872,0.20888,0.23872,17594,2012
4,2012-01-13 00:00:00,0.22876999999999997,0.22876999999999997,0.18898,0.19893,86956,2012
5,2012-01-16 00:00:00,0.19893,0.19893,0.17904,0.18898,80246,2012
6,2012-01-17 00:00:00,0.19893,0.19893,0.19893,0.19893,3810,2012
7,2012-01-18 00:00:00,0.17904,0.19893,0.17904,0.19893,27360,2012
8,2012-01-19 00:00:00,0.17904,0.19893,0.16909000000000002,0.19893,80430,2012
9,2012-01-20 00:00:00,0.16909000000000002,0.16909000000000002,0.16909000000000002,0.16909000000000002,20066,2012
10,2012-01-23 00:00:00,0.15914,0.15914,0.15914,0.15914,30898,2012
11,2012-01-24 00:00:00,0.1492,0.18898,0.1492,0.15914,22989,2012
12,2012-01-25 00:00:00,0.18898,0.18898,0.18898,0.18898,503,2012
13,2012-01-26 00:00:00,0.18898,0.18898,0.15914,0.18898,5731,2012
14,2012-01-27 00:00:00,0.18898,0.18898,0.18898,0.18898,201,2012
15,2012-01-30 00:00:00,0.17904,0.17904,0.17904,0.17904,503,2012
16,2012-02-01 00:00:00,0.13925,0.17904,0.13925,0.17904,10305,2012
17,2012-02-07 00:00:00,0.1492,0.1492,0.1492,0.1492,32675,2012
18,2012-02-08 00:00:00,0.1492,0.17904,0.1492,0.17904,101683,2012
19,2012-02-09 00:00:00,0.15914,0.15914,0.13925,0.1492,68290,2012
20,2012-02-10 00:00:00,0.1492,0.1492,0.1492,0.1492,2212,2012
21,2012-02-13 00:00:00,0.1492,0.1492,0.1492,0.1492,15081,2012
22,2012-02-14 00:00:00,0.1492,0.1492,0.13925,0.13925,73898,2012
23,2012-02-15 00:00:00,0.13925,0.13925,0.1293,0.1293,7540,2012
24,2012-02-16 00:00:00,0.1293,0.1293,0.1293,0.1293,2212,2012
25,2012-02-17 00:00:00,0.13925,0.1492,0.13925,0.1492,52506,2012
26,2012-02-20 00:00:00,0.13925,0.13925,0.13925,0.13925,115719,2012
27,2012-02-22 00:00:00,0.13925,0.13925,0.13925,0.13925,14591,2012
28,2012-02-23 00:00:00,0.1293,0.1492,0.1293,0.13925,127381,2012
29,2012-02-24 00:00:00,0.13925,0.1492,0.1293,0.1293,92243,2012
