,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-08-31 00:00:00,4.0939,4.0939,3.3323,3.6179,12686,2012
1,2012-09-03 00:00:00,3.6084,3.6084,3.3608,3.5989,468,2012
2,2012-09-04 00:00:00,3.3799,3.3799,3.3799,3.3799,5,2012
3,2012-09-05 00:00:00,3.3894,3.3894,3.3894,3.3894,5,2012
4,2012-09-06 00:00:00,3.4275,3.7988,3.2371,3.3513,6917,2012
5,2012-09-07 00:00:00,3.418,3.418,3.3323,3.3323,3318,2012
6,2012-09-10 00:00:00,3.418,3.418,3.418,3.418,6638,2012
7,2012-09-11 00:00:00,3.418,3.418,3.4085,3.418,1512,2012
8,2012-09-12 00:00:00,3.418,3.418,3.418,3.418,5,2012
9,2012-09-13 00:00:00,3.418,3.6084,3.3989,3.437,296,2012
10,2012-09-14 00:00:00,3.4275,3.4275,3.418,3.418,1479,2012
11,2012-09-17 00:00:00,3.3799,3.418,3.3799,3.418,5319,2012
12,2012-09-18 00:00:00,3.4275,4.3795,3.418,4.1892,31532,2012
13,2012-09-19 00:00:00,4.2367,4.3986,4.1416,4.3986,1283,2012
14,2012-09-20 00:00:00,4.3795,4.3795,4.2367,4.2844,484,2012
15,2012-09-21 00:00:00,4.2844,4.2844,3.5227,4.2844,5201,2012
16,2012-09-24 00:00:00,4.2748,4.2748,3.9988,4.1892,476,2012
17,2012-09-25 00:00:00,3.9988,3.9988,3.5989,3.8083,2292,2012
18,2012-09-26 00:00:00,3.8560000000000003,4.1416,3.8560000000000003,4.1416,1213,2012
19,2012-09-27 00:00:00,4.1892,4.2748,3.9892,4.2748,1956,2012
20,2012-09-28 00:00:00,4.2748,4.2748,4.0463,4.2748,830,2012
21,2012-10-01 00:00:00,4.2748,4.2748,3.9702,4.0939,576,2012
22,2012-10-02 00:00:00,4.0273,4.0273,4.0273,4.0273,133,2012
23,2012-10-03 00:00:00,3.9988,3.9988,3.5417,3.7988,1614,2012
24,2012-10-04 00:00:00,3.8083,3.8083,3.637,3.637,446,2012
25,2012-10-05 00:00:00,3.5703,3.5703,3.2942,3.2942,998,2012
26,2012-10-08 00:00:00,3.3323,3.3323,3.3323,3.3323,42,2012
27,2012-10-09 00:00:00,3.3323,3.3323,3.2847,3.3323,448,2012
28,2012-10-10 00:00:00,3.2085,3.2657,3.1704,3.2657,699,2012
29,2012-10-11 00:00:00,3.1895,3.1895,3.0467,3.1229,310,2012
30,2012-10-12 00:00:00,3.0942,3.7417,3.0942,3.5894,6746,2012
31,2012-10-15 00:00:00,3.5227,3.5227,3.4275,3.4751,693,2012
32,2012-10-16 00:00:00,3.4751,3.7036,3.4751,3.7036,17264,2012
33,2012-10-17 00:00:00,3.7036,3.7036,3.5227,3.6845,726,2012
34,2012-10-18 00:00:00,3.6845,3.9226,3.5703,3.9226,4887,2012
35,2012-10-19 00:00:00,3.9035,3.9035,3.7512,3.8083,1110,2012
36,2012-10-22 00:00:00,3.8179,3.9035,3.8179,3.8179,2316,2012
37,2012-10-23 00:00:00,3.8560000000000003,3.8560000000000003,3.8560000000000003,3.8560000000000003,5,2012
38,2012-10-24 00:00:00,3.8560000000000003,3.8560000000000003,3.5132,3.5132,982,2012
39,2012-10-25 00:00:00,3.5132,3.5132,3.5132,3.5132,448,2012
40,2012-10-26 00:00:00,3.4942,3.5227,3.3989,3.5227,402,2012
41,2012-10-29 00:00:00,3.5227,3.5227,3.3228,3.3513,945,2012
42,2012-10-30 00:00:00,3.3323,3.3323,3.1229,3.1323,1297,2012
43,2012-10-31 00:00:00,3.1323,3.1323,3.0942,3.0942,226,2012
44,2012-11-02 00:00:00,3.0942,3.0942,2.9895,3.0276,909,2012
45,2012-11-05 00:00:00,2.9991,2.9991,2.9991,2.9991,273,2012
46,2012-11-06 00:00:00,2.9514,3.1704,2.9133,3.0276,2316,2012
47,2012-11-07 00:00:00,2.9133,3.0276,2.8563,2.9324,4040,2012
48,2012-11-08 00:00:00,2.9039,2.9039,2.9039,2.9039,10,2012
49,2012-11-09 00:00:00,2.9039,2.9039,2.8086,2.8943,29,2012
50,2012-11-13 00:00:00,2.8563,2.8563,2.8563,2.8563,10,2012
51,2012-11-20 00:00:00,2.8943,3.0942,2.8943,2.9514,2999,2012
52,2012-11-21 00:00:00,2.9514,2.9991,2.9039,2.9991,727,2012
53,2012-11-22 00:00:00,2.9514,2.9514,2.9514,2.9514,10,2012
54,2012-11-23 00:00:00,2.9324,2.9514,2.8848,2.8943,1293,2012
55,2012-11-26 00:00:00,2.8658,2.8658,2.8658,2.8658,1470,2012
56,2012-11-27 00:00:00,2.8848,2.8848,2.742,2.742,2394,2012
57,2012-11-28 00:00:00,2.7135,2.7135,2.5896,2.5896,1628,2012
58,2012-11-30 00:00:00,2.6182,2.8467,2.6182,2.8467,745,2012
59,2012-12-03 00:00:00,2.8467,2.8467,2.8467,2.8467,21,2012
60,2012-12-04 00:00:00,2.8467,2.8467,2.8372,2.8372,28,2012
61,2012-12-05 00:00:00,2.8467,2.8467,2.8467,2.8467,10,2012
62,2012-12-06 00:00:00,2.8563,2.8563,2.8563,2.8563,10,2012
63,2012-12-07 00:00:00,2.8563,2.8563,2.8563,2.8563,5,2012
64,2012-12-10 00:00:00,2.8563,2.8563,2.8563,2.8563,10,2012
65,2012-12-12 00:00:00,2.8563,2.8563,2.8563,2.8563,5,2012
66,2012-12-13 00:00:00,2.7611,2.7611,2.7611,2.7611,52,2012
67,2012-12-17 00:00:00,2.7515,2.7515,2.7515,2.7515,168,2012
68,2012-12-18 00:00:00,2.7515,2.7515,2.7515,2.7515,480,2012
69,2012-12-19 00:00:00,2.7515,2.7515,2.7515,2.7515,231,2012
70,2012-12-20 00:00:00,2.7515,2.7515,2.7515,2.7515,203,2012
71,2012-12-21 00:00:00,2.7515,2.7515,2.7515,2.7515,10,2012
72,2012-12-27 00:00:00,2.7611,2.9039,2.7515,2.7515,5230,2012
73,2012-12-28 00:00:00,2.7515,2.7515,2.7515,2.7515,1114,2012
74,2013-01-02 00:00:00,2.523,2.9039,2.523,2.9039,830,2013
