,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-08-21 00:00:00,1.6,1.98,1.2,1.54,86279,2014
1,2014-08-22 00:00:00,1.58,1.59,1.36,1.49,22668,2014
2,2014-08-25 00:00:00,1.47,1.47,1.18,1.3,7875,2014
3,2014-08-26 00:00:00,1.19,1.19,1.01,1.02,2325,2014
4,2014-08-27 00:00:00,1.01,1.21,1.0,1.0,7855,2014
5,2014-08-28 00:00:00,1.0,1.1,1.0,1.04,3394,2014
6,2014-08-29 00:00:00,1.03,1.03,0.97,0.97,2620,2014
7,2014-09-01 00:00:00,0.97,0.97,0.8,0.8,5759,2014
8,2014-09-02 00:00:00,0.82,0.98,0.82,0.98,3593,2014
9,2014-09-03 00:00:00,0.98,1.01,0.84,1.01,10698,2014
10,2014-09-04 00:00:00,1.01,1.05,0.93,1.05,737,2014
11,2014-09-05 00:00:00,1.0,1.1,1.0,1.1,2373,2014
12,2014-09-08 00:00:00,1.06,1.13,0.94,0.94,8793,2014
13,2014-09-09 00:00:00,0.97,1.12,0.87,1.03,15714,2014
14,2014-09-10 00:00:00,1.03,1.03,0.84,0.9,3285,2014
15,2014-09-11 00:00:00,0.85,0.85,0.84,0.84,176,2014
16,2014-09-12 00:00:00,0.9,1.08,0.9,1.08,3485,2014
17,2014-09-15 00:00:00,1.08,1.17,0.9,0.9,6633,2014
18,2014-09-16 00:00:00,0.9,0.98,0.9,0.91,1003,2014
19,2014-09-17 00:00:00,0.91,0.91,0.91,0.91,328,2014
20,2014-09-18 00:00:00,0.91,1.05,0.91,1.05,5312,2014
21,2014-09-19 00:00:00,1.05,1.26,1.01,1.18,15599,2014
22,2014-09-22 00:00:00,1.17,1.19,1.06,1.06,3643,2014
23,2014-09-23 00:00:00,1.05,1.05,1.0,1.0,1430,2014
24,2014-09-24 00:00:00,0.99,0.99,0.9,0.95,4102,2014
25,2014-09-25 00:00:00,0.98,0.98,0.98,0.98,280,2014
26,2014-09-30 00:00:00,0.98,1.07,0.98,1.07,5250,2014
27,2014-10-02 00:00:00,1.07,1.07,1.07,1.07,10,2014
28,2014-10-03 00:00:00,1.05,1.05,1.05,1.05,35,2014
29,2014-10-06 00:00:00,1.05,1.05,1.05,1.05,10,2014
30,2014-10-07 00:00:00,1.05,1.05,1.05,1.05,100,2014
31,2014-10-08 00:00:00,1.05,1.05,1.05,1.05,100,2014
32,2014-10-09 00:00:00,1.05,1.05,1.03,1.05,350,2014
33,2014-10-10 00:00:00,1.05,1.05,0.95,0.95,2100,2014
34,2014-10-13 00:00:00,0.93,0.93,0.87,0.87,2653,2014
35,2014-10-14 00:00:00,0.87,0.87,0.87,0.87,20,2014
36,2014-10-16 00:00:00,0.87,0.87,0.87,0.87,840,2014
37,2014-10-22 00:00:00,0.84,0.84,0.77,0.77,5600,2014
38,2014-10-23 00:00:00,0.78,0.79,0.77,0.77,2450,2014
39,2014-11-03 00:00:00,0.78,0.86,0.78,0.86,2500,2014
40,2014-11-04 00:00:00,0.86,1.03,0.86,0.96,4837,2014
41,2014-11-05 00:00:00,0.96,1.04,0.96,1.04,300,2014
42,2014-11-06 00:00:00,1.04,1.04,0.93,1.0,6109,2014
43,2014-11-07 00:00:00,1.0,1.0,0.9,0.97,3590,2014
44,2014-11-12 00:00:00,0.9,0.9,0.82,0.85,6310,2014
45,2014-11-18 00:00:00,0.82,0.82,0.78,0.78,2180,2014
46,2014-11-20 00:00:00,0.78,0.78,0.77,0.77,1000,2014
47,2014-11-21 00:00:00,0.77,0.77,0.77,0.77,110,2014
48,2014-11-24 00:00:00,0.76,0.76,0.71,0.71,1347,2014
49,2014-11-25 00:00:00,0.72,0.72,0.72,0.72,100,2014
50,2014-11-26 00:00:00,0.72,0.72,0.72,0.72,100,2014
51,2014-12-02 00:00:00,0.74,0.77,0.74,0.75,4200,2014
52,2014-12-04 00:00:00,0.78,0.88,0.78,0.88,600,2014
53,2014-12-05 00:00:00,0.87,0.9,0.87,0.9,550,2014
54,2014-12-08 00:00:00,0.9,0.99,0.87,0.97,3580,2014
55,2014-12-09 00:00:00,0.97,0.97,0.79,0.89,2640,2014
56,2014-12-11 00:00:00,0.9,0.9,0.9,0.9,20,2014
57,2014-12-12 00:00:00,0.9,0.9,0.9,0.9,30,2014
58,2014-12-15 00:00:00,0.9,0.9,0.9,0.9,20,2014
59,2014-12-16 00:00:00,0.9,0.9,0.9,0.9,20,2014
60,2014-12-17 00:00:00,0.9,0.9,0.83,0.83,699,2014
61,2014-12-19 00:00:00,0.82,0.82,0.77,0.77,3020,2014
62,2014-12-23 00:00:00,0.8,0.87,0.8,0.87,700,2014
