,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-05-08 00:00:00,10.05,12.36,9.41,12.2,115275,2008
1,2008-05-09 00:00:00,12.35,12.73,10.5,10.5,22696,2008
2,2008-05-12 00:00:00,10.3,10.48,8.6,8.6,18294,2008
3,2008-05-13 00:00:00,8.0,9.38,8.0,8.55,1898,2008
4,2008-05-14 00:00:00,8.97,9.0,8.97,8.98,1006,2008
5,2008-05-15 00:00:00,8.3,9.0,8.0,9.0,1658,2008
6,2008-05-16 00:00:00,9.39,9.5,9.39,9.5,2744,2008
7,2008-05-19 00:00:00,8.9,9.5,8.8,9.5,268,2008
8,2008-05-20 00:00:00,8.6,9.5,8.6,9.5,1177,2008
9,2008-05-21 00:00:00,8.31,9.5,8.3,9.5,220,2008
10,2008-05-23 00:00:00,9.5,9.5,9.5,9.5,10,2008
11,2008-05-26 00:00:00,7.5,9.5,7.5,9.5,1493,2008
12,2008-05-27 00:00:00,9.5,9.5,9.5,9.5,50,2008
13,2008-05-28 00:00:00,7.6,9.15,7.6,9.15,710,2008
14,2008-05-29 00:00:00,7.5,8.9,7.5,8.9,773,2008
15,2008-05-30 00:00:00,7.56,8.83,7.56,8.83,200,2008
16,2008-06-03 00:00:00,7.5,8.9,7.5,8.9,1050,2008
17,2008-06-04 00:00:00,7.61,8.6,7.6,8.6,350,2008
18,2008-06-05 00:00:00,7.66,8.55,7.66,8.5,331,2008
19,2008-06-06 00:00:00,7.62,8.6,7.62,8.49,464,2008
20,2008-06-09 00:00:00,7.52,8.1,7.5,8.05,310,2008
21,2008-06-11 00:00:00,6.5,8.03,6.5,8.03,240,2008
22,2008-06-12 00:00:00,7.99,7.99,7.99,7.99,150,2008
23,2008-06-13 00:00:00,7.99,7.99,7.99,7.99,100,2008
24,2008-06-16 00:00:00,6.42,7.95,6.39,6.39,823,2008
25,2008-06-23 00:00:00,5.12,6.39,5.12,6.39,101,2008
26,2008-06-24 00:00:00,5.15,5.98,5.15,5.98,51,2008
27,2008-06-27 00:00:00,4.79,5.9,4.79,5.9,261,2008
28,2008-06-30 00:00:00,5.95,5.95,5.95,5.95,500,2008
29,2008-07-10 00:00:00,5.49,6.2,5.49,6.19,2050,2008
30,2008-07-14 00:00:00,5.06,6.2,5.05,6.2,320,2008
31,2008-07-16 00:00:00,5.09,6.18,5.01,6.1,936,2008
32,2008-07-17 00:00:00,5.11,6.04,5.11,6.04,409,2008
33,2008-07-21 00:00:00,5.05,5.8,5.05,5.8,200,2008
34,2008-07-22 00:00:00,6.0,6.9,6.0,6.9,920,2008
35,2008-07-23 00:00:00,6.41,6.95,6.41,6.9,611,2008
36,2008-07-24 00:00:00,6.95,7.9,6.95,7.9,913,2008
37,2008-07-25 00:00:00,7.9,7.9,7.9,7.9,200,2008
38,2008-07-28 00:00:00,7.99,7.99,7.99,7.99,100,2008
39,2008-07-30 00:00:00,7.99,8.4,7.99,8.4,1466,2008
40,2008-07-31 00:00:00,8.41,8.6,8.41,8.6,4387,2008
41,2008-08-01 00:00:00,8.6,8.8,8.5,8.8,9882,2008
42,2008-08-04 00:00:00,8.8,8.8,8.8,8.8,200,2008
43,2008-08-05 00:00:00,8.8,9.45,8.8,9.45,2580,2008
44,2008-08-06 00:00:00,9.45,9.5,9.45,9.5,487,2008
45,2008-08-08 00:00:00,9.5,10.01,9.5,9.5,3230,2008
46,2008-08-11 00:00:00,10.0,10.01,10.0,10.01,960,2008
47,2008-08-12 00:00:00,10.01,10.01,10.01,10.01,100,2008
48,2008-08-14 00:00:00,10.0,10.0,10.0,10.0,59,2008
49,2008-08-19 00:00:00,10.01,10.01,10.01,10.01,10,2008
50,2008-08-22 00:00:00,9.01,9.01,9.01,9.01,110,2008
51,2008-08-25 00:00:00,9.98,9.98,9.98,9.98,100,2008
52,2008-08-26 00:00:00,9.0,9.0,9.0,9.0,100,2008
53,2008-08-27 00:00:00,8.2,8.98,8.0,8.98,633,2008
54,2008-08-28 00:00:00,9.87,9.87,9.87,9.87,23,2008
55,2008-09-01 00:00:00,8.01,9.7,8.01,9.7,107,2008
56,2008-09-02 00:00:00,8.01,8.01,8.01,8.01,500,2008
57,2008-09-03 00:00:00,9.0,9.0,9.0,9.0,15,2008
58,2008-09-04 00:00:00,8.06,8.06,8.05,8.05,180,2008
59,2008-09-05 00:00:00,7.5,8.98,7.0,7.0,1235,2008
60,2008-09-08 00:00:00,8.39,8.39,8.39,8.39,25,2008
61,2008-09-09 00:00:00,8.6,8.6,8.6,8.6,1,2008
62,2008-09-12 00:00:00,7.01,7.9,7.0,7.9,771,2008
63,2008-09-19 00:00:00,7.9,8.99,7.9,8.99,101,2008
64,2008-09-22 00:00:00,8.96,8.96,8.96,8.96,50,2008
65,2008-09-29 00:00:00,8.0,8.88,8.0,8.88,1300,2008
66,2008-09-30 00:00:00,7.11,8.79,7.11,8.79,200,2008
67,2008-10-13 00:00:00,7.04,8.5,7.04,8.5,350,2008
68,2008-10-14 00:00:00,6.8,8.49,6.8,8.49,810,2008
69,2008-10-15 00:00:00,6.8,8.29,5.0,5.0,2700,2008
70,2008-10-16 00:00:00,6.0,7.0,5.9,7.0,651,2008
71,2008-10-17 00:00:00,7.5,7.5,6.5,7.45,700,2008
