,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-06-13 00:00:00,1.3883,1.3883,1.3883,1.3883,720750,2011
1,2011-06-14 00:00:00,1.5867,1.9040000000000001,1.53,1.9040000000000001,293795,2011
2,2011-06-15 00:00:00,2.1533,2.2667,1.3827,1.5017,836933,2011
3,2011-06-16 00:00:00,1.411,1.9380000000000002,1.2467,1.921,502800,2011
4,2011-06-17 00:00:00,1.8133,1.9097,1.3997,1.3997,372829,2011
5,2011-06-20 00:00:00,1.2863,1.3940000000000001,1.054,1.0993,423582,2011
6,2011-06-21 00:00:00,1.0937,1.2353,1.0937,1.1107,217038,2011
7,2011-06-22 00:00:00,1.1107,1.1503,0.9179999999999999,1.0087,115867,2011
8,2011-06-24 00:00:00,0.9293,1.0653,0.9123,0.9463,57446,2011
9,2011-06-27 00:00:00,0.9917,0.9917,0.85,0.85,86370,2011
10,2011-06-28 00:00:00,0.8217,0.8727,0.7367,0.782,59202,2011
11,2011-06-29 00:00:00,0.748,0.9067,0.6913,0.85,78976,2011
12,2011-06-30 00:00:00,0.85,0.99,0.85,0.99,59042,2011
13,2011-07-01 00:00:00,0.9917,0.9917,0.85,0.9917,21376,2011
14,2011-07-04 00:00:00,0.9917,1.3259999999999998,0.9293,1.1333,154225,2011
15,2011-07-05 00:00:00,1.1333,1.2467,1.0427,1.1787,62765,2011
16,2011-07-06 00:00:00,1.1787,1.207,1.0767,1.1333,31106,2011
17,2011-07-07 00:00:00,1.0597,1.122,0.9463,1.037,58560,2011
18,2011-07-08 00:00:00,1.037,1.0597,0.9633,1.003,30808,2011
19,2011-07-11 00:00:00,0.9633,1.2013,0.9633,1.173,76604,2011
20,2011-07-12 00:00:00,1.2183,1.3259999999999998,1.1787,1.2297,79073,2011
21,2011-07-13 00:00:00,1.2523,1.258,1.0653,1.1617,147122,2011
22,2011-07-14 00:00:00,1.1503,1.156,1.088,1.088,14275,2011
23,2011-07-15 00:00:00,1.0993,1.2977,1.0823,1.1617,74284,2011
24,2011-07-18 00:00:00,1.1617,1.1617,1.0653,1.1107,32389,2011
25,2011-07-19 00:00:00,1.0993,1.0993,1.0257,1.0313,45279,2011
26,2011-07-20 00:00:00,1.0313,1.2297,1.0257,1.037,81505,2011
27,2011-07-21 00:00:00,1.088,1.105,1.0257,1.0483,13553,2011
28,2011-07-22 00:00:00,1.0937,1.105,1.0653,1.0653,14162,2011
29,2011-07-25 00:00:00,1.0483,1.0767,1.0143,1.02,8642,2011
30,2011-07-26 00:00:00,1.0143,1.0313,1.0143,1.0143,9353,2011
31,2011-07-27 00:00:00,1.0143,1.0143,0.9067,0.9577,33501,2011
32,2011-07-28 00:00:00,0.9237,0.935,0.9067,0.935,9397,2011
33,2011-07-29 00:00:00,0.96,0.96,0.91,0.96,3538,2011
34,2011-08-01 00:00:00,0.9067,1.1277,0.85,1.122,46698,2011
35,2011-08-02 00:00:00,0.9067,0.9577,0.7083,0.7083,513224,2011
36,2011-08-03 00:00:00,0.6687,0.7537,0.5327,0.5327,717406,2011
37,2011-08-04 00:00:00,0.578,0.578,0.374,0.4363,334825,2011
38,2011-08-05 00:00:00,0.35700000000000004,0.425,0.2947,0.3683,240519,2011
39,2011-08-08 00:00:00,0.3513,0.374,0.3117,0.35700000000000004,321455,2011
40,2011-08-09 00:00:00,0.34,0.34,0.2947,0.3117,46489,2011
41,2011-08-10 00:00:00,0.34,0.3457,0.306,0.34,88705,2011
42,2011-08-11 00:00:00,0.3173,0.3173,0.2663,0.2663,417538,2011
