,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-10-23 00:00:00,7.4464,7.4464,4.9643,5.6394,220929,2019
1,2019-10-24 00:00:00,5.9571,6.3543,5.1827,5.558,123152,2019
2,2019-10-25 00:00:00,5.6394,5.6394,4.8253,5.0258,63851,2019
3,2019-10-28 00:00:00,4.9643,5.9353,4.9643,5.4409,26536,2019
4,2019-10-29 00:00:00,5.6196,5.7685,4.9643,5.3614,14888,2019
5,2019-10-30 00:00:00,5.4508,5.558,5.2125,5.3505,13282,2019
6,2019-10-31 00:00:00,5.4488,5.4488,5.0735,5.2423,16245,2019
7,2019-11-04 00:00:00,5.2621,5.2621,4.9643,5.2324,14943,2019
8,2019-11-05 00:00:00,5.2324,5.2979,4.3289,4.8819,37774,2019
9,2019-11-06 00:00:00,4.8749,4.8749,4.6664,4.7806,4036,2019
10,2019-11-07 00:00:00,4.7657,4.8531,4.6188,4.6664,18857,2019
11,2019-11-08 00:00:00,4.6267,4.9643,4.4976,4.7756,19917,2019
12,2019-11-12 00:00:00,4.7667,4.9444,4.5771,4.7955,7940,2019
13,2019-11-13 00:00:00,4.8451,5.1629,4.8451,5.1629,17165,2019
14,2019-11-14 00:00:00,5.2423,5.4309,4.8958,5.0417,20865,2019
15,2019-11-15 00:00:00,5.0338,5.1629,4.865,5.0437,4152,2019
16,2019-11-18 00:00:00,4.999,5.004,4.8154,4.9494,6082,2019
17,2019-11-19 00:00:00,4.8154,4.9643,4.7161,4.8233,7688,2019
18,2019-11-20 00:00:00,4.8223,4.865,4.6664,4.7856,5460,2019
19,2019-11-21 00:00:00,4.6764,4.7359,4.6664,4.726,4344,2019
20,2019-11-22 00:00:00,4.726,4.8948,4.726,4.8451,6692,2019
21,2019-11-25 00:00:00,4.8352,4.8352,4.6962,4.7836,7683,2019
22,2019-11-26 00:00:00,4.7657,4.7905,4.7161,4.7756,3038,2019
23,2019-11-27 00:00:00,4.7657,4.8451,4.6962,4.7856,4292,2019
24,2019-11-28 00:00:00,4.7856,4.7955,4.727,4.7945,1971,2019
25,2019-11-29 00:00:00,4.865,6.3344,4.865,5.5799,123640,2019
26,2019-12-02 00:00:00,5.7189,5.8777,5.3416,5.7586,35138,2019
27,2019-12-03 00:00:00,5.8579,5.9373,5.56,5.6394,11337,2019
28,2019-12-04 00:00:00,5.5302,5.7983,5.4011,5.5501,8224,2019
29,2019-12-05 00:00:00,5.5501,5.56,5.287000000000001,5.5401,5776,2019
30,2019-12-06 00:00:00,5.3614,5.8579,5.2751,5.6583,12930,2019
31,2019-12-09 00:00:00,5.7486,5.8579,5.7,5.837999999999999,7626,2019
32,2019-12-10 00:00:00,5.8281,5.8281,5.699,5.7586,6294,2019
33,2019-12-11 00:00:00,5.8062,5.8062,5.2621,5.5957,9536,2019
34,2019-12-12 00:00:00,5.5997,5.6851,5.5401,5.6096,2571,2019
35,2019-12-13 00:00:00,5.6593,5.8281,5.6593,5.7884,9455,2019
36,2019-12-16 00:00:00,5.8082,5.8281,5.6096,5.7089,8108,2019
37,2019-12-17 00:00:00,5.7089,5.8082,5.7089,5.7884,5565,2019
38,2019-12-18 00:00:00,5.7387,5.7983,5.6593,5.7983,1324,2019
39,2019-12-19 00:00:00,5.7983,5.7983,5.6593,5.7685,1819,2019
40,2019-12-20 00:00:00,5.7685,5.7685,5.5302,5.7506,9428,2019
41,2019-12-23 00:00:00,5.7506,5.7506,5.56,5.704,4811,2019
42,2019-12-27 00:00:00,5.5401,5.7496,5.3614,5.6533,8813,2019
43,2019-12-30 00:00:00,5.6533,5.6533,5.3813,5.6096,680,2019
44,2020-01-02 00:00:00,5.56,5.6464,5.56,5.6464,3118,2020
45,2020-01-03 00:00:00,5.6692,5.7586,5.6494,5.7288,4806,2020
46,2020-01-07 00:00:00,5.6593,5.6593,5.1629,5.3168,14731,2020
47,2020-01-08 00:00:00,5.2125,5.2621,5.0258,5.2304,9156,2020
48,2020-01-09 00:00:00,5.3009,5.56,5.1629,5.56,11285,2020
49,2020-01-10 00:00:00,5.6394,5.6394,5.3515,5.6295,1446,2020
50,2020-01-13 00:00:00,5.6096,5.6096,5.3326,5.6096,2946,2020
51,2020-01-14 00:00:00,5.4111,5.56,5.282,5.3614,7152,2020
52,2020-01-15 00:00:00,5.2829999999999995,5.6494,5.2829999999999995,5.5104,5493,2020
53,2020-01-16 00:00:00,5.6891,5.6891,5.3912,5.56,4263,2020
54,2020-01-17 00:00:00,5.56,5.6593,5.3813,5.5104,4236,2020
55,2020-01-20 00:00:00,5.4607,5.6394,5.4607,5.6196,4459,2020
56,2020-01-21 00:00:00,5.5799,5.7486,5.5104,5.7338,13079,2020
57,2020-01-22 00:00:00,5.7437,5.7486,5.5203,5.7387,8606,2020
58,2020-01-23 00:00:00,5.7437,5.7437,5.56,5.6196,7406,2020
59,2020-01-24 00:00:00,5.6196,5.7437,5.3614,5.6543,8490,2020
60,2020-01-27 00:00:00,5.6295,5.7437,5.4607,5.6583,9193,2020
61,2020-01-28 00:00:00,5.6583,5.7347,5.5799,5.699,8179,2020
62,2020-01-29 00:00:00,5.6891,6.3543,5.5898,6.1051,39450,2020
63,2020-01-30 00:00:00,6.1061,6.1061,5.7586,6.0247,13285,2020
64,2020-01-31 00:00:00,5.8082,6.0068,5.6593,5.9472,3791,2020
65,2020-02-03 00:00:00,5.9472,6.3195,5.8082,6.3195,9236,2020
66,2020-02-04 00:00:00,6.3146,8.479,6.1855,8.3201,54282,2020
67,2020-02-05 00:00:00,7.7046,8.4393,7.5457,7.8237,39525,2020
68,2020-02-06 00:00:00,8.1216,8.2308,7.7443,8.1315,13032,2020
69,2020-02-07 00:00:00,8.3003,8.4393,8.1315,8.4294,16452,2020
70,2020-02-10 00:00:00,8.4294,9.4222,8.4294,9.1333,59928,2020
71,2020-02-11 00:00:00,9.0846,9.174,8.4591,8.9357,20503,2020
72,2020-02-12 00:00:00,8.9357,9.312999999999999,7.1486,8.0024,55371,2020
73,2020-02-13 00:00:00,8.0421,8.1811,7.5556,7.9329,18959,2020
74,2020-02-14 00:00:00,7.6053,8.1216,7.6053,7.9329,6945,2020
75,2020-02-17 00:00:00,8.34,9.035,8.34,9.035,27208,2020
76,2020-02-18 00:00:00,9.3329,9.929,9.0846,9.919,41443,2020
77,2020-02-19 00:00:00,9.929,9.929,9.3329,9.531,29867,2020
78,2020-02-20 00:00:00,9.829,9.829,8.7371,9.651,12791,2020
79,2020-02-21 00:00:00,9.809,9.809,9.631,9.69,4715,2020
80,2020-02-24 00:00:00,9.4321,9.571,8.5386,8.7272,26702,2020
81,2020-02-25 00:00:00,8.6379,8.6875,7.4663,7.7939,23913,2020
82,2020-02-26 00:00:00,7.7641,8.6776,6.9996,8.34,24133,2020
83,2020-02-27 00:00:00,7.8535,8.618,7.4464,7.922999999999999,6602,2020
84,2020-02-28 00:00:00,7.1486,7.5457,6.6224,7.1486,22063,2020
85,2020-03-02 00:00:00,7.4464,7.8436,7.1982,7.2975,15530,2020
86,2020-03-03 00:00:00,7.6152,8.1017,7.2975,8.0421,24402,2020
87,2020-03-04 00:00:00,7.8833,7.9429,7.5457,7.8237,14247,2020
88,2020-03-05 00:00:00,7.8237,8.1613,7.6847,7.8088,7713,2020
89,2020-03-06 00:00:00,7.5457,7.5457,7.1089,7.4464,6280,2020
90,2020-03-09 00:00:00,6.95,7.2975,6.1557,6.8011,21277,2020
91,2020-03-10 00:00:00,6.2649,6.8011,6.2649,6.532,25065,2020
92,2020-03-11 00:00:00,6.5529,6.5529,5.4607,5.8181,18412,2020
93,2020-03-12 00:00:00,5.5004,5.5004,4.3686,4.3686,17161,2020
94,2020-03-13 00:00:00,4.4679,5.6593,4.4679,4.9643,20279,2020
95,2020-03-16 00:00:00,4.9643,5.7089,4.4679,5.4607,21549,2020
96,2020-03-17 00:00:00,5.7586,6.7514,5.6096,6.1557,12431,2020
97,2020-03-18 00:00:00,6.2351,6.5529,5.1629,5.6901,16875,2020
98,2020-03-19 00:00:00,5.6901,6.394,5.6901,5.9373,10844,2020
99,2020-03-20 00:00:00,6.1557,6.4288,5.9571,6.0118,14954,2020
100,2020-03-23 00:00:00,5.9571,5.9571,5.4607,5.7387,11425,2020
101,2020-03-24 00:00:00,5.8579,6.3344,5.8579,6.1557,12195,2020
102,2020-03-25 00:00:00,6.1557,6.6422,6.1557,6.4119,16139,2020
103,2020-03-26 00:00:00,6.4397,6.7018,6.2649,6.6323,19869,2020
104,2020-03-27 00:00:00,7.645,8.1414,6.8011,6.9301,43162,2020
105,2020-03-30 00:00:00,7.0294,7.1486,6.4536,6.5727,11811,2020
106,2020-03-31 00:00:00,6.672000000000001,7.1486,6.672000000000001,6.9401,6338,2020
107,2020-04-01 00:00:00,6.9202,7.1486,6.5529,6.7514,7851,2020
108,2020-04-02 00:00:00,7.0493,7.1386,6.95,6.95,7679,2020
109,2020-04-03 00:00:00,7.1188,7.4564,6.9202,7.0989,22206,2020
110,2020-04-06 00:00:00,7.1287,7.4365,6.95,7.3074,12980,2020
111,2020-04-07 00:00:00,7.4464,7.8436,7.3571,7.3769,10893,2020
112,2020-04-08 00:00:00,7.3769,7.645,7.0195,7.3471,5769,2020
113,2020-04-09 00:00:00,7.3769,7.8436,7.3769,7.7046,10890,2020
114,2020-04-14 00:00:00,7.8039,7.8436,7.5556,7.8436,9099,2020
115,2020-04-15 00:00:00,7.784,7.8436,7.4762,7.7939,11591,2020
116,2020-04-16 00:00:00,7.645,7.8336,7.4762,7.645,6920,2020
117,2020-04-17 00:00:00,7.8436,8.7173,7.645,8.3896,30958,2020
118,2020-04-20 00:00:00,8.8364,9.2832,8.7371,9.0747,29431,2020
119,2020-04-21 00:00:00,9.2336,9.72,7.5457,8.5386,50715,2020
120,2020-04-22 00:00:00,8.8364,9.1244,8.7868,9.1144,13732,2020
121,2020-04-23 00:00:00,9.4321,9.4321,8.8464,9.2336,19201,2020
122,2020-04-24 00:00:00,9.829,11.418,9.4024,10.940999999999999,70047,2020
123,2020-04-27 00:00:00,11.577,14.892999999999999,11.477,14.099,110268,2020
124,2020-04-28 00:00:00,14.377,14.694,12.907,13.9,72023,2020
125,2020-04-29 00:00:00,14.555,14.694,13.700999999999999,13.700999999999999,30826,2020
126,2020-04-30 00:00:00,14.198,14.395999999999999,13.205,13.761,34646,2020
127,2020-05-04 00:00:00,13.800999999999998,13.800999999999998,12.014000000000001,13.602,22824,2020
128,2020-05-05 00:00:00,13.602,13.602,12.808,13.085999999999999,15576,2020
129,2020-05-06 00:00:00,13.106,13.106,11.914000000000001,12.49,15528,2020
130,2020-05-07 00:00:00,12.669,13.085999999999999,12.033,12.947000000000001,16004,2020
131,2020-05-08 00:00:00,13.9,13.9,12.311,12.669,18101,2020
132,2020-05-11 00:00:00,13.085999999999999,13.085999999999999,12.113,12.53,15077,2020
133,2020-05-12 00:00:00,12.57,13.404000000000002,12.212,12.649000000000001,15608,2020
134,2020-05-13 00:00:00,11.299000000000001,11.914000000000001,10.624,11.914000000000001,46750,2020
135,2020-05-14 00:00:00,11.716,12.014000000000001,9.73,10.584000000000001,38996,2020
136,2020-05-15 00:00:00,10.245999999999999,11.616,9.968,11.597000000000001,23623,2020
137,2020-05-18 00:00:00,11.597000000000001,11.716,11.219000000000001,11.517000000000001,6509,2020
138,2020-05-19 00:00:00,11.517000000000001,11.517000000000001,11.219000000000001,11.398,4683,2020
139,2020-05-20 00:00:00,11.259,11.319,9.4719,10.921,9088,2020
140,2020-05-21 00:00:00,10.882,11.914000000000001,9.948,11.497,21328,2020
141,2020-05-22 00:00:00,11.597000000000001,11.597000000000001,10.882,11.418,2616,2020
142,2020-05-25 00:00:00,11.557,11.675999999999998,10.940999999999999,11.040999999999999,6652,2020
143,2020-05-26 00:00:00,12.55,12.55,11.517000000000001,12.073,34289,2020
144,2020-05-27 00:00:00,12.093,12.411,11.517000000000001,11.875,20009,2020
145,2020-05-28 00:00:00,11.815,12.350999999999999,11.735999999999999,12.052999999999999,7219,2020
146,2020-05-29 00:00:00,12.292,12.292,11.815,12.113,10014,2020
147,2020-06-01 00:00:00,12.152999999999999,12.292,11.735999999999999,11.994000000000002,5656,2020
148,2020-06-02 00:00:00,12.014000000000001,12.808,11.716,12.51,15973,2020
149,2020-06-03 00:00:00,12.788,13.86,12.709000000000001,13.344000000000001,19971,2020
150,2020-06-04 00:00:00,13.463,13.463,13.026,13.304,7814,2020
151,2020-06-05 00:00:00,13.304,13.741,13.126,13.265,10102,2020
152,2020-06-08 00:00:00,13.205,13.463,13.205,13.364,4576,2020
153,2020-06-09 00:00:00,13.364,13.700999999999999,12.987,13.602,9926,2020
154,2020-06-10 00:00:00,13.304,14.694,13.304,14.257,17101,2020
155,2020-06-12 00:00:00,12.51,13.9,12.212,13.761,16597,2020
156,2020-06-15 00:00:00,13.700999999999999,13.700999999999999,13.304,13.482999999999999,3705,2020
157,2020-06-16 00:00:00,13.482999999999999,14.395999999999999,13.482999999999999,13.999,6641,2020
158,2020-06-17 00:00:00,13.999,15.091,13.999,14.892999999999999,43259,2020
159,2020-06-18 00:00:00,15.151,17.752,15.130999999999998,16.382,87210,2020
160,2020-06-19 00:00:00,16.521,16.581,15.845999999999998,16.362000000000002,18127,2020
161,2020-06-22 00:00:00,16.68,17.276,15.886,16.581,20393,2020
162,2020-06-23 00:00:00,16.839000000000002,17.375,16.480999999999998,16.779,14667,2020
163,2020-06-24 00:00:00,16.779,16.879,14.495999999999999,16.323,26593,2020
164,2020-06-25 00:00:00,16.104,16.104,15.190999999999999,15.747,5612,2020
165,2020-06-26 00:00:00,15.747,16.480999999999998,15.190999999999999,15.568,10704,2020
166,2020-06-29 00:00:00,15.110999999999999,15.29,14.892999999999999,14.992,7443,2020
167,2020-06-30 00:00:00,15.012,15.29,14.039000000000001,14.238,21992,2020
168,2020-07-01 00:00:00,14.238,16.480999999999998,14.059000000000001,15.588,18017,2020
169,2020-07-02 00:00:00,15.130999999999998,16.799,15.130999999999998,15.588,16631,2020
170,2020-07-03 00:00:00,15.628,16.581,15.489,16.283,14248,2020
171,2020-07-06 00:00:00,16.68,16.977999999999998,15.707,16.859,27214,2020
172,2020-07-07 00:00:00,17.077,17.375,16.500999999999998,16.898,15746,2020
173,2020-07-08 00:00:00,16.68,17.057000000000002,16.243,16.66,12637,2020
174,2020-07-09 00:00:00,16.68,16.68,15.905999999999999,16.283,16791,2020
175,2020-07-10 00:00:00,16.283,16.819000000000003,15.687000000000001,15.707,10493,2020
176,2020-07-13 00:00:00,15.886,16.283,15.389000000000001,16.184,16085,2020
177,2020-07-14 00:00:00,16.184,16.64,15.786,16.382,11474,2020
178,2020-07-15 00:00:00,16.879,17.077,16.084,16.342,7396,2020
179,2020-07-16 00:00:00,16.362000000000002,16.362000000000002,15.687000000000001,16.164,5060,2020
180,2020-07-17 00:00:00,16.144000000000002,16.68,15.786,16.382,5113,2020
181,2020-07-20 00:00:00,16.480999999999998,16.62,15.687000000000001,15.886,9419,2020
182,2020-07-21 00:00:00,15.687000000000001,16.303,15.489,15.489,13727,2020
183,2020-07-22 00:00:00,15.091,15.707,15.012,15.568,7079,2020
184,2020-07-23 00:00:00,15.389000000000001,15.389000000000001,14.595,15.27,12289,2020
185,2020-07-24 00:00:00,15.27,15.469000000000001,14.694,14.892999999999999,5162,2020
186,2020-07-27 00:00:00,14.694,14.794,12.927,14.615,14820,2020
187,2020-07-28 00:00:00,13.9,14.575,13.026,13.046,22672,2020
188,2020-07-29 00:00:00,12.907,13.602,12.709000000000001,13.503,9573,2020
189,2020-07-30 00:00:00,13.106,13.9,10.345999999999998,10.921,10416,2020
190,2020-07-31 00:00:00,11.755,12.907,11.755,12.808,6685,2020
