,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-06-19 00:00:00,14.0,15.0,9.0,10.0,64370,2012
1,2012-06-20 00:00:00,11.0,11.0,10.0,10.0,8684,2012
2,2012-06-21 00:00:00,10.0,12.0,7.0,7.0,73163,2012
3,2012-06-22 00:00:00,7.0,7.0,7.0,7.0,4207,2012
4,2012-06-25 00:00:00,7.0,8.0,7.0,8.0,622,2012
5,2012-06-26 00:00:00,7.0,8.0,7.0,8.0,3410,2012
6,2012-06-27 00:00:00,8.0,8.0,7.0,7.0,1072,2012
7,2012-06-28 00:00:00,7.0,7.0,7.0,7.0,375,2012
8,2012-06-29 00:00:00,7.0,7.0,7.0,7.0,208,2012
9,2012-07-02 00:00:00,7.0,7.0,6.0,7.0,942,2012
10,2012-07-03 00:00:00,7.0,7.0,6.0,7.0,1261,2012
11,2012-07-04 00:00:00,7.0,7.0,6.0,7.0,1140,2012
12,2012-07-05 00:00:00,6.0,7.0,6.0,6.0,1562,2012
13,2012-07-06 00:00:00,6.0,6.0,5.0,6.0,2148,2012
14,2012-07-09 00:00:00,6.0,6.0,5.0,6.0,653,2012
15,2012-07-10 00:00:00,6.0,7.0,6.0,7.0,1739,2012
16,2012-07-11 00:00:00,6.0,8.0,6.0,8.0,7002,2012
17,2012-07-12 00:00:00,7.0,7.0,6.0,7.0,1237,2012
18,2012-07-13 00:00:00,7.0,8.0,7.0,8.0,832,2012
19,2012-07-16 00:00:00,7.0,7.0,7.0,7.0,25,2012
20,2012-07-17 00:00:00,7.0,8.0,7.0,8.0,377,2012
21,2012-07-18 00:00:00,8.0,8.0,6.0,6.0,681,2012
22,2012-07-19 00:00:00,6.0,7.0,5.0,6.0,6495,2012
23,2012-07-20 00:00:00,6.0,6.0,6.0,6.0,5,2012
24,2012-07-23 00:00:00,6.0,6.0,6.0,6.0,3,2012
25,2012-07-24 00:00:00,6.0,6.0,5.0,5.0,61,2012
26,2012-07-25 00:00:00,5.0,5.0,4.0,4.0,2255,2012
27,2012-07-26 00:00:00,4.0,4.0,4.0,4.0,90,2012
28,2012-07-27 00:00:00,5.0,5.0,4.0,4.0,937,2012
29,2012-07-30 00:00:00,4.0,4.0,4.0,4.0,1027,2012
30,2012-07-31 00:00:00,4.0,5.0,4.0,5.0,1032,2012
31,2012-08-01 00:00:00,5.0,5.0,4.0,5.0,532,2012
32,2012-08-02 00:00:00,5.0,5.0,5.0,5.0,2,2012
33,2012-08-03 00:00:00,5.0,5.0,5.0,5.0,302,2012
34,2012-08-06 00:00:00,5.0,5.0,5.0,5.0,30,2012
35,2012-08-07 00:00:00,5.0,5.0,4.0,5.0,1255,2012
36,2012-08-08 00:00:00,5.0,5.0,4.0,5.0,163,2012
37,2012-08-09 00:00:00,5.0,5.0,5.0,5.0,2,2012
38,2012-08-10 00:00:00,5.0,5.0,5.0,5.0,2,2012
39,2012-08-13 00:00:00,5.0,5.0,4.0,5.0,2373,2012
40,2012-08-14 00:00:00,5.0,5.0,4.0,4.0,611,2012
41,2012-08-16 00:00:00,4.0,4.0,4.0,4.0,1777,2012
42,2012-08-17 00:00:00,3.0,4.0,3.0,3.0,3248,2012
43,2012-08-20 00:00:00,3.0,4.0,3.0,4.0,86,2012
44,2012-08-21 00:00:00,4.0,5.0,4.0,5.0,5052,2012
45,2012-08-22 00:00:00,6.0,6.0,5.0,6.0,2445,2012
46,2012-08-23 00:00:00,5.0,5.0,5.0,5.0,721,2012
47,2012-08-24 00:00:00,5.0,5.0,5.0,5.0,726,2012
48,2012-08-27 00:00:00,5.0,5.0,5.0,5.0,10,2012
49,2012-08-28 00:00:00,5.0,5.0,5.0,5.0,5,2012
50,2012-08-29 00:00:00,5.0,5.0,5.0,5.0,578,2012
51,2012-08-30 00:00:00,5.0,5.0,4.0,4.0,246,2012
52,2012-08-31 00:00:00,5.0,5.0,5.0,5.0,174,2012
53,2012-09-03 00:00:00,5.0,6.0,5.0,6.0,55,2012
54,2012-09-04 00:00:00,6.0,6.0,6.0,6.0,20,2012
55,2012-09-05 00:00:00,6.0,7.0,6.0,7.0,3133,2012
56,2012-09-06 00:00:00,7.0,7.0,6.0,6.0,216,2012
57,2012-09-07 00:00:00,6.0,7.0,6.0,7.0,88,2012
58,2012-09-10 00:00:00,7.0,7.0,7.0,7.0,3,2012
59,2012-09-11 00:00:00,7.0,7.0,6.0,6.0,865,2012
60,2012-09-12 00:00:00,6.0,7.0,6.0,7.0,295,2012
61,2012-09-13 00:00:00,7.0,8.0,7.0,8.0,3569,2012
62,2012-09-14 00:00:00,8.0,10.0,7.0,9.0,3569,2012
63,2012-09-17 00:00:00,10.0,10.0,8.0,10.0,2594,2012
64,2012-09-18 00:00:00,9.0,9.0,7.0,7.0,4741,2012
65,2012-09-19 00:00:00,7.0,7.0,6.0,7.0,1246,2012
66,2012-09-20 00:00:00,7.0,8.0,7.0,8.0,1418,2012
67,2012-09-21 00:00:00,8.0,9.0,7.0,8.0,1575,2012
68,2012-09-24 00:00:00,8.0,9.0,8.0,9.0,180,2012
69,2012-09-25 00:00:00,9.0,11.0,9.0,10.0,3863,2012
70,2012-09-26 00:00:00,10.0,10.0,6.0,6.0,38799,2012
71,2012-09-27 00:00:00,6.0,6.0,4.0,5.0,14905,2012
72,2012-09-28 00:00:00,4.0,4.0,3.0,3.0,20329,2012
73,2012-10-01 00:00:00,4.0,4.0,3.0,3.0,2870,2012
74,2012-10-02 00:00:00,3.0,3.0,3.0,3.0,1779,2012
75,2012-10-03 00:00:00,3.0,3.0,3.0,3.0,5607,2012
76,2012-10-04 00:00:00,3.0,3.0,3.0,3.0,120,2012
77,2012-10-05 00:00:00,3.0,3.0,3.0,3.0,115,2012
78,2012-10-08 00:00:00,3.0,3.0,3.0,3.0,5408,2012
79,2012-10-10 00:00:00,3.0,3.0,3.0,3.0,10,2012
80,2012-10-11 00:00:00,4.0,4.0,4.0,4.0,45,2012
81,2012-10-12 00:00:00,4.0,4.0,4.0,4.0,656,2012
82,2012-10-15 00:00:00,4.0,4.0,4.0,4.0,3,2012
83,2012-10-16 00:00:00,3.0,4.0,3.0,4.0,230,2012
84,2012-10-17 00:00:00,3.0,3.0,3.0,3.0,1060,2012
85,2012-10-18 00:00:00,4.0,4.0,4.0,4.0,70,2012
86,2012-10-19 00:00:00,3.0,3.0,3.0,3.0,3513,2012
