,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2020-03-05 00:00:00,60.0,72.0,50.0,72.0,556,2020
1,2020-03-06 00:00:00,72.0,85.0,58.02,76.0,2186,2020
2,2020-03-09 00:00:00,77.0,78.0,65.0,73.0,145,2020
3,2020-03-10 00:00:00,60.0,64.0,57.5,57.5,218,2020
4,2020-03-11 00:00:00,60.0,65.0,52.01,63.0,178,2020
5,2020-03-12 00:00:00,59.0,59.0,49.4,55.9,46,2020
6,2020-03-13 00:00:00,55.0,55.0,54.0,55.0,59,2020
7,2020-03-16 00:00:00,54.5,62.0,54.5,61.98,100,2020
8,2020-03-17 00:00:00,60.0,60.0,55.0,60.0,31,2020
9,2020-03-18 00:00:00,60.0,60.0,50.0,58.0,105,2020
10,2020-03-19 00:00:00,57.5,59.0,57.0,57.5,74,2020
11,2020-03-20 00:00:00,55.0,55.0,48.0,54.9,17,2020
12,2020-03-23 00:00:00,45.0,48.9,36.0,48.9,61,2020
13,2020-03-24 00:00:00,49.0,51.0,49.0,51.0,110,2020
14,2020-03-25 00:00:00,50.0,53.0,50.0,53.0,32,2020
15,2020-03-27 00:00:00,54.9,55.0,54.9,55.0,24,2020
16,2020-03-30 00:00:00,60.0,60.0,60.0,60.0,3,2020
17,2020-03-31 00:00:00,55.0,59.0,55.0,59.0,11,2020
18,2020-04-01 00:00:00,50.0,56.0,47.2,54.0,209,2020
19,2020-04-02 00:00:00,50.0,50.0,50.0,50.0,16,2020
20,2020-04-03 00:00:00,53.9,53.9,48.0,48.0,38,2020
21,2020-04-06 00:00:00,53.0,53.9,53.0,53.9,170,2020
22,2020-04-07 00:00:00,51.99,52.0,47.0,52.0,89,2020
23,2020-04-08 00:00:00,52.0,55.0,52.0,55.0,40,2020
24,2020-04-09 00:00:00,55.0,55.0,53.0,53.0,20,2020
25,2020-04-14 00:00:00,53.0,53.0,50.0,50.0,44,2020
26,2020-04-15 00:00:00,50.0,50.0,49.995,50.0,6,2020
27,2020-04-16 00:00:00,50.5,53.0,50.0,50.0,67,2020
28,2020-04-17 00:00:00,49.0,50.5,49.0,50.5,31,2020
29,2020-04-20 00:00:00,50.0,52.0,50.0,50.0,75,2020
30,2020-04-21 00:00:00,50.0,50.0,50.0,50.0,5,2020
31,2020-04-22 00:00:00,51.0,59.0,51.0,59.0,279,2020
32,2020-04-23 00:00:00,68.0,73.0,57.0,72.0,515,2020
33,2020-04-24 00:00:00,68.0,68.0,62.8,66.0,228,2020
34,2020-04-27 00:00:00,67.0,69.0,67.0,69.0,25,2020
35,2020-04-28 00:00:00,68.0,69.0,68.0,69.0,6,2020
36,2020-04-29 00:00:00,68.0,68.0,65.0,67.5,10,2020
37,2020-04-30 00:00:00,65.0,66.0,65.0,66.0,81,2020
38,2020-05-04 00:00:00,65.0,65.01,65.0,65.0,29,2020
39,2020-05-05 00:00:00,65.0,65.0,65.0,65.0,1,2020
40,2020-05-06 00:00:00,64.01,64.01,61.0,61.0,56,2020
41,2020-05-07 00:00:00,61.0,71.9,61.0,68.5,98,2020
42,2020-05-08 00:00:00,70.8,71.0,68.5,71.0,264,2020
43,2020-05-11 00:00:00,70.99,70.99,70.0,70.0,77,2020
44,2020-05-12 00:00:00,70.9,75.6,70.0,70.0,113,2020
45,2020-05-13 00:00:00,72.95,74.5,70.0,74.5,179,2020
46,2020-05-14 00:00:00,75.0,75.6,75.0,75.6,93,2020
47,2020-05-15 00:00:00,74.0,74.0,71.0,71.0,7,2020
48,2020-05-18 00:00:00,71.1,76.0,71.0,76.0,174,2020
49,2020-05-19 00:00:00,76.0,109.0,76.0,100.98,544,2020
50,2020-05-20 00:00:00,109.44,131.0,89.0,125.0,897,2020
51,2020-05-21 00:00:00,125.0,125.0,121.0,121.0,119,2020
52,2020-05-22 00:00:00,120.0,120.0,110.0,110.0,98,2020
53,2020-05-25 00:00:00,108.0,113.0,108.0,113.0,137,2020
54,2020-05-26 00:00:00,108.0,110.0,108.0,108.0,25,2020
55,2020-05-27 00:00:00,105.0,105.0,92.5,100.0,409,2020
56,2020-05-28 00:00:00,99.9,101.0,97.0,98.5,187,2020
57,2020-05-29 00:00:00,99.0,104.0,99.0,104.0,107,2020
58,2020-06-01 00:00:00,105.0,125.0,105.0,119.0,65,2020
59,2020-06-02 00:00:00,119.0,119.0,96.0,108.0,144,2020
60,2020-06-03 00:00:00,103.0,119.0,103.0,104.0,52,2020
61,2020-06-04 00:00:00,116.0,116.0,101.0,114.0,37,2020
62,2020-06-05 00:00:00,113.0,114.0,112.0,112.0,38,2020
63,2020-06-08 00:00:00,112.0,112.0,109.0,109.0,21,2020
64,2020-06-09 00:00:00,109.0,110.0,109.0,110.0,18,2020
65,2020-06-10 00:00:00,110.0,112.0,110.0,110.0,26,2020
66,2020-06-12 00:00:00,108.0,110.0,107.0,110.0,37,2020
67,2020-06-15 00:00:00,125.0,125.0,114.0,115.0,65,2020
68,2020-06-16 00:00:00,116.0,119.0,116.0,119.0,18,2020
69,2020-06-17 00:00:00,119.0,119.0,116.0,117.0,21,2020
70,2020-06-18 00:00:00,114.5,119.0,114.5,118.0,226,2020
71,2020-06-22 00:00:00,121.0,140.0,121.0,130.0,226,2020
72,2020-06-23 00:00:00,135.0,151.0,135.0,151.0,338,2020
73,2020-06-24 00:00:00,160.0,190.0,160.0,190.0,158,2020
74,2020-06-25 00:00:00,190.0,215.0,171.0,213.0,628,2020
75,2020-06-26 00:00:00,215.0,215.0,193.0,213.0,128,2020
76,2020-06-29 00:00:00,194.0,200.0,177.0,180.0,166,2020
77,2020-06-30 00:00:00,176.0,180.0,175.0,178.0,24,2020
78,2020-07-01 00:00:00,185.0,188.0,178.0,188.0,14,2020
79,2020-07-02 00:00:00,195.0,198.0,195.0,195.0,15,2020
80,2020-07-03 00:00:00,195.0,199.0,195.0,196.0,29,2020
81,2020-07-06 00:00:00,198.0,198.0,189.98,189.98,13,2020
82,2020-07-07 00:00:00,185.0,190.0,179.0,190.0,30,2020
83,2020-07-08 00:00:00,190.0,192.0,190.0,192.0,18,2020
84,2020-07-09 00:00:00,192.0,194.0,192.0,192.0,22,2020
85,2020-07-10 00:00:00,190.0,195.0,190.0,195.0,10,2020
86,2020-07-13 00:00:00,198.0,198.0,184.0,184.0,21,2020
87,2020-07-14 00:00:00,184.0,184.0,178.0,178.0,107,2020
88,2020-07-15 00:00:00,190.0,195.0,182.0,182.0,59,2020
89,2020-07-16 00:00:00,188.0,188.0,176.0,178.0,28,2020
90,2020-07-17 00:00:00,176.0,177.0,176.0,177.0,72,2020
91,2020-07-20 00:00:00,177.0,182.0,177.0,182.0,108,2020
92,2020-07-21 00:00:00,183.0,185.0,183.0,185.0,23,2020
93,2020-07-22 00:00:00,180.0,180.0,153.0,170.0,84,2020
94,2020-07-23 00:00:00,171.0,172.0,167.0,167.0,42,2020
95,2020-07-24 00:00:00,167.0,170.0,166.0,166.0,72,2020
96,2020-07-27 00:00:00,165.0,165.0,157.0,157.0,154,2020
97,2020-07-28 00:00:00,156.0,156.0,151.0,152.0,131,2020
98,2020-07-29 00:00:00,150.0,155.0,150.0,155.0,34,2020
99,2020-07-30 00:00:00,160.0,160.0,150.0,150.0,48,2020
100,2020-07-31 00:00:00,154.0,163.2,154.0,163.2,20,2020
101,2020-08-03 00:00:00,160.0,160.0,150.0,150.0,69,2020
102,2020-08-04 00:00:00,149.0,151.0,149.0,151.0,23,2020
103,2020-08-05 00:00:00,152.0,153.0,149.0,149.0,39,2020
104,2020-08-06 00:00:00,152.0,153.0,152.0,153.0,84,2020
105,2020-08-07 00:00:00,154.0,155.0,154.0,155.0,22,2020
106,2020-08-10 00:00:00,158.0,176.0,158.0,160.0,31,2020
107,2020-08-11 00:00:00,163.0,163.0,153.0,153.0,122,2020
108,2020-08-13 00:00:00,153.0,153.0,151.0,151.0,2,2020
109,2020-08-14 00:00:00,157.0,174.5,155.0,155.0,78,2020
110,2020-08-17 00:00:00,155.0,155.0,155.0,155.0,1,2020
111,2020-08-18 00:00:00,155.0,155.0,154.0,155.0,47,2020
112,2020-08-19 00:00:00,155.02,180.0,155.02,166.0,95,2020
113,2020-08-20 00:00:00,167.0,167.0,160.0,160.0,33,2020
114,2020-08-24 00:00:00,163.0,163.0,161.0,161.0,6,2020
115,2020-08-28 00:00:00,160.02,166.0,160.0,160.0,49,2020
116,2020-08-31 00:00:00,160.7,161.0,159.0,159.0,27,2020
117,2020-09-01 00:00:00,158.0,158.0,158.0,158.0,1,2020
118,2020-09-03 00:00:00,157.0,157.0,148.5,149.0,40,2020
119,2020-09-04 00:00:00,155.0,155.0,155.0,155.0,2,2020
120,2020-09-07 00:00:00,164.0,170.0,147.0,147.0,33,2020
121,2020-09-08 00:00:00,150.0,150.0,107.0,118.98,122,2020
122,2020-09-09 00:00:00,120.0,139.0,120.0,139.0,64,2020
123,2020-09-10 00:00:00,144.0,170.0,144.0,160.0,125,2020
124,2020-09-14 00:00:00,159.0,159.0,159.0,159.0,1,2020
125,2020-09-15 00:00:00,160.0,160.0,157.0,157.0,9,2020
