,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-08-05 00:00:00,2.29,2.29,1.48,1.68,171022,2011
1,2011-08-08 00:00:00,1.51,1.85,1.36,1.55,15060,2011
2,2011-08-09 00:00:00,1.58,1.58,1.25,1.54,1098,2011
3,2011-08-10 00:00:00,1.51,1.51,1.2,1.3,17075,2011
4,2011-08-11 00:00:00,1.23,1.34,0.99,1.28,9473,2011
5,2011-08-12 00:00:00,1.28,1.4,1.11,1.39,5961,2011
6,2011-08-16 00:00:00,1.39,1.4,1.15,1.2,6458,2011
7,2011-08-17 00:00:00,1.2,1.62,1.2,1.55,31397,2011
8,2011-08-18 00:00:00,1.54,1.72,1.5,1.59,24281,2011
9,2011-08-19 00:00:00,1.56,1.56,1.3,1.47,8324,2011
10,2011-08-22 00:00:00,1.45,1.49,1.23,1.49,480,2011
11,2011-08-23 00:00:00,1.48,1.62,1.4,1.54,10838,2011
12,2011-08-24 00:00:00,1.55,1.55,1.4,1.47,1857,2011
13,2011-08-25 00:00:00,1.46,1.46,1.21,1.3,48456,2011
14,2011-08-26 00:00:00,1.33,1.35,1.33,1.35,1060,2011
15,2011-08-29 00:00:00,1.32,1.32,1.21,1.3,4144,2011
16,2011-08-30 00:00:00,1.28,1.28,1.13,1.13,17824,2011
17,2011-08-31 00:00:00,1.13,1.35,1.13,1.3,13090,2011
18,2011-09-01 00:00:00,1.3,1.3,1.3,1.3,70,2011
19,2011-09-02 00:00:00,1.3,1.3,1.2,1.28,451,2011
20,2011-09-05 00:00:00,1.29,1.29,1.15,1.27,1622,2011
21,2011-09-06 00:00:00,1.3,1.3,1.06,1.27,41047,2011
22,2011-09-07 00:00:00,1.2,1.24,1.12,1.24,551,2011
23,2011-09-08 00:00:00,1.24,1.24,1.17,1.17,110,2011
24,2011-09-09 00:00:00,1.24,1.29,1.24,1.29,241,2011
25,2011-09-12 00:00:00,1.3,1.3,1.13,1.15,3670,2011
26,2011-09-13 00:00:00,1.1,1.1,1.0,1.0,13012,2011
27,2011-09-14 00:00:00,1.0,1.15,1.0,1.13,3354,2011
28,2011-09-15 00:00:00,1.1,1.12,1.0,1.09,7587,2011
29,2011-09-16 00:00:00,1.09,1.17,1.06,1.15,1117,2011
30,2011-09-19 00:00:00,1.1,1.1,1.0,1.0,3393,2011
31,2011-09-20 00:00:00,1.01,1.19,1.01,1.19,4341,2011
