,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2020-08-27 00:00:00,168.0,168.0,108.0,147.0,19025,2020
1,2020-08-28 00:00:00,147.0,149.98,112.1,114.5,5945,2020
2,2020-08-31 00:00:00,118.98,118.98,95.0,95.0,4530,2020
3,2020-09-01 00:00:00,88.2,93.0,84.0,84.1,3841,2020
4,2020-09-02 00:00:00,83.0,118.0,83.0,109.98,4203,2020
5,2020-09-03 00:00:00,115.5,118.0,97.4,109.98,1904,2020
6,2020-09-04 00:00:00,104.88,109.0,99.0,105.0,497,2020
7,2020-09-07 00:00:00,108.0,113.4,99.0,99.0,998,2020
8,2020-09-08 00:00:00,99.0,103.5,90.0,96.0,1345,2020
9,2020-09-09 00:00:00,96.0,105.0,91.02,105.0,576,2020
10,2020-09-10 00:00:00,109.0,114.9,100.0,108.0,579,2020
11,2020-09-11 00:00:00,112.0,112.0,102.0,102.0,172,2020
12,2020-09-14 00:00:00,110.5,110.5,104.0,108.9,370,2020
13,2020-09-15 00:00:00,115.0,136.0,109.0,127.2,2933,2020
14,2020-09-16 00:00:00,138.64,139.0,125.0,136.0,1283,2020
15,2020-09-17 00:00:00,139.92,139.92,118.4,132.0,918,2020
16,2020-09-18 00:00:00,132.0,133.7,130.0,133.7,102,2020
17,2020-09-21 00:00:00,133.7,133.7,125.0,128.0,173,2020
18,2020-09-22 00:00:00,128.5,128.5,122.0,127.7,192,2020
19,2020-09-23 00:00:00,127.8,127.8,124.0,124.0,54,2020
20,2020-09-24 00:00:00,123.0,123.0,111.02,116.0,214,2020
