,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-06-25 00:00:00,6.5,7.5,6.2,7.5,2585,2013
1,2013-06-26 00:00:00,7.0,8.4,7.0,8.3,376,2013
2,2013-06-27 00:00:00,8.0,8.7,7.21,8.7,642,2013
3,2013-06-28 00:00:00,8.7,9.75,8.7,9.75,321,2013
4,2013-07-01 00:00:00,9.65,9.65,8.7,8.7,251,2013
5,2013-07-03 00:00:00,8.5,9.3,8.4,9.1,445,2013
6,2013-07-04 00:00:00,8.7,8.7,8.7,8.7,100,2013
7,2013-07-08 00:00:00,8.5,8.5,8.41,8.41,19,2013
8,2013-07-09 00:00:00,8.4,8.4,8.15,8.15,50,2013
9,2013-07-18 00:00:00,8.5,9.05,8.16,9.05,855,2013
10,2013-07-19 00:00:00,9.05,9.05,9.04,9.05,75,2013
11,2013-07-22 00:00:00,9.15,9.15,9.15,9.15,5,2013
12,2013-07-23 00:00:00,9.15,9.15,9.15,9.15,2,2013
13,2013-07-24 00:00:00,9.15,9.25,9.14,9.25,32,2013
14,2013-07-25 00:00:00,9.35,9.35,9.34,9.35,295,2013
15,2013-07-26 00:00:00,9.35,9.35,9.35,9.35,5,2013
16,2013-07-29 00:00:00,9.35,9.35,9.35,9.35,2,2013
17,2013-07-30 00:00:00,9.35,10.6,9.34,9.55,705,2013
18,2013-07-31 00:00:00,9.7,10.6,9.7,10.6,83,2013
19,2013-08-01 00:00:00,10.6,10.6,10.6,10.6,2,2013
20,2013-08-02 00:00:00,10.6,10.6,10.6,10.6,2,2013
21,2013-08-05 00:00:00,10.6,10.6,10.6,10.6,2,2013
22,2013-08-06 00:00:00,10.6,12.33,10.6,12.33,512,2013
23,2013-08-07 00:00:00,12.05,14.0,11.6,13.5,258,2013
24,2013-08-08 00:00:00,13.66,15.0,13.66,15.0,57,2013
25,2013-08-09 00:00:00,15.2,18.1,15.2,18.1,55,2013
26,2013-08-12 00:00:00,18.6,19.6,18.6,19.6,187,2013
27,2013-08-13 00:00:00,19.6,19.6,19.5,19.5,213,2013
28,2013-08-20 00:00:00,19.5,19.5,18.45,18.45,110,2013
29,2013-08-21 00:00:00,18.45,18.45,18.45,18.45,1,2013
30,2013-08-22 00:00:00,18.45,18.45,17.4,17.4,108,2013
31,2013-08-23 00:00:00,17.33,17.33,16.37,16.37,120,2013
32,2013-08-26 00:00:00,13.1,15.72,13.1,13.5,484,2013
33,2013-08-27 00:00:00,13.1,13.54,12.6,13.54,54,2013
34,2013-09-03 00:00:00,13.4,13.4,12.65,12.65,200,2013
35,2013-09-25 00:00:00,12.57,12.9,12.0,12.9,45,2013
36,2013-10-17 00:00:00,12.77,12.77,12.05,12.05,140,2013
37,2013-10-29 00:00:00,12.1,12.1,12.1,12.1,4,2013
38,2013-11-05 00:00:00,12.14,12.17,12.14,12.17,6,2013
39,2013-11-06 00:00:00,12.16,12.17,12.16,12.17,15,2013
40,2013-12-17 00:00:00,12.15,13.15,12.15,13.15,12280,2013
41,2013-12-18 00:00:00,12.13,12.13,12.13,12.13,12150,2013
42,2014-01-07 00:00:00,12.1,12.1,11.9,11.9,15,2014
43,2014-01-27 00:00:00,12.06,13.52,12.06,13.52,160,2014
44,2014-01-31 00:00:00,13.51,13.51,13.51,13.51,5,2014
45,2014-02-10 00:00:00,13.51,15.0,13.51,15.0,275,2014
46,2014-02-13 00:00:00,15.0,15.0,15.0,15.0,1,2014
47,2014-02-14 00:00:00,15.0,15.0,15.0,15.0,5,2014
48,2014-02-17 00:00:00,15.0,15.0,15.0,15.0,2,2014
49,2014-02-18 00:00:00,15.0,15.0,15.0,15.0,14,2014
50,2014-02-19 00:00:00,15.0,15.0,15.0,15.0,5,2014
51,2014-02-20 00:00:00,15.0,15.0,15.0,15.0,8,2014
52,2014-02-21 00:00:00,15.0,15.0,15.0,15.0,5,2014
53,2014-02-24 00:00:00,15.0,15.0,15.0,15.0,3,2014
54,2014-02-25 00:00:00,15.0,15.0,15.0,15.0,3,2014
55,2014-02-26 00:00:00,15.0,15.0,15.0,15.0,2,2014
56,2014-02-27 00:00:00,15.0,15.0,15.0,15.0,2,2014
57,2014-02-28 00:00:00,15.0,15.0,15.0,15.0,2,2014
58,2014-03-03 00:00:00,15.0,15.0,15.0,15.0,5,2014
59,2014-03-04 00:00:00,15.0,15.0,15.0,15.0,2,2014
60,2014-03-05 00:00:00,15.0,15.0,15.0,15.0,2,2014
61,2014-03-06 00:00:00,15.0,15.0,15.0,15.0,2,2014
62,2014-03-07 00:00:00,15.0,15.0,15.0,15.0,2,2014
63,2014-03-10 00:00:00,15.0,15.0,15.0,15.0,2,2014
64,2014-03-11 00:00:00,15.0,15.0,15.0,15.0,2,2014
65,2014-03-12 00:00:00,15.0,15.0,15.0,15.0,1,2014
66,2014-03-13 00:00:00,15.0,15.0,15.0,15.0,1,2014
67,2014-03-14 00:00:00,15.0,15.0,15.0,15.0,1,2014
68,2014-03-17 00:00:00,15.0,15.0,15.0,15.0,2,2014
69,2014-03-18 00:00:00,15.0,15.1,14.99,15.1,151,2014
70,2014-03-25 00:00:00,15.1,16.55,15.1,16.55,60,2014
71,2014-03-27 00:00:00,15.3,16.05,15.0,16.05,106,2014
72,2014-03-31 00:00:00,15.95,15.95,15.95,15.95,3,2014
73,2014-04-01 00:00:00,15.95,15.95,15.95,15.95,2,2014
74,2014-04-03 00:00:00,16.4,16.4,16.4,16.4,20,2014
75,2014-04-08 00:00:00,15.88,15.88,15.26,15.26,115,2014
76,2014-04-10 00:00:00,15.35,15.83,15.35,15.83,35,2014
77,2014-05-19 00:00:00,15.6,15.6,14.7,14.7,150,2014
78,2014-05-20 00:00:00,14.85,16.55,14.85,16.55,100,2014
79,2014-05-21 00:00:00,16.1,17.9,16.1,17.9,110,2014
80,2014-06-12 00:00:00,17.25,17.25,17.25,17.25,5,2014
81,2014-06-20 00:00:00,18.4,18.4,18.4,18.4,50,2014
82,2014-06-23 00:00:00,18.4,20.0,18.4,20.0,40,2014
83,2014-07-03 00:00:00,18.5,18.81,18.5,18.81,15,2014
84,2014-07-18 00:00:00,18.8,20.0,18.8,20.0,115,2014
85,2014-07-21 00:00:00,20.0,20.0,20.0,20.0,1,2014
86,2014-08-12 00:00:00,20.7,20.7,20.7,20.7,35,2014
87,2014-08-21 00:00:00,19.5,20.7,18.55,20.7,148,2014
88,2014-09-03 00:00:00,18.8,19.9,18.8,19.9,140,2014
89,2014-09-05 00:00:00,23.0,23.0,23.0,23.0,50,2014
90,2014-09-08 00:00:00,22.6,22.6,21.62,21.62,76,2014
91,2014-09-11 00:00:00,21.5,21.5,19.9,21.39,228,2014
92,2014-09-18 00:00:00,20.0,20.0,19.4,19.4,90,2014
93,2014-09-19 00:00:00,21.45,22.5,19.9,19.9,29,2014
94,2014-10-02 00:00:00,19.75,19.75,18.55,18.55,108,2014
95,2014-10-03 00:00:00,18.49,18.62,17.44,18.62,109,2014
96,2014-10-09 00:00:00,17.2,17.55,16.3,17.55,124,2014
97,2014-10-10 00:00:00,16.36,18.0,16.36,18.0,112,2014
98,2014-10-13 00:00:00,18.5,18.5,18.5,18.5,35,2014
99,2014-10-14 00:00:00,19.5,19.5,19.5,19.5,15,2014
100,2014-10-28 00:00:00,18.8,18.8,18.8,18.8,1,2014
101,2014-10-29 00:00:00,18.8,18.8,18.8,18.8,1,2014
102,2014-11-13 00:00:00,18.8,18.8,18.8,18.8,1,2014
103,2014-12-03 00:00:00,18.8,18.8,18.8,18.8,1,2014
104,2014-12-09 00:00:00,18.66,18.66,17.55,18.5,108,2014
105,2014-12-10 00:00:00,18.0,18.0,18.0,18.0,3,2014
106,2014-12-11 00:00:00,18.0,18.0,18.0,18.0,5,2014
107,2014-12-19 00:00:00,18.0,18.0,17.0,18.0,140,2014
108,2014-12-23 00:00:00,17.26,17.47,16.2,17.47,138,2014
109,2015-01-02 00:00:00,16.95,17.15,16.0,17.15,111,2015
110,2015-01-14 00:00:00,16.2,16.2,13.9,15.99,186,2015
111,2015-01-22 00:00:00,14.88,14.88,12.8,13.8,276,2015
112,2015-01-23 00:00:00,15.3,15.3,15.3,15.3,45,2015
113,2015-01-26 00:00:00,14.7,15.15,14.1,15.15,110,2015
114,2015-01-30 00:00:00,14.2,14.2,12.2,12.2,335,2015
115,2015-02-02 00:00:00,12.0,12.5,11.6,12.5,111,2015
116,2015-02-03 00:00:00,11.82,13.3,11.82,13.3,130,2015
117,2015-02-04 00:00:00,14.1,14.1,14.1,14.1,35,2015
118,2015-02-05 00:00:00,13.0,13.0,11.0,11.0,476,2015
119,2015-02-06 00:00:00,10.88,11.5,10.36,11.5,295,2015
120,2015-02-09 00:00:00,11.28,13.5,11.28,13.27,450,2015
121,2015-02-12 00:00:00,13.15,13.3,12.15,13.3,126,2015
122,2015-03-06 00:00:00,12.4,12.4,11.0,11.9,159,2015
123,2015-03-23 00:00:00,11.0,11.0,10.7,10.7,120,2015
124,2015-03-24 00:00:00,10.33,10.33,10.1,10.1,115,2015
125,2015-03-25 00:00:00,10.06,11.9,9.0,11.9,520,2015
126,2015-03-26 00:00:00,11.0,11.07,11.0,11.07,95,2015
