,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-10-02 00:00:00,1.55,1.55,1.1,1.19,120368,2008
1,2008-10-03 00:00:00,1.19,1.4,1.04,1.3,33924,2008
2,2008-10-06 00:00:00,1.17,1.17,1.01,1.01,14185,2008
3,2008-10-07 00:00:00,1.09,1.09,0.95,0.95,4125,2008
4,2008-10-08 00:00:00,0.95,1.0,0.82,0.95,14717,2008
5,2008-10-09 00:00:00,0.95,0.95,0.85,0.85,876,2008
6,2008-10-10 00:00:00,0.9,0.9,0.85,0.85,2871,2008
7,2008-10-13 00:00:00,1.0,1.0,1.0,1.0,80,2008
8,2008-10-14 00:00:00,1.0,1.04,0.87,0.95,7365,2008
9,2008-10-15 00:00:00,0.95,0.95,0.78,0.78,7569,2008
10,2008-10-20 00:00:00,0.8,0.8,0.8,0.8,1,2008
11,2008-10-21 00:00:00,0.84,0.84,0.73,0.73,3715,2008
12,2008-10-22 00:00:00,0.78,0.78,0.6,0.67,9335,2008
13,2008-10-23 00:00:00,0.65,0.65,0.6,0.6,1160,2008
14,2008-10-24 00:00:00,0.7,0.72,0.66,0.7,1794,2008
15,2008-10-27 00:00:00,0.75,0.76,0.6,0.7,11000,2008
16,2008-10-28 00:00:00,0.7,0.73,0.7,0.7,758,2008
17,2008-10-29 00:00:00,0.72,0.72,0.71,0.72,6779,2008
18,2008-10-30 00:00:00,0.65,0.71,0.6,0.71,2925,2008
19,2008-11-03 00:00:00,0.72,0.72,0.72,0.72,10,2008
20,2008-11-04 00:00:00,0.6,0.72,0.6,0.72,6491,2008
21,2008-11-05 00:00:00,0.72,0.72,0.72,0.72,4139,2008
22,2008-11-06 00:00:00,0.69,0.69,0.64,0.69,3710,2008
23,2008-11-10 00:00:00,0.71,0.71,0.71,0.71,5,2008
24,2008-11-12 00:00:00,0.69,0.72,0.69,0.72,2000,2008
25,2008-11-13 00:00:00,0.7,0.72,0.7,0.7,1000,2008
26,2008-11-14 00:00:00,0.62,0.62,0.62,0.62,650,2008
27,2008-11-17 00:00:00,0.7,0.7,0.7,0.7,500,2008
28,2008-11-18 00:00:00,0.69,0.69,0.69,0.69,2,2008
29,2008-11-19 00:00:00,0.69,0.75,0.57,0.73,5700,2008
30,2008-11-20 00:00:00,0.61,0.61,0.61,0.61,2,2008
31,2008-11-21 00:00:00,0.63,0.63,0.63,0.63,1,2008
32,2008-11-24 00:00:00,0.66,0.66,0.66,0.66,1,2008
33,2008-11-26 00:00:00,0.67,0.67,0.67,0.67,1,2008
34,2008-11-27 00:00:00,0.69,0.69,0.62,0.69,5010,2008
35,2008-11-28 00:00:00,0.69,0.69,0.69,0.69,10,2008
36,2008-12-01 00:00:00,0.64,0.64,0.64,0.64,2000,2008
37,2008-12-02 00:00:00,0.65,0.65,0.61,0.61,657,2008
38,2008-12-03 00:00:00,0.61,0.61,0.61,0.61,1,2008
39,2008-12-04 00:00:00,0.61,0.61,0.61,0.61,167,2008
40,2008-12-05 00:00:00,0.65,0.65,0.65,0.65,100,2008
41,2008-12-09 00:00:00,0.59,0.63,0.49,0.51,52023,2008
42,2008-12-10 00:00:00,0.53,0.57,0.52,0.52,15800,2008
43,2008-12-11 00:00:00,0.56,0.56,0.56,0.56,2,2008
44,2008-12-12 00:00:00,0.54,0.54,0.54,0.54,365,2008
45,2008-12-15 00:00:00,0.54,0.54,0.54,0.54,105001,2008
46,2008-12-16 00:00:00,0.54,0.54,0.54,0.54,1,2008
47,2008-12-17 00:00:00,0.55,0.55,0.55,0.55,1,2008
48,2008-12-18 00:00:00,0.5,0.5,0.47,0.47,18000,2008
49,2008-12-19 00:00:00,0.54,0.54,0.54,0.54,1,2008
50,2008-12-22 00:00:00,0.54,0.54,0.5,0.5,4238,2008
51,2008-12-23 00:00:00,0.5,0.5,0.5,0.5,4999,2008
52,2008-12-29 00:00:00,0.54,0.54,0.54,0.54,1,2008
53,2008-12-30 00:00:00,0.54,0.54,0.54,0.54,1,2008
54,2008-12-31 00:00:00,0.58,0.58,0.58,0.58,1,2008
55,2009-01-05 00:00:00,0.59,0.59,0.59,0.59,1,2009
56,2009-01-07 00:00:00,0.58,0.58,0.58,0.58,1,2009
57,2009-01-08 00:00:00,0.58,0.58,0.58,0.58,1,2009
58,2009-01-09 00:00:00,0.58,0.58,0.58,0.58,1,2009
59,2009-01-12 00:00:00,0.58,0.58,0.58,0.58,1,2009
60,2009-01-13 00:00:00,0.58,0.58,0.58,0.58,1,2009
61,2009-01-14 00:00:00,0.58,0.8,0.58,0.79,117381,2009
62,2009-01-15 00:00:00,0.65,0.94,0.65,0.92,46670,2009
63,2009-01-19 00:00:00,0.74,0.82,0.74,0.82,30000,2009
64,2009-01-20 00:00:00,0.66,0.66,0.66,0.66,665,2009
65,2009-01-21 00:00:00,0.6,0.6,0.6,0.6,1074,2009
66,2009-01-23 00:00:00,0.6,0.6,0.6,0.6,1,2009
67,2009-01-26 00:00:00,0.6,0.72,0.5,0.5,1400,2009
68,2009-01-27 00:00:00,0.5,0.6,0.5,0.6,2140,2009
69,2009-01-28 00:00:00,0.62,0.62,0.62,0.62,1,2009
70,2009-01-29 00:00:00,0.62,0.62,0.62,0.62,1,2009
71,2009-02-02 00:00:00,0.56,0.59,0.5,0.5,2500,2009
72,2009-02-03 00:00:00,0.59,0.59,0.59,0.59,1248,2009
73,2009-02-04 00:00:00,0.48,0.6,0.48,0.6,540,2009
74,2009-02-05 00:00:00,0.41,0.57,0.4,0.57,25252,2009
75,2009-02-06 00:00:00,0.5,0.56,0.46,0.56,5278,2009
76,2009-02-09 00:00:00,0.56,0.56,0.56,0.56,100,2009
77,2009-02-10 00:00:00,0.48,0.58,0.48,0.58,1500,2009
78,2009-02-13 00:00:00,0.47,0.48,0.47,0.48,7600,2009
79,2009-02-16 00:00:00,0.49,0.49,0.48,0.48,13730,2009
80,2009-02-19 00:00:00,0.49,0.49,0.49,0.49,1,2009
81,2009-02-20 00:00:00,0.49,0.49,0.49,0.49,1,2009
82,2009-02-24 00:00:00,0.47,0.47,0.47,0.47,1600,2009
83,2009-02-25 00:00:00,0.46,0.46,0.46,0.46,2380,2009
84,2009-02-26 00:00:00,0.48,0.48,0.48,0.48,1600,2009
85,2009-03-02 00:00:00,0.48,0.48,0.48,0.48,2140,2009
86,2009-03-03 00:00:00,0.49,0.6,0.49,0.53,17211,2009
87,2009-03-04 00:00:00,0.62,0.74,0.62,0.65,20928,2009
88,2009-03-05 00:00:00,0.64,0.64,0.45,0.45,150,2009
89,2009-03-06 00:00:00,0.46,0.54,0.46,0.51,6563,2009
90,2009-03-10 00:00:00,0.48,0.56,0.48,0.56,4240,2009
91,2009-03-11 00:00:00,0.57,0.64,0.5,0.59,4653,2009
92,2009-03-12 00:00:00,0.62,0.63,0.55,0.63,16660,2009
93,2009-03-16 00:00:00,0.62,0.73,0.62,0.73,5738,2009
94,2009-03-20 00:00:00,0.59,0.62,0.59,0.6,5801,2009
95,2009-03-23 00:00:00,0.63,0.63,0.63,0.63,1,2009
96,2009-03-24 00:00:00,0.63,0.63,0.63,0.63,1,2009
97,2009-03-25 00:00:00,0.63,0.63,0.63,0.63,1998,2009
98,2009-03-27 00:00:00,0.63,0.63,0.63,0.63,198,2009
99,2009-03-30 00:00:00,0.69,0.69,0.69,0.69,1200,2009
100,2009-04-01 00:00:00,0.67,0.67,0.67,0.67,1917,2009
101,2009-04-03 00:00:00,0.6,0.67,0.6,0.67,1810,2009
102,2009-04-06 00:00:00,0.55,0.89,0.55,0.86,10954,2009
103,2009-04-15 00:00:00,0.98,0.98,0.97,0.97,1050,2009
104,2009-04-16 00:00:00,0.94,0.94,0.94,0.94,450,2009
105,2009-04-20 00:00:00,1.11,1.19,0.91,0.91,2742,2009
106,2009-04-23 00:00:00,0.98,0.98,0.98,0.98,2000,2009
107,2009-04-27 00:00:00,1.13,1.13,0.95,0.95,150,2009
108,2009-04-28 00:00:00,0.87,1.09,0.87,1.09,2000,2009
109,2009-04-29 00:00:00,0.97,0.97,0.97,0.97,40,2009
110,2009-04-30 00:00:00,0.78,0.95,0.73,0.82,11720,2009
111,2009-05-07 00:00:00,0.74,0.74,0.74,0.74,2490,2009
112,2009-05-11 00:00:00,0.72,0.72,0.7,0.7,9000,2009
113,2009-05-20 00:00:00,0.6,0.65,0.6,0.6,23343,2009
114,2009-05-22 00:00:00,0.61,0.65,0.61,0.65,101,2009
115,2009-06-03 00:00:00,0.64,0.65,0.64,0.65,3000,2009
116,2009-06-08 00:00:00,0.67,0.67,0.67,0.67,50,2009
117,2009-06-09 00:00:00,0.68,0.8,0.68,0.79,22618,2009
118,2009-06-10 00:00:00,0.8,0.8,0.65,0.79,1043,2009
119,2009-06-12 00:00:00,0.65,0.84,0.65,0.84,981,2009
120,2009-06-15 00:00:00,0.68,0.83,0.68,0.83,1640,2009
121,2009-06-16 00:00:00,0.69,0.8,0.69,0.8,590,2009
122,2009-06-17 00:00:00,0.79,0.85,0.75,0.75,1202,2009
123,2009-06-18 00:00:00,0.78,0.79,0.78,0.79,101,2009
124,2009-06-24 00:00:00,0.82,0.82,0.82,0.82,10,2009
125,2009-06-25 00:00:00,0.7,0.82,0.7,0.7,2002,2009
126,2009-06-26 00:00:00,0.65,0.74,0.65,0.74,367,2009
127,2009-06-29 00:00:00,0.65,0.65,0.64,0.64,4000,2009
128,2009-06-30 00:00:00,0.69,0.69,0.66,0.66,12150,2009
129,2009-07-01 00:00:00,0.7,0.7,0.7,0.7,10,2009
