,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-07-05 00:00:00,2.94,3.68,2.76,3.68,166668,2011
1,2011-07-06 00:00:00,3.68,3.99,3.1,3.15,113662,2011
2,2011-07-07 00:00:00,3.15,3.37,3.05,3.15,20228,2011
3,2011-07-08 00:00:00,3.2,3.2,3.06,3.15,11547,2011
4,2011-07-11 00:00:00,3.08,3.27,3.05,3.05,8419,2011
5,2011-07-12 00:00:00,3.11,3.69,3.02,3.59,52398,2011
6,2011-07-13 00:00:00,3.45,3.51,3.21,3.21,15925,2011
7,2011-07-14 00:00:00,3.4,3.58,3.2,3.58,1238,2011
8,2011-07-15 00:00:00,3.45,3.57,3.3,3.41,2525,2011
9,2011-07-18 00:00:00,3.36,3.36,3.25,3.3,1960,2011
10,2011-07-19 00:00:00,3.47,3.75,3.35,3.75,6006,2011
11,2011-07-20 00:00:00,3.75,3.76,3.6,3.76,1121,2011
12,2011-07-21 00:00:00,3.75,3.75,3.53,3.53,1575,2011
13,2011-07-22 00:00:00,3.55,3.65,3.55,3.57,115,2011
14,2011-07-25 00:00:00,3.57,3.64,3.55,3.62,1724,2011
15,2011-07-26 00:00:00,3.66,3.66,3.53,3.66,730,2011
16,2011-07-27 00:00:00,3.61,3.83,3.57,3.83,13087,2011
17,2011-07-28 00:00:00,3.82,3.97,3.82,3.82,23383,2011
18,2011-07-29 00:00:00,3.81,3.81,3.55,3.56,4610,2011
19,2011-08-01 00:00:00,3.57,3.68,3.51,3.65,5741,2011
20,2011-08-02 00:00:00,3.55,5.28,3.51,5.28,104704,2011
21,2011-08-03 00:00:00,5.3,5.67,4.9,5.57,42963,2011
22,2011-08-04 00:00:00,5.4,5.4,4.8,4.8,24075,2011
23,2011-08-05 00:00:00,4.5,4.8,4.3,4.67,6213,2011
24,2011-08-08 00:00:00,4.35,4.6,4.0,4.2,5676,2011
25,2011-08-09 00:00:00,4.01,4.2,3.8,4.2,4161,2011
26,2011-08-10 00:00:00,4.35,4.98,4.01,4.88,12597,2011
27,2011-08-11 00:00:00,4.88,5.03,4.88,5.03,500,2011
28,2011-08-12 00:00:00,4.93,4.93,4.93,4.93,165,2011
29,2011-08-16 00:00:00,4.94,4.94,4.02,4.5,15067,2011
30,2011-08-17 00:00:00,4.48,4.79,4.48,4.79,708,2011
31,2011-08-18 00:00:00,4.5,4.5,4.11,4.11,2255,2011
32,2011-08-19 00:00:00,4.06,4.3,4.06,4.3,1180,2011
33,2011-08-22 00:00:00,4.79,4.79,4.79,4.79,22,2011
34,2011-08-23 00:00:00,4.75,4.75,4.75,4.75,22,2011
35,2011-08-24 00:00:00,4.79,4.79,4.4,4.4,181,2011
36,2011-08-25 00:00:00,4.78,5.45,4.75,4.93,32634,2011
37,2011-08-26 00:00:00,4.94,4.94,4.56,4.94,155,2011
38,2011-08-29 00:00:00,4.7,4.7,4.7,4.7,560,2011
39,2011-08-30 00:00:00,4.51,4.51,4.4,4.42,3096,2011
40,2011-08-31 00:00:00,4.45,4.6,4.45,4.6,222,2011
41,2011-09-01 00:00:00,4.45,4.6,4.36,4.37,3596,2011
42,2011-09-02 00:00:00,4.35,4.36,4.31,4.31,614,2011
43,2011-09-05 00:00:00,4.3,4.3,4.2,4.2,536,2011
44,2011-09-06 00:00:00,4.4,4.4,4.21,4.21,50,2011
45,2011-09-07 00:00:00,4.35,4.35,4.35,4.35,40,2011
46,2011-09-08 00:00:00,4.44,4.44,4.35,4.35,388,2011
47,2011-09-09 00:00:00,4.44,4.44,4.15,4.44,262,2011
48,2011-09-12 00:00:00,4.35,4.39,4.11,4.11,165,2011
49,2011-09-13 00:00:00,4.25,4.4,4.25,4.4,600,2011
50,2011-09-14 00:00:00,4.44,4.44,4.3,4.3,270,2011
51,2011-09-15 00:00:00,4.44,4.48,4.3,4.48,706,2011
52,2011-09-16 00:00:00,4.49,4.49,4.49,4.49,20,2011
53,2011-09-19 00:00:00,4.49,4.49,4.45,4.45,116,2011
54,2011-09-20 00:00:00,4.45,4.45,4.35,4.35,1620,2011
55,2011-09-21 00:00:00,4.34,4.34,4.34,4.34,20,2011
56,2011-09-22 00:00:00,4.29,4.47,4.05,4.25,6115,2011
57,2011-09-23 00:00:00,4.25,4.25,4.25,4.25,170,2011
58,2011-09-26 00:00:00,4.35,4.35,4.35,4.35,20,2011
59,2011-09-27 00:00:00,4.35,4.35,4.34,4.34,50,2011
60,2011-09-28 00:00:00,4.11,4.34,4.05,4.34,1475,2011
61,2011-09-29 00:00:00,4.02,4.24,4.02,4.24,635,2011
62,2011-09-30 00:00:00,4.01,4.14,4.01,4.14,1003,2011
63,2011-10-03 00:00:00,3.99,4.33,3.97,4.02,10372,2011
64,2011-10-04 00:00:00,4.02,4.02,3.8,3.8,5260,2011
65,2011-10-05 00:00:00,3.8,3.8,3.8,3.8,8,2011
66,2011-10-06 00:00:00,3.8,3.8,3.05,3.75,3643,2011
67,2011-10-07 00:00:00,3.59,4.05,3.01,4.05,11172,2011
68,2011-10-10 00:00:00,4.06,4.06,4.04,4.04,330,2011
69,2011-10-11 00:00:00,3.95,3.95,3.65,3.65,2360,2011
70,2011-10-12 00:00:00,3.6,3.6,3.6,3.6,550,2011
71,2011-10-13 00:00:00,3.6,3.6,3.6,3.6,50,2011
72,2011-10-14 00:00:00,3.55,3.7,3.15,3.5,2500,2011
73,2011-10-18 00:00:00,3.4,3.4,3.15,3.15,1220,2011
74,2011-10-19 00:00:00,3.15,3.3,3.15,3.3,80,2011
75,2011-10-20 00:00:00,3.16,3.16,3.15,3.15,207,2011
76,2011-10-21 00:00:00,3.15,3.3,3.11,3.3,1780,2011
77,2011-10-24 00:00:00,3.3,3.3,3.3,3.3,6,2011
78,2011-10-25 00:00:00,3.15,3.3,3.15,3.3,4900,2011
79,2011-10-28 00:00:00,3.34,4.08,3.2,4.08,15560,2011
80,2011-10-31 00:00:00,3.51,4.11,3.51,4.11,7709,2011
81,2011-11-02 00:00:00,4.0,4.01,3.54,3.95,10446,2011
82,2011-11-03 00:00:00,3.95,4.08,3.89,3.99,1548,2011
83,2011-11-04 00:00:00,3.99,3.99,3.88,3.99,439,2011
84,2011-11-07 00:00:00,4.05,4.05,3.85,3.85,1090,2011
85,2011-11-08 00:00:00,3.71,3.71,3.71,3.71,100,2011
86,2011-11-09 00:00:00,3.75,4.08,3.75,4.08,3829,2011
87,2011-11-10 00:00:00,4.08,4.08,3.6,3.61,2985,2011
88,2011-11-14 00:00:00,3.68,3.75,3.61,3.61,1720,2011
89,2011-11-15 00:00:00,3.61,3.61,3.61,3.61,150,2011
90,2011-11-16 00:00:00,3.61,3.61,3.61,3.61,10,2011
91,2011-11-17 00:00:00,3.72,3.85,3.61,3.61,1310,2011
92,2011-11-18 00:00:00,3.65,3.67,3.64,3.64,1440,2011
93,2011-11-21 00:00:00,3.55,3.55,3.5,3.55,1700,2011
94,2011-11-22 00:00:00,3.5,3.5,3.5,3.5,650,2011
95,2011-11-23 00:00:00,3.51,3.6,3.5,3.5,2780,2011
96,2011-11-24 00:00:00,3.45,3.5,3.45,3.5,915,2011
97,2011-11-25 00:00:00,3.47,3.55,3.36,3.5,5255,2011
98,2011-11-28 00:00:00,3.5,3.5,3.5,3.5,10,2011
99,2011-11-29 00:00:00,3.47,3.47,3.47,3.47,120,2011
100,2011-11-30 00:00:00,3.4,3.4,3.35,3.35,696,2011
101,2011-12-01 00:00:00,3.44,3.44,3.44,3.44,100,2011
102,2011-12-02 00:00:00,3.45,3.45,3.4,3.4,200,2011
103,2011-12-05 00:00:00,3.5,3.5,3.5,3.5,715,2011
104,2011-12-06 00:00:00,3.55,3.8,3.55,3.8,60,2011
105,2011-12-07 00:00:00,3.85,4.1,3.8,3.8,4875,2011
106,2011-12-08 00:00:00,4.05,4.05,4.05,4.05,15,2011
107,2011-12-09 00:00:00,4.04,4.04,3.79,3.79,3230,2011
108,2011-12-12 00:00:00,3.7,3.7,3.7,3.7,20,2011
109,2011-12-13 00:00:00,3.7,3.7,3.7,3.7,750,2011
110,2011-12-14 00:00:00,3.66,3.66,3.51,3.55,3580,2011
111,2011-12-15 00:00:00,3.6,3.6,3.6,3.6,10,2011
112,2011-12-16 00:00:00,3.6,3.6,3.6,3.6,10,2011
113,2011-12-19 00:00:00,3.6,3.93,3.56,3.93,5391,2011
114,2011-12-20 00:00:00,3.93,3.99,3.55,3.99,16278,2011
115,2011-12-21 00:00:00,4.01,4.2,3.75,3.95,26761,2011
116,2011-12-22 00:00:00,3.7,3.7,3.51,3.51,5279,2011
117,2011-12-23 00:00:00,3.65,3.7,3.5,3.7,543,2011
118,2011-12-27 00:00:00,3.5,3.5,3.49,3.49,880,2011
119,2011-12-28 00:00:00,3.3,3.3,3.3,3.3,700,2011
120,2011-12-29 00:00:00,3.4,3.5,3.4,3.5,300,2011
121,2011-12-30 00:00:00,3.4,3.4,3.4,3.4,1,2011
122,2012-01-02 00:00:00,3.45,3.45,3.45,3.45,50,2012
123,2012-01-05 00:00:00,3.4,3.4,3.1,3.1,1050,2012
124,2012-01-10 00:00:00,3.1,3.1,2.5,2.99,1330,2012
125,2012-01-11 00:00:00,2.9,2.9,2.9,2.9,5,2012
126,2012-01-12 00:00:00,2.9,2.9,2.9,2.9,5,2012
127,2012-01-16 00:00:00,2.9,2.9,2.9,2.9,10,2012
128,2012-01-17 00:00:00,2.85,2.85,2.38,2.45,1331,2012
129,2012-01-18 00:00:00,2.45,2.45,2.45,2.45,344,2012
130,2012-01-30 00:00:00,2.5,2.5,2.5,2.5,10,2012
131,2012-02-02 00:00:00,2.5,2.5,2.5,2.5,10,2012
132,2012-02-03 00:00:00,2.5,2.5,2.5,2.5,15,2012
133,2012-02-06 00:00:00,2.5,2.5,2.5,2.5,10,2012
134,2012-02-07 00:00:00,2.5,2.5,2.5,2.5,600,2012
135,2012-02-08 00:00:00,2.5,2.5,2.5,2.5,10,2012
136,2012-02-09 00:00:00,2.52,2.52,2.52,2.52,10,2012
137,2012-02-10 00:00:00,2.52,2.52,2.52,2.52,10,2012
138,2012-02-13 00:00:00,2.52,2.52,2.52,2.52,10,2012
139,2012-02-14 00:00:00,2.52,2.52,2.52,2.52,10,2012
140,2012-02-15 00:00:00,2.52,2.52,2.52,2.52,10,2012
141,2012-02-16 00:00:00,2.52,2.52,2.52,2.52,10,2012
142,2012-02-17 00:00:00,2.52,2.52,2.52,2.52,10,2012
143,2012-02-20 00:00:00,2.52,2.52,2.52,2.52,10,2012
144,2012-02-21 00:00:00,2.5,2.5,2.5,2.5,940,2012
145,2012-02-22 00:00:00,2.5,2.5,2.5,2.5,10,2012
146,2012-02-23 00:00:00,2.5,2.5,2.5,2.5,15,2012
147,2012-02-24 00:00:00,2.5,2.6,2.5,2.6,15,2012
148,2012-02-27 00:00:00,2.5,2.5,2.5,2.5,5,2012
149,2012-02-28 00:00:00,2.5,2.6,2.5,2.5,10480,2012
150,2012-02-29 00:00:00,2.6,2.96,2.5,2.5,7840,2012
151,2012-03-01 00:00:00,2.62,2.62,2.5,2.5,1007,2012
152,2012-03-05 00:00:00,2.55,2.55,2.55,2.55,220,2012
153,2012-03-14 00:00:00,2.6,2.6,2.5,2.5,1040,2012
154,2012-03-26 00:00:00,2.5,2.5,2.5,2.5,40,2012
155,2012-03-27 00:00:00,2.5,2.5,2.5,2.5,40,2012
156,2012-03-28 00:00:00,2.5,2.5,2.5,2.5,40,2012
157,2012-03-29 00:00:00,2.5,2.5,2.5,2.5,40,2012
158,2012-03-30 00:00:00,2.5,2.5,2.5,2.5,20,2012
159,2012-04-02 00:00:00,2.5,2.5,2.5,2.5,40,2012
160,2012-04-03 00:00:00,2.5,2.5,2.5,2.5,30,2012
161,2012-04-04 00:00:00,2.5,2.5,2.5,2.5,20,2012
162,2012-04-05 00:00:00,2.5,2.5,2.5,2.5,10,2012
163,2012-04-10 00:00:00,2.5,2.5,2.18,2.18,3220,2012
164,2012-04-11 00:00:00,2.19,2.22,2.19,2.22,700,2012
165,2012-04-12 00:00:00,2.2,2.85,2.2,2.3,5600,2012
166,2012-04-17 00:00:00,2.3,2.41,2.3,2.41,45,2012
167,2012-04-23 00:00:00,2.45,2.45,2.15,2.21,5890,2012
168,2012-04-24 00:00:00,2.21,2.21,2.21,2.21,1135,2012
169,2012-04-25 00:00:00,2.21,2.21,2.21,2.21,628,2012
170,2012-04-26 00:00:00,2.15,2.15,2.15,2.15,50,2012
171,2012-04-27 00:00:00,2.15,2.5,2.15,2.4,3297,2012
172,2012-05-08 00:00:00,2.35,2.35,2.15,2.15,2450,2012
173,2012-05-15 00:00:00,2.05,2.49,2.01,2.1,11128,2012
174,2012-05-16 00:00:00,2.05,2.05,2.05,2.05,1230,2012
175,2012-05-17 00:00:00,2.0,2.0,2.0,2.0,50,2012
176,2012-05-18 00:00:00,2.0,2.0,1.8,1.8,1610,2012
177,2012-05-21 00:00:00,1.75,2.25,1.75,1.87,4676,2012
178,2012-06-06 00:00:00,1.9,1.9,1.9,1.9,200,2012
179,2012-06-20 00:00:00,1.92,1.92,1.7,1.8,2581,2012
180,2012-06-26 00:00:00,1.7,1.7,1.7,1.7,1400,2012
181,2012-07-03 00:00:00,1.68,1.68,1.37,1.37,6680,2012
182,2012-07-05 00:00:00,1.37,1.37,1.12,1.18,2600,2012
183,2012-07-06 00:00:00,1.18,1.18,1.18,1.18,20,2012
184,2012-07-09 00:00:00,1.16,1.16,1.16,1.16,50,2012
185,2012-07-10 00:00:00,1.13,1.13,1.13,1.13,40,2012
186,2012-07-11 00:00:00,1.0,1.35,1.0,1.35,2340,2012
187,2012-07-17 00:00:00,1.34,1.34,1.15,1.15,3277,2012
188,2012-08-07 00:00:00,1.18,1.34,1.01,1.34,9273,2012
189,2012-08-08 00:00:00,1.34,1.34,1.34,1.34,220,2012
190,2012-08-09 00:00:00,1.34,1.34,1.34,1.34,20,2012
191,2012-08-10 00:00:00,1.34,1.34,1.34,1.34,10,2012
192,2012-08-13 00:00:00,1.34,1.34,1.34,1.34,20,2012
193,2012-08-14 00:00:00,1.34,1.34,1.34,1.34,15,2012
194,2012-08-20 00:00:00,1.27,1.27,1.01,1.01,4721,2012
195,2012-08-21 00:00:00,1.04,1.2,1.04,1.2,3450,2012
196,2012-08-22 00:00:00,1.2,1.37,1.02,1.2,10197,2012
197,2012-08-23 00:00:00,1.23,1.23,1.23,1.23,35,2012
198,2012-08-24 00:00:00,1.25,1.25,0.99,0.99,6460,2012
199,2012-08-27 00:00:00,1.02,1.09,1.02,1.09,2550,2012
200,2012-08-29 00:00:00,1.09,1.09,0.9,1.08,9541,2012
201,2012-08-30 00:00:00,1.04,1.04,1.04,1.04,10,2012
202,2012-08-31 00:00:00,1.04,1.04,1.04,1.04,10,2012
203,2012-09-03 00:00:00,1.01,1.01,1.01,1.01,30,2012
204,2012-09-04 00:00:00,1.01,1.01,1.01,1.01,30,2012
205,2012-09-05 00:00:00,1.01,1.01,0.88,0.88,2210,2012
206,2012-09-13 00:00:00,0.87,0.87,0.83,0.83,350,2012
207,2012-09-17 00:00:00,0.83,0.83,0.83,0.83,100,2012
208,2012-09-18 00:00:00,0.81,1.1,0.8,0.89,15662,2012
209,2012-09-21 00:00:00,0.84,0.84,0.84,0.84,200,2012
210,2012-09-25 00:00:00,0.85,0.85,0.85,0.85,50,2012
211,2012-10-11 00:00:00,0.85,0.85,0.85,0.85,50,2012
212,2012-10-12 00:00:00,0.85,0.85,0.85,0.85,20,2012
213,2012-10-16 00:00:00,0.85,0.85,0.85,0.85,15,2012
214,2012-10-22 00:00:00,0.85,0.85,0.68,0.69,4300,2012
215,2012-11-02 00:00:00,0.71,0.82,0.71,0.82,2400,2012
216,2012-11-06 00:00:00,0.78,0.78,0.67,0.67,2940,2012
217,2012-11-07 00:00:00,0.65,0.65,0.54,0.6,3700,2012
218,2012-11-09 00:00:00,0.58,0.58,0.56,0.56,536,2012
219,2012-11-12 00:00:00,0.54,0.54,0.54,0.54,335,2012
220,2012-11-28 00:00:00,0.6,0.6,0.6,0.6,100,2012
221,2012-11-29 00:00:00,0.6,0.6,0.6,0.6,50,2012
222,2012-11-30 00:00:00,0.6,0.6,0.6,0.6,60,2012
223,2012-12-03 00:00:00,0.58,0.58,0.58,0.58,60,2012
