,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-02-19 00:00:00,0.16,0.19,0.13,0.18,18138206,2010
1,2010-02-22 00:00:00,0.21,0.26,0.2,0.26,7278561,2010
2,2010-02-23 00:00:00,0.33,0.36,0.3,0.32,6725507,2010
3,2010-02-24 00:00:00,0.31,0.33,0.29,0.33,2752202,2010
4,2010-02-25 00:00:00,0.35,0.41,0.34,0.37,5554265,2010
5,2010-02-26 00:00:00,0.37,0.38,0.34,0.36,1919185,2010
6,2010-03-01 00:00:00,0.35,0.37,0.33,0.34,1097607,2010
7,2010-03-02 00:00:00,0.34,0.34,0.32,0.33,934185,2010
8,2010-03-03 00:00:00,0.33,0.33,0.3,0.31,899654,2010
9,2010-03-04 00:00:00,0.31,0.36,0.29,0.33,4949924,2010
10,2010-03-05 00:00:00,0.33,0.33,0.32,0.33,481489,2010
11,2010-03-08 00:00:00,0.33,0.33,0.31,0.33,126694,2010
12,2010-03-09 00:00:00,0.32,0.32,0.3,0.31,1073773,2010
13,2010-03-10 00:00:00,0.31,0.33,0.29,0.32,1646626,2010
14,2010-03-11 00:00:00,0.32,0.32,0.3,0.31,498425,2010
15,2010-03-12 00:00:00,0.31,0.33,0.3,0.32,802440,2010
16,2010-03-15 00:00:00,0.33,0.33,0.31,0.32,543967,2010
17,2010-03-16 00:00:00,0.31,0.31,0.29,0.31,1071747,2010
18,2010-03-17 00:00:00,0.3,0.31,0.3,0.3,490037,2010
19,2010-03-18 00:00:00,0.3,0.3,0.29,0.29,150095,2010
20,2010-03-19 00:00:00,0.3,0.3,0.29,0.3,215479,2010
21,2010-03-22 00:00:00,0.29,0.29,0.27,0.29,424003,2010
22,2010-03-23 00:00:00,0.28,0.29,0.27,0.29,94023,2010
23,2010-03-24 00:00:00,0.29,0.29,0.28,0.29,123080,2010
24,2010-03-25 00:00:00,0.28,0.3,0.28,0.29,258370,2010
25,2010-03-26 00:00:00,0.28,0.29,0.28,0.28,87182,2010
26,2010-03-29 00:00:00,0.28,0.29,0.27,0.29,78697,2010
27,2010-03-30 00:00:00,0.29,0.29,0.28,0.29,24825,2010
28,2010-03-31 00:00:00,0.29,0.29,0.27,0.27,169288,2010
29,2010-04-01 00:00:00,0.27,0.28,0.27,0.28,86001,2010
30,2010-04-06 00:00:00,0.28,0.28,0.27,0.28,34250,2010
31,2010-04-07 00:00:00,0.27,0.33,0.27,0.32,1694842,2010
32,2010-04-08 00:00:00,0.32,0.32,0.3,0.32,66486,2010
33,2010-04-09 00:00:00,0.31,0.33,0.29,0.32,559665,2010
34,2010-04-12 00:00:00,0.3,0.31,0.3,0.3,136430,2010
35,2010-04-13 00:00:00,0.3,0.31,0.29,0.31,222288,2010
36,2010-04-14 00:00:00,0.31,0.31,0.29,0.31,45718,2010
37,2010-04-15 00:00:00,0.31,0.31,0.3,0.31,22607,2010
38,2010-04-16 00:00:00,0.31,0.31,0.29,0.29,18100,2010
39,2010-04-19 00:00:00,0.29,0.31,0.29,0.31,16100,2010
40,2010-04-20 00:00:00,0.31,0.31,0.29,0.3,27059,2010
41,2010-04-21 00:00:00,0.3,0.3,0.29,0.3,11301,2010
42,2010-04-22 00:00:00,0.3,0.3,0.29,0.3,7100,2010
43,2010-04-23 00:00:00,0.3,0.3,0.28,0.3,53854,2010
44,2010-04-26 00:00:00,0.3,0.3,0.28,0.3,62861,2010
45,2010-04-27 00:00:00,0.3,0.3,0.28,0.3,26352,2010
46,2010-04-28 00:00:00,0.29,0.29,0.28,0.28,65245,2010
47,2010-04-29 00:00:00,0.28,0.29,0.28,0.29,116622,2010
48,2010-04-30 00:00:00,0.29,0.3,0.28,0.29,31299,2010
49,2010-05-04 00:00:00,0.29,0.29,0.28,0.28,61706,2010
50,2010-05-05 00:00:00,0.28,0.28,0.27,0.28,32650,2010
51,2010-05-06 00:00:00,0.28,0.28,0.27,0.28,58192,2010
52,2010-05-07 00:00:00,0.27,0.28,0.26,0.26,72128,2010
53,2010-05-10 00:00:00,0.26,0.28,0.26,0.28,35500,2010
54,2010-05-11 00:00:00,0.28,0.28,0.26,0.28,91230,2010
55,2010-05-12 00:00:00,0.28,0.28,0.26,0.26,11100,2010
56,2010-05-13 00:00:00,0.26,0.28,0.26,0.28,6101,2010
57,2010-05-14 00:00:00,0.28,0.28,0.26,0.26,95731,2010
58,2010-05-17 00:00:00,0.26,0.27,0.25,0.27,62253,2010
59,2010-05-18 00:00:00,0.26,0.27,0.25,0.25,37821,2010
60,2010-05-19 00:00:00,0.25,0.26,0.24,0.25,67624,2010
61,2010-05-20 00:00:00,0.25,0.25,0.24,0.24,53371,2010
62,2010-05-21 00:00:00,0.24,0.25,0.22,0.25,44290,2010
63,2010-05-24 00:00:00,0.25,0.25,0.23,0.23,14253,2010
64,2010-05-25 00:00:00,0.23,0.24,0.23,0.23,21940,2010
65,2010-05-26 00:00:00,0.23,0.25,0.23,0.25,70970,2010
66,2010-05-27 00:00:00,0.25,0.25,0.24,0.25,5163,2010
67,2010-05-28 00:00:00,0.25,0.28,0.25,0.28,42832,2010
68,2010-05-31 00:00:00,0.28,0.28,0.25,0.25,69160,2010
69,2010-06-01 00:00:00,0.25,0.26,0.24,0.24,18083,2010
70,2010-06-02 00:00:00,0.24,0.25,0.23,0.24,45254,2010
71,2010-06-04 00:00:00,0.24,0.24,0.23,0.24,11455,2010
72,2010-06-07 00:00:00,0.24,0.24,0.23,0.24,12302,2010
73,2010-06-08 00:00:00,0.24,0.24,0.22,0.24,55404,2010
74,2010-06-09 00:00:00,0.24,0.24,0.22,0.24,55280,2010
75,2010-06-10 00:00:00,0.23,0.24,0.22,0.23,136228,2010
76,2010-06-11 00:00:00,0.23,0.23,0.22,0.22,63208,2010
77,2010-06-14 00:00:00,0.23,0.23,0.22,0.23,44333,2010
78,2010-06-15 00:00:00,0.23,0.23,0.21,0.23,52199,2010
79,2010-06-16 00:00:00,0.23,0.23,0.21,0.22,1989,2010
80,2010-06-17 00:00:00,0.22,0.23,0.21,0.22,72288,2010
81,2010-06-18 00:00:00,0.22,0.23,0.22,0.23,24000,2010
82,2010-06-21 00:00:00,0.23,0.23,0.22,0.22,54362,2010
