,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-01-05 00:00:00,0.43,0.43,0.35,0.43,217483,2017
1,2017-01-09 00:00:00,0.47,0.56,0.41,0.56,226351,2017
2,2017-01-10 00:00:00,0.62,0.74,0.54,0.74,217614,2017
3,2017-01-11 00:00:00,0.81,0.95,0.72,0.85,283190,2017
4,2017-01-12 00:00:00,0.8,0.83,0.63,0.63,221151,2017
5,2017-01-13 00:00:00,0.65,0.67,0.6,0.64,49079,2017
6,2017-01-16 00:00:00,0.6,0.8,0.6,0.78,98086,2017
7,2017-01-17 00:00:00,0.84,0.9,0.74,0.76,111353,2017
8,2017-01-18 00:00:00,0.82,0.82,0.66,0.68,88497,2017
9,2017-01-19 00:00:00,0.68,0.71,0.63,0.68,68115,2017
10,2017-01-20 00:00:00,0.69,0.73,0.66,0.66,28355,2017
11,2017-01-23 00:00:00,0.68,0.68,0.64,0.66,10110,2017
12,2017-01-24 00:00:00,0.64,0.66,0.62,0.66,2230,2017
13,2017-01-25 00:00:00,0.62,0.65,0.61,0.61,20032,2017
14,2017-01-26 00:00:00,0.62,0.63,0.56,0.59,10228,2017
15,2017-01-27 00:00:00,0.58,0.6,0.5,0.52,35472,2017
16,2017-01-30 00:00:00,0.55,0.55,0.45,0.46,67125,2017
17,2017-01-31 00:00:00,0.46,0.55,0.43,0.52,97572,2017
18,2017-02-01 00:00:00,0.52,0.55,0.5,0.53,59591,2017
19,2017-02-02 00:00:00,0.53,0.54,0.44,0.54,29178,2017
20,2017-02-03 00:00:00,0.47,0.54,0.47,0.51,16981,2017
21,2017-02-06 00:00:00,0.51,0.51,0.48,0.48,11235,2017
22,2017-02-07 00:00:00,0.48,0.51,0.44,0.47,44791,2017
23,2017-02-08 00:00:00,0.47,0.48,0.45,0.48,16168,2017
24,2017-02-09 00:00:00,0.45,0.48,0.44,0.48,15442,2017
25,2017-02-10 00:00:00,0.45,0.48,0.44,0.48,6349,2017
26,2017-02-13 00:00:00,0.43,0.47,0.42,0.47,16506,2017
27,2017-02-14 00:00:00,0.47,0.49,0.44,0.49,20809,2017
28,2017-02-15 00:00:00,0.51,0.53,0.47,0.51,14995,2017
29,2017-02-16 00:00:00,0.51,0.51,0.51,0.51,150,2017
30,2017-02-20 00:00:00,0.47,0.53,0.45,0.53,16893,2017
31,2017-02-21 00:00:00,0.51,0.59,0.51,0.58,36855,2017
32,2017-02-22 00:00:00,0.58,0.67,0.58,0.63,37383,2017
33,2017-02-23 00:00:00,0.69,0.97,0.66,0.97,216452,2017
34,2017-02-24 00:00:00,1.1,1.34,1.1,1.34,243671,2017
35,2017-02-27 00:00:00,1.59,1.79,1.34,1.45,354263,2017
36,2017-02-28 00:00:00,1.5,1.53,1.02,1.4,161941,2017
37,2017-03-01 00:00:00,1.42,1.45,1.2,1.33,81952,2017
38,2017-03-02 00:00:00,1.3,1.45,1.19,1.35,108070,2017
39,2017-03-03 00:00:00,1.4,1.56,1.24,1.44,137864,2017
40,2017-03-06 00:00:00,1.44,1.44,1.11,1.27,133004,2017
41,2017-03-07 00:00:00,1.26,1.27,1.08,1.21,31177,2017
42,2017-03-08 00:00:00,1.25,1.25,1.06,1.07,28214,2017
