,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-04-16 00:00:00,11.2,11.2,8.0,8.45,21420,2018
1,2018-04-17 00:00:00,8.59,9.05,7.07,7.6,7322,2018
2,2018-04-18 00:00:00,7.69,7.89,6.5,7.1,3512,2018
3,2018-04-19 00:00:00,7.43,7.43,6.95,7.1,1517,2018
4,2018-04-20 00:00:00,7.42,7.42,6.8,7.2,224,2018
5,2018-04-23 00:00:00,7.2,7.2,7.2,7.2,21,2018
6,2018-04-24 00:00:00,7.2,7.5,6.81,7.5,476,2018
7,2018-04-25 00:00:00,7.47,7.48,7.47,7.48,8,2018
8,2018-04-26 00:00:00,7.48,7.48,7.48,7.48,8,2018
9,2018-04-27 00:00:00,7.48,7.48,7.19,7.25,557,2018
10,2018-04-30 00:00:00,7.25,7.25,7.2,7.2,16,2018
11,2018-05-02 00:00:00,7.2,7.2,7.2,7.2,2,2018
12,2018-05-04 00:00:00,7.2,7.2,7.2,7.2,6,2018
13,2018-05-07 00:00:00,7.2,7.2,7.2,7.2,33,2018
14,2018-05-08 00:00:00,7.2,7.2,7.18,7.18,36,2018
15,2018-05-09 00:00:00,7.18,7.18,6.5,6.5,1410,2018
16,2018-05-10 00:00:00,7.0,7.0,6.5,6.5,314,2018
17,2018-05-11 00:00:00,6.5,7.05,6.49,7.05,1059,2018
18,2018-05-14 00:00:00,7.16,7.16,6.0,6.0,3300,2018
19,2018-05-15 00:00:00,6.49,6.5,6.41,6.45,331,2018
20,2018-05-16 00:00:00,6.43,6.43,6.39,6.39,60,2018
21,2018-05-17 00:00:00,6.35,6.35,5.97,6.3,93,2018
22,2018-05-18 00:00:00,5.98,5.98,5.65,5.96,347,2018
23,2018-05-21 00:00:00,6.34,6.34,6.28,6.28,3,2018
24,2018-05-22 00:00:00,6.26,6.26,5.2,5.99,1082,2018
25,2018-05-23 00:00:00,5.2,5.98,4.44,4.56,1616,2018
26,2018-05-24 00:00:00,4.56,4.8,4.35,4.35,1120,2018
27,2018-05-25 00:00:00,4.8,4.8,4.05,4.52,240,2018
28,2018-05-28 00:00:00,4.4,4.55,3.85,4.45,716,2018
29,2018-05-29 00:00:00,4.52,4.52,4.52,4.52,3,2018
30,2018-05-30 00:00:00,4.52,4.52,4.2,4.2,250,2018
31,2018-06-01 00:00:00,4.52,4.52,4.0,4.52,515,2018
32,2018-06-04 00:00:00,4.51,4.51,3.82,4.51,254,2018
33,2018-06-05 00:00:00,4.51,4.51,4.1,4.51,424,2018
34,2018-06-06 00:00:00,4.51,4.51,4.3,4.51,112,2018
35,2018-06-07 00:00:00,4.51,5.0,4.01,4.01,2861,2018
36,2018-06-08 00:00:00,4.01,5.77,3.9,4.85,10908,2018
37,2018-06-11 00:00:00,4.91,4.91,4.5,4.91,546,2018
38,2018-06-12 00:00:00,4.91,4.91,4.79,4.8,2670,2018
39,2018-06-13 00:00:00,4.8,4.8,3.9,4.5,2127,2018
40,2018-06-14 00:00:00,4.05,4.75,4.05,4.75,2107,2018
41,2018-06-15 00:00:00,4.68,4.68,4.05,4.45,1737,2018
42,2018-06-18 00:00:00,4.39,4.39,4.39,4.39,2,2018
43,2018-06-19 00:00:00,4.3,4.3,4.28,4.28,20,2018
44,2018-06-20 00:00:00,4.25,4.25,4.06,4.2,759,2018
45,2018-06-21 00:00:00,4.28,4.68,4.28,4.5,604,2018
46,2018-06-22 00:00:00,4.48,4.48,4.2,4.47,132,2018
47,2018-06-25 00:00:00,4.47,4.47,4.06,4.27,522,2018
48,2018-06-26 00:00:00,4.27,6.0,4.01,4.65,15036,2018
49,2018-06-27 00:00:00,4.65,4.99,4.4,4.6,4313,2018
50,2018-06-28 00:00:00,4.98,4.98,4.55,4.7,761,2018
51,2018-06-29 00:00:00,4.69,4.71,4.41,4.55,354,2018
52,2018-07-02 00:00:00,4.4,4.54,4.26,4.5,71,2018
53,2018-07-03 00:00:00,4.2,4.5,4.05,4.34,1355,2018
54,2018-07-04 00:00:00,4.34,4.34,4.0,4.32,710,2018
55,2018-07-05 00:00:00,4.32,4.33,4.32,4.33,251,2018
56,2018-07-06 00:00:00,4.55,4.55,4.5,4.55,1563,2018
57,2018-07-09 00:00:00,4.53,4.53,4.4,4.53,1586,2018
58,2018-07-10 00:00:00,4.53,4.53,4.1,4.5,975,2018
59,2018-07-11 00:00:00,4.53,4.53,4.3,4.3,211,2018
60,2018-07-12 00:00:00,4.5,4.5,4.0,4.3,494,2018
61,2018-07-13 00:00:00,4.45,4.5,4.21,4.3,831,2018
62,2018-07-16 00:00:00,4.3,4.5,4.3,4.5,850,2018
63,2018-07-17 00:00:00,4.47,4.75,4.3,4.44,3414,2018
64,2018-07-18 00:00:00,4.62,4.62,4.56,4.56,9,2018
65,2018-07-19 00:00:00,4.5,4.5,4.5,4.5,455,2018
66,2018-07-20 00:00:00,4.52,4.52,4.1,4.47,1120,2018
67,2018-07-23 00:00:00,4.48,4.49,4.48,4.49,339,2018
68,2018-07-24 00:00:00,4.49,4.49,4.15,4.15,235,2018
69,2018-07-25 00:00:00,4.47,4.47,3.96,4.2,1330,2018
70,2018-07-26 00:00:00,4.2,4.41,4.18,4.35,2950,2018
71,2018-07-27 00:00:00,4.47,4.47,4.25,4.3,2915,2018
72,2018-07-30 00:00:00,4.36,4.49,4.15,4.3,1510,2018
73,2018-07-31 00:00:00,4.3,4.56,4.2,4.2,575,2018
74,2018-08-01 00:00:00,4.2,4.21,4.11,4.21,868,2018
75,2018-08-02 00:00:00,4.62,4.62,4.1,4.49,327,2018
76,2018-08-03 00:00:00,4.5,4.59,4.19,4.48,1028,2018
77,2018-08-06 00:00:00,4.5,4.5,4.15,4.5,231,2018
78,2018-08-07 00:00:00,4.1,4.59,4.1,4.35,4353,2018
79,2018-08-08 00:00:00,4.35,4.4,3.96,4.4,2472,2018
80,2018-08-09 00:00:00,4.39,4.39,3.99,4.25,1806,2018
81,2018-08-10 00:00:00,4.2,4.2,4.1,4.15,1122,2018
82,2018-08-13 00:00:00,3.96,4.22,3.86,4.22,503,2018
83,2018-08-14 00:00:00,4.08,4.1,4.05,4.05,1237,2018
84,2018-08-16 00:00:00,4.25,4.25,3.8,4.05,1502,2018
85,2018-08-17 00:00:00,4.0,4.0,3.21,4.0,1892,2018
86,2018-08-20 00:00:00,3.5,3.52,3.0,3.5,2956,2018
87,2018-08-21 00:00:00,3.5,4.04,3.43,3.9,1930,2018
88,2018-08-22 00:00:00,3.9,4.04,3.64,4.04,790,2018
89,2018-08-23 00:00:00,4.04,4.04,4.04,4.04,2,2018
90,2018-08-24 00:00:00,4.04,4.04,4.04,4.04,1,2018
91,2018-08-27 00:00:00,4.04,4.04,4.04,4.04,1,2018
92,2018-08-28 00:00:00,4.0,4.0,3.42,3.8,1324,2018
93,2018-08-29 00:00:00,3.55,4.0,3.11,4.0,1816,2018
94,2018-08-30 00:00:00,4.0,4.0,4.0,4.0,4,2018
95,2018-08-31 00:00:00,4.0,4.0,4.0,4.0,2,2018
96,2018-09-03 00:00:00,3.95,3.95,3.49,3.95,38,2018
97,2018-09-04 00:00:00,3.95,3.95,3.75,3.95,102,2018
98,2018-09-05 00:00:00,3.95,3.95,3.4,3.85,721,2018
99,2018-09-06 00:00:00,3.95,3.95,3.95,3.95,1,2018
100,2018-09-07 00:00:00,3.95,3.95,3.62,3.9,677,2018
101,2018-09-10 00:00:00,3.95,3.95,3.8,3.9,170,2018
102,2018-09-11 00:00:00,3.95,3.95,3.8,3.95,205,2018
103,2018-09-12 00:00:00,3.95,3.95,3.95,3.95,103,2018
104,2018-09-13 00:00:00,3.95,3.95,3.95,3.95,17,2018
105,2018-09-14 00:00:00,3.95,3.95,3.7,3.7,301,2018
106,2018-09-17 00:00:00,3.95,3.95,3.7,3.7,101,2018
107,2018-09-18 00:00:00,3.94,3.94,3.94,3.94,1,2018
108,2018-09-19 00:00:00,3.95,3.95,3.78,3.95,3333,2018
109,2018-09-20 00:00:00,3.95,3.95,3.95,3.95,1,2018
110,2018-09-21 00:00:00,3.95,4.28,3.95,4.05,2140,2018
111,2018-09-24 00:00:00,4.1,4.1,3.84,4.05,364,2018
112,2018-09-25 00:00:00,3.95,3.95,3.95,3.95,6,2018
113,2018-09-26 00:00:00,3.95,3.95,3.95,3.95,2,2018
114,2018-09-27 00:00:00,3.95,3.95,3.95,3.95,1,2018
115,2018-09-28 00:00:00,3.95,3.95,3.95,3.95,15,2018
116,2018-10-01 00:00:00,3.95,3.95,3.95,3.95,23,2018
117,2018-10-02 00:00:00,3.95,3.95,3.95,3.95,11,2018
118,2018-10-03 00:00:00,3.95,3.95,3.36,3.9,784,2018
119,2018-10-04 00:00:00,3.61,3.95,3.61,3.95,1050,2018
120,2018-10-05 00:00:00,3.95,3.95,3.95,3.95,8,2018
121,2018-10-08 00:00:00,3.95,3.95,3.7,3.7,277,2018
122,2018-10-09 00:00:00,3.9,3.9,3.6,3.9,651,2018
123,2018-10-10 00:00:00,3.95,3.95,3.95,3.95,2,2018
124,2018-10-11 00:00:00,3.87,3.95,3.7,3.95,531,2018
125,2018-10-12 00:00:00,3.5,3.5,3.5,3.5,908,2018
126,2018-10-15 00:00:00,3.88,3.88,3.88,3.88,1,2018
127,2018-10-16 00:00:00,3.75,3.75,3.35,3.35,712,2018
128,2018-10-17 00:00:00,3.35,3.35,3.2,3.2,567,2018
129,2018-10-18 00:00:00,3.3,3.35,3.0,3.3,12754,2018
130,2018-10-19 00:00:00,3.2,3.2,3.15,3.2,262,2018
131,2018-10-22 00:00:00,3.2,3.2,3.0,3.0,986,2018
132,2018-10-23 00:00:00,3.1,3.1,3.0,3.03,359,2018
133,2018-10-24 00:00:00,3.15,3.15,2.86,2.86,608,2018
134,2018-10-25 00:00:00,3.0,3.0,2.8,2.99,2943,2018
135,2018-10-26 00:00:00,2.96,3.0,2.9,3.0,602,2018
136,2018-10-29 00:00:00,3.0,3.0,2.96,2.96,102,2018
137,2018-10-30 00:00:00,2.96,2.96,2.67,2.95,364,2018
