,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-06-02 00:00:00,2.19,2.3,1.8,1.9780000000000002,72390,2010
1,2010-06-04 00:00:00,2.176,2.176,1.744,1.9980000000000002,46220,2010
2,2010-06-07 00:00:00,1.89,2.194,1.86,2.19,19425,2010
3,2010-06-08 00:00:00,2.39,2.39,2.1,2.2,20325,2010
4,2010-06-09 00:00:00,2.08,2.08,2.08,2.08,1350,2010
5,2010-06-11 00:00:00,2.08,2.08,1.804,2.0580000000000003,14920,2010
6,2010-06-14 00:00:00,2.0,2.08,1.92,2.08,18540,2010
7,2010-06-15 00:00:00,2.0,3.0180000000000002,2.0,2.98,41540,2010
8,2010-06-16 00:00:00,2.89,2.98,2.44,2.8,11635,2010
9,2010-06-17 00:00:00,2.8,2.98,2.4,2.888,2865,2010
10,2010-06-18 00:00:00,2.93,2.93,2.93,2.93,50,2010
11,2010-06-21 00:00:00,3.514,3.998,2.76,3.36,12550,2010
12,2010-06-23 00:00:00,2.998,3.36,2.8,3.36,16255,2010
13,2010-06-24 00:00:00,3.21,3.21,3.21,3.21,5,2010
14,2010-06-25 00:00:00,2.8,3.2,2.8,3.2,2080,2010
15,2010-06-28 00:00:00,2.78,3.2,2.602,3.2,5015,2010
16,2010-06-29 00:00:00,3.34,3.798,3.34,3.798,5135,2010
17,2010-07-01 00:00:00,3.7939999999999996,4.2,3.7939999999999996,4.2,1365,2010
18,2010-07-07 00:00:00,3.9,4.28,3.9,4.28,700,2010
19,2010-07-08 00:00:00,3.4,4.18,3.4,4.18,835,2010
20,2010-07-09 00:00:00,3.98,4.42,3.98,4.4,6725,2010
21,2010-07-13 00:00:00,4.92,4.92,4.4,4.86,10625,2010
22,2010-07-16 00:00:00,4.75,4.92,4.75,4.92,1940,2010
23,2010-07-22 00:00:00,3.94,4.88,3.94,4.88,1330,2010
24,2010-07-23 00:00:00,5.84,6.18,5.84,6.18,2780,2010
25,2010-07-26 00:00:00,6.2,6.5,6.18,6.5,855,2010
26,2010-07-29 00:00:00,5.2,6.36,5.2,5.2,805,2010
27,2010-07-30 00:00:00,4.9,4.9,4.9,4.9,325,2010
28,2010-08-02 00:00:00,5.2,5.2,5.2,5.2,5,2010
29,2010-08-04 00:00:00,5.2,5.2,4.66,5.1,2040,2010
30,2010-08-16 00:00:00,4.798,4.798,4.798,4.798,5,2010
31,2010-08-27 00:00:00,5.0,5.0,5.0,5.0,40,2010
32,2010-09-01 00:00:00,3.958,3.958,2.76,2.76,3215,2010
33,2010-09-02 00:00:00,2.8,2.8,2.24,2.4,365,2010
34,2010-09-03 00:00:00,2.0,2.0,1.6,1.6,8295,2010
35,2010-09-06 00:00:00,1.676,1.676,1.35,1.42,20690,2010
36,2010-09-07 00:00:00,1.5119999999999998,1.6,1.5119999999999998,1.6,260,2010
37,2010-09-08 00:00:00,1.36,1.6,1.2819999999999998,1.396,3920,2010
38,2010-09-09 00:00:00,1.594,1.594,1.36,1.45,3215,2010
39,2010-09-10 00:00:00,1.45,1.472,1.2,1.2,24135,2010
40,2010-09-13 00:00:00,1.196,1.276,1.02,1.2,10430,2010
41,2010-09-14 00:00:00,1.18,1.2,1.1,1.2,815,2010
42,2010-09-15 00:00:00,1.2,1.2,1.2,1.2,2415,2010
43,2010-09-16 00:00:00,1.2,1.2,1.2,1.2,350,2010
44,2010-09-17 00:00:00,1.06,1.2,1.0,1.162,23775,2010
45,2010-09-20 00:00:00,1.02,1.15,0.93,1.04,60740,2010
46,2010-09-21 00:00:00,0.94,1.064,0.9,1.0,60680,2010
47,2010-09-22 00:00:00,1.08,1.1,0.92,1.04,115800,2010
48,2010-09-23 00:00:00,0.946,1.0,0.92,0.996,59235,2010
49,2010-09-24 00:00:00,0.996,0.996,0.946,0.99,69180,2010
50,2010-09-27 00:00:00,0.996,0.996,0.95,0.95,70425,2010
51,2010-09-28 00:00:00,0.988,0.988,0.948,0.97,8100,2010
52,2010-09-29 00:00:00,0.99,0.99,0.97,0.98,56810,2010
53,2010-09-30 00:00:00,0.96,1.02,0.94,1.02,39250,2010
54,2010-10-01 00:00:00,1.028,1.136,1.0,1.126,43950,2010
55,2010-10-04 00:00:00,1.136,1.136,1.07,1.136,41535,2010
56,2010-10-05 00:00:00,1.136,1.136,1.06,1.0979999999999999,33990,2010
57,2010-10-06 00:00:00,1.0979999999999999,1.0979999999999999,1.002,1.04,19975,2010
58,2010-10-07 00:00:00,1.038,1.038,1.0,1.038,62870,2010
59,2010-10-08 00:00:00,1.046,1.046,1.004,1.03,10500,2010
60,2010-10-11 00:00:00,1.03,1.03,1.0,1.018,8790,2010
61,2010-10-12 00:00:00,1.018,1.204,1.018,1.136,68400,2010
62,2010-10-13 00:00:00,1.136,1.136,1.1320000000000001,1.1320000000000001,510,2010
63,2010-10-14 00:00:00,1.136,1.136,0.9640000000000001,1.08,42680,2010
64,2010-10-15 00:00:00,1.08,1.08,0.9740000000000001,1.02,25015,2010
65,2010-10-18 00:00:00,1.11,1.11,0.94,1.0,98400,2010
66,2010-10-19 00:00:00,1.04,1.08,0.97,1.07,160060,2010
67,2010-10-20 00:00:00,1.0659999999999998,1.0659999999999998,1.0,1.046,36020,2010
68,2010-10-21 00:00:00,1.044,1.044,0.96,0.98,149490,2010
69,2010-10-22 00:00:00,0.97,1.04,0.938,1.038,241770,2010
70,2010-10-25 00:00:00,1.038,1.038,1.012,1.026,17410,2010
71,2010-10-26 00:00:00,1.03,1.038,1.014,1.036,68160,2010
72,2010-10-27 00:00:00,1.038,1.084,1.002,1.078,292305,2010
73,2010-10-28 00:00:00,1.08,1.28,1.08,1.17,185650,2010
74,2010-10-29 00:00:00,1.17,1.27,1.12,1.25,109095,2010
75,2010-11-02 00:00:00,1.3,1.48,1.26,1.42,140910,2010
76,2010-11-03 00:00:00,1.42,1.482,1.32,1.3219999999999998,78210,2010
77,2010-11-04 00:00:00,1.36,1.4,1.24,1.38,71185,2010
78,2010-11-05 00:00:00,1.38,1.484,1.34,1.456,35875,2010
