,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-07-26 00:00:00,11.63,13.89,10.5,11.48,6183,2011
1,2011-07-27 00:00:00,10.9,11.0,10.0,10.0,805,2011
2,2011-07-28 00:00:00,11.33,11.33,10.5,11.0,319,2011
3,2011-07-29 00:00:00,10.0,10.0,8.8,8.8,494,2011
4,2011-08-01 00:00:00,8.8,8.8,8.8,8.8,65,2011
5,2011-08-02 00:00:00,8.8,9.99,8.8,9.99,101,2011
6,2011-08-03 00:00:00,11.0,11.0,11.0,11.0,1,2011
7,2011-08-05 00:00:00,9.0,9.0,9.0,9.0,150,2011
8,2011-08-09 00:00:00,8.5,8.5,8.4,8.4,320,2011
9,2011-08-12 00:00:00,8.4,8.4,8.4,8.4,90,2011
10,2011-08-18 00:00:00,7.5,7.5,7.5,7.5,199,2011
11,2011-09-06 00:00:00,7.0,7.0,7.0,7.0,200,2011
12,2011-09-07 00:00:00,6.0,6.0,6.0,6.0,200,2011
13,2011-10-04 00:00:00,5.0,5.0,5.0,5.0,100,2011
14,2011-10-12 00:00:00,5.0,5.0,5.0,5.0,1,2011
15,2011-10-24 00:00:00,5.5,5.5,5.5,5.5,39,2011
16,2011-11-22 00:00:00,4.5,4.5,4.5,4.5,59,2011
17,2011-12-07 00:00:00,4.0,4.0,4.0,4.0,81,2011
18,2011-12-13 00:00:00,4.5,5.0,4.5,5.0,91,2011
19,2011-12-30 00:00:00,5.0,6.0,5.0,6.0,94,2011
20,2012-01-11 00:00:00,6.0,7.2,6.0,7.2,315,2012
21,2012-03-13 00:00:00,5.76,5.76,5.76,5.76,50,2012
22,2012-03-14 00:00:00,5.76,5.76,5.76,5.76,120,2012
23,2012-03-22 00:00:00,5.5,5.5,5.5,5.5,15,2012
24,2012-03-27 00:00:00,5.0,5.0,5.0,5.0,152,2012
25,2012-03-30 00:00:00,5.0,5.0,4.0,4.0,2,2012
26,2012-04-12 00:00:00,4.8,4.8,4.8,4.8,20,2012
27,2012-04-24 00:00:00,5.0,5.0,5.0,5.0,143,2012
28,2012-04-26 00:00:00,5.0,5.0,5.0,5.0,143,2012
