,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-11-15 00:00:00,4.3629,5.3532,3.2788,3.2788,71059,2007
1,2007-11-16 00:00:00,3.339,3.3457,3.0045,3.3457,30215,2007
2,2007-11-19 00:00:00,3.4795,4.0082,3.3457,3.5465,12757,2007
3,2007-11-20 00:00:00,3.5465,3.7471,3.5063,3.6803,2974,2007
4,2007-11-21 00:00:00,3.5465,3.5465,3.3524,3.3591,16245,2007
5,2007-11-22 00:00:00,3.4996,3.6803,3.4996,3.6469,10362,2007
6,2007-11-23 00:00:00,3.6803,4.5168,3.6201,4.3494,5548,2007
7,2007-11-26 00:00:00,4.1486,4.3428,3.8877,4.3428,3213,2007
8,2007-11-27 00:00:00,4.0818,4.0818,4.0818,4.0818,747,2007
9,2007-11-28 00:00:00,3.8877,4.0483,3.8877,4.0483,46327,2007
10,2007-11-29 00:00:00,4.0483,4.0483,4.035,4.035,328,2007
11,2007-11-30 00:00:00,3.8877,3.8877,3.8877,3.8877,349,2007
12,2007-12-04 00:00:00,3.9814,3.9814,3.9814,3.9814,1554,2007
13,2007-12-05 00:00:00,3.9814,3.9814,3.9145,3.9145,942,2007
14,2007-12-06 00:00:00,3.7607,3.7874,3.7607,3.7874,3310,2007
15,2007-12-07 00:00:00,3.8944,3.8944,3.8944,3.8944,127,2007
16,2007-12-11 00:00:00,3.8944,4.2759,3.8944,4.0818,9015,2007
17,2007-12-12 00:00:00,3.9145,4.075,3.9145,4.075,870,2007
18,2007-12-13 00:00:00,3.8007,4.0417,3.7941,3.8811,5232,2007
19,2007-12-14 00:00:00,3.8944,3.9145,3.8944,3.9145,1495,2007
20,2007-12-17 00:00:00,3.7471,3.7471,3.7137,3.7137,2242,2007
21,2007-12-19 00:00:00,3.8944,3.8944,3.7471,3.8811,5308,2007
22,2007-12-20 00:00:00,3.8944,3.8944,3.8944,3.8944,747,2007
23,2007-12-21 00:00:00,4.0818,4.0818,3.8944,4.0818,7898,2007
24,2007-12-27 00:00:00,4.0483,4.0684,3.9814,3.9814,5230,2007
25,2007-12-28 00:00:00,4.0417,4.0483,3.9814,3.9814,12036,2007
26,2008-01-02 00:00:00,4.5168,4.5168,3.8476,4.0818,7347,2008
27,2008-01-03 00:00:00,4.0016,4.0149,4.0016,4.0016,5201,2008
28,2008-01-04 00:00:00,4.0818,4.1486,4.0818,4.1486,1495,2008
29,2008-01-07 00:00:00,3.8877,4.0149,3.8676,4.0149,3736,2008
30,2008-01-08 00:00:00,4.0684,4.0684,3.9145,3.9814,3624,2008
31,2008-01-09 00:00:00,4.0016,4.1153,3.8877,3.9145,18225,2008
32,2008-01-10 00:00:00,3.9145,4.0149,3.8676,3.8676,4304,2008
33,2008-01-11 00:00:00,3.9145,3.948,3.8877,3.948,4182,2008
34,2008-01-14 00:00:00,3.9814,4.0149,3.948,3.948,2144,2008
35,2008-01-16 00:00:00,3.8676,3.9747,3.7941,3.7941,15126,2008
36,2008-01-17 00:00:00,3.6669,3.8476,3.6669,3.7471,4334,2008
37,2008-01-18 00:00:00,3.7607,3.8811,3.6803,3.7807,13805,2008
38,2008-01-21 00:00:00,3.7539,3.9011,3.5465,3.9011,15699,2008
39,2008-01-22 00:00:00,3.7004,3.8074,3.4795,3.8074,7932,2008
40,2008-01-23 00:00:00,3.8141,3.8811,3.6803,3.8811,11549,2008
41,2008-01-24 00:00:00,3.8476,3.8476,3.8141,3.8141,9678,2008
42,2008-01-28 00:00:00,3.6803,3.8275,3.6803,3.8275,2008,2008
43,2008-01-29 00:00:00,3.8544,3.8944,3.8544,3.8944,5678,2008
44,2008-01-30 00:00:00,3.8944,3.9145,3.8944,3.9145,9790,2008
45,2008-01-31 00:00:00,4.0216,4.5837,4.0082,4.5837,29812,2008
46,2008-02-01 00:00:00,4.6505,5.3532,4.6505,5.0185,17190,2008
47,2008-02-04 00:00:00,5.1189,5.6877,5.1189,5.4937,25914,2008
48,2008-02-05 00:00:00,5.487,5.487,5.2862,5.3867,16002,2008
49,2008-02-06 00:00:00,5.487,5.4937,5.3867,5.4937,11338,2008
50,2008-02-07 00:00:00,5.5204,5.5873,5.3197,5.553999999999999,7812,2008
51,2008-02-08 00:00:00,5.3532,5.3532,5.0185,5.0185,5082,2008
52,2008-02-11 00:00:00,5.1458,5.2862,5.1458,5.2862,5462,2008
53,2008-02-12 00:00:00,5.3398,5.3398,5.3398,5.3398,598,2008
54,2008-02-13 00:00:00,5.3398,5.4536,5.3398,5.4536,2865,2008
55,2008-02-14 00:00:00,5.3532,5.3532,5.1525,5.3532,2332,2008
56,2008-02-15 00:00:00,5.3867,5.3867,5.2194,5.2194,1794,2008
57,2008-02-18 00:00:00,5.4201,5.4536,5.3532,5.3532,6799,2008
58,2008-02-19 00:00:00,5.4536,5.5807,5.4468,5.5271,11488,2008
59,2008-02-20 00:00:00,5.5204,5.6877,5.5204,5.553999999999999,10604,2008
60,2008-02-21 00:00:00,5.553999999999999,5.5873,5.553999999999999,5.553999999999999,3172,2008
61,2008-02-22 00:00:00,5.4201,5.5473,5.3532,5.3532,4957,2008
62,2008-02-25 00:00:00,5.3532,5.4201,5.3532,5.3532,10982,2008
63,2008-02-26 00:00:00,5.4134,5.4201,5.2194,5.2862,5602,2008
64,2008-02-27 00:00:00,5.4201,5.4201,5.3532,5.3532,12912,2008
65,2008-02-28 00:00:00,5.3532,5.3532,5.3197,5.3197,7146,2008
66,2008-02-29 00:00:00,5.3197,5.3197,5.226,5.226,4076,2008
67,2008-03-03 00:00:00,5.2862,5.2862,5.2862,5.2862,2242,2008
68,2008-03-05 00:00:00,5.2594,5.3532,5.2528,5.3532,2107,2008
69,2008-03-06 00:00:00,5.3532,5.3532,5.3532,5.3532,321,2008
