,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-05-28 00:00:00,5.49,5.49,2.1,2.34,13572,2008
1,2008-05-29 00:00:00,2.35,2.35,1.54,2.14,2349,2008
2,2008-05-30 00:00:00,2.56,2.56,2.56,2.56,5,2008
3,2008-06-02 00:00:00,2.04,2.04,1.74,1.74,2936,2008
4,2008-06-03 00:00:00,1.91,2.01,1.82,2.01,1612,2008
5,2008-06-04 00:00:00,2.03,2.03,2.03,2.03,196,2008
6,2008-06-05 00:00:00,2.27,2.27,1.83,1.83,394,2008
7,2008-06-06 00:00:00,1.91,1.91,1.89,1.89,48,2008
8,2008-06-09 00:00:00,1.91,1.91,1.91,1.91,4,2008
9,2008-06-10 00:00:00,1.91,1.91,1.91,1.91,49,2008
10,2008-06-11 00:00:00,1.54,1.87,1.54,1.83,114,2008
11,2008-06-12 00:00:00,1.82,1.88,1.82,1.88,324,2008
12,2008-06-13 00:00:00,1.88,1.92,1.88,1.92,191,2008
13,2008-06-16 00:00:00,2.24,2.24,1.83,2.01,114,2008
14,2008-06-19 00:00:00,1.61,1.87,1.61,1.87,213,2008
15,2008-06-20 00:00:00,2.1,2.1,1.56,2.01,548,2008
16,2008-06-23 00:00:00,2.1,2.1,2.1,2.1,1092,2008
17,2008-06-24 00:00:00,1.68,2.05,1.68,1.78,1311,2008
18,2008-06-25 00:00:00,2.06,2.06,1.88,1.97,230,2008
19,2008-06-26 00:00:00,2.01,2.01,2.01,2.01,109,2008
20,2008-07-03 00:00:00,2.06,2.06,2.06,2.06,1,2008
21,2008-07-07 00:00:00,1.65,1.65,1.65,1.65,109,2008
22,2008-07-09 00:00:00,1.98,1.98,1.98,1.98,1,2008
23,2008-07-10 00:00:00,1.88,2.06,1.88,2.06,918,2008
24,2008-07-11 00:00:00,1.92,1.92,1.92,1.92,120,2008
25,2008-07-14 00:00:00,1.82,1.82,1.54,1.78,318,2008
26,2008-07-15 00:00:00,2.05,2.05,2.05,2.05,1,2008
27,2008-07-16 00:00:00,2.05,2.05,1.65,1.65,2658,2008
28,2008-07-30 00:00:00,1.61,1.61,1.32,1.37,602,2008
29,2008-07-31 00:00:00,1.65,1.65,1.65,1.65,274,2008
30,2008-08-04 00:00:00,1.39,1.39,1.39,1.39,227,2008
31,2008-08-19 00:00:00,1.36,1.36,1.35,1.35,555,2008
32,2008-10-08 00:00:00,1.19,1.19,1.19,1.19,1080,2008
33,2008-10-14 00:00:00,1.43,1.67,1.43,1.67,874,2008
34,2008-10-15 00:00:00,1.88,1.88,1.88,1.88,327,2008
35,2008-10-16 00:00:00,1.99,1.99,1.99,1.99,218,2008
36,2008-10-17 00:00:00,2.06,2.06,2.06,2.06,109,2008
37,2008-10-20 00:00:00,2.06,2.06,2.06,2.06,109,2008
38,2008-10-21 00:00:00,2.06,2.06,2.06,2.06,109,2008
39,2008-10-22 00:00:00,2.06,2.06,2.06,2.06,21,2008
40,2008-10-23 00:00:00,2.06,2.06,2.06,2.06,109,2008
41,2008-10-24 00:00:00,2.06,2.06,2.06,2.06,21,2008
42,2008-10-27 00:00:00,2.06,2.06,2.06,2.06,21,2008
