,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-12-09 00:00:00,0.8446,1.0558,0.8446,1.0558,1152197,2010
1,2010-12-10 00:00:00,1.0558,1.2331,0.929,0.9374,1542227,2010
2,2010-12-13 00:00:00,0.9205,1.0135,0.8867,0.8951,199892,2010
3,2010-12-14 00:00:00,0.9205,0.9205,0.8446,0.8784,136200,2010
4,2010-12-15 00:00:00,0.8614,0.9713,0.8529,0.929,251020,2010
5,2010-12-16 00:00:00,0.929,0.9544,0.8614,0.9374,90237,2010
6,2010-12-17 00:00:00,0.9037,1.2669,0.9037,1.2669,402112,2010
7,2010-12-20 00:00:00,1.2669,1.8157,1.2669,1.8157,265650,2010
8,2010-12-21 00:00:00,1.8749,2.6941,1.7736,2.6181,409760,2010
9,2010-12-22 00:00:00,3.1332,3.7583,2.7871,3.7583,122006,2010
10,2010-12-23 00:00:00,4.2311,5.0757,3.4206,5.0673,138743,2010
11,2010-12-27 00:00:00,5.1095,6.1145,4.2311,5.1095,73290,2010
12,2010-12-28 00:00:00,4.9829,6.0386,4.2735,5.9962,48891,2010
13,2010-12-29 00:00:00,6.0808,7.0858,5.9625,6.7564,55250,2010
14,2010-12-30 00:00:00,6.7564,9.729,6.3764,9.2899,35405,2010
15,2010-12-31 00:00:00,9.628,11.402000000000001,9.2987,10.812000000000001,21227,2010
16,2011-01-03 00:00:00,10.979000000000001,10.979000000000001,6.7649,6.7732,60780,2011
17,2011-01-04 00:00:00,6.3173,7.6011,5.0589,7.6011,53986,2011
18,2011-01-05 00:00:00,6.8408,7.5165,5.0673,5.0673,65867,2011
19,2011-01-07 00:00:00,5.0673,5.0673,3.5217,3.5217,194761,2011
20,2011-01-10 00:00:00,3.2093,3.2093,2.5589,2.5589,518678,2011
21,2011-01-11 00:00:00,2.6266,3.1502,2.5337,2.6518,495510,2011
22,2011-01-12 00:00:00,2.6603,2.7448,2.2127,2.3563,229076,2011
23,2011-01-13 00:00:00,2.3478,2.5083,1.8918,1.9171,404203,2011
24,2011-01-14 00:00:00,1.9424,2.1115,1.7483,1.8833,305320,2011
25,2011-01-17 00:00:00,1.8833,2.1367,1.7229,1.8242,275412,2011
26,2011-01-18 00:00:00,1.841,1.9593,1.6976,1.7398,185066,2011
27,2011-01-19 00:00:00,1.7483,2.4829,1.706,2.2803,585038,2011
28,2011-01-20 00:00:00,2.3816,2.846,2.255,2.7026,723440,2011
29,2011-01-21 00:00:00,2.7026,2.846,2.3226,2.3309,375500,2011
30,2011-01-24 00:00:00,2.3901,2.5083,2.0017,2.3226,142171,2011
31,2011-01-25 00:00:00,2.2972,2.6181,2.1536,2.3816,169585,2011
32,2011-01-26 00:00:00,2.4407,2.4914,2.2718,2.3226,42164,2011
33,2011-01-27 00:00:00,2.3816,2.4492,2.1959,2.3141,58073,2011
34,2011-01-28 00:00:00,2.3309,2.3309,2.162,2.162,29771,2011
35,2011-01-31 00:00:00,2.1536,2.1536,1.9931,2.1115,36171,2011
