,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-12-21 00:00:00,4.0941,4.5035,3.2753,3.2753,1051,2012
1,2012-12-28 00:00:00,3.1115,3.1115,2.6203,2.6203,816,2012
2,2013-01-02 00:00:00,2.6203,2.6203,1.7195,1.7195,1198,2013
3,2013-01-03 00:00:00,1.7195,1.7195,1.7195,1.7195,293,2013
4,2013-01-04 00:00:00,1.7195,2.0471,1.5968,1.5968,2557,2013
5,2013-01-07 00:00:00,1.5558,1.5558,1.5148,1.5148,87,2013
6,2013-01-08 00:00:00,1.5148,1.5148,1.5148,1.5148,37,2013
7,2013-01-10 00:00:00,1.5558,1.5558,1.3512,1.3921,1654,2013
8,2013-01-22 00:00:00,1.4247,1.4739,1.3921,1.3921,1575,2013
9,2013-01-23 00:00:00,1.4331,1.4331,1.4331,1.4331,98,2013
10,2013-01-25 00:00:00,1.3512,1.6377,1.3512,1.6377,1282,2013
11,2013-01-28 00:00:00,1.4739,1.4739,1.4739,1.4739,855,2013
12,2013-01-29 00:00:00,1.3512,1.3512,1.3512,1.3512,978,2013
13,2013-01-30 00:00:00,1.2283,1.2692,1.2283,1.2692,1222,2013
14,2013-02-05 00:00:00,1.2692,1.2692,1.1626,1.171,1343,2013
15,2013-02-08 00:00:00,1.1874,1.6377,1.1874,1.3675,6723,2013
16,2013-02-11 00:00:00,1.3512,1.3512,1.2446,1.2446,855,2013
17,2013-02-12 00:00:00,1.2692,1.7686,1.2283,1.4739,17590,2013
18,2013-02-13 00:00:00,1.4739,1.7686,1.4331,1.7686,8150,2013
19,2013-02-14 00:00:00,2.0471,2.4565,1.7195,2.4565,5586,2013
20,2013-02-15 00:00:00,2.8824,3.4554,2.6121,3.4554,4846,2013
21,2013-02-18 00:00:00,3.7258,4.4216,3.2753,3.6028,8161,2013
22,2013-02-19 00:00:00,3.6848,3.6848,2.8824,2.8824,2239,2013
23,2013-02-20 00:00:00,2.784,2.784,2.2354,2.3091,3934,2013
24,2013-02-21 00:00:00,2.0471,2.1289,1.8588,1.8588,2965,2013
25,2013-02-22 00:00:00,2.0716,2.0716,1.9652,2.0634,860,2013
26,2013-02-25 00:00:00,1.7605,1.7605,1.6622,1.7605,3243,2013
27,2013-02-26 00:00:00,1.8833,1.8833,1.6377,1.7523,1001,2013
28,2013-02-27 00:00:00,1.6459,1.6459,1.5148,1.5148,3974,2013
29,2013-02-28 00:00:00,1.5230000000000001,1.5230000000000001,1.4739,1.5148,1013,2013
30,2013-03-01 00:00:00,1.5148,1.5148,1.4331,1.4331,999,2013
31,2013-03-04 00:00:00,1.4331,2.0634,1.3921,2.0634,12391,2013
32,2013-03-05 00:00:00,2.0634,2.1044,1.6867,1.8342,6246,2013
33,2013-03-06 00:00:00,1.7277,2.1289,1.7195,2.1044,5382,2013
34,2013-03-07 00:00:00,1.9242,1.9242,1.8833,1.8833,872,2013
35,2013-03-08 00:00:00,1.7605,1.7605,1.6295,1.6541,3790,2013
36,2013-03-11 00:00:00,1.7114,1.7605,1.7114,1.7442,244,2013
37,2013-03-12 00:00:00,1.6377,1.6377,1.4083,1.4411,3281,2013
38,2013-03-13 00:00:00,1.4821,1.4821,1.4739,1.4739,794,2013
39,2013-03-15 00:00:00,1.4739,1.4739,1.3921,1.3921,791,2013
40,2013-03-18 00:00:00,1.5148,1.6704,1.4003,1.6295,3517,2013
41,2013-03-19 00:00:00,1.6295,1.6295,1.6295,1.6295,32,2013
42,2013-03-20 00:00:00,1.6295,1.6295,1.6295,1.6295,18,2013
43,2013-03-21 00:00:00,1.6295,1.6295,1.6295,1.6295,25,2013
44,2013-03-22 00:00:00,1.6295,1.6295,1.5148,1.5148,629,2013
45,2013-03-25 00:00:00,1.5148,1.8752,1.5148,1.7195,6992,2013
46,2013-03-26 00:00:00,1.8342,1.8588,1.4821,1.4821,1536,2013
47,2013-03-28 00:00:00,1.564,1.564,1.4985,1.4985,296,2013
48,2013-04-02 00:00:00,1.5722,1.5722,1.5722,1.5722,454,2013
49,2013-04-03 00:00:00,1.5722,1.6377,1.5148,1.5148,3216,2013
50,2013-04-05 00:00:00,1.5148,1.5148,1.5148,1.5148,159,2013
51,2013-04-08 00:00:00,1.5148,1.5148,1.5148,1.5148,25,2013
52,2013-04-09 00:00:00,1.5148,1.5148,1.5148,1.5148,14,2013
53,2013-04-10 00:00:00,1.5968,1.5968,1.5148,1.5148,197,2013
54,2013-04-11 00:00:00,1.5148,1.5148,1.5148,1.5148,611,2013
55,2013-04-12 00:00:00,1.5558,1.5558,1.5558,1.5558,61,2013
56,2013-04-17 00:00:00,1.5148,1.5148,1.5148,1.5148,550,2013
57,2013-04-19 00:00:00,1.5148,1.5558,1.5148,1.5558,305,2013
58,2013-04-24 00:00:00,1.4494,1.4494,1.1626,1.1626,2992,2013
59,2013-04-25 00:00:00,1.1464,1.1464,0.9826,0.9826,3177,2013
60,2013-04-26 00:00:00,0.9826,0.9826,0.9826,0.9826,427,2013
61,2013-04-29 00:00:00,1.0644,1.0644,1.0644,1.0644,61,2013
62,2013-05-02 00:00:00,0.9417,0.9417,0.778,0.868,6477,2013
