,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-08-18 00:00:00,2.68,2.68,1.96,2.2,154352,2010
1,2010-08-19 00:00:00,2.19,2.19,1.9,1.98,22877,2010
2,2010-08-20 00:00:00,1.85,1.98,1.8,1.95,24523,2010
3,2010-08-23 00:00:00,1.88,1.92,1.86,1.9,12678,2010
4,2010-08-24 00:00:00,1.86,1.96,1.85,1.92,7080,2010
5,2010-08-25 00:00:00,1.88,2.2,1.88,2.15,15521,2010
6,2010-08-26 00:00:00,2.07,2.12,1.95,2.04,7162,2010
7,2010-08-27 00:00:00,2.07,2.17,2.04,2.15,3805,2010
8,2010-08-30 00:00:00,2.13,2.25,2.1,2.17,8780,2010
9,2010-08-31 00:00:00,2.2,2.2,1.94,2.1,17150,2010
10,2010-09-01 00:00:00,2.1,2.1,1.99,2.1,3855,2010
11,2010-09-02 00:00:00,2.11,2.2,2.11,2.11,1301,2010
12,2010-09-03 00:00:00,2.1,2.25,2.1,2.25,7948,2010
13,2010-09-06 00:00:00,2.16,2.24,2.15,2.17,2287,2010
14,2010-09-07 00:00:00,2.13,2.3,2.13,2.3,5850,2010
15,2010-09-08 00:00:00,2.3,2.3,2.23,2.3,2950,2010
16,2010-09-09 00:00:00,2.31,2.47,2.31,2.47,5880,2010
17,2010-09-10 00:00:00,2.5,2.98,2.47,2.95,26911,2010
18,2010-09-13 00:00:00,2.9,2.9,2.9,2.9,800,2010
19,2010-09-14 00:00:00,2.9,2.93,2.9,2.93,786,2010
20,2010-09-15 00:00:00,2.93,2.93,2.81,2.81,9160,2010
21,2010-09-16 00:00:00,2.81,2.93,2.77,2.93,2947,2010
22,2010-09-17 00:00:00,2.89,3.15,2.85,3.13,21303,2010
23,2010-09-20 00:00:00,3.06,3.45,2.91,3.26,19042,2010
24,2010-09-21 00:00:00,3.33,3.6,3.33,3.51,11408,2010
25,2010-09-22 00:00:00,3.58,3.67,3.4,3.53,3706,2010
26,2010-09-23 00:00:00,3.5,3.52,3.41,3.52,2180,2010
27,2010-09-24 00:00:00,3.45,3.45,3.41,3.45,1100,2010
28,2010-09-27 00:00:00,3.42,3.47,3.4,3.47,3186,2010
29,2010-09-28 00:00:00,3.5,3.5,3.48,3.49,1400,2010
30,2010-09-29 00:00:00,3.49,3.7,3.44,3.6,4171,2010
31,2010-09-30 00:00:00,3.75,3.75,3.51,3.51,7109,2010
32,2010-10-01 00:00:00,3.45,3.59,3.45,3.5,3936,2010
33,2010-10-04 00:00:00,3.45,3.5,3.43,3.5,945,2010
34,2010-10-05 00:00:00,3.59,3.59,3.33,3.55,7500,2010
35,2010-10-06 00:00:00,3.55,3.6,3.55,3.55,7060,2010
36,2010-10-07 00:00:00,3.52,3.6,3.52,3.56,1900,2010
37,2010-10-08 00:00:00,3.56,3.75,3.56,3.75,705,2010
38,2010-10-11 00:00:00,3.84,3.87,3.84,3.87,305,2010
39,2010-10-12 00:00:00,3.9,3.9,3.9,3.9,50,2010
40,2010-10-13 00:00:00,3.76,3.85,3.75,3.85,6969,2010
41,2010-10-14 00:00:00,3.87,4.0,3.87,4.0,4050,2010
42,2010-10-15 00:00:00,4.05,4.3,3.95,4.3,7019,2010
43,2010-10-18 00:00:00,5.0,5.0,4.65,4.84,5868,2010
44,2010-10-19 00:00:00,4.82,5.27,4.8,5.27,3878,2010
