,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-07-07 00:00:00,3.5651,3.5651,2.7606,2.9618,52788,2011
1,2011-07-08 00:00:00,2.9344,2.9344,2.3768,2.4773,16628,2011
2,2011-07-11 00:00:00,2.4682,2.4773,2.1939,2.3493,7133,2011
3,2011-07-12 00:00:00,2.2671,2.2671,1.8923,2.1847,1598,2011
4,2011-07-13 00:00:00,1.8831,2.2579,1.8648,2.1391,5452,2011
5,2011-07-14 00:00:00,1.8831,2.1482,1.8831,2.0568,2485,2011
6,2011-07-15 00:00:00,1.8831,2.4499,1.8831,2.2853,5130,2011
7,2011-07-18 00:00:00,1.9197,2.1939,1.9197,2.1939,249,2011
8,2011-07-19 00:00:00,1.9654,2.1573,1.9654,2.1573,699,2011
9,2011-07-20 00:00:00,2.0842,2.1664,2.0111,2.1664,984,2011
10,2011-07-22 00:00:00,1.8374,2.1391,1.8374,2.1391,425,2011
11,2011-07-26 00:00:00,2.0934,2.1391,2.0934,2.1391,425,2011
12,2011-07-28 00:00:00,1.8282,2.1025,1.8282,2.1025,361,2011
13,2011-07-29 00:00:00,2.0568,2.0568,1.9197,2.0476,2456,2011
14,2011-08-01 00:00:00,2.0934,2.0934,2.0934,2.0934,5,2011
15,2011-08-02 00:00:00,1.9197,2.0934,1.9197,2.0934,2149,2011
16,2011-08-03 00:00:00,1.9197,2.0111,1.8282,1.9654,1162,2011
17,2011-08-04 00:00:00,1.7826,1.9197,1.7368,1.8099,2959,2011
18,2011-08-08 00:00:00,2.002,2.002,1.8009,1.8009,1228,2011
19,2011-08-09 00:00:00,1.8009,1.8009,1.7826,1.8009,1094,2011
20,2011-08-10 00:00:00,2.0568,2.0568,2.0568,2.0568,1,2011
21,2011-08-16 00:00:00,2.0751,2.0751,2.0751,2.0751,1,2011
22,2011-08-17 00:00:00,2.0111,2.0111,2.0111,2.0111,11,2011
23,2011-08-19 00:00:00,1.8282,1.8282,1.8282,1.8282,333,2011
24,2011-08-23 00:00:00,1.7368,1.7368,1.7368,1.7368,110,2011
25,2011-08-24 00:00:00,1.5632,1.7826,1.5541,1.7826,4442,2011
26,2011-08-25 00:00:00,1.7826,1.7826,1.4809,1.6911,700,2011
27,2011-08-26 00:00:00,1.7368,1.7368,1.3712,1.6271,3892,2011
28,2011-08-29 00:00:00,1.6271,1.6637,1.5997,1.5997,2266,2011
29,2011-08-30 00:00:00,1.6454,1.6454,1.6454,1.6454,5,2011
30,2011-08-31 00:00:00,1.6454,1.6454,1.6454,1.6454,993,2011
31,2011-09-01 00:00:00,1.6454,1.6454,1.6454,1.6454,110,2011
32,2011-09-02 00:00:00,1.6454,1.6454,1.6454,1.6454,34,2011
33,2011-09-07 00:00:00,1.6637,1.6637,1.6637,1.6637,2,2011
34,2011-09-12 00:00:00,1.3712,1.3712,1.3712,1.3712,2724,2011
35,2011-09-19 00:00:00,1.3712,1.3712,1.3712,1.3712,219,2011
36,2011-09-20 00:00:00,1.3712,1.4535,1.3712,1.4535,1970,2011
37,2011-09-21 00:00:00,1.4535,1.4535,1.4535,1.4535,11,2011
38,2011-09-26 00:00:00,1.3619999999999999,1.3619999999999999,1.3619999999999999,1.3619999999999999,5,2011
39,2011-09-27 00:00:00,1.3164,1.3619999999999999,1.3164,1.3619999999999999,1105,2011
40,2011-09-29 00:00:00,1.1061,1.3529,1.1061,1.3529,4682,2011
41,2011-09-30 00:00:00,1.1884,1.1884,1.1884,1.1884,164,2011
42,2011-10-03 00:00:00,1.1701,1.1701,1.1426,1.1426,1329,2011
43,2011-10-04 00:00:00,1.1152,1.3529,1.1152,1.3529,886,2011
44,2011-10-05 00:00:00,1.2798,1.2798,1.2798,1.2798,1072,2011
45,2011-10-06 00:00:00,1.3255,1.3437,1.234,1.234,1055,2011
46,2011-10-07 00:00:00,1.3164,1.3437,1.3164,1.3437,1100,2011
47,2011-10-11 00:00:00,1.2798,1.2798,1.2798,1.2798,1203,2011
48,2011-10-13 00:00:00,1.2889,1.3619999999999999,1.2889,1.2889,661,2011
49,2011-10-14 00:00:00,1.2981,1.6271,1.2981,1.6271,329,2011
50,2011-10-17 00:00:00,1.4169,1.5541,1.4169,1.5541,1312,2011
51,2011-10-21 00:00:00,1.6637,1.7368,1.6637,1.7368,1475,2011
52,2011-10-24 00:00:00,1.618,1.7368,1.618,1.7368,320,2011
53,2011-10-25 00:00:00,1.8191,1.8191,1.8191,1.8191,219,2011
54,2011-10-31 00:00:00,1.7368,1.7368,1.7368,1.7368,1106,2011
55,2011-11-08 00:00:00,1.5997,1.5997,1.5997,1.5997,547,2011
56,2011-11-14 00:00:00,1.7277,1.7277,1.7277,1.7277,3,2011
57,2011-11-16 00:00:00,1.7185,1.7185,1.7185,1.7185,5,2011
58,2011-11-18 00:00:00,1.4626,1.4626,1.4626,1.4626,219,2011
59,2011-11-22 00:00:00,1.7094,1.7094,1.7094,1.7094,3,2011
60,2011-11-23 00:00:00,1.7094,1.7094,1.7094,1.7094,5,2011
61,2011-11-24 00:00:00,1.7094,1.7094,1.7094,1.7094,5,2011
62,2011-11-25 00:00:00,1.7185,1.7185,1.7185,1.7185,3,2011
63,2011-11-29 00:00:00,1.7185,1.7185,1.7185,1.7185,219,2011
64,2011-12-01 00:00:00,1.4809,1.6911,1.3803,1.6911,1829,2011
65,2011-12-05 00:00:00,1.2798,1.5358,1.2798,1.5358,753,2011
66,2011-12-09 00:00:00,1.3895,1.5906,1.3895,1.3895,1095,2011
67,2011-12-12 00:00:00,1.3712,1.5906,1.1884,1.1884,3516,2011
68,2011-12-13 00:00:00,1.3712,1.3712,1.1792,1.1792,6046,2011
69,2011-12-15 00:00:00,1.1335,1.1335,1.1335,1.1335,110,2011
70,2011-12-16 00:00:00,1.1152,1.1152,1.1152,1.1152,372,2011
71,2011-12-19 00:00:00,1.3072,1.3072,1.3072,1.3072,3,2011
72,2011-12-22 00:00:00,1.1792,1.1884,1.1243,1.1884,1114,2011
73,2011-12-27 00:00:00,1.1243,1.1243,1.1152,1.1152,6563,2011
74,2011-12-30 00:00:00,1.3072,1.3072,1.3072,1.3072,17,2011
75,2012-01-02 00:00:00,1.1701,1.5541,1.097,1.4169,4671,2012
76,2012-01-04 00:00:00,1.4444,1.4444,1.4444,1.4444,2,2012
77,2012-01-09 00:00:00,0.9873,1.0696,0.9416,1.0696,6201,2012
78,2012-01-10 00:00:00,1.0879,1.0879,1.0238,1.0696,2044,2012
79,2012-01-11 00:00:00,1.2615,1.2615,1.2615,1.2615,148,2012
80,2012-01-16 00:00:00,0.9507,1.1884,0.9507,1.1884,1703,2012
81,2012-01-17 00:00:00,0.9690000000000001,1.0879,0.9507,1.0879,5251,2012
82,2012-01-18 00:00:00,1.1792,1.1792,1.1792,1.1792,107,2012
83,2012-01-20 00:00:00,1.0879,1.0879,1.0879,1.0879,5,2012
84,2012-01-25 00:00:00,1.0513,1.0513,1.0513,1.0513,216,2012
85,2012-01-27 00:00:00,1.0604,1.0604,1.0604,1.0604,1203,2012
86,2012-02-03 00:00:00,1.0787,1.1426,1.0787,1.1426,1105,2012
87,2012-02-06 00:00:00,1.097,1.2798,1.097,1.2798,3216,2012
88,2012-02-07 00:00:00,1.1061,1.1061,1.097,1.097,1532,2012
89,2012-02-08 00:00:00,1.0879,1.0879,1.0055,1.0055,7466,2012
90,2012-02-13 00:00:00,1.1701,1.1701,1.1701,1.1701,55,2012
91,2012-02-20 00:00:00,1.1152,1.1518,1.097,1.097,3227,2012
92,2012-02-22 00:00:00,1.097,1.097,1.097,1.097,219,2012
93,2012-02-28 00:00:00,1.1335,1.1335,1.1335,1.1335,110,2012
94,2012-03-05 00:00:00,1.1884,1.1884,1.1884,1.1884,3282,2012
95,2012-03-14 00:00:00,1.1426,1.1426,1.1426,1.1426,547,2012
96,2012-03-15 00:00:00,1.234,1.234,1.234,1.234,2,2012
97,2012-03-26 00:00:00,1.0787,1.0787,1.0787,1.0787,137,2012
98,2012-04-03 00:00:00,1.097,1.097,1.097,1.097,875,2012
