,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-01-18 00:00:00,0.49,0.51,0.45,0.46,52759,2013
1,2013-01-21 00:00:00,0.45,0.5,0.37,0.42,26459,2013
2,2013-01-22 00:00:00,0.42,0.43,0.36,0.42,5868,2013
3,2013-01-23 00:00:00,0.41,0.45,0.41,0.44,3545,2013
4,2013-01-24 00:00:00,0.44,0.45,0.4,0.45,7430,2013
5,2013-01-25 00:00:00,0.44,0.44,0.37,0.4,20760,2013
6,2013-01-28 00:00:00,0.38,0.44,0.38,0.43,6980,2013
7,2013-01-29 00:00:00,0.43,0.43,0.43,0.43,50,2013
8,2013-01-30 00:00:00,0.42,0.42,0.42,0.42,260,2013
9,2013-01-31 00:00:00,0.42,0.43,0.42,0.42,3983,2013
10,2013-02-01 00:00:00,0.43,0.43,0.38,0.42,2244,2013
11,2013-02-04 00:00:00,0.42,0.42,0.38,0.41,1960,2013
12,2013-02-05 00:00:00,0.41,0.41,0.39,0.41,450,2013
13,2013-02-06 00:00:00,0.41,0.43,0.35,0.4,18751,2013
14,2013-02-07 00:00:00,0.4,0.4,0.4,0.4,80,2013
15,2013-02-08 00:00:00,0.4,0.4,0.4,0.4,250,2013
16,2013-02-11 00:00:00,0.4,0.4,0.4,0.4,130,2013
17,2013-02-12 00:00:00,0.4,0.4,0.4,0.4,50,2013
18,2013-02-13 00:00:00,0.39,0.4,0.39,0.4,200,2013
19,2013-02-14 00:00:00,0.4,0.4,0.38,0.38,600,2013
20,2013-02-15 00:00:00,0.38,0.39,0.34,0.34,16212,2013
21,2013-02-18 00:00:00,0.34,0.34,0.34,0.34,43710,2013
22,2013-02-19 00:00:00,0.34,0.34,0.32,0.32,2995,2013
23,2013-02-20 00:00:00,0.33,0.34,0.33,0.34,300,2013
24,2013-02-21 00:00:00,0.33,0.33,0.28,0.32,9239,2013
25,2013-02-22 00:00:00,0.3,0.31,0.27,0.31,9410,2013
26,2013-02-25 00:00:00,0.32,0.32,0.3,0.32,5210,2013
27,2013-02-26 00:00:00,0.32,0.32,0.32,0.32,845,2013
28,2013-02-27 00:00:00,0.33,0.33,0.33,0.33,200,2013
29,2013-02-28 00:00:00,0.33,0.33,0.3,0.32,3900,2013
30,2013-03-01 00:00:00,0.33,0.33,0.33,0.33,200,2013
31,2013-03-04 00:00:00,0.33,0.33,0.33,0.33,100,2013
32,2013-03-05 00:00:00,0.33,0.35,0.33,0.35,370,2013
33,2013-03-06 00:00:00,0.35,0.35,0.35,0.35,330,2013
34,2013-03-07 00:00:00,0.35,0.35,0.35,0.35,450,2013
35,2013-03-08 00:00:00,0.35,0.35,0.35,0.35,1050,2013
36,2013-03-11 00:00:00,0.35,0.35,0.35,0.35,700,2013
37,2013-03-12 00:00:00,0.35,0.35,0.35,0.35,570,2013
38,2013-03-13 00:00:00,0.35,0.4,0.35,0.4,5040,2013
39,2013-03-14 00:00:00,0.4,0.4,0.4,0.4,150,2013
40,2013-03-15 00:00:00,0.36,0.36,0.34,0.34,4930,2013
41,2013-03-18 00:00:00,0.32,0.32,0.25,0.25,15680,2013
42,2013-03-19 00:00:00,0.26,0.3,0.21,0.3,9810,2013
43,2013-03-20 00:00:00,0.3,0.3,0.28,0.29,3000,2013
44,2013-03-21 00:00:00,0.29,0.29,0.26,0.28,11054,2013
45,2013-03-22 00:00:00,0.25,0.27,0.25,0.27,1793,2013
46,2013-03-25 00:00:00,0.28,0.29,0.27,0.29,1065,2013
47,2013-03-26 00:00:00,0.29,0.29,0.29,0.29,120,2013
48,2013-03-27 00:00:00,0.29,0.29,0.27,0.29,131,2013
49,2013-03-28 00:00:00,0.29,0.29,0.27,0.29,171,2013
50,2013-04-02 00:00:00,0.29,0.29,0.27,0.27,201,2013
51,2013-04-03 00:00:00,0.29,0.29,0.22,0.27,21371,2013
52,2013-04-04 00:00:00,0.25,0.27,0.25,0.27,11,2013
53,2013-04-05 00:00:00,0.27,0.28,0.25,0.27,1215,2013
54,2013-04-08 00:00:00,0.28,0.28,0.27,0.27,105,2013
55,2013-04-09 00:00:00,0.28,0.28,0.27,0.27,110,2013
56,2013-04-10 00:00:00,0.28,0.28,0.27,0.27,185,2013
57,2013-04-11 00:00:00,0.25,0.28,0.25,0.28,20,2013
58,2013-04-12 00:00:00,0.28,0.28,0.28,0.28,200,2013
59,2013-04-15 00:00:00,0.25,0.25,0.25,0.25,3,2013
60,2013-04-19 00:00:00,0.25,0.25,0.25,0.25,2,2013
61,2013-04-22 00:00:00,0.25,0.25,0.23,0.23,400,2013
62,2013-04-23 00:00:00,0.25,0.25,0.23,0.23,121,2013
