,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2016-03-21 00:00:00,7.0,7.74,6.5,6.5,23158,2016
1,2016-03-22 00:00:00,6.5,6.5,6.2,6.36,1379,2016
2,2016-03-23 00:00:00,6.36,6.7,6.2,6.68,1245,2016
3,2016-03-24 00:00:00,6.68,6.68,6.5,6.68,2228,2016
4,2016-03-29 00:00:00,6.68,6.68,6.63,6.63,950,2016
5,2016-03-30 00:00:00,6.63,7.95,6.63,7.79,19633,2016
6,2016-03-31 00:00:00,7.6,7.69,7.38,7.69,541,2016
7,2016-04-01 00:00:00,7.45,8.9,7.38,8.9,10750,2016
8,2016-04-04 00:00:00,8.9,10.5,8.9,10.43,15724,2016
9,2016-04-05 00:00:00,10.25,11.5,8.9,9.6,11589,2016
10,2016-04-06 00:00:00,10.0,10.0,8.96,9.16,7535,2016
11,2016-04-07 00:00:00,9.6,9.89,8.96,9.8,2221,2016
12,2016-04-08 00:00:00,9.77,9.77,9.5,9.5,859,2016
13,2016-04-11 00:00:00,9.5,9.5,9.5,9.5,580,2016
14,2016-04-12 00:00:00,9.49,9.49,9.12,9.49,1110,2016
15,2016-04-13 00:00:00,9.2,9.47,9.2,9.47,222,2016
16,2016-04-14 00:00:00,9.47,9.5,9.47,9.5,763,2016
17,2016-04-15 00:00:00,9.5,9.97,9.4,9.4,1110,2016
18,2016-04-18 00:00:00,9.35,9.4,9.21,9.4,1342,2016
19,2016-04-19 00:00:00,9.0,9.39,9.0,9.39,1570,2016
20,2016-04-20 00:00:00,9.0,9.39,9.0,9.39,21,2016
21,2016-04-21 00:00:00,9.01,9.11,8.91,9.0,3179,2016
22,2016-04-22 00:00:00,9.4,9.4,9.4,9.4,5,2016
23,2016-04-26 00:00:00,9.4,9.4,9.4,9.4,10,2016
24,2016-04-27 00:00:00,9.4,9.45,9.4,9.45,150,2016
25,2016-04-28 00:00:00,9.45,9.45,9.45,9.45,5,2016
26,2016-04-29 00:00:00,9.43,9.43,9.43,9.43,10,2016
27,2016-05-02 00:00:00,9.45,9.45,9.45,9.45,5,2016
28,2016-05-04 00:00:00,9.05,9.45,8.94,9.45,656,2016
29,2016-05-05 00:00:00,9.04,9.45,8.9,8.9,6109,2016
30,2016-05-06 00:00:00,9.35,9.4,8.9,9.35,6011,2016
31,2016-05-09 00:00:00,8.76,9.35,8.76,9.35,10,2016
32,2016-05-10 00:00:00,8.76,9.35,8.76,9.35,5,2016
33,2016-05-11 00:00:00,9.0,9.34,8.8,8.99,3506,2016
34,2016-05-12 00:00:00,9.34,9.45,8.58,8.99,4865,2016
35,2016-05-13 00:00:00,9.45,9.65,9.0,9.6,3686,2016
36,2016-05-16 00:00:00,9.2,9.45,9.1,9.45,205,2016
37,2016-05-17 00:00:00,9.15,9.15,9.0,9.0,3217,2016
38,2016-05-18 00:00:00,9.05,9.24,9.05,9.24,1830,2016
39,2016-05-19 00:00:00,9.0,9.18,8.91,9.18,451,2016
40,2016-05-20 00:00:00,9.18,9.18,9.0,9.17,1449,2016
41,2016-05-23 00:00:00,8.98,9.06,8.9,9.0,9616,2016
42,2016-05-24 00:00:00,9.19,9.19,9.05,9.05,1570,2016
43,2016-05-25 00:00:00,9.19,9.35,8.85,9.2,2039,2016
44,2016-05-27 00:00:00,9.35,9.35,9.0,9.2,792,2016
45,2016-05-30 00:00:00,8.85,9.2,8.75,9.2,605,2016
46,2016-05-31 00:00:00,8.5,9.29,8.5,9.29,217,2016
47,2016-06-01 00:00:00,9.2,9.2,8.8,9.0,1745,2016
48,2016-06-02 00:00:00,9.0,9.0,9.0,9.0,5,2016
49,2016-06-03 00:00:00,9.1,9.1,9.1,9.1,10,2016
50,2016-06-06 00:00:00,8.51,9.05,8.51,9.05,147,2016
51,2016-06-07 00:00:00,8.51,9.05,8.51,9.05,383,2016
52,2016-06-08 00:00:00,8.75,9.05,8.75,9.05,60,2016
53,2016-06-09 00:00:00,8.7,8.7,8.7,8.7,100,2016
54,2016-06-10 00:00:00,8.89,8.9,8.52,8.9,695,2016
55,2016-06-13 00:00:00,8.52,8.9,8.35,8.9,396,2016
56,2016-06-14 00:00:00,8.36,8.9,8.36,8.9,50,2016
57,2016-06-15 00:00:00,8.9,8.9,8.9,8.9,10,2016
58,2016-06-16 00:00:00,8.5,8.9,8.5,8.9,301,2016
