,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-05-14 00:00:00,23.0,27.6,18.4,19.8,6792,2012
1,2012-05-15 00:00:00,21.4,21.4,13.8,14.8,1129,2012
2,2012-05-16 00:00:00,12.0,14.2,9.6,9.6,8622,2012
3,2012-05-17 00:00:00,9.6,11.0,7.6,7.6,12874,2012
4,2012-05-18 00:00:00,8.2,9.6,6.6,7.2,3353,2012
5,2012-05-21 00:00:00,7.2,8.4,6.2,8.4,1971,2012
6,2012-05-22 00:00:00,8.4,8.8,5.6,6.4,12788,2012
7,2012-05-23 00:00:00,6.8,9.0,6.6,9.0,5694,2012
8,2012-05-24 00:00:00,10.8,12.8,10.8,12.8,4679,2012
9,2012-05-25 00:00:00,15.2,18.2,15.2,18.2,4402,2012
10,2012-05-28 00:00:00,21.8,25.0,16.0,20.0,9679,2012
11,2012-05-29 00:00:00,18.4,22.0,17.0,17.0,4900,2012
12,2012-05-30 00:00:00,17.0,18.2,16.0,16.8,1339,2012
13,2012-05-31 00:00:00,17.0,23.0,17.0,18.4,3647,2012
14,2012-06-01 00:00:00,18.4,20.6,18.4,20.0,850,2012
15,2012-06-04 00:00:00,21.2,21.2,18.0,19.2,795,2012
16,2012-06-05 00:00:00,19.6,21.8,18.0,20.2,10546,2012
17,2012-06-06 00:00:00,19.8,20.2,19.4,19.6,541,2012
18,2012-06-08 00:00:00,20.2,20.2,17.0,18.8,1014,2012
19,2012-06-11 00:00:00,18.8,26.8,18.0,21.4,4945,2012
20,2012-06-12 00:00:00,21.4,23.0,19.2,21.8,397,2012
21,2012-06-13 00:00:00,21.8,25.6,20.2,21.0,2281,2012
22,2012-06-14 00:00:00,21.6,22.6,21.2,22.4,264,2012
23,2012-06-15 00:00:00,22.4,22.4,19.0,19.2,1284,2012
24,2012-06-18 00:00:00,19.0,19.2,18.0,18.8,389,2012
25,2012-06-19 00:00:00,20.0,20.0,18.0,19.6,104,2012
26,2012-06-20 00:00:00,18.0,19.6,18.0,19.2,104,2012
27,2012-06-21 00:00:00,19.2,19.6,18.2,18.2,80,2012
28,2012-06-22 00:00:00,18.2,19.6,18.2,19.6,236,2012
29,2012-06-25 00:00:00,19.6,19.6,19.6,19.6,5,2012
30,2012-06-26 00:00:00,19.2,19.2,17.4,18.6,156,2012
31,2012-06-27 00:00:00,18.8,19.0,16.2,19.0,203,2012
32,2012-06-28 00:00:00,19.0,19.0,18.0,18.0,25,2012
33,2012-06-29 00:00:00,18.4,18.4,18.4,18.4,5,2012
34,2012-07-02 00:00:00,17.6,18.4,15.6,18.4,367,2012
35,2012-07-03 00:00:00,18.4,20.0,18.2,18.4,533,2012
36,2012-07-04 00:00:00,19.0,22.0,19.0,22.0,1070,2012
37,2012-07-05 00:00:00,22.0,26.4,20.2,26.4,1953,2012
38,2012-07-06 00:00:00,26.4,37.6,26.4,37.6,3987,2012
39,2012-07-09 00:00:00,36.6,43.8,30.4,39.8,977,2012
40,2012-07-10 00:00:00,39.8,41.4,36.4,38.0,337,2012
41,2012-07-11 00:00:00,38.0,38.0,34.2,34.8,1008,2012
42,2012-07-12 00:00:00,41.0,41.0,34.0,36.4,154,2012
43,2012-07-13 00:00:00,36.8,37.2,33.0,34.0,101,2012
44,2012-07-16 00:00:00,33.0,33.8,30.4,33.6,648,2012
45,2012-07-17 00:00:00,31.0,32.2,28.0,28.0,327,2012
46,2012-07-18 00:00:00,30.2,30.2,26.6,26.6,63,2012
47,2012-07-19 00:00:00,22.0,26.4,22.0,26.4,113,2012
48,2012-07-20 00:00:00,24.4,30.4,24.4,30.4,401,2012
49,2012-07-23 00:00:00,32.0,43.0,31.6,43.0,663,2012
50,2012-07-24 00:00:00,47.0,54.0,38.0,40.0,1373,2012
51,2012-07-25 00:00:00,40.0,40.0,32.0,34.8,205,2012
52,2012-07-26 00:00:00,29.4,30.0,18.4,18.6,2314,2012
53,2012-07-27 00:00:00,19.0,19.6,15.4,19.0,529,2012
54,2012-07-30 00:00:00,19.6,19.6,11.8,11.8,911,2012
55,2012-07-31 00:00:00,13.6,13.6,8.2,9.6,8154,2012
56,2012-08-01 00:00:00,9.4,9.4,7.8,9.0,1218,2012
57,2012-08-02 00:00:00,9.0,9.0,7.6,9.0,262,2012
58,2012-08-03 00:00:00,9.6,9.6,9.4,9.4,60,2012
59,2012-08-06 00:00:00,8.8,8.8,7.6,7.6,221,2012
60,2012-08-07 00:00:00,8.0,10.8,8.0,10.8,2119,2012
61,2012-08-08 00:00:00,11.6,13.8,11.6,13.8,2110,2012
62,2012-08-09 00:00:00,14.0,14.0,11.0,11.0,1443,2012
63,2012-08-10 00:00:00,12.2,12.4,11.2,12.0,1010,2012
64,2012-08-13 00:00:00,12.0,13.8,12.0,12.6,697,2012
65,2012-08-14 00:00:00,13.8,13.8,11.8,11.8,506,2012
66,2012-08-16 00:00:00,11.8,12.2,9.6,10.6,1779,2012
67,2012-08-17 00:00:00,10.8,10.8,9.0,9.0,431,2012
68,2012-08-20 00:00:00,9.8,9.8,8.6,8.6,254,2012
69,2012-08-21 00:00:00,9.4,9.6,9.2,9.2,84,2012
70,2012-08-22 00:00:00,9.4,10.6,8.8,9.0,2922,2012
71,2012-08-23 00:00:00,9.0,9.0,7.4,8.8,733,2012
72,2012-08-24 00:00:00,7.2,8.6,6.8,8.6,857,2012
73,2012-08-27 00:00:00,8.8,9.0,8.0,8.0,55,2012
74,2012-08-28 00:00:00,8.0,8.0,7.6,7.8,736,2012
75,2012-08-29 00:00:00,7.8,7.8,7.6,7.8,292,2012
76,2012-08-30 00:00:00,7.8,7.8,7.8,7.8,5,2012
77,2012-08-31 00:00:00,7.8,11.0,7.6,11.0,1119,2012
78,2012-09-03 00:00:00,11.6,13.4,10.8,12.0,1097,2012
79,2012-09-04 00:00:00,11.8,11.8,7.8,9.0,2342,2012
80,2012-09-05 00:00:00,9.0,9.0,7.8,9.0,528,2012
81,2012-09-06 00:00:00,9.0,9.0,7.8,9.0,929,2012
82,2012-09-07 00:00:00,9.0,10.8,9.0,10.0,1281,2012
83,2012-09-10 00:00:00,10.0,10.0,9.0,9.0,334,2012
84,2012-09-11 00:00:00,9.6,11.6,8.8,8.8,2944,2012
85,2012-09-12 00:00:00,8.8,10.0,8.6,10.0,804,2012
86,2012-09-13 00:00:00,11.0,12.4,10.0,11.0,2993,2012
87,2012-09-14 00:00:00,11.2,11.4,10.4,10.8,417,2012
88,2012-09-17 00:00:00,10.8,15.2,10.8,13.8,3031,2012
89,2012-09-18 00:00:00,14.2,16.0,12.8,15.0,2545,2012
90,2012-09-19 00:00:00,14.6,14.6,12.8,13.4,690,2012
91,2012-09-20 00:00:00,13.0,13.0,12.0,12.0,2031,2012
92,2012-09-21 00:00:00,12.8,12.8,11.2,12.4,1188,2012
93,2012-09-24 00:00:00,12.4,13.2,12.4,12.4,710,2012
94,2012-09-25 00:00:00,12.4,12.8,11.2,12.0,52,2012
95,2012-09-26 00:00:00,12.0,12.0,11.2,11.4,74,2012
96,2012-09-27 00:00:00,11.0,11.2,11.0,11.0,917,2012
97,2012-09-28 00:00:00,11.0,13.2,11.0,13.0,587,2012
98,2012-10-01 00:00:00,13.4,13.6,12.2,12.4,449,2012
99,2012-10-02 00:00:00,12.4,12.4,11.8,11.8,400,2012
100,2012-10-03 00:00:00,11.8,11.8,11.0,11.6,170,2012
101,2012-10-04 00:00:00,11.6,11.6,10.6,11.2,677,2012
102,2012-10-05 00:00:00,11.2,11.2,11.2,11.2,15,2012
103,2012-10-08 00:00:00,14.8,14.8,14.8,14.8,345,2012
104,2012-10-09 00:00:00,15.8,15.8,15.8,15.8,7,2012
105,2012-10-10 00:00:00,15.2,15.2,14.2,14.2,178,2012
106,2012-10-11 00:00:00,14.6,15.2,14.2,14.2,120,2012
107,2012-10-15 00:00:00,14.4,14.4,13.4,13.4,123,2012
108,2012-10-16 00:00:00,13.2,13.2,11.6,11.6,237,2012
109,2012-10-17 00:00:00,12.0,13.0,12.0,12.0,98,2012
110,2012-10-19 00:00:00,12.6,14.2,12.6,14.2,18,2012
111,2012-10-22 00:00:00,14.0,14.0,13.0,13.0,100,2012
112,2012-10-23 00:00:00,12.6,12.6,10.4,10.6,271,2012
113,2012-10-24 00:00:00,10.6,11.4,10.4,11.4,179,2012
114,2012-10-25 00:00:00,11.4,11.4,10.4,10.4,44,2012
115,2012-10-26 00:00:00,10.0,10.0,8.0,9.8,1254,2012
116,2012-10-29 00:00:00,10.4,10.4,9.8,9.8,5,2012
117,2012-10-30 00:00:00,10.2,12.2,9.0,12.2,805,2012
118,2012-10-31 00:00:00,12.2,12.2,12.2,12.2,3,2012
119,2012-11-02 00:00:00,12.2,12.2,12.2,12.2,3,2012
120,2012-11-05 00:00:00,12.2,12.2,12.2,12.2,3,2012
121,2012-11-06 00:00:00,12.0,12.0,10.4,10.4,656,2012
122,2012-11-08 00:00:00,11.2,11.2,10.4,10.4,340,2012
123,2012-11-09 00:00:00,10.8,10.8,9.4,10.6,735,2012
124,2012-11-12 00:00:00,10.4,10.4,10.0,10.2,1356,2012
