,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-06-28 00:00:00,2.85,4.27,2.5,4.27,152110,2018
1,2018-06-29 00:00:00,4.4,6.4,3.65,6.4,205689,2018
2,2018-07-02 00:00:00,6.75,8.25,6.3,6.4,158755,2018
3,2018-07-03 00:00:00,6.6,6.6,5.28,5.66,85260,2018
4,2018-07-04 00:00:00,5.6,5.88,4.1,4.11,122925,2018
5,2018-07-05 00:00:00,4.4,4.95,3.87,4.9,118174,2018
6,2018-07-06 00:00:00,4.9,5.45,4.66,5.02,110144,2018
7,2018-07-09 00:00:00,5.08,5.08,4.5,4.67,42407,2018
8,2018-07-10 00:00:00,4.3,4.59,3.6,3.66,33563,2018
9,2018-07-11 00:00:00,3.59,3.8,2.88,3.19,118736,2018
10,2018-07-12 00:00:00,3.44,3.44,2.8,3.21,46803,2018
11,2018-07-13 00:00:00,3.2,3.67,3.07,3.51,69287,2018
12,2018-07-16 00:00:00,3.55,4.26,3.55,4.16,132749,2018
13,2018-07-17 00:00:00,4.3,4.5,3.6,3.95,47865,2018
14,2018-07-18 00:00:00,3.9,3.9,3.44,3.44,23331,2018
15,2018-07-19 00:00:00,3.6,3.66,3.3,3.5,15363,2018
16,2018-07-20 00:00:00,3.49,3.75,3.3,3.74,15819,2018
17,2018-07-23 00:00:00,3.75,4.09,3.7,4.0,44765,2018
18,2018-07-24 00:00:00,4.0,4.07,3.33,3.68,34038,2018
19,2018-07-25 00:00:00,3.6,3.65,3.3,3.59,26964,2018
20,2018-07-26 00:00:00,3.59,3.63,3.3,3.55,15948,2018
21,2018-07-27 00:00:00,3.55,3.86,3.3,3.66,14699,2018
22,2018-07-30 00:00:00,3.67,3.8,3.5,3.68,31534,2018
23,2018-07-31 00:00:00,3.68,3.8,3.5,3.67,12650,2018
24,2018-08-01 00:00:00,3.66,3.78,3.62,3.74,3942,2018
25,2018-08-02 00:00:00,3.75,3.75,3.45,3.71,2855,2018
26,2018-08-03 00:00:00,3.69,3.69,3.37,3.52,9875,2018
27,2018-08-06 00:00:00,3.51,3.51,3.24,3.35,14841,2018
28,2018-08-07 00:00:00,3.35,3.48,3.35,3.43,4623,2018
29,2018-08-08 00:00:00,3.35,3.45,3.2,3.44,4968,2018
30,2018-08-09 00:00:00,3.42,3.42,3.05,3.3,14044,2018
31,2018-08-10 00:00:00,3.27,3.27,3.04,3.04,4992,2018
32,2018-08-13 00:00:00,3.21,3.22,3.0,3.11,10249,2018
33,2018-08-14 00:00:00,3.1,3.14,2.94,3.08,7559,2018
34,2018-08-16 00:00:00,2.92,3.08,2.88,3.02,3196,2018
35,2018-08-17 00:00:00,2.86,2.95,2.6,2.83,7094,2018
36,2018-08-20 00:00:00,2.68,2.82,2.52,2.62,7087,2018
37,2018-08-21 00:00:00,2.62,2.82,2.48,2.81,6760,2018
38,2018-08-22 00:00:00,2.81,2.81,2.56,2.75,11332,2018
39,2018-08-23 00:00:00,2.68,3.28,2.65,3.28,71549,2018
40,2018-08-24 00:00:00,3.35,3.45,3.01,3.27,13426,2018
41,2018-08-27 00:00:00,3.12,3.23,2.9,3.13,10044,2018
42,2018-08-28 00:00:00,3.21,3.21,2.65,2.9,18324,2018
43,2018-08-29 00:00:00,2.96,2.99,2.6,2.86,11710,2018
44,2018-08-30 00:00:00,2.7,2.78,2.62,2.74,3087,2018
45,2018-08-31 00:00:00,2.62,2.72,2.6,2.72,2231,2018
46,2018-09-03 00:00:00,2.68,2.68,2.45,2.58,4269,2018
47,2018-09-04 00:00:00,2.45,2.45,2.3,2.3,6907,2018
48,2018-09-05 00:00:00,2.31,2.42,1.92,1.95,7218,2018
49,2018-09-06 00:00:00,1.86,2.12,1.86,2.12,5521,2018
50,2018-09-07 00:00:00,2.08,2.22,1.88,2.06,6109,2018
51,2018-09-10 00:00:00,2.04,2.04,1.73,1.94,4671,2018
52,2018-09-11 00:00:00,1.9,1.97,1.7,1.9,4420,2018
53,2018-09-12 00:00:00,1.88,1.88,1.8,1.87,2162,2018
54,2018-09-13 00:00:00,1.76,1.92,1.76,1.92,1485,2018
55,2018-09-14 00:00:00,1.98,1.99,1.88,1.92,2009,2018
56,2018-09-17 00:00:00,1.92,1.93,1.85,1.92,634,2018
57,2018-09-18 00:00:00,1.92,1.99,1.85,1.85,4629,2018
58,2018-09-19 00:00:00,1.84,2.03,1.78,2.03,2901,2018
59,2018-09-20 00:00:00,1.94,2.03,1.94,2.03,21,2018
60,2018-09-21 00:00:00,1.89,2.03,1.66,1.8,7749,2018
61,2018-09-24 00:00:00,1.9,1.9,1.53,1.76,17759,2018
