,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-06-20 00:00:00,0.8,0.81,0.69,0.7,39527,2012
1,2012-06-21 00:00:00,0.7,0.7,0.67,0.7,9230,2012
2,2012-06-22 00:00:00,0.69,0.69,0.67,0.68,4600,2012
3,2012-06-25 00:00:00,0.67,0.68,0.61,0.68,4019,2012
4,2012-06-26 00:00:00,0.66,0.67,0.52,0.52,27001,2012
5,2012-06-27 00:00:00,0.62,0.62,0.52,0.62,6970,2012
6,2012-06-28 00:00:00,0.62,0.62,0.62,0.62,130,2012
7,2012-06-29 00:00:00,0.6,0.6,0.5,0.6,306,2012
8,2012-07-02 00:00:00,0.6,0.6,0.6,0.6,60,2012
9,2012-07-03 00:00:00,0.47,0.57,0.39,0.57,4182,2012
10,2012-07-04 00:00:00,0.56,0.56,0.56,0.56,30,2012
11,2012-07-05 00:00:00,0.54,0.54,0.54,0.54,177,2012
12,2012-07-06 00:00:00,0.51,0.51,0.44,0.51,401,2012
13,2012-07-10 00:00:00,0.46,0.46,0.46,0.46,100,2012
14,2012-07-16 00:00:00,0.45,0.63,0.45,0.63,2730,2012
15,2012-07-20 00:00:00,0.5,0.5,0.5,0.5,1390,2012
16,2012-07-24 00:00:00,0.6,0.6,0.6,0.6,100,2012
17,2012-07-27 00:00:00,0.54,0.54,0.54,0.54,2000,2012
18,2012-07-30 00:00:00,0.6,0.6,0.6,0.6,200,2012
19,2012-07-31 00:00:00,0.47,0.55,0.47,0.55,150,2012
20,2012-09-28 00:00:00,0.6,0.6,0.6,0.6,1,2012
21,2012-10-31 00:00:00,0.5,0.5,0.5,0.5,3000,2012
22,2012-11-02 00:00:00,0.53,0.58,0.53,0.58,6403,2012
23,2012-11-05 00:00:00,0.46,0.46,0.45,0.45,2939,2012
24,2012-11-08 00:00:00,0.35,0.35,0.35,0.35,500,2012
25,2012-11-09 00:00:00,0.35,0.35,0.35,0.35,150,2012
26,2012-11-12 00:00:00,0.35,0.35,0.35,0.35,100,2012
27,2012-11-16 00:00:00,0.42,0.42,0.42,0.42,20,2012
28,2012-11-30 00:00:00,0.41,0.41,0.41,0.41,3659,2012
29,2012-12-04 00:00:00,0.39,0.39,0.39,0.39,2577,2012
30,2012-12-07 00:00:00,0.39,0.39,0.39,0.39,500,2012
31,2012-12-10 00:00:00,0.42,0.42,0.42,0.42,70,2012
32,2012-12-11 00:00:00,0.42,0.42,0.42,0.42,60,2012
33,2012-12-12 00:00:00,0.42,0.42,0.42,0.42,69,2012
34,2012-12-13 00:00:00,0.42,0.42,0.42,0.42,60,2012
35,2012-12-14 00:00:00,0.42,0.42,0.42,0.42,60,2012
36,2012-12-17 00:00:00,0.42,0.42,0.42,0.42,60,2012
37,2012-12-18 00:00:00,0.42,0.42,0.42,0.42,50,2012
38,2012-12-19 00:00:00,0.42,0.42,0.42,0.42,70,2012
39,2012-12-20 00:00:00,0.42,0.42,0.42,0.42,50,2012
40,2012-12-21 00:00:00,0.42,0.42,0.42,0.42,50,2012
41,2012-12-28 00:00:00,0.42,0.42,0.42,0.42,100,2012
42,2013-01-08 00:00:00,0.42,0.42,0.42,0.42,120,2013
43,2013-01-09 00:00:00,0.42,0.42,0.42,0.42,70,2013
44,2013-01-14 00:00:00,0.42,0.42,0.42,0.42,110,2013
45,2013-01-17 00:00:00,0.43,0.43,0.43,0.43,40,2013
46,2013-02-14 00:00:00,0.45,0.45,0.45,0.45,68,2013
47,2013-02-20 00:00:00,0.48,0.48,0.48,0.48,370,2013
48,2013-02-21 00:00:00,0.5,0.5,0.5,0.5,10,2013
49,2013-02-22 00:00:00,0.5,0.5,0.5,0.5,50,2013
50,2013-02-25 00:00:00,0.51,0.51,0.51,0.51,330,2013
51,2013-02-26 00:00:00,0.52,0.52,0.45,0.45,1768,2013
52,2013-03-07 00:00:00,0.47,0.47,0.47,0.47,450,2013
53,2013-04-12 00:00:00,0.49,0.49,0.49,0.49,50,2013
54,2013-04-26 00:00:00,0.5,0.5,0.5,0.5,100,2013
55,2013-05-07 00:00:00,0.51,0.51,0.51,0.51,50,2013
56,2013-05-09 00:00:00,0.52,0.53,0.52,0.53,113,2013
57,2013-05-10 00:00:00,0.53,0.53,0.53,0.53,50,2013
58,2013-05-22 00:00:00,0.54,0.54,0.54,0.54,9,2013
59,2013-05-23 00:00:00,0.55,0.55,0.55,0.55,55,2013
60,2013-05-31 00:00:00,0.43,0.43,0.43,0.43,2000,2013
61,2013-06-05 00:00:00,0.45,0.45,0.45,0.45,100,2013
62,2013-06-06 00:00:00,0.45,0.45,0.45,0.45,100,2013
63,2013-06-10 00:00:00,0.45,0.45,0.45,0.45,100,2013
64,2013-06-11 00:00:00,0.46,0.46,0.46,0.46,100,2013
65,2013-06-17 00:00:00,0.45,0.45,0.45,0.45,2222,2013
66,2013-06-18 00:00:00,0.36,0.36,0.36,0.36,2000,2013
67,2013-07-03 00:00:00,0.36,0.36,0.36,0.36,100,2013
68,2013-07-31 00:00:00,0.3,0.3,0.3,0.3,10000,2013
69,2013-09-27 00:00:00,0.31,0.37,0.26,0.26,5350,2013
70,2013-09-30 00:00:00,0.21,0.25,0.21,0.25,3300,2013
71,2013-10-01 00:00:00,0.25,0.25,0.2,0.2,5420,2013
72,2013-10-03 00:00:00,0.23,0.23,0.23,0.23,80,2013
73,2013-10-04 00:00:00,0.23,0.23,0.23,0.23,50,2013
74,2013-10-07 00:00:00,0.23,0.23,0.23,0.23,50,2013
75,2013-10-08 00:00:00,0.23,0.23,0.23,0.23,50,2013
76,2013-10-09 00:00:00,0.24,0.24,0.2,0.2,850,2013
77,2013-10-10 00:00:00,0.19,0.19,0.17,0.17,6609,2013
78,2013-10-11 00:00:00,0.19,0.19,0.19,0.19,1500,2013
79,2013-10-16 00:00:00,0.18,0.18,0.16,0.17,13333,2013
80,2013-10-17 00:00:00,0.17,0.21,0.17,0.21,5209,2013
81,2013-10-18 00:00:00,0.21,0.25,0.2,0.21,22260,2013
82,2013-10-21 00:00:00,0.2,0.22,0.17,0.22,6920,2013
83,2013-10-22 00:00:00,0.22,0.23,0.22,0.23,1000,2013
84,2013-10-23 00:00:00,0.23,0.27,0.2,0.2,12627,2013
85,2013-10-30 00:00:00,0.21,0.23,0.21,0.23,650,2013
86,2013-10-31 00:00:00,0.22,0.22,0.22,0.22,100,2013
87,2013-11-04 00:00:00,0.22,0.22,0.22,0.22,100,2013
88,2013-11-06 00:00:00,0.22,0.22,0.22,0.22,100,2013
89,2013-11-07 00:00:00,0.22,0.22,0.22,0.22,100,2013
