,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-02-24 00:00:00,1.8514,1.8514,1.5427,1.6003,137816,2011
1,2011-02-25 00:00:00,1.5930000000000002,1.8442,1.5427,1.8442,60478,2011
2,2011-02-28 00:00:00,1.8442,1.8442,1.6146,1.715,22301,2011
3,2011-03-01 00:00:00,1.715,1.7724,1.6146,1.6864,23019,2011
4,2011-03-02 00:00:00,1.6864,1.6864,1.5716,1.6218,10126,2011
5,2011-03-03 00:00:00,1.6218,1.6218,1.5644,1.5644,2491,2011
6,2011-03-04 00:00:00,1.6075,1.6433,1.5069,1.6433,7397,2011
7,2011-03-07 00:00:00,1.6361,1.6504,1.4854,1.5427,14359,2011
8,2011-03-08 00:00:00,1.5427,1.55,1.5069,1.55,3518,2011
9,2011-03-09 00:00:00,1.5427,1.55,1.5285,1.5285,3790,2011
10,2011-03-10 00:00:00,1.5427,1.5787,1.4353,1.4998,16234,2011
11,2011-03-11 00:00:00,1.4425,1.4711,1.3993,1.4711,3130,2011
12,2011-03-14 00:00:00,1.3993,1.4280000000000002,1.3634,1.4280000000000002,2474,2011
13,2011-03-15 00:00:00,1.3849,1.3849,1.1696,1.3276,7068,2011
14,2011-03-16 00:00:00,1.2916,1.3706,1.2916,1.3706,1869,2011
15,2011-03-17 00:00:00,1.3706,1.392,1.3706,1.392,173,2011
16,2011-03-18 00:00:00,1.3276,1.3276,1.3276,1.3276,863,2011
17,2011-03-22 00:00:00,1.2988,1.3276,1.263,1.3276,1488,2011
18,2011-03-23 00:00:00,1.3276,1.4207,1.3276,1.3491,1660,2011
19,2011-03-24 00:00:00,1.4065,1.4065,1.3132,1.3778,453,2011
20,2011-03-25 00:00:00,1.3204,1.3204,1.2198,1.3204,7944,2011
21,2011-03-30 00:00:00,1.3204,1.3419,1.2916,1.3419,294,2011
22,2011-03-31 00:00:00,1.3634,1.3634,1.3634,1.3634,140,2011
23,2011-04-01 00:00:00,1.3634,1.3634,1.306,1.306,2389,2011
24,2011-04-04 00:00:00,1.3132,1.3132,1.306,1.3132,626,2011
25,2011-04-05 00:00:00,1.3132,1.3132,1.3132,1.3132,99,2011
26,2011-04-06 00:00:00,1.3132,1.3491,1.3132,1.3491,894,2011
27,2011-04-07 00:00:00,1.3491,1.392,1.3491,1.3634,1162,2011
28,2011-04-08 00:00:00,1.3634,1.3634,1.263,1.3634,4230,2011
29,2011-04-11 00:00:00,1.3634,1.3634,1.3132,1.3132,2023,2011
30,2011-04-12 00:00:00,1.3348,1.3348,1.263,1.306,2723,2011
31,2011-04-13 00:00:00,1.2772,1.3132,1.2557,1.3132,1413,2011
32,2011-04-14 00:00:00,1.2988,1.3276,1.2988,1.3276,225,2011
33,2011-04-15 00:00:00,1.3348,1.3348,1.3348,1.3348,83,2011
34,2011-04-18 00:00:00,1.3348,1.3348,1.2772,1.3132,2266,2011
35,2011-04-19 00:00:00,1.3132,1.3276,1.306,1.3276,921,2011
36,2011-04-20 00:00:00,1.3348,1.7438,1.3348,1.6003,70157,2011
37,2011-04-21 00:00:00,1.6003,1.6003,1.4353,1.4353,2229,2011
