,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-08-14 00:00:00,8.8028,13.205,8.8028,9.2345,1989,2013
1,2013-08-16 00:00:00,10.995,11.884,8.8468,10.124,2060,2013
2,2013-08-19 00:00:00,10.124,10.124,9.2428,9.683,909,2013
3,2013-08-20 00:00:00,9.86,9.86,9.0668,9.507,682,2013
4,2013-08-21 00:00:00,9.595,9.595,8.8028,8.8908,1538,2013
5,2013-08-23 00:00:00,8.8028,8.9788,8.8028,8.9788,125,2013
6,2013-09-02 00:00:00,8.9788,10.564,8.9788,10.564,515,2013
7,2013-09-03 00:00:00,10.344000000000001,10.555,10.344000000000001,10.555,309,2013
8,2013-09-04 00:00:00,10.555,10.564,10.555,10.564,113,2013
9,2013-09-05 00:00:00,10.537,10.537,10.537,10.537,227,2013
10,2013-09-06 00:00:00,8.9788,8.9788,8.9788,8.9788,113,2013
11,2013-09-09 00:00:00,10.3,10.3,10.3,10.3,340,2013
12,2013-09-10 00:00:00,10.124,10.124,10.124,10.124,340,2013
13,2013-09-12 00:00:00,10.036,10.036,8.8028,8.8028,568,2013
14,2013-09-16 00:00:00,7.4825,7.4825,7.3064,7.3064,340,2013
15,2013-09-17 00:00:00,7.3064,8.6708,7.2184,8.6708,149,2013
16,2013-09-20 00:00:00,8.6092,8.6092,8.6092,8.6092,568,2013
17,2013-09-23 00:00:00,8.6092,8.6092,8.5828,8.5828,298,2013
18,2013-09-25 00:00:00,8.5388,8.5388,8.5388,8.5388,5,2013
19,2013-09-30 00:00:00,8.5828,8.5828,8.5828,8.5828,11,2013
20,2013-10-08 00:00:00,8.574,8.574,8.574,8.574,682,2013
21,2013-10-21 00:00:00,8.5828,8.5828,8.5828,8.5828,5,2013
22,2013-11-05 00:00:00,8.0987,8.0987,8.0987,8.0987,169,2013
23,2013-11-06 00:00:00,8.354,8.354,8.354,8.354,312,2013
24,2013-12-06 00:00:00,7.0423,7.9227,7.0423,7.9227,120,2013
25,2014-01-07 00:00:00,7.9227,7.9227,7.9227,7.9227,11,2014
26,2014-02-06 00:00:00,8.0107,8.0107,8.0107,8.0107,204,2014
27,2014-02-10 00:00:00,8.1868,8.3628,8.1868,8.3628,171,2014
28,2014-02-12 00:00:00,8.354,8.8028,8.354,8.8028,550,2014
29,2014-02-13 00:00:00,8.8028,10.564,8.8028,10.212,795,2014
