,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-08-30 00:00:00,0.23,0.6,0.23,0.6,774602,2007
1,2007-08-31 00:00:00,0.76,0.76,0.76,0.76,233768,2007
2,2007-09-03 00:00:00,0.98,1.02,0.98,1.02,390129,2007
3,2007-09-04 00:00:00,0.87,0.87,0.83,0.83,92592,2007
4,2007-09-05 00:00:00,0.8,0.8,0.8,0.8,61886,2007
5,2007-09-06 00:00:00,0.76,0.78,0.76,0.78,104415,2007
6,2007-09-07 00:00:00,0.8,0.87,0.8,0.87,77970,2007
7,2007-09-10 00:00:00,0.83,0.84,0.83,0.84,42202,2007
8,2007-09-11 00:00:00,0.87,0.9,0.87,0.9,40213,2007
9,2007-09-12 00:00:00,0.9,0.91,0.9,0.91,9758,2007
10,2007-09-13 00:00:00,0.95,0.95,0.91,0.91,28562,2007
11,2007-09-14 00:00:00,0.87,0.87,0.87,0.87,17992,2007
12,2007-09-17 00:00:00,0.84,0.87,0.84,0.87,2908,2007
13,2007-09-18 00:00:00,0.8,0.81,0.8,0.81,4639,2007
14,2007-09-19 00:00:00,0.83,0.83,0.81,0.81,7851,2007
15,2007-09-20 00:00:00,0.79,0.82,0.79,0.82,10863,2007
16,2007-09-21 00:00:00,0.79,0.83,0.79,0.83,30655,2007
17,2007-09-24 00:00:00,0.89,0.89,0.89,0.89,14733,2007
18,2007-09-25 00:00:00,0.9,0.9,0.89,0.89,4795,2007
19,2007-09-26 00:00:00,0.9,0.9,0.9,0.9,7919,2007
20,2007-09-27 00:00:00,0.9,0.9,0.89,0.89,12997,2007
21,2007-09-28 00:00:00,0.89,0.89,0.89,0.89,15688,2007
22,2007-10-01 00:00:00,0.88,0.95,0.88,0.95,42308,2007
23,2007-10-02 00:00:00,1.02,1.74,1.02,1.45,214428,2007
24,2007-10-03 00:00:00,1.66,1.89,1.45,1.76,395733,2007
25,2007-10-04 00:00:00,1.73,1.73,1.44,1.48,238795,2007
26,2007-10-05 00:00:00,1.5,1.54,1.2,1.39,82039,2007
27,2007-10-08 00:00:00,1.38,1.44,1.25,1.36,59872,2007
28,2007-10-09 00:00:00,1.36,1.44,1.29,1.29,44776,2007
29,2007-10-10 00:00:00,1.35,1.35,1.2,1.29,98820,2007
30,2007-10-11 00:00:00,1.28,1.29,1.22,1.27,28573,2007
31,2007-10-12 00:00:00,1.26,1.35,1.2,1.32,60649,2007
32,2007-10-15 00:00:00,1.34,1.35,1.2,1.23,79412,2007
33,2007-10-16 00:00:00,1.26,1.26,1.21,1.23,40312,2007
34,2007-10-17 00:00:00,1.25,1.25,1.21,1.22,10505,2007
35,2007-10-18 00:00:00,1.23,1.24,1.18,1.2,25782,2007
36,2007-10-19 00:00:00,1.17,1.19,1.14,1.17,39960,2007
37,2007-10-22 00:00:00,1.17,1.17,1.07,1.17,22843,2007
38,2007-10-23 00:00:00,1.17,1.17,1.07,1.1,14504,2007
39,2007-10-24 00:00:00,1.1,1.12,1.07,1.12,25237,2007
40,2007-10-25 00:00:00,1.14,1.14,1.06,1.12,25260,2007
41,2007-10-26 00:00:00,1.12,1.14,1.04,1.14,35416,2007
42,2007-10-29 00:00:00,1.17,1.66,1.17,1.65,654208,2007
43,2007-10-30 00:00:00,1.63,1.94,1.38,1.39,702928,2007
44,2007-10-31 00:00:00,1.44,1.51,1.32,1.46,199703,2007
45,2007-11-02 00:00:00,1.42,1.55,1.35,1.36,128915,2007
46,2007-11-05 00:00:00,1.36,1.42,1.25,1.29,62524,2007
47,2007-11-06 00:00:00,1.34,1.34,1.17,1.24,149476,2007
48,2007-11-07 00:00:00,1.26,1.29,1.14,1.16,113234,2007
49,2007-11-08 00:00:00,1.1,1.26,1.1,1.22,53771,2007
50,2007-11-09 00:00:00,1.23,1.51,1.23,1.29,310441,2007
51,2007-11-12 00:00:00,1.36,1.36,1.17,1.21,81402,2007
52,2007-11-13 00:00:00,1.21,1.27,1.17,1.24,43644,2007
53,2007-11-14 00:00:00,1.26,1.26,1.21,1.26,23106,2007
54,2007-11-15 00:00:00,1.23,1.26,1.19,1.19,34610,2007
55,2007-11-16 00:00:00,1.23,1.23,1.14,1.14,22307,2007
56,2007-11-19 00:00:00,1.24,1.24,1.11,1.14,19533,2007
57,2007-11-20 00:00:00,1.14,1.14,1.11,1.14,35539,2007
58,2007-11-21 00:00:00,1.15,1.17,1.06,1.12,36012,2007
59,2007-11-22 00:00:00,1.14,1.14,1.04,1.13,10985,2007
60,2007-11-23 00:00:00,1.15,1.29,1.11,1.18,45628,2007
61,2007-11-26 00:00:00,1.25,1.26,1.18,1.2,20051,2007
62,2007-11-27 00:00:00,1.18,1.2,1.09,1.12,14038,2007
63,2007-11-28 00:00:00,1.23,1.23,1.14,1.19,29441,2007
64,2007-11-29 00:00:00,1.17,1.34,1.17,1.25,41784,2007
