,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-02-13 00:00:00,1.2081,1.2081,0.9396,1.1409,40826,2014
1,2014-02-14 00:00:00,1.1409,1.1409,0.9463,1.1275,10659,2014
2,2014-02-17 00:00:00,1.1208,1.1208,1.1208,1.1208,110,2014
3,2014-02-18 00:00:00,1.1208,1.1208,0.9597,1.1074,2365,2014
4,2014-02-19 00:00:00,1.1007,1.1007,0.9933,1.0067,708,2014
5,2014-02-20 00:00:00,1.0671,1.0671,0.9463,1.0671,767,2014
6,2014-02-21 00:00:00,1.0604,1.0604,1.0604,1.0604,18,2014
7,2014-02-24 00:00:00,0.9732,1.0671,0.9059999999999999,0.953,1615,2014
8,2014-02-25 00:00:00,0.9664,0.9664,0.8926,0.9664,252,2014
9,2014-02-26 00:00:00,0.9597,0.9732,0.953,0.9732,176,2014
10,2014-02-27 00:00:00,0.9463,0.9463,0.8658,0.9463,104,2014
11,2014-02-28 00:00:00,0.953,0.953,0.9329,0.9463,86,2014
12,2014-03-03 00:00:00,0.953,0.953,0.9329,0.9329,27,2014
13,2014-03-04 00:00:00,0.9664,0.9664,0.9463,0.9463,19,2014
14,2014-03-05 00:00:00,0.9732,0.9732,0.9262,0.9664,16,2014
15,2014-03-06 00:00:00,0.9664,0.9664,0.9262,0.9664,58,2014
16,2014-03-07 00:00:00,0.9732,0.9732,0.9329,0.9329,37,2014
17,2014-03-10 00:00:00,0.9732,0.9732,0.9329,0.9463,12,2014
18,2014-03-11 00:00:00,0.9732,0.9732,0.9463,0.9463,16,2014
19,2014-03-12 00:00:00,0.953,0.9664,0.9396,0.9396,305,2014
20,2014-03-13 00:00:00,0.953,0.953,0.953,0.953,12,2014
21,2014-03-14 00:00:00,0.953,0.953,0.953,0.953,12,2014
22,2014-03-17 00:00:00,0.953,0.953,0.8725,0.9329,168,2014
23,2014-03-18 00:00:00,0.953,0.953,0.953,0.953,9,2014
24,2014-03-19 00:00:00,0.9463,0.9463,0.9463,0.9463,9,2014
25,2014-03-20 00:00:00,0.953,0.953,0.9463,0.9463,3,2014
26,2014-03-21 00:00:00,0.9463,0.9463,0.9262,0.9463,25,2014
27,2014-03-24 00:00:00,0.9396,0.9396,0.9396,0.9396,4,2014
28,2014-03-25 00:00:00,0.9396,0.9463,0.7517,0.9463,6648,2014
29,2014-03-28 00:00:00,0.9463,0.9463,0.9463,0.9463,6,2014
30,2014-03-31 00:00:00,0.9463,0.9463,0.9396,0.9396,3,2014
31,2014-04-01 00:00:00,0.9396,0.9396,0.9396,0.9396,3,2014
32,2014-04-02 00:00:00,0.9396,0.9396,0.9396,0.9396,9,2014
33,2014-04-04 00:00:00,0.9463,0.9463,0.9463,0.9463,7,2014
34,2014-04-07 00:00:00,0.8926,0.8926,0.8926,0.8926,7,2014
35,2014-04-08 00:00:00,0.9396,0.9396,0.9396,0.9396,4,2014
36,2014-04-09 00:00:00,0.9396,0.9396,0.9396,0.9396,6,2014
37,2014-04-10 00:00:00,0.8725,0.8725,0.8725,0.8725,7,2014
38,2014-04-14 00:00:00,0.8658,0.8658,0.8658,0.8658,7,2014
39,2014-04-15 00:00:00,0.9329,0.9396,0.9329,0.9396,6,2014
40,2014-04-16 00:00:00,0.9396,0.9396,0.7517,0.9396,6,2014
41,2014-04-17 00:00:00,0.7517,0.8993,0.7517,0.8993,7,2014
42,2014-04-22 00:00:00,0.9396,0.9396,0.7517,0.7517,550,2014
43,2014-04-23 00:00:00,0.7584,0.8456,0.7517,0.8456,10,2014
44,2014-04-24 00:00:00,0.9396,1.0403,0.8054,1.0,16310,2014
45,2014-04-25 00:00:00,1.0,1.0738,0.8054,0.9597,20461,2014
46,2014-04-28 00:00:00,0.9597,0.9597,0.8054,0.8054,92,2014
47,2014-04-29 00:00:00,0.9463,0.9463,0.7785,0.9396,25,2014
48,2014-04-30 00:00:00,0.9329,0.9597,0.7718,0.7718,3512,2014
49,2014-05-02 00:00:00,0.8859,0.8859,0.7517,0.8456,5482,2014
50,2014-05-05 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
51,2014-05-06 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
52,2014-05-07 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
53,2014-05-08 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
54,2014-05-09 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
55,2014-05-12 00:00:00,0.8456,0.8456,0.8456,0.8456,3,2014
56,2014-05-13 00:00:00,0.8456,0.8456,0.7718,0.8456,1420,2014
57,2014-05-19 00:00:00,0.8456,0.8456,0.8456,0.8456,1,2014
58,2014-05-20 00:00:00,0.8456,0.8456,0.8456,0.8456,92,2014
59,2014-05-21 00:00:00,0.8456,0.8456,0.7114,0.7114,1854,2014
60,2014-05-23 00:00:00,0.8456,0.8456,0.8456,0.8456,1,2014
61,2014-05-26 00:00:00,0.8456,0.8456,0.8456,0.8456,1,2014
62,2014-05-27 00:00:00,0.8456,0.8456,0.8456,0.8456,7,2014
63,2014-05-28 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
64,2014-05-29 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
65,2014-05-30 00:00:00,0.8456,0.8456,0.8456,0.8456,1,2014
66,2014-06-02 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
67,2014-06-03 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
68,2014-06-04 00:00:00,0.8456,0.8456,0.8456,0.8456,3,2014
69,2014-06-05 00:00:00,0.8456,0.8456,0.8456,0.8456,1,2014
70,2014-06-06 00:00:00,0.8456,0.8456,0.8456,0.8456,3,2014
71,2014-06-09 00:00:00,0.8456,0.8456,0.8054,0.8054,4,2014
72,2014-06-10 00:00:00,0.8054,0.8054,0.8054,0.8054,6,2014
73,2014-06-11 00:00:00,0.8054,0.8054,0.8054,0.8054,3,2014
74,2014-06-12 00:00:00,0.8054,0.8054,0.8054,0.8054,9,2014
75,2014-06-13 00:00:00,0.8054,0.8054,0.8054,0.8054,4,2014
76,2014-06-16 00:00:00,0.8054,0.8054,0.8054,0.8054,4,2014
77,2014-06-17 00:00:00,0.8054,0.8054,0.8054,0.8054,7,2014
78,2014-06-18 00:00:00,0.8054,0.8054,0.8054,0.8054,7,2014
79,2014-06-20 00:00:00,0.8054,0.8054,0.8054,0.8054,3,2014
80,2014-06-23 00:00:00,0.8054,0.8054,0.7718,0.7718,4,2014
81,2014-06-24 00:00:00,0.8054,0.8054,0.8054,0.8054,10,2014
82,2014-06-25 00:00:00,0.8054,0.8054,0.8054,0.8054,4,2014
83,2014-06-26 00:00:00,0.8054,0.8054,0.8054,0.8054,4,2014
84,2014-06-27 00:00:00,0.8054,0.8054,0.8054,0.8054,4,2014
85,2014-06-30 00:00:00,0.8054,0.8054,0.8054,0.8054,4,2014
86,2014-07-01 00:00:00,0.8054,0.8456,0.7315,0.8456,1708,2014
87,2014-07-02 00:00:00,0.8456,0.8456,0.8456,0.8456,4,2014
88,2014-07-03 00:00:00,0.8456,0.8456,0.8456,0.8456,3,2014
89,2014-07-04 00:00:00,0.8456,0.8456,0.8456,0.8456,3,2014
90,2014-07-07 00:00:00,0.8456,0.8456,0.8389,0.8389,3,2014
91,2014-07-08 00:00:00,0.8456,0.8456,0.8456,0.8456,1,2014
