,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2016-05-10 00:00:00,28.0,32.0,25.0,32.0,1983,2016
1,2016-05-11 00:00:00,36.0,36.0,29.0,35.0,479,2016
2,2016-05-12 00:00:00,30.55,30.55,25.0,27.0,337,2016
3,2016-05-13 00:00:00,27.9,28.9,26.0,28.0,1974,2016
4,2016-05-16 00:00:00,26.01,27.94,26.01,27.83,783,2016
5,2016-05-17 00:00:00,27.83,34.4,24.0,34.4,21975,2016
6,2016-05-18 00:00:00,36.0,43.2,36.0,41.1,1149,2016
7,2016-05-19 00:00:00,41.1,49.32,39.0,46.74,572,2016
8,2016-05-20 00:00:00,55.0,55.0,44.0,44.5,130,2016
9,2016-05-23 00:00:00,53.39,53.39,52.9,52.99,202,2016
10,2016-05-24 00:00:00,46.53,46.53,46.53,46.53,14,2016
11,2016-05-27 00:00:00,45.35,45.35,45.35,45.35,20,2016
12,2016-05-30 00:00:00,42.8,43.0,42.8,42.8,25,2016
13,2016-05-31 00:00:00,39.82,39.82,39.82,39.82,200,2016
14,2016-06-01 00:00:00,47.0,49.0,39.5,39.5,127,2016
15,2016-06-02 00:00:00,47.0,47.0,39.55,39.55,21,2016
16,2016-06-03 00:00:00,38.5,47.0,38.5,47.0,47,2016
17,2016-06-06 00:00:00,47.0,55.0,40.0,55.0,3,2016
18,2016-06-07 00:00:00,54.5,54.5,54.5,54.5,1,2016
19,2016-06-08 00:00:00,43.6,43.6,43.6,43.6,10,2016
20,2016-06-09 00:00:00,52.32,52.32,52.32,52.32,1,2016
21,2016-06-17 00:00:00,55.0,55.0,44.7,44.7,35,2016
22,2016-06-21 00:00:00,46.52,50.0,46.52,49.5,93,2016
23,2016-06-22 00:00:00,50.0,50.0,50.0,50.0,1,2016
24,2016-06-24 00:00:00,55.0,55.0,46.52,46.52,53,2016
25,2016-06-27 00:00:00,55.82,55.82,55.82,55.82,5,2016
26,2016-06-28 00:00:00,60.6,67.0,50.0,50.0,143,2016
27,2016-06-30 00:00:00,50.0,50.0,46.52,50.0,41,2016
28,2016-07-01 00:00:00,46.52,50.0,46.52,50.0,6,2016
29,2016-07-04 00:00:00,50.0,50.0,49.7,50.0,218,2016
30,2016-07-05 00:00:00,50.0,50.0,50.0,50.0,20,2016
31,2016-07-12 00:00:00,46.52,46.52,46.52,46.52,22,2016
32,2016-07-15 00:00:00,46.55,46.55,46.55,46.55,22,2016
33,2016-07-19 00:00:00,46.55,49.98,46.55,49.98,26,2016
34,2016-07-21 00:00:00,46.61,46.65,46.55,46.65,70,2016
35,2016-07-25 00:00:00,46.55,46.55,46.55,46.55,100,2016
36,2016-07-27 00:00:00,46.55,46.55,46.55,46.55,45,2016
37,2016-07-29 00:00:00,55.86,63.0,49.55,49.55,36,2016
38,2016-08-01 00:00:00,49.8,49.8,49.8,49.8,4,2016
39,2016-08-04 00:00:00,55.0,55.0,55.0,55.0,10,2016
40,2016-08-05 00:00:00,49.5,49.5,49.5,49.5,21,2016
41,2016-08-11 00:00:00,46.52,46.52,46.52,46.52,10,2016
42,2016-08-12 00:00:00,48.91,69.0,48.91,69.0,164,2016
43,2016-08-16 00:00:00,69.0,69.0,64.66,64.66,41,2016
44,2016-08-17 00:00:00,60.16,60.16,60.16,60.16,17,2016
45,2016-08-19 00:00:00,56.3,56.3,56.3,56.3,17,2016
46,2016-08-22 00:00:00,53.05,53.05,53.05,53.05,18,2016
47,2016-08-29 00:00:00,50.25,50.25,48.0,48.0,41,2016
48,2016-08-30 00:00:00,46.85,47.5,40.11,47.5,29,2016
49,2016-08-31 00:00:00,47.5,49.45,47.1,49.45,69,2016
50,2016-09-01 00:00:00,58.3,58.3,49.1,49.1,33,2016
51,2016-09-02 00:00:00,50.0,50.0,50.0,50.0,20,2016
52,2016-09-09 00:00:00,53.2,55.0,53.2,55.0,20,2016
53,2016-09-13 00:00:00,56.1,56.1,54.9,54.9,37,2016
54,2016-09-19 00:00:00,54.5,58.9,54.5,58.9,55,2016
55,2016-09-20 00:00:00,60.4,64.8,60.4,64.8,22,2016
56,2016-09-21 00:00:00,67.9,69.0,66.7,68.9,356,2016
57,2016-09-22 00:00:00,68.9,68.9,68.9,68.9,1,2016
58,2016-09-23 00:00:00,68.9,69.0,65.15,69.0,35,2016
59,2016-09-26 00:00:00,67.0,67.0,63.53,63.53,25,2016
60,2016-09-27 00:00:00,65.0,69.0,65.0,69.0,77,2016
61,2016-09-28 00:00:00,64.5,64.5,64.5,64.5,29,2016
62,2016-09-29 00:00:00,65.0,65.0,65.0,65.0,21,2016
63,2016-09-30 00:00:00,64.0,64.0,64.0,64.0,16,2016
64,2016-10-03 00:00:00,65.0,65.0,65.0,65.0,16,2016
65,2016-10-04 00:00:00,65.1,69.1,64.3,69.1,192,2016
66,2016-10-05 00:00:00,74.9,74.9,74.9,74.9,12,2016
67,2016-10-07 00:00:00,70.0,73.8,70.0,73.8,64,2016
68,2016-10-10 00:00:00,82.99,82.99,82.99,82.99,2,2016
69,2016-10-11 00:00:00,76.0,86.0,76.0,86.0,556,2016
70,2016-10-13 00:00:00,98.0,98.0,98.0,98.0,1,2016
71,2016-10-14 00:00:00,98.0,98.9,98.0,98.9,63,2016
72,2016-10-17 00:00:00,98.4,98.4,92.7,92.7,14,2016
73,2016-10-18 00:00:00,99.6,120.0,99.6,120.0,1719,2016
74,2016-10-19 00:00:00,139.9,145.8,139.9,145.8,48,2016
75,2016-10-20 00:00:00,120.0,139.9,115.05,115.05,416,2016
76,2016-10-21 00:00:00,116.0,138.0,113.0,137.0,232,2016
77,2016-10-25 00:00:00,129.9,129.9,128.0,128.0,39,2016
78,2016-10-26 00:00:00,144.9,144.9,110.0,110.0,103,2016
79,2016-10-28 00:00:00,113.5,113.5,112.2,112.2,29,2016
80,2016-11-02 00:00:00,112.0,112.0,112.0,112.0,1,2016
81,2016-11-03 00:00:00,112.0,112.0,112.0,112.0,59,2016
82,2016-11-04 00:00:00,116.0,129.9,115.0,115.0,29,2016
83,2016-11-08 00:00:00,115.0,115.0,115.0,115.0,85,2016
84,2016-11-10 00:00:00,115.0,116.1,115.0,116.1,7,2016
85,2016-11-14 00:00:00,115.0,115.0,113.0,113.0,19,2016
86,2016-11-15 00:00:00,115.0,129.9,115.0,129.9,10,2016
87,2016-11-22 00:00:00,123.6,123.6,123.6,123.6,5,2016
