,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-05-09 00:00:00,2.5893,2.5893,1.351,1.3943,1126423,2008
1,2008-05-12 00:00:00,1.4289,1.4721,1.2990000000000002,1.3423,181503,2008
2,2008-05-13 00:00:00,1.3423,1.4894,1.2385,1.3857,264158,2008
3,2008-05-14 00:00:00,1.3857,1.8013,1.3423,1.7319,285247,2008
4,2008-05-15 00:00:00,1.7579,1.7666,1.4549,1.4721,87488,2008
5,2008-05-16 00:00:00,1.4721,1.6281,1.4376,1.4894,95797,2008
6,2008-05-19 00:00:00,1.6281,1.6713,1.5068,1.6194,33647,2008
7,2008-05-20 00:00:00,1.6455,1.6455,1.4721,1.5761,21149,2008
8,2008-05-21 00:00:00,1.4721,1.5415,1.4376,1.4981,23168,2008
9,2008-05-23 00:00:00,1.4981,1.5155,1.3597,1.4376,56625,2008
10,2008-05-26 00:00:00,1.4376,1.5155,1.3336,1.3684,27813,2008
11,2008-05-27 00:00:00,1.3597,1.3597,1.2990000000000002,1.3163,34878,2008
12,2008-05-28 00:00:00,1.2645,1.3249,1.2557,1.2557,37775,2008
13,2008-05-29 00:00:00,1.2385,1.2990000000000002,1.1865,1.247,27256,2008
14,2008-05-30 00:00:00,1.2557,1.3769999999999998,1.2124,1.2905,25725,2008
15,2008-06-02 00:00:00,1.3597,1.3597,1.2385,1.2905,17941,2008
16,2008-06-03 00:00:00,1.2557,1.2557,1.1865,1.2385,14398,2008
17,2008-06-04 00:00:00,1.2211,1.5935,1.2211,1.4289,141904,2008
18,2008-06-05 00:00:00,1.4116,1.4116,1.2731,1.3249,19610,2008
19,2008-06-06 00:00:00,1.403,1.4204,1.1865,1.2990000000000002,33429,2008
20,2008-06-09 00:00:00,1.3684,1.4635,1.2990000000000002,1.4462,13795,2008
21,2008-06-10 00:00:00,1.3597,1.4462,1.3077,1.3857,6235,2008
22,2008-06-11 00:00:00,1.4204,1.4204,1.3857,1.3857,3579,2008
23,2008-06-12 00:00:00,1.3943,1.3943,1.2211,1.3423,8354,2008
24,2008-06-13 00:00:00,1.3423,1.4204,1.2731,1.4204,9066,2008
25,2008-06-16 00:00:00,1.4116,1.4116,1.2990000000000002,1.3943,9408,2008
26,2008-06-17 00:00:00,1.2990000000000002,1.4721,1.2905,1.4549,42697,2008
27,2008-06-18 00:00:00,1.3857,1.4809,1.3336,1.4116,7555,2008
28,2008-06-19 00:00:00,1.3943,1.4462,1.3077,1.3597,11375,2008
29,2008-06-20 00:00:00,1.3597,1.403,1.2211,1.3336,12101,2008
30,2008-06-23 00:00:00,1.2557,1.3249,1.2124,1.2817,13207,2008
31,2008-06-24 00:00:00,1.2817,1.3684,1.2211,1.3249,9657,2008
32,2008-06-25 00:00:00,1.3423,1.3769999999999998,1.2211,1.3249,6409,2008
33,2008-06-26 00:00:00,1.3163,1.3423,1.2124,1.2817,9392,2008
34,2008-06-27 00:00:00,1.2211,1.2645,1.2211,1.2645,2974,2008
35,2008-06-30 00:00:00,1.2298,1.247,1.1432,1.247,1514,2008
