,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2009-03-12 00:00:00,31.0,101.35,31.0,87.04,587,2009
1,2009-03-13 00:00:00,69.75,69.75,48.88,48.88,103,2009
2,2009-03-16 00:00:00,47.69,57.23,45.31,57.23,13,2009
3,2009-03-17 00:00:00,57.23,59.02,57.23,59.02,18,2009
4,2009-03-18 00:00:00,59.62,89.42,59.62,89.42,118,2009
5,2009-03-19 00:00:00,95.38,116.85,95.38,116.85,133,2009
6,2009-03-20 00:00:00,119.23,119.23,95.38,101.35,102,2009
7,2009-03-23 00:00:00,83.46,97.77,81.08,97.77,146,2009
8,2009-03-24 00:00:00,81.08,89.42,74.52,83.46,84,2009
9,2009-03-25 00:00:00,83.46,83.46,59.62,76.9,117,2009
10,2009-03-26 00:00:00,75.12,95.38,65.58,94.19,218,2009
11,2009-03-27 00:00:00,92.4,132.94,92.4,131.15,196,2009
12,2009-03-30 00:00:00,131.15,131.15,118.04,131.15,65,2009
13,2009-03-31 00:00:00,119.23,119.23,104.92,113.27,324,2009
14,2009-04-01 00:00:00,113.27,155.0,113.27,155.0,20,2009
15,2009-04-02 00:00:00,160.96,178.85,124.0,158.58,85,2009
16,2009-04-03 00:00:00,166.92,166.92,153.81,166.92,47,2009
17,2009-04-06 00:00:00,166.92,240.25,166.92,226.54,218,2009
18,2009-04-07 00:00:00,255.15,271.85,192.56,250.38,218,2009
19,2009-04-08 00:00:00,250.38,268.27,200.31,222.96,87,2009
20,2009-04-09 00:00:00,214.62,222.96,194.35,202.69,111,2009
21,2009-04-14 00:00:00,225.35,225.35,225.35,225.35,0,2009
22,2009-04-15 00:00:00,221.77,221.77,176.46,178.85,265,2009
23,2009-04-16 00:00:00,191.96,196.13,191.96,196.13,7,2009
24,2009-04-17 00:00:00,195.54,195.54,178.85,195.54,43,2009
25,2009-04-20 00:00:00,177.65,195.54,176.46,195.54,94,2009
26,2009-04-21 00:00:00,194.94,194.94,194.94,194.94,3,2009
27,2009-04-22 00:00:00,195.54,280.19,195.54,274.23,41,2009
28,2009-04-23 00:00:00,268.27,268.27,219.38,219.38,31,2009
29,2009-04-24 00:00:00,255.15,255.15,238.46,253.37,2,2009
30,2009-04-27 00:00:00,253.37,253.37,220.58,253.37,7,2009
31,2009-04-28 00:00:00,253.96,253.96,221.77,253.96,22,2009
32,2009-04-29 00:00:00,253.96,298.08,226.54,286.15,52,2009
33,2009-04-30 00:00:00,298.08,298.08,256.35,277.81,5,2009
34,2009-05-04 00:00:00,277.81,298.08,231.9,250.38,44,2009
35,2009-05-05 00:00:00,244.42,262.31,232.5,262.31,16,2009
36,2009-05-06 00:00:00,257.54,257.54,256.35,256.35,0,2009
37,2009-05-07 00:00:00,256.35,256.35,236.08,254.56,4,2009
38,2009-05-08 00:00:00,253.96,253.96,226.54,226.54,36,2009
39,2009-05-11 00:00:00,226.54,237.27,226.54,237.27,16,2009
40,2009-05-12 00:00:00,238.46,250.38,238.46,250.38,7,2009
41,2009-05-13 00:00:00,262.31,267.08,256.35,267.08,12,2009
42,2009-05-14 00:00:00,267.08,281.38,226.54,250.38,114,2009
43,2009-05-15 00:00:00,232.5,250.38,232.5,250.38,7,2009
44,2009-05-18 00:00:00,250.38,262.31,250.38,250.38,48,2009
45,2009-05-19 00:00:00,250.38,250.38,250.38,250.38,0,2009
46,2009-05-20 00:00:00,250.38,265.88,250.38,265.88,46,2009
47,2009-05-21 00:00:00,250.38,277.81,250.38,250.38,65,2009
48,2009-05-22 00:00:00,268.27,274.23,268.27,274.23,60,2009
49,2009-05-25 00:00:00,274.23,274.23,242.04,242.04,9,2009
50,2009-05-27 00:00:00,238.46,238.46,226.54,226.54,4,2009
51,2009-05-28 00:00:00,230.12,230.12,230.12,230.12,0,2009
52,2009-05-29 00:00:00,230.12,230.12,230.12,230.12,0,2009
53,2009-06-01 00:00:00,230.12,230.12,230.12,230.12,0,2009
54,2009-06-02 00:00:00,230.12,230.12,214.62,214.62,137,2009
55,2009-06-03 00:00:00,202.69,232.5,202.69,232.5,57,2009
56,2009-06-04 00:00:00,232.5,237.27,215.81,226.54,38,2009
57,2009-06-05 00:00:00,215.81,215.81,215.81,215.81,10,2009
58,2009-06-09 00:00:00,224.15,224.15,224.15,224.15,2,2009
59,2009-06-12 00:00:00,226.54,226.54,226.54,226.54,2,2009
60,2009-06-15 00:00:00,232.5,232.5,232.5,232.5,6,2009
61,2009-06-17 00:00:00,238.46,238.46,238.46,238.46,0,2009
62,2009-06-19 00:00:00,238.46,238.46,238.46,238.46,0,2009
63,2009-07-07 00:00:00,240.85,240.85,240.85,240.85,0,2009
64,2009-07-08 00:00:00,243.23,243.23,218.19,238.46,14,2009
65,2009-07-09 00:00:00,226.54,250.38,226.54,250.38,17,2009
66,2009-07-10 00:00:00,250.38,267.67,214.62,240.85,17,2009
67,2009-07-13 00:00:00,228.92,250.38,226.54,250.38,14,2009
68,2009-07-14 00:00:00,250.38,250.38,238.46,238.46,20,2009
69,2009-07-15 00:00:00,238.46,238.46,238.46,238.46,16,2009
70,2009-07-16 00:00:00,267.67,363.65,267.67,298.08,52,2009
71,2009-07-17 00:00:00,299.27,470.96,299.27,469.77,51,2009
72,2009-07-20 00:00:00,494.81,715.38,494.81,657.56,214,2009
73,2009-07-21 00:00:00,714.19,715.38,567.54,590.19,79,2009
74,2009-07-22 00:00:00,524.62,596.15,472.15,544.88,75,2009
75,2009-07-23 00:00:00,554.42,554.42,483.48,542.5,13,2009
76,2009-07-24 00:00:00,536.54,541.9,501.37,541.9,3,2009
77,2009-07-27 00:00:00,535.94,535.94,481.69,500.77,18,2009
78,2009-07-28 00:00:00,500.17,500.17,417.31,435.19,14,2009
79,2009-07-29 00:00:00,435.79,494.81,363.65,453.08,50,2009
80,2009-07-30 00:00:00,389.29,494.81,389.29,494.81,18,2009
81,2009-07-31 00:00:00,527.6,527.6,435.79,479.9,18,2009
82,2009-08-03 00:00:00,506.73,566.35,465.0,530.58,11,2009
83,2009-08-04 00:00:00,530.58,565.75,530.58,565.75,1,2009
84,2009-08-05 00:00:00,556.21,556.21,506.73,556.21,1,2009
85,2009-08-06 00:00:00,512.69,571.71,512.69,571.71,10,2009
86,2009-08-07 00:00:00,572.31,643.85,459.04,546.67,48,2009
87,2009-08-10 00:00:00,476.92,536.54,444.13,476.92,54,2009
88,2009-08-11 00:00:00,479.9,518.65,476.92,518.06,12,2009
89,2009-08-12 00:00:00,512.69,512.69,476.92,476.92,30,2009
90,2009-08-13 00:00:00,476.92,517.46,467.98,467.98,3,2009
91,2009-08-14 00:00:00,459.04,467.98,457.25,467.98,2,2009
92,2009-08-17 00:00:00,467.98,467.98,467.98,467.98,1,2009
93,2009-08-18 00:00:00,467.98,467.98,417.31,417.31,11,2009
94,2009-08-19 00:00:00,444.13,444.13,387.5,440.56,12,2009
95,2009-08-20 00:00:00,417.31,441.15,417.31,441.15,2,2009
96,2009-08-21 00:00:00,441.15,441.15,423.27,423.27,1,2009
97,2009-08-24 00:00:00,441.15,453.08,441.15,441.15,13,2009
98,2009-08-25 00:00:00,438.77,438.77,438.77,438.77,0,2009
99,2009-08-26 00:00:00,441.15,441.15,441.15,441.15,0,2009
100,2009-08-27 00:00:00,441.15,441.15,411.35,438.17,11,2009
101,2009-08-28 00:00:00,440.56,440.56,440.56,440.56,0,2009
102,2009-08-31 00:00:00,440.56,470.96,440.56,470.96,13,2009
103,2009-09-01 00:00:00,466.19,473.94,466.19,473.94,6,2009
104,2009-09-02 00:00:00,473.94,473.94,440.56,470.96,2,2009
105,2009-09-03 00:00:00,470.96,470.96,423.27,423.27,2,2009
106,2009-09-04 00:00:00,423.27,423.27,423.27,423.27,0,2009
107,2009-09-07 00:00:00,423.27,423.27,378.56,423.27,1,2009
108,2009-09-08 00:00:00,423.27,423.27,423.27,423.27,0,2009
109,2009-09-09 00:00:00,447.12,447.12,381.54,388.1,6,2009
110,2009-09-10 00:00:00,388.1,388.69,388.1,388.69,3,2009
111,2009-09-11 00:00:00,390.48,420.29,390.48,420.29,8,2009
112,2009-09-14 00:00:00,417.31,441.15,414.33,429.23,38,2009
113,2009-09-15 00:00:00,435.19,435.19,372.6,435.19,109,2009
114,2009-09-16 00:00:00,435.19,441.15,432.21,441.15,81,2009
115,2009-09-17 00:00:00,441.15,441.15,434.0,441.15,31,2009
116,2009-09-18 00:00:00,441.15,506.73,441.15,506.73,148,2009
117,2009-09-21 00:00:00,566.35,566.35,566.35,566.35,100,2009
118,2009-09-22 00:00:00,566.35,566.35,476.92,559.79,16,2009
119,2009-09-23 00:00:00,495.4,553.83,495.4,553.83,0,2009
120,2009-09-24 00:00:00,534.15,534.15,489.44,489.44,16,2009
121,2009-09-25 00:00:00,489.44,655.77,489.44,566.35,161,2009
122,2009-09-28 00:00:00,524.62,536.54,518.65,536.54,3,2009
123,2009-09-29 00:00:00,521.63,521.63,521.63,521.63,2,2009
124,2009-09-30 00:00:00,519.85,519.85,518.65,518.65,4,2009
125,2009-10-01 00:00:00,519.25,622.98,519.25,602.12,5,2009
126,2009-10-02 00:00:00,596.15,596.15,596.15,596.15,5,2009
127,2009-10-05 00:00:00,596.15,596.15,536.54,536.54,7,2009
128,2009-10-07 00:00:00,522.83,643.85,522.83,625.96,20,2009
129,2009-10-08 00:00:00,655.77,685.58,625.96,649.81,194,2009
130,2009-10-09 00:00:00,664.71,768.44,634.9,745.19,165,2009
131,2009-10-12 00:00:00,834.62,837.6,733.87,804.81,56,2009
132,2009-10-13 00:00:00,734.46,734.46,733.27,733.27,5,2009
133,2009-10-14 00:00:00,733.27,733.27,733.27,733.27,12,2009
134,2009-10-15 00:00:00,736.25,804.81,733.27,804.81,6,2009
135,2009-10-16 00:00:00,834.62,837.6,834.62,837.6,6,2009
136,2009-10-19 00:00:00,924.04,1069.5,924.04,1043.3,350,2009
137,2009-10-20 00:00:00,1043.3,1073.1,989.6,1073.1,80,2009
138,2009-10-21 00:00:00,1072.5,1073.1,1007.5,1007.5,5,2009
139,2009-10-22 00:00:00,924.63,1073.1,876.35,1073.1,160,2009
140,2009-10-23 00:00:00,1019.4,1019.4,1007.5,1007.5,2,2009
141,2009-10-26 00:00:00,995.6,1007.5,834.62,983.7,19,2009
142,2009-10-27 00:00:00,846.54,924.04,786.92,924.04,9,2009
143,2009-10-28 00:00:00,894.23,894.23,894.23,894.23,0,2009
144,2009-10-29 00:00:00,935.96,1055.2,787.52,953.9,184,2009
145,2009-10-30 00:00:00,953.9,971.7,894.83,971.7,16,2009
146,2009-11-02 00:00:00,894.83,953.9,835.81,846.54,18,2009
147,2009-11-03 00:00:00,847.13,924.04,835.21,924.04,10,2009
148,2009-11-04 00:00:00,921.06,921.06,835.81,835.81,8,2009
149,2009-11-05 00:00:00,900.19,918.08,841.17,918.08,18,2009
150,2009-11-06 00:00:00,917.48,917.48,917.48,917.48,0,2009
151,2009-11-09 00:00:00,893.63,953.9,893.63,953.9,19,2009
152,2009-11-10 00:00:00,953.9,953.9,953.9,953.9,6,2009
153,2009-11-12 00:00:00,953.9,953.9,953.9,953.9,0,2009
154,2009-11-13 00:00:00,953.9,953.9,918.08,918.08,2,2009
155,2009-11-16 00:00:00,918.08,918.08,787.52,834.02,18,2009
156,2009-11-17 00:00:00,833.42,833.42,833.42,833.42,0,2009
157,2009-11-18 00:00:00,864.42,864.42,667.69,775.0,18,2009
158,2009-11-19 00:00:00,801.23,801.23,801.23,801.23,0,2009
159,2009-11-20 00:00:00,795.27,795.27,775.0,775.0,1,2009
160,2009-11-23 00:00:00,791.69,791.69,775.0,775.0,2,2009
161,2009-11-24 00:00:00,715.38,774.4,715.38,774.4,23,2009
162,2009-11-25 00:00:00,774.4,774.4,685.58,772.02,23,2009
163,2009-11-26 00:00:00,775.0,775.0,655.77,745.19,10,2009
164,2009-11-27 00:00:00,745.19,745.19,745.19,745.19,0,2009
165,2009-11-30 00:00:00,745.19,846.54,667.69,834.62,121,2009
166,2009-12-01 00:00:00,834.62,834.62,834.62,834.62,0,2009
