,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-07-15 00:00:00,0.86,1.03,0.86,1.03,72857,2010
1,2010-07-16 00:00:00,1.11,1.33,1.02,1.17,187902,2010
2,2010-07-19 00:00:00,1.24,1.25,1.02,1.05,18358,2010
3,2010-07-20 00:00:00,1.08,1.18,1.03,1.04,13669,2010
4,2010-07-21 00:00:00,1.04,1.11,0.96,1.02,13496,2010
5,2010-07-22 00:00:00,0.92,1.06,0.85,1.02,80365,2010
6,2010-07-23 00:00:00,1.05,1.07,1.0,1.0,13872,2010
7,2010-07-26 00:00:00,1.05,1.05,0.9,0.93,28563,2010
8,2010-07-27 00:00:00,0.96,0.96,0.88,0.91,13358,2010
9,2010-07-28 00:00:00,0.85,0.9,0.85,0.9,1185,2010
10,2010-07-29 00:00:00,0.91,0.91,0.89,0.9,1227,2010
11,2010-07-30 00:00:00,0.9,0.94,0.85,0.94,989,2010
12,2010-08-02 00:00:00,0.97,0.97,0.9,0.94,3174,2010
13,2010-08-03 00:00:00,0.94,0.94,0.94,0.94,185,2010
14,2010-08-04 00:00:00,0.9,0.9,0.84,0.9,2822,2010
15,2010-08-05 00:00:00,0.94,0.98,0.92,0.92,950,2010
16,2010-08-06 00:00:00,0.92,0.92,0.92,0.92,200,2010
17,2010-08-09 00:00:00,0.92,0.92,0.84,0.9,1200,2010
18,2010-08-10 00:00:00,0.84,0.92,0.84,0.9,800,2010
19,2010-08-11 00:00:00,0.85,1.07,0.85,0.94,48943,2010
20,2010-08-12 00:00:00,0.98,0.99,0.9,0.99,7790,2010
21,2010-08-13 00:00:00,0.97,0.97,0.96,0.97,6100,2010
22,2010-08-16 00:00:00,0.98,0.99,0.96,0.99,7225,2010
23,2010-08-17 00:00:00,1.03,1.04,1.02,1.04,4640,2010
24,2010-08-18 00:00:00,1.05,1.05,0.91,1.02,10573,2010
25,2010-08-19 00:00:00,1.01,1.01,0.93,1.01,6340,2010
26,2010-08-20 00:00:00,1.02,1.02,1.02,1.02,40,2010
27,2010-08-23 00:00:00,1.02,1.04,1.02,1.04,1100,2010
28,2010-08-24 00:00:00,0.91,1.03,0.9,0.97,4089,2010
29,2010-08-25 00:00:00,0.99,0.99,0.99,0.99,101,2010
30,2010-08-26 00:00:00,1.0,1.0,0.85,0.95,1734,2010
31,2010-08-30 00:00:00,0.84,0.96,0.84,0.96,16104,2010
32,2010-08-31 00:00:00,0.87,0.98,0.86,0.98,9801,2010
33,2010-09-01 00:00:00,0.89,0.97,0.89,0.97,4100,2010
34,2010-09-08 00:00:00,0.84,0.96,0.84,0.95,2600,2010
35,2010-09-10 00:00:00,0.86,0.94,0.86,0.94,3205,2010
36,2010-09-13 00:00:00,0.89,0.94,0.89,0.94,2350,2010
37,2010-09-14 00:00:00,0.87,0.89,0.85,0.89,4355,2010
38,2010-09-15 00:00:00,0.92,0.92,0.83,0.9,23458,2010
39,2010-09-16 00:00:00,0.9,0.9,0.9,0.9,190,2010
40,2010-09-17 00:00:00,0.87,0.88,0.87,0.88,5570,2010
41,2010-09-20 00:00:00,0.88,0.88,0.88,0.88,142,2010
42,2010-09-21 00:00:00,0.83,0.84,0.83,0.83,6484,2010
43,2010-09-22 00:00:00,0.83,0.83,0.82,0.82,900,2010
44,2010-09-24 00:00:00,0.84,0.84,0.8,0.8,4557,2010
45,2010-09-29 00:00:00,0.84,0.84,0.84,0.84,20,2010
46,2010-10-04 00:00:00,0.84,0.84,0.84,0.84,297,2010
47,2010-10-08 00:00:00,0.8,0.8,0.8,0.8,667,2010
48,2010-10-11 00:00:00,0.83,0.83,0.8,0.8,15842,2010
49,2010-10-12 00:00:00,0.73,0.73,0.69,0.69,2992,2010
50,2010-10-13 00:00:00,0.74,0.74,0.64,0.67,3286,2010
51,2010-10-14 00:00:00,0.73,0.73,0.68,0.68,898,2010
