,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,1998-01-13 00:00:00,23.138,23.138,22.776999999999997,22.776999999999997,193,1998
1,1998-01-14 00:00:00,23.138,23.138,22.054000000000002,22.054000000000002,235,1998
2,1998-01-15 00:00:00,22.054000000000002,22.054000000000002,22.054000000000002,22.054000000000002,43,1998
3,1998-01-16 00:00:00,23.138,23.138,23.138,23.138,43,1998
4,1998-01-30 00:00:00,11.57,11.57,11.57,11.57,23,1998
5,1998-02-10 00:00:00,7.2307,7.2307,7.2307,7.2307,23,1998
6,1998-02-16 00:00:00,11.57,11.57,11.57,11.57,27,1998
7,1998-03-06 00:00:00,8.7497,8.7497,8.7497,8.7497,27,1998
8,1998-03-10 00:00:00,8.8212,9.039,8.8212,9.039,181,1998
9,1998-03-13 00:00:00,8.8212,8.8212,8.8212,8.8212,43,1998
10,1998-03-17 00:00:00,9.039,9.2561,8.8212,8.8212,160,1998
11,1998-03-18 00:00:00,9.617,10.847999999999999,9.617,10.847999999999999,424,1998
12,1998-03-20 00:00:00,9.4002,14.460999999999999,9.3286,14.460999999999999,881,1998
13,1998-03-23 00:00:00,10.847999999999999,10.847999999999999,10.847999999999999,10.847999999999999,37,1998
14,1998-03-24 00:00:00,12.075999999999999,16.632,12.075999999999999,14.39,247,1998
15,1998-03-25 00:00:00,12.8,12.8,12.8,12.8,46,1998
16,1998-03-27 00:00:00,11.713,11.713,11.353,11.713,61,1998
17,1998-03-30 00:00:00,14.460999999999999,14.460999999999999,14.460999999999999,14.460999999999999,137,1998
18,1998-03-31 00:00:00,8.6783,12.366,8.6783,12.075999999999999,215,1998
19,1998-04-06 00:00:00,10.124,10.919,10.052,10.052,366,1998
20,1998-04-08 00:00:00,10.195,10.195,10.195,10.195,37,1998
21,1998-04-14 00:00:00,10.413,10.413,10.413,10.413,70,1998
22,1998-04-17 00:00:00,10.124,10.124,10.124,10.124,56,1998
23,1998-04-20 00:00:00,10.195,10.195,10.195,10.195,36,1998
24,1998-04-21 00:00:00,10.195,10.195,10.124,10.124,107,1998
25,1998-04-22 00:00:00,10.124,10.124,10.124,10.124,61,1998
26,1998-04-23 00:00:00,10.847999999999999,10.847999999999999,10.774000000000001,10.774000000000001,158,1998
27,1998-04-24 00:00:00,10.124,11.209000000000001,10.124,11.134,251,1998
28,1998-05-04 00:00:00,10.124,10.124,10.124,10.124,56,1998
29,1998-05-06 00:00:00,8.6783,8.7497,8.6783,8.6783,128,1998
30,1998-05-14 00:00:00,8.6783,8.6783,8.6783,8.6783,27,1998
31,1998-05-15 00:00:00,8.6783,8.6783,8.6783,8.6783,27,1998
32,1998-05-18 00:00:00,8.6783,8.6783,8.6783,8.6783,61,1998
33,1998-05-19 00:00:00,8.6783,8.6783,8.6783,8.6783,193,1998
34,1998-06-05 00:00:00,7.9543,8.6783,7.9543,8.5328,105,1998
35,1998-06-10 00:00:00,7.9543,7.9543,7.9543,7.9543,20,1998
36,1998-06-15 00:00:00,8.6051,8.6051,4.7,4.7,69,1998
37,1998-07-17 00:00:00,6.5077,6.5077,6.5077,6.5077,114,1998
