,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-03-18 00:00:00,5.85,7.0,5.72,5.72,3877,2011
1,2011-03-21 00:00:00,5.45,5.45,5.45,5.45,140,2011
2,2011-03-22 00:00:00,5.4,5.4,5.4,5.4,495,2011
3,2011-03-23 00:00:00,5.56,5.56,5.56,5.56,2,2011
4,2011-03-24 00:00:00,5.2,5.2,5.2,5.2,497,2011
5,2011-05-17 00:00:00,5.14,5.14,5.14,5.14,500,2011
6,2011-06-09 00:00:00,4.77,4.77,4.77,4.77,135,2011
7,2011-06-10 00:00:00,4.7,4.7,4.6,4.6,750,2011
8,2011-06-16 00:00:00,4.3,4.3,4.3,4.3,575,2011
9,2011-06-20 00:00:00,4.0,4.0,4.0,4.0,500,2011
10,2011-07-04 00:00:00,3.72,3.72,3.72,3.72,675,2011
11,2011-07-11 00:00:00,3.5,3.5,3.5,3.5,200,2011
12,2011-07-12 00:00:00,3.5,3.5,3.5,3.5,100,2011
13,2011-07-13 00:00:00,3.34,3.34,3.04,3.04,950,2011
14,2011-07-15 00:00:00,3.09,3.09,3.09,3.09,100,2011
15,2011-07-18 00:00:00,3.09,3.19,3.09,3.19,800,2011
16,2011-07-19 00:00:00,3.2,3.2,3.2,3.2,500,2011
17,2011-07-20 00:00:00,3.2,3.25,3.2,3.25,250,2011
18,2011-07-21 00:00:00,3.25,3.5,3.25,3.5,1490,2011
19,2011-07-22 00:00:00,3.57,3.59,3.57,3.59,210,2011
20,2011-07-25 00:00:00,3.61,3.61,3.61,3.61,350,2011
21,2011-07-26 00:00:00,3.67,3.67,3.67,3.67,200,2011
22,2011-07-27 00:00:00,3.78,3.8,3.78,3.8,430,2011
23,2011-07-28 00:00:00,3.72,4.06,3.72,4.06,1230,2011
24,2011-08-01 00:00:00,3.99,4.8,3.99,4.3,1230,2011
25,2011-08-02 00:00:00,4.1,4.8,4.1,4.8,4395,2011
26,2011-08-03 00:00:00,4.8,4.8,4.8,4.8,130,2011
27,2011-08-04 00:00:00,4.78,4.78,4.78,4.78,520,2011
28,2011-08-05 00:00:00,4.78,5.72,4.78,5.71,980,2011
29,2011-08-08 00:00:00,6.05,6.05,6.05,6.05,100,2011
30,2011-08-09 00:00:00,6.05,6.05,6.05,6.05,411,2011
31,2011-08-10 00:00:00,6.04,6.05,6.04,6.05,410,2011
32,2011-08-11 00:00:00,6.08,6.08,6.07,6.08,505,2011
33,2011-08-12 00:00:00,5.81,5.81,5.81,5.81,435,2011
34,2011-08-16 00:00:00,5.82,6.43,5.82,6.43,975,2011
35,2011-08-17 00:00:00,6.19,6.43,6.19,6.4,470,2011
36,2011-08-18 00:00:00,6.12,6.12,6.12,6.12,425,2011
37,2011-08-19 00:00:00,6.22,6.22,6.22,6.22,20,2011
38,2011-08-22 00:00:00,6.24,6.24,6.24,6.24,25,2011
39,2011-08-24 00:00:00,6.24,6.24,6.24,6.24,350,2011
40,2011-08-26 00:00:00,5.96,5.96,5.96,5.96,420,2011
41,2011-08-29 00:00:00,6.0,6.15,6.0,6.15,270,2011
42,2011-08-30 00:00:00,6.14,6.14,6.14,6.14,50,2011
43,2011-09-02 00:00:00,5.9,5.95,5.9,5.95,475,2011
44,2011-09-05 00:00:00,5.95,5.95,5.95,5.95,150,2011
45,2011-09-06 00:00:00,6.05,6.05,6.05,6.05,100,2011
46,2011-09-07 00:00:00,5.95,5.95,5.95,5.95,50,2011
47,2011-09-09 00:00:00,5.8,5.8,5.8,5.8,450,2011
48,2011-09-12 00:00:00,5.58,5.58,5.36,5.36,900,2011
49,2011-09-13 00:00:00,5.36,5.8,4.89,5.8,1525,2011
50,2011-09-14 00:00:00,5.09,5.8,5.09,5.8,525,2011
51,2011-09-15 00:00:00,5.3,6.66,5.3,6.66,555,2011
